"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.913333295E-4,9.015751648E0,-2.919379120E0,-3.446283417E0
1.091333339E-2,8.972341919E0,-2.631677399E0,-3.442541199E0
2.093633334E-2,8.872349854E0,-2.338287506E0,-3.472928009E0
3.095833340E-2,8.723858643E0,-2.208507385E0,-3.619922333E0
4.098033335E-2,8.604407043E0,-2.217937775E0,-3.802093506E0
5.100233341E-2,8.530909882E0,-2.305655365E0,-3.929478607E0
6.102433335E-2,8.510103149E0,-2.361788635E0,-4.011957092E0
7.104633341E-2,8.505762177E0,-2.401605835E0,-4.091591492E0
8.106933336E-2,8.510701904E0,-2.387684784E0,-4.148024139E0
9.109133342E-2,8.542585602E0,-2.316582642E0,-4.191882935E0
1.011133334E-1,8.650810547E0,-2.277364197E0,-4.187541962E0
1.111353334E-1,8.739725647E0,-2.259251862E0,-4.114493866E0
1.211573334E-1,8.854087830E0,-2.265838165E0,-4.016447754E0
1.311793334E-1,8.930578766E0,-2.324216766E0,-3.933370514E0
1.412023334E-1,8.919950867E0,-2.324067078E0,-3.869752808E0
1.512243333E-1,8.840915222E0,-2.304008789E0,-3.853287048E0
1.612463334E-1,8.810528412E0,-2.318827972E0,-3.764222260E0
1.712683333E-1,8.832981720E0,-2.379002838E0,-3.680396576E0
1.812903334E-1,8.932824097E0,-2.498753815E0,-3.624562683E0
1.913123333E-1,8.986712036E0,-2.598147125E0,-3.616928558E0
2.013353334E-1,8.962312775E0,-2.643652496E0,-3.597768402E0
2.113573333E-1,8.878187714E0,-2.630629578E0,-3.557651825E0
2.213793334E-1,8.824299774E0,-2.586471405E0,-3.530109100E0
2.314013334E-1,8.755442963E0,-2.502346344E0,-3.536396027E0
2.414233334E-1,8.677155762E0,-2.363435211E0,-3.535797272E0
2.514453334E-1,8.611442413E0,-2.255958710E0,-3.581901398E0
2.614683334E-1,8.577463074E0,-2.239193573E0,-3.676205292E0
2.714903334E-1,8.575666809E0,-2.264341278E0,-3.787424011E0
2.815123334E-1,8.520731049E0,-2.246079254E0,-3.901935883E0
2.915343334E-1,8.468040619E0,-2.167492676E0,-4.012705536E0
3.015563334E-1,8.482859802E0,-2.110610962E0,-4.165687408E0
3.115793334E-1,8.491990814E0,-2.004631348E0,-4.288282471E0
