"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.398295828E-2,-1.705482975E-2,8.239774406E-2,3.984825686E-2
2.400495834E-2,-6.210172083E-3,1.721779704E-1,-3.573092073E-2
3.402695828E-2,1.205126010E-2,2.391060591E-1,-7.423333824E-2
4.404995823E-2,2.126073651E-2,2.531861961E-1,-6.975549459E-2
5.407195829E-2,2.138238028E-2,2.027110755E-1,-2.662191726E-2
6.409395824E-2,1.778631285E-2,1.220037043E-1,2.500532381E-2
7.411595830E-2,2.208276466E-2,7.213726640E-2,3.279658780E-2
8.413795824E-2,2.629375458E-2,6.640880555E-2,4.885594361E-3
9.415995830E-2,1.278209873E-2,7.074218988E-2,-3.152396902E-2
1.041819582E-1,-1.578731462E-3,5.524178594E-2,-4.635963961E-2
1.142039583E-1,5.902705714E-3,1.525780931E-2,-4.691978917E-2
1.242269583E-1,3.622039780E-2,-1.872146316E-2,-4.932568967E-2
1.342489583E-1,5.654229224E-2,-5.380330235E-2,-3.767106310E-2
1.442709583E-1,7.392022014E-2,-8.775860816E-2,-1.262110285E-2
1.542929583E-1,1.024976373E-1,-1.245195419E-1,1.248036511E-2
1.643149583E-1,1.572421044E-1,-1.603680849E-1,2.838955820E-2
1.743369583E-1,2.184950113E-1,-2.176258713E-1,4.191816598E-2
1.843589583E-1,2.751114368E-1,-2.741221786E-1,4.648308456E-2
1.943819583E-1,3.224169016E-1,-3.302612603E-1,5.727148429E-2
2.044039583E-1,3.726055026E-1,-3.749959767E-1,6.826740503E-2
2.144259582E-1,4.152894616E-1,-3.773757517E-1,7.800649107E-2
2.244479583E-1,4.312354326E-1,-3.780660331E-1,7.951037586E-2
2.344699582E-1,4.681585729E-1,-4.096972942E-1,8.415932208E-2
2.444919583E-1,5.719771385E-1,-6.401651502E-1,1.080830246E-1
2.545139582E-1,6.401856542E-1,-1.250012159E0,5.898791924E-2
2.645359583E-1,6.856069565E-1,-1.987661123E0,4.518289119E-2
2.745589582E-1,7.713449001E-1,-2.702683687E0,2.034802884E-1
2.845809583E-1,8.574345112E-1,-2.906641960E0,3.251321316E-1
2.946029583E-1,9.390923381E-1,-2.890344143E0,3.179072142E-1
3.046249583E-1,9.600801468E-1,-2.757060528E0,1.658708006E-1
3.146469583E-1,8.216193318E-1,-2.547761917E0,-6.549397856E-2
3.246689583E-1,6.636280417E-1,-2.172624111E0,-2.483825684E-1
3.346909583E-1,5.771892071E-1,-1.605746031E0,-2.999768555E-1
3.447129583E-1,5.423140526E-1,-9.028655887E-1,-2.721374929E-1
3.547359583E-1,5.007505417E-1,-1.918648630E-1,-2.295105755E-1
3.647579583E-1,4.590803087E-1,4.638501406E-1,-2.344105244E-1
3.747799583E-1,4.367178977E-1,1.036107659E0,-3.089266419E-1
3.848019583E-1,4.259280860E-1,1.465428948E0,-4.232846498E-1
3.948239583E-1,3.184551299E-1,1.644538403E0,-5.040629506E-1
4.048459582E-1,2.010038644E-1,1.554509640E0,-4.725753069E-1
4.148679583E-1,1.611293107E-1,1.244470477E0,-2.890951335E-1
4.248909582E-1,2.146596462E-1,8.176064491E-1,-2.351592854E-2
4.349129583E-1,2.866149247E-1,3.625721633E-1,1.816987693E-1
4.449349582E-1,3.415111899E-1,-3.032478504E-2,2.269797027E-1
4.549569583E-1,3.806727529E-1,-3.528877497E-1,1.251211166E-1
4.649789582E-1,3.345803320E-1,-6.611206532E-1,-5.688944459E-2
4.750009583E-1,2.599853277E-1,-9.462176561E-1,-2.241792679E-1
4.850229583E-1,2.481467724E-1,-1.170363426E0,-2.616363466E-1
4.950459583E-1,3.086593449E-1,-1.307348490E0,-1.778377891E-1
5.050679583E-1,3.857772946E-1,-1.319704533E0,-6.585612148E-2
5.150899583E-1,4.115076661E-1,-1.166115880E0,-2.741639130E-2
5.251119583E-1,3.956021965E-1,-8.751526475E-1,-1.150900498E-1
5.351340832E-1,3.185870647E-1,-5.784156919E-1,-2.709294856E-1
5.451560833E-1,1.895912588E-1,-2.779522240E-1,-3.780287802E-1
5.551780832E-1,8.241433650E-2,3.005347401E-2,-3.868592083E-1
5.652000833E-1,4.961670190E-2,2.815815806E-1,-3.232922256E-1
5.752230833E-1,7.974924892E-2,4.938918650E-1,-2.504655421E-1
5.852450833E-1,1.158542559E-1,7.119820714E-1,-2.449490428E-1
5.952670833E-1,9.733495116E-2,8.786256909E-1,-2.998966575E-1
6.052890833E-1,2.926322259E-2,9.246768355E-1,-3.564225137E-1
6.153110833E-1,-6.370288879E-2,8.601368666E-1,-3.504060805E-1
6.253330833E-1,-9.498144686E-2,7.110903859E-1,-2.649151385E-1
