"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.209166652E-3,7.483120412E-1,-4.384387015E-1,-5.782435812E-2
1.723216672E-2,7.379221237E-1,-3.423066755E-1,1.947262415E-1
2.725416666E-2,2.375425512E-1,-8.738298342E-2,6.803937078E-2
3.727716662E-2,1.159391767E-1,9.358826794E-2,7.812932611E-2
4.729916668E-2,3.389584136E-1,1.800220290E-1,3.496547252E-1
5.732216663E-2,2.915942127E-1,1.932338127E-1,5.401459014E-1
6.734516670E-2,-6.163666964E-2,1.364084514E-1,6.518382454E-1
7.736716664E-2,-4.027170378E-1,6.633848883E-2,6.591010720E-1
8.739016671E-2,-5.547820669E-1,5.152215600E-2,5.179907648E-1
9.741216665E-2,-7.306277221E-1,-1.634466344E-1,2.747302214E-1
1.074351667E-1,-8.259975636E-1,-4.323491187E-1,1.059936476E-1
1.174581667E-1,-7.924702138E-1,-5.213718807E-1,2.143881619E-2
1.274801666E-1,-6.370950758E-1,-5.728045012E-1,-7.523433309E-2
1.375031667E-1,-3.533630294E-1,-6.209788339E-1,-3.334550142E-2
1.475251666E-1,-4.997907579E-2,-6.503753451E-1,9.099027693E-2
1.575481667E-1,9.792624414E-2,-5.473946947E-1,2.404626141E-1
1.675711666E-1,1.627566630E-1,-3.296261843E-1,3.886702716E-1
1.775931667E-1,3.666087270E-2,-2.345900727E-1,4.879091791E-1
1.876161667E-1,-3.244766146E-1,-2.862923960E-1,5.073997762E-1
1.976381667E-1,-6.521516562E-1,-4.981462285E-1,5.271025540E-1
2.076611667E-1,-7.098800468E-1,-6.594489082E-1,5.122926897E-1
2.176841666E-1,-5.088364005E-1,-7.496474721E-1,5.175323796E-1
2.277061667E-1,-1.223032862E-1,-9.048717519E-1,5.762594748E-1
2.377291666E-1,-3.492015660E-2,-1.020460534E0,5.754069507E-1
2.477511667E-1,-1.575432855E-1,-9.455636220E-1,5.422848129E-1
2.577741666E-1,-2.488212454E-1,-7.072259226E-1,4.856510210E-1
2.677971667E-1,-2.725053924E-1,-4.217312329E-1,4.666633576E-1
2.778191667E-1,-1.709550440E-1,-2.961336254E-1,4.608646739E-1
2.878421666E-1,-1.296321863E-1,-4.427880067E-1,4.748430276E-1
2.978641667E-1,-2.187519389E-1,-7.253901518E-1,2.324572277E-1
3.078871666E-1,-5.506176800E-1,-1.031194926E0,-3.434151614E-1
3.179101667E-1,-8.104913324E-1,-1.074490049E0,-2.671581137E-1
3.279321666E-1,-6.052663422E-1,-5.120267145E-1,1.808781344E-2
3.379551667E-1,-2.109733880E-1,1.039075803E-1,1.128419431E-1
3.479771666E-1,2.402521509E-1,4.490888201E-1,1.092166328E-1
3.580001667E-1,5.399880266E-1,4.678525351E-1,1.388198432E-1
3.680221667E-1,7.581324399E-1,1.263470378E-1,3.153765929E-1
3.780451666E-1,9.521927565E-1,-2.792723020E-1,6.383733503E-1
3.880681667E-1,1.102260962E0,-4.891688521E-1,8.797473626E-1
3.980901666E-1,1.068471656E0,-4.650267950E-1,9.041843386E-1
4.081131667E-1,9.806698662E-1,-3.302394111E-1,7.370883107E-1
4.181351666E-1,9.795542175E-1,-1.581062993E-1,5.396580975E-1
4.281581667E-1,1.021361809E0,-9.100239163E-2,3.823783752E-1
4.381811667E-1,9.901704222E-1,-2.161516639E-1,3.326350884E-1
4.482031667E-1,7.791192663E-1,-4.320300800E-1,4.237067878E-1
4.582261667E-1,5.328959388E-1,-5.813985195E-1,5.303494763E-1
4.682481666E-1,2.950633657E-1,-5.090818374E-1,4.789758396E-1
4.782711667E-1,6.113614798E-2,-3.305590345E-1,2.713635043E-1
4.882941666E-1,-1.397016764E-1,-1.347538538E-1,8.993383124E-2
4.983161667E-1,-3.151830500E-1,2.672838106E-2,-4.046200141E-3
5.083391666E-1,-4.340627915E-1,1.449830095E-1,-4.799277663E-2
5.183611667E-1,-4.992358571E-1,2.172024999E-1,-5.659761228E-2
5.283841667E-1,-5.125762796E-1,2.012483354E-1,-6.227050781E-2
5.384071667E-1,-4.656295699E-1,8.293378221E-2,2.361690402E-2
5.484291667E-1,-3.462610012E-1,-2.589742228E-1,4.964995064E-2
5.584521666E-1,-2.151184791E-1,-7.354269706E-1,1.178798676E-1
5.684741667E-1,-1.621374428E-1,-1.185802105E0,4.179414332E-1
5.784971666E-1,-2.768270695E-1,-1.526004587E0,6.912625853E-1
5.885201667E-1,-4.244452912E-1,-1.707135248E0,8.958602424E-1
5.985421666E-1,-5.202799863E-1,-1.586933451E0,8.441109221E-1
6.085651667E-1,-5.744047379E-1,-1.160224410E0,5.092480445E-1
6.185871667E-1,-5.149239367E-1,-5.744102563E-1,1.707212285E-1
6.286101667E-1,-4.384294921E-1,1.733213391E-2,-2.622323462E-1
6.386331667E-1,-4.166182083E-1,4.474314999E-1,-5.977713080E-1
6.486551666E-1,-3.557668197E-1,7.027262709E-1,-7.319179834E-1
6.586781667E-1,-2.434400529E-1,7.454537760E-1,-7.536545690E-1
6.687001666E-1,-5.284596562E-2,6.976721569E-1,-7.431823520E-1
6.787231667E-1,1.654931599E-1,6.122368079E-1,-7.747618481E-1
6.887451666E-1,4.757809210E-1,5.573540378E-1,-9.948745803E-1
6.987681667E-1,8.610516214E-1,5.254154496E-1,-1.164662520E0
7.087911667E-1,1.171991932E0,4.949095388E-1,-1.027894903E0
7.188131667E-1,1.248450124E0,3.882406840E-1,-6.531350847E-1
7.288361667E-1,9.964327902E-1,2.207772683E-1,-2.541900858E-1
7.388581666E-1,5.033248150E-1,9.423957467E-3,8.388773717E-2
7.488811667E-1,1.425902009E-2,-6.699359626E-2,3.490005679E-1
7.589041666E-1,-2.349282610E-1,2.952734269E-2,4.448819677E-1
7.689261667E-1,-3.367838341E-1,1.644732228E-1,3.631740725E-1
7.789491666E-1,-2.214919442E-1,2.650819136E-1,-4.978648312E-2
7.889711667E-1,-4.803955436E-2,2.615162815E-1,-5.803582998E-1
7.989941667E-1,-4.731976211E-2,1.700271640E-1,-9.739192557E-1
8.090171666E-1,-2.234074920E-1,5.186706863E-2,-1.247618065E0
8.190391667E-1,-4.577896231E-1,-2.253129534E-2,-1.405628543E0
8.290621666E-1,-7.493107456E-1,1.361158714E-3,-1.415442363E0
8.390841667E-1,-1.124689127E0,1.181217230E-1,-1.391913022E0
8.491071666E-1,-1.519725262E0,3.506960412E-1,-1.385166796E0
8.591301667E-1,-1.704901904E0,6.225512233E-1,-1.271224444E0
8.691518334E-1,-1.528744007E0,7.048436938E-1,-8.353004837E-1
8.791748333E-1,-1.075345643E0,6.342640733E-1,-3.478859425E-1
8.891968334E-1,-5.284491313E-1,5.194561867E-1,-9.662962407E-3
8.992198333E-1,-2.936764061E-2,3.569181365E-1,1.827651040E-1
9.092428334E-1,2.766341114E-1,1.631426523E-1,1.715899055E-1
9.192648333E-1,4.494368756E-1,-4.839440726E-2,-5.229501173E-2
9.292878333E-1,5.849297261E-1,-2.747744045E-1,-1.453521332E-1
9.393098333E-1,7.856599617E-1,-4.420033834E-1,1.331712136E-1
9.493328333E-1,1.078107868E0,-4.743901607E-1,7.392634749E-1
9.593558334E-1,1.277644687E0,-2.148772815E-1,1.100583980E0
9.693778333E-1,1.337721904E0,1.741865078E-1,1.001499403E0
9.794008334E-1,1.371139911E0,4.187908874E-1,5.585716474E-1
9.894228333E-1,1.379153520E0,3.580434331E-1,1.923314412E-1
9.994458334E-1,1.370378603E0,1.204346623E-1,1.722532721E-1
1.009468833E0,1.261325693E0,-2.092199542E-1,5.582466884E-1
1.019490833E0,1.042601236E0,-5.155197680E-1,9.802709399E-1
1.029513833E0,8.819255966E-1,-6.250669147E-1,1.073230705E0
1.039535833E0,9.318409377E-1,-4.608662818E-1,8.019710621E-1
1.049558833E0,1.024191862E0,-3.855890813E-1,3.061629890E-1
1.059581833E0,1.059543543E0,-5.726504271E-1,-1.010395941E-1
1.069603833E0,1.027727673E0,-8.541440132E-1,-1.101087718E-1
1.079626833E0,8.888223875E-1,-1.082898784E0,2.957229316E-1
1.089648833E0,6.939189023E-1,-1.224925167E0,8.288150445E-1
1.099671833E0,3.359295559E-1,-1.236587439E0,1.169275023E0
