"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.673120831E-2,9.084390358E0,-2.923351718E0,-2.272442888E0
2.675420826E-2,9.088048961E0,-2.916839674E0,-2.266159470E0
3.677620832E-2,9.094282093E0,-2.908839514E0,-2.251399636E0
4.679920827E-2,9.101052584E0,-2.901514707E0,-2.233422664E0
5.682120833E-2,9.106750696E0,-2.896479377E0,-2.216670537E0
6.684420828E-2,9.110668330E0,-2.894080264E0,-2.203657558E0
7.686720823E-2,9.112613114E0,-2.894411509E0,-2.195169009E0
8.688920829E-2,9.113166261E0,-2.896168305E0,-2.190552633E0
9.691220825E-2,9.113282036E0,-2.898340253E0,-2.187200570E0
1.069352083E-1,9.113477333E0,-2.900925307E0,-2.182946867E0
1.169572083E-1,9.114057376E0,-2.903359211E0,-2.177281207E0
1.269802083E-1,9.115260733E0,-2.904804642E0,-2.170314396E0
1.370022083E-1,9.116957595E0,-2.905289669E0,-2.162521958E0
1.470252083E-1,9.118753275E0,-2.905432341E0,-2.154742676E0
1.570472083E-1,9.119975928E0,-2.906407364E0,-2.148248320E0
1.670702082E-1,9.119973004E0,-2.909283317E0,-2.144353489E0
1.770932083E-1,9.118929276E0,-2.913515824E0,-2.143052630E0
1.871152082E-1,9.117469811E0,-2.917604490E0,-2.143699624E0
1.971382083E-1,9.116161205E0,-2.920643873E0,-2.145118597E0
2.071612083E-1,9.114828039E0,-2.923404635E0,-2.147024351E0
2.171832083E-1,9.113277358E0,-2.926749535E0,-2.149055528E0
2.272062083E-1,9.111718490E0,-2.930404337E0,-2.150671406E0
2.372282083E-1,9.110188274E0,-2.933896587E0,-2.152399258E0
2.472512083E-1,9.108408381E0,-2.937175998E0,-2.155458814E0
2.572742082E-1,9.106067741E0,-2.940012774E0,-2.161478084E0
2.672962083E-1,9.102835985E0,-2.941895578E0,-2.172496431E0
2.773192083E-1,9.098291529E0,-2.943009765E0,-2.189957532E0
2.873412083E-1,9.091353223E0,-2.947449848E0,-2.212676889E0
2.973642083E-1,9.083334936E0,-2.960953993E0,-2.227531448E0
3.073872083E-1,9.078886959E0,-2.972566271E0,-2.230197924E0
3.174092083E-1,9.078885205E0,-2.980907616E0,-2.219046845E0
3.274322082E-1,9.082059073E0,-2.984953305E0,-2.200531637E0
3.374542083E-1,9.086861976E0,-2.984402789E0,-2.181373820E0
3.474772082E-1,9.092082955E0,-2.981124255E0,-2.164028639E0
3.575002083E-1,9.096695824E0,-2.977548975E0,-2.149512634E0
3.675222083E-1,9.100155621E0,-2.974842592E0,-2.138592374E0
3.775452083E-1,9.102201562E0,-2.972992825E0,-2.132456013E0
3.875672083E-1,9.102821952E0,-2.971408522E0,-2.132011333E0
3.975902083E-1,9.102039009E0,-2.969738849E0,-2.137665298E0
4.076132083E-1,9.099710063E0,-2.968719680E0,-2.148965919E0
4.176352082E-1,9.095787166E0,-2.969056187E0,-2.165053510E0
