"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.723291702E-3,5.155878296E0,-4.361779633E0,6.648274841E0
8.298708359E-3,5.323230286E0,-4.681963806E0,6.881639557E0
1.832170831E-2,5.417534180E0,-4.900209961E0,7.042854309E0
2.834370825E-2,5.432952118E0,-4.784500580E0,7.020251312E0
3.836670832E-2,5.449717255E0,-4.592000885E0,6.913822632E0
4.838970827E-2,5.530998230E0,-4.467609558E0,6.860683136E0
5.841170833E-2,5.724396057E0,-4.221521301E0,6.773264923E0
6.843470829E-2,5.990243225E0,-4.052522736E0,6.897356873E0
7.845670835E-2,6.108647003E0,-4.087699585E0,6.881190491E0
8.847970830E-2,6.069578247E0,-4.277355194E0,6.685547333E0
9.850170836E-2,5.926326141E0,-4.516857147E0,6.613247681E0
1.085247083E-1,5.591771851E0,-4.560715942E0,6.470893707E0
1.185477083E-1,5.271887054E0,-4.369413757E0,6.382727051E0
1.285697083E-1,5.256618805E0,-4.224664764E0,6.603368225E0
1.385927083E-1,5.396877136E0,-4.221221924E0,6.735842743E0
1.486147083E-1,5.488187256E0,-4.313130798E0,6.771618347E0
1.586377083E-1,5.476810913E0,-4.501738586E0,6.840924225E0
1.686607084E-1,5.486241302E0,-4.675078125E0,6.993307343E0
1.786827083E-1,5.491779785E0,-4.805157623E0,7.105124817E0
1.887057082E-1,5.584586792E0,-4.795577545E0,7.100783844E0
1.987277083E-1,5.826184387E0,-4.704417114E0,7.339237976E0
2.087507083E-1,5.985453186E0,-4.708309021E0,7.685018921E0
2.187737083E-1,6.102210388E0,-4.703968048E0,7.742649078E0
2.287957083E-1,6.191424866E0,-4.822671204E0,7.630681915E0
2.388187083E-1,5.863007812E0,-4.756957855E0,7.641459503E0
2.488407083E-1,4.761897583E0,-4.272565155E0,7.160958710E0
2.588637084E-1,3.605103149E0,-4.007316742E0,6.395151215E0
2.688867083E-1,3.648512878E0,-3.814517670E0,6.919959869E0
2.789087082E-1,4.298461304E0,-3.980223083E0,7.588020630E0
2.889317083E-1,5.507048035E0,-4.539310455E0,7.647297363E0
2.989537083E-1,6.923851776E0,-4.873864746E0,6.999444580E0
3.089767083E-1,7.924520874E0,-4.833299103E0,6.552773438E0
3.189987083E-1,8.370593262E0,-4.694088593E0,6.510561218E0
3.290217083E-1,8.164172516E0,-4.678820343E0,6.776408386E0
3.390447083E-1,7.546257477E0,-4.740192719E0,7.240443420E0
3.490667084E-1,6.997199249E0,-4.799619141E0,7.463778992E0
3.590897083E-1,6.613846436E0,-4.753065948E0,7.256609802E0
3.691117082E-1,6.361022186E0,-4.701573029E0,6.932533722E0
3.791347083E-1,6.058501282E0,-4.661456451E0,7.018754425E0
3.891577083E-1,5.749693451E0,-4.552033997E0,7.107669525E0
3.991797083E-1,5.494324493E0,-4.407883759E0,6.988517303E0
4.092027083E-1,5.290747833E0,-4.395010529E0,6.890471191E0
4.192247083E-1,5.224735107E0,-4.478536835E0,6.714586945E0
4.292477083E-1,5.425317993E0,-4.628524933E0,6.409371643E0
4.392707084E-1,5.843099213E0,-4.663252716E0,6.238427124E0
4.492927083E-1,6.277046814E0,-4.688400421E0,6.051765289E0
4.593157083E-1,6.480773163E0,-4.682113495E0,5.820945282E0
4.693377083E-1,6.376889191E0,-4.770280151E0,5.670957184E0
4.793607083E-1,6.109844513E0,-4.967719574E0,5.723198547E0
4.893837083E-1,5.794151001E0,-5.123844910E0,5.926026764E0
4.994057083E-1,5.437143402E0,-5.135370941E0,6.088588715E0
5.094287083E-1,5.056784363E0,-5.087919617E0,5.979166260E0
