"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.706870832E-2,3.842535242E-2,1.368640661E-1,3.733725473E-2
2.709170827E-2,3.488030285E-2,1.266386062E-1,3.695517033E-2
3.711470834E-2,3.266721591E-2,9.861575067E-2,3.382835537E-2
4.713670828E-2,2.823781222E-2,4.825773835E-2,2.185782045E-2
5.715970835E-2,1.367751136E-2,3.101696447E-2,4.927305505E-3
6.718170829E-2,1.128113549E-2,4.836893827E-2,-1.259451546E-2
7.720470836E-2,1.770334877E-2,5.859826226E-3,-1.578471623E-2
8.722770831E-2,2.141530812E-2,-3.730065748E-2,-5.847253837E-3
9.724970825E-2,2.718770877E-2,-4.479985312E-2,-4.879993852E-3
1.072727083E-1,2.554427646E-2,-5.284140259E-2,-1.517631672E-2
1.172947083E-1,3.300698474E-2,-3.792770207E-2,-2.951877005E-2
1.273177083E-1,4.762368277E-2,4.790346604E-3,-5.030482635E-2
1.373407083E-1,5.167355016E-2,3.128320724E-2,-6.530561298E-2
1.473627083E-1,3.838492930E-2,3.817342222E-2,-6.901385635E-2
1.573857083E-1,2.148930356E-2,2.226928994E-2,-6.228085235E-2
1.674077084E-1,2.764463658E-3,-7.537757978E-3,-5.105836317E-2
1.774307083E-1,-1.145095751E-2,-3.458029404E-2,-3.432598710E-2
1.874527083E-1,-3.547217324E-2,-7.094846666E-2,-3.758159652E-2
1.974757083E-1,-6.345533580E-2,-7.683564723E-2,-6.149598584E-2
2.074987083E-1,-8.075312525E-2,-6.955611706E-2,-8.534612507E-2
2.175207083E-1,-1.005430743E-1,-1.089546531E-1,-1.110291183E-1
2.275437083E-1,-1.321265996E-1,-2.787555009E-2,-1.555522680E-1
2.375657083E-1,-1.658941507E-1,4.459119216E-2,-1.755174547E-1
2.475887083E-1,-2.531075478E-1,-4.004993737E-1,-1.059066504E-1
2.576117082E-1,-3.450697064E-1,-1.113023281E0,5.262919888E-2
2.676337083E-1,-3.785047829E-1,-1.354449987E0,8.317345381E-2
2.776567083E-1,-3.431148231E-1,-1.013348579E0,3.650635108E-2
2.876787083E-1,-2.929387987E-1,-6.148231030E-1,-4.078076780E-2
2.977017083E-1,-2.755262554E-1,-3.782187998E-1,-1.028531939E-1
3.077247083E-1,-2.845727801E-1,-1.857254803E-1,-1.364488900E-1
3.177467083E-1,-2.922445238E-1,8.962327242E-2,-1.358704567E-1
3.277697084E-1,-2.827487886E-1,4.697807431E-1,-9.487161785E-2
3.377917083E-1,-2.324219495E-1,8.780784607E-1,-3.135975078E-2
3.478147082E-1,-1.827734262E-1,1.171070576E0,1.005526632E-2
3.578377083E-1,-1.762124598E-1,1.258287191E0,7.302623242E-3
3.678597083E-1,-2.280180156E-1,1.178952813E0,-4.217206687E-2
3.778827083E-1,-2.795421779E-1,1.057345629E0,-1.011192724E-1
3.879047083E-1,-3.241242766E-1,9.590693712E-1,-1.167960390E-1
3.979277083E-1,-3.587957323E-1,8.550582528E-1,-5.283889174E-2
4.079497083E-1,-3.755168915E-1,7.552857995E-1,7.445243746E-2
