"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.174750039E-3,9.368867340E0,-4.245172119E-1,-4.066892853E0
1.119674998E-2,9.214987335E0,-5.322930908E-1,-4.042044525E0
2.121874993E-2,9.326056366E0,-3.739224243E-1,-4.120481415E0
3.124175000E-2,9.378896484E0,-2.074685669E-1,-4.206552429E0
4.126374994E-2,9.239236908E0,-1.088237000E-1,-4.268822937E0
5.128575000E-2,8.878337402E0,-1.083746338E-1,-4.288132782E0
6.130774994E-2,8.665480042E0,-2.300715637E-1,-4.368815002E0
7.132975000E-2,8.563392334E0,-3.442840576E-1,-4.432881775E0
8.135274996E-2,8.504115601E0,-3.709286499E-1,-4.420607300E0
9.137475002E-2,8.450377350E0,-3.550616455E-1,-4.399501190E0
1.013967500E-1,8.444090424E0,-2.414479065E-1,-4.353546753E0
1.114187500E-1,8.539891205E0,-1.335223389E-1,-4.306544495E0
1.214407500E-1,8.771759033E0,-1.669029236E-1,-4.303850098E0
1.314637500E-1,8.938362579E0,-2.712359619E-1,-4.328099670E0
1.414857500E-1,8.978329468E0,-3.067121887E-1,-4.325405273E0
1.515077500E-1,9.000034332E0,-2.836601257E-1,-4.317471771E0
1.615297500E-1,9.010213165E0,-2.348616028E-1,-4.306245117E0
1.715517499E-1,9.010362854E0,-1.525328064E-1,-4.315825195E0
1.815747500E-1,8.994795227E0,-8.367599487E-2,-4.304748230E0
1.915967499E-1,8.955277405E0,-7.634124756E-2,-4.309388580E0
2.016187500E-1,8.874295807E0,-1.077758789E-1,-4.287534027E0
2.116407499E-1,8.829987946E0,-1.245410156E-1,-4.294719086E0
2.216627500E-1,8.840017090E0,-1.050814819E-1,-4.298610992E0
2.316857500E-1,8.869805145E0,-1.022373962E-1,-4.321064301E0
2.417077500E-1,8.931776276E0,-1.468446350E-1,-4.304598541E0
2.517297500E-1,8.970096588E0,-1.938468933E-1,-4.289180603E0
2.617517500E-1,9.048234100E0,-1.091230774E-1,-4.342020721E0
2.717737500E-1,9.233249359E0,1.496887207E-4,-4.484225006E0
2.817967500E-1,9.422904968E0,-4.640350342E-2,-4.626429291E0
2.918187500E-1,9.475595398E0,-2.665956116E-1,-4.683311005E0
3.018407500E-1,9.279353485E0,-4.914280701E-1,-4.543052673E0
3.118627500E-1,8.796307983E0,-4.418811035E-1,-4.112398224E0
3.218847500E-1,8.389903107E0,-1.850152588E-1,-3.922592926E0
3.319077500E-1,8.140521698E0,2.230361938E-2,-4.100273438E0
3.419297499E-1,8.159382477E0,8.681945801E-2,-4.413721619E0
3.519517500E-1,8.398135986E0,5.478607178E-2,-4.520599365E0
3.619737499E-1,8.632249146E0,-1.616638184E-1,-4.398453369E0
3.719957500E-1,8.647816772E0,-3.721261597E-1,-4.259242859E0
3.820187500E-1,8.611592102E0,-4.120930481E-1,-4.184248810E0
3.920407500E-1,8.663085022E0,-3.737727356E-1,-4.253704376E0
4.020627500E-1,8.817713470E0,-3.591032410E-1,-4.400249634E0
4.120847500E-1,8.936566315E0,-3.867956543E-1,-4.465513916E0
4.221067500E-1,8.963959351E0,-3.796105957E-1,-4.452490997E0
4.321297500E-1,8.933572540E0,-2.905458069E-1,-4.410877533E0
4.421517500E-1,8.902586975E0,-1.501377869E-1,-4.346212006E0
4.521737500E-1,8.895850983E0,-5.328918457E-2,-4.343816986E0
4.621957500E-1,8.917705536E0,-3.113525391E-2,-4.414619751E0
4.722177500E-1,8.933572540E0,-7.499404907E-2,-4.441114655E0
4.822406666E-1,8.968150635E0,-1.324745178E-1,-4.361180878E0
4.922626667E-1,9.045090637E0,-1.558259583E-1,-4.309538269E0
5.022846666E-1,9.181007996E0,-1.700463867E-1,-4.337829437E0
5.123066667E-1,9.241482239E0,-1.410067749E-1,-4.356091461E0
5.223286666E-1,9.294322357E0,-1.148112488E-1,-4.264032898E0
5.323516666E-1,9.335337067E0,-1.700463867E-1,-4.113446045E0
5.423736667E-1,9.371412048E0,-2.417472839E-1,-4.051474915E0
5.523956666E-1,9.336534576E0,-2.960842896E-1,-4.064946899E0
5.624176667E-1,9.222471771E0,-3.559597778E-1,-4.015399933E0
5.724396666E-1,9.089997253E0,-3.568579102E-1,-3.943848724E0
5.824626667E-1,8.957971802E0,-3.459306335E-1,-3.874393158E0
5.924846666E-1,8.791517944E0,-3.477268982E-1,-3.824097748E0
6.025066667E-1,8.672964478E0,-3.716770935E-1,-3.679049377E0
6.125286666E-1,8.702453156E0,-3.848497009E-1,-3.485352173E0
6.225516667E-1,8.822353821E0,-3.878434753E-1,-3.583248596E0
6.325736666E-1,9.021888885E0,-4.219725037E-1,-3.845503235E0
6.425956667E-1,9.036708069E0,-4.810995483E-1,-3.711831207E0
6.526176666E-1,8.976383514E0,-5.397775269E-1,-3.606749725E0
6.626396667E-1,9.096583557E0,-5.068460083E-1,-3.966751099E0
6.726626666E-1,9.289382629E0,-5.105882263E-1,-4.292473755E0
6.826846666E-1,9.431137848E0,-5.939648438E-1,-4.368815002E0
6.927066667E-1,9.453142090E0,-6.456074524E-1,-4.175866241E0
7.027286666E-1,9.318122864E0,-6.590794373E-1,-3.840413818E0
7.127506667E-1,9.006920013E0,-5.471122742E-1,-3.578308868E0
7.227736666E-1,8.699010315E0,-3.189866638E-1,-3.492986298E0
7.327956667E-1,8.379574585E0,-1.359173584E-1,-3.830534363E0
7.428176666E-1,8.090675354E0,-5.343887329E-2,-4.341721344E0
7.528396667E-1,7.920628967E0,-6.810836792E-2,-4.584965515E0
7.628616666E-1,7.942932587E0,-1.257385254E-1,-4.660708008E0
7.728846667E-1,8.139922943E0,-1.416055298E-1,-4.607119446E0
7.829066666E-1,8.529263306E0,-1.410067749E-1,-4.601431274E0
7.929286667E-1,9.061556396E0,-1.279838562E-1,-4.720134430E0
8.029506666E-1,9.533674622E0,-6.735992432E-2,-4.783901825E0
8.129726667E-1,9.892927551E0,2.709365845E-2,-4.660109253E0
8.229956666E-1,9.998458099E0,9.744735718E-2,-4.446503448E0
8.330176666E-1,9.817484436E0,2.044747925E-1,-4.352947998E0
8.430396667E-1,9.551337891E0,3.475772095E-1,-4.327201538E0
8.530616666E-1,9.251960449E0,4.857398987E-1,-4.204606476E0
8.630836667E-1,8.920549622E0,5.321434021E-1,-3.933370514E0
8.731066666E-1,8.554560699E0,3.203338623E-1,-3.638932800E0
8.831286667E-1,8.173153839E0,2.844085693E-3,-3.646117859E0
8.931506666E-1,7.743397522E0,-1.567240906E-1,-3.808081055E0
9.031726667E-1,7.408244476E0,-2.197430420E-1,-3.875890045E0
9.131956666E-1,7.230563965E0,-2.369572449E-1,-3.949536896E0
9.232176667E-1,7.194638672E0,-2.474354553E-1,-4.175866241E0
9.332396666E-1,7.235803070E0,-2.436932373E-1,-4.589605865E0
9.432616667E-1,7.379653931E0,-1.820214844E-1,-5.070705414E0
9.532836666E-1,7.733667755E0,-6.885681152E-2,-5.325026550E0
9.633066667E-1,8.237370300E0,5.568420410E-2,-5.406756592E0
9.733286666E-1,8.793314209E0,1.169068909E-1,-5.358706512E0
9.833506667E-1,9.342971191E0,5.358856201E-2,-5.018014984E0
9.933726666E-1,9.950108643E0,-7.723937988E-2,-4.333937531E0
1.003394667E0,1.057954971E1,-1.486408997E-1,-4.018094330E0
1.013417667E0,1.086051544E1,-1.472937012E-1,-3.983516235E0
1.023439667E0,1.068867279E1,-1.513352966E-1,-3.767066345E0
1.033461667E0,1.024963577E1,-1.712438965E-1,-3.354075165E0
1.043483667E0,9.720336456E0,-1.425036621E-1,-3.074007568E0
1.053505667E0,9.176667023E0,-1.115180969E-1,-3.083887024E0
1.063528667E0,8.720266113E0,-1.414558411E-1,-3.249293060E0
1.073550667E0,8.384065247E0,-2.210902405E-1,-3.644171906E0
1.083572667E0,8.067174225E0,-2.239343262E-1,-4.186045074E0
1.093594667E0,7.830216980E0,-9.430389404E-2,-4.528832245E0
1.103616667E0,7.800728302E0,7.140151978E-2,-4.817432098E0
1.113639667E0,7.906857605E0,1.041833496E-1,-5.032085724E0
1.123661667E0,8.021968231E0,8.382568359E-3,-5.127138062E0
1.133683667E0,8.150850220E0,-1.122665405E-1,-5.222340088E0
1.143705667E0,8.323141937E0,-1.270857239E-1,-5.182522888E0
1.153728667E0,8.530760193E0,-5.388793945E-2,-4.964276733E0
1.163750667E0,8.798553314E0,8.756790161E-2,-4.650379486E0
1.173772667E0,9.120833130E0,1.998344421E-1,-4.371210022E0
1.183794667E0,9.415420532E0,2.773731995E-1,-4.284839630E0
1.193816667E0,9.498797150E0,3.011737061E-1,-4.459526367E0
1.203839667E0,9.347761230E0,2.612068176E-1,-4.468058624E0
1.213861667E0,9.139244843E0,1.380130005E-1,-4.419858856E0
1.223883667E0,8.942703552E0,6.436614990E-2,-4.309687958E0
1.233905667E0,8.839867401E0,1.574725342E-1,-4.311783600E0
1.243927667E0,8.859776001E0,3.808081055E-1,-4.440216522E0
1.253950667E0,8.875193939E0,7.099736023E-1,-4.641248474E0
1.263972667E0,8.837173004E0,1.048569489E0,-5.070106659E0
1.273994667E0,8.778944092E0,1.280886383E0,-5.423521729E0
1.284016667E0,8.744365997E0,1.341959381E0,-5.502407684E0
1.294038667E0,8.781339111E0,1.231938171E0,-5.388943634E0
1.304061667E0,9.003626862E0,1.096769257E0,-5.188809814E0
1.314083667E0,9.245673523E0,9.238787842E-1,-4.959636383E0
1.324105667E0,9.310788116E0,7.626640320E-1,-4.798870697E0
1.334127667E0,9.236991577E0,6.509962463E-1,-4.684358826E0
1.344149667E0,9.155111847E0,5.183720398E-1,-4.547693024E0
1.354172667E0,9.161847839E0,4.082011414E-1,-4.491260376E0
1.364194667E0,9.203161926E0,3.782633972E-1,-4.537663879E0
1.374216667E0,9.117989044E0,4.017645264E-1,-4.603676605E0
1.384238667E0,8.803193665E0,4.008663940E-1,-4.603826294E0
1.394261667E0,8.315058746E0,3.632945251E-1,-4.640350342E0
1.404283667E0,7.796087952E0,3.284170532E-1,-4.718637543E0
1.414305667E0,7.363337860E0,3.676354980E-1,-4.641697540E0
1.424327667E0,7.117399292E0,4.120930481E-1,-4.394711151E0
1.434349667E0,7.085665283E0,3.960763550E-1,-4.113296356E0
