"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.944749996E-3,-1.585399732E-4,5.405865610E-2,1.161954552E-2
1.996674994E-2,7.308614440E-4,1.468952298E-1,1.526897587E-2
2.998875000E-2,-1.945868134E-4,2.001211643E-1,-8.760858327E-5
4.001174995E-2,5.277788267E-3,1.950550079E-1,-1.229384542E-2
5.003375001E-2,1.064272597E-2,1.497328132E-1,-1.900687627E-2
6.005574996E-2,8.927779272E-3,9.713011980E-2,-2.626129985E-2
7.007775002E-2,-1.553889364E-3,6.757808477E-2,-1.454631984E-2
8.009974996E-2,-1.227563992E-2,3.155742958E-2,-1.944802003E-3
9.012275003E-2,-1.612870023E-2,-1.572752558E-2,1.718642190E-3
1.001447500E-1,-8.777559735E-3,-6.124751642E-2,4.700248130E-3
1.101667500E-1,-1.686094329E-3,-9.150156379E-2,1.928695943E-3
1.201887500E-1,-1.062227879E-3,-9.909261763E-2,-2.348115109E-2
1.302107500E-1,2.184964251E-3,-9.405311197E-2,-4.186122119E-2
1.402337500E-1,4.177636467E-3,-7.665558904E-2,-4.046582803E-2
1.502557499E-1,8.954281919E-3,-4.526757449E-2,-3.070108220E-2
1.602777500E-1,1.062384434E-2,-1.118092239E-2,-1.169418916E-2
1.702997499E-1,1.230829395E-2,1.891279779E-2,2.409379929E-3
1.803217500E-1,1.073591225E-2,3.198411688E-2,7.971867919E-3
1.903447499E-1,5.980572663E-3,2.422526293E-2,-1.352658030E-3
2.003667500E-1,6.914860103E-3,-2.094750060E-3,-1.983334124E-2
2.103887500E-1,1.169283688E-2,-2.470258996E-2,-3.307031840E-2
2.204107500E-1,1.691658422E-2,-3.657377511E-2,-2.919286489E-2
2.304327500E-1,1.969239675E-2,-4.276429489E-2,-1.347328909E-2
2.404557500E-1,2.375511080E-2,-3.763986751E-2,4.276516847E-4
2.504777500E-1,3.474437818E-2,-2.183667198E-2,1.158496551E-2
2.604997500E-1,4.595180228E-2,-2.187294187E-3,1.800725237E-2
2.705217500E-1,3.613672033E-2,1.290111151E-2,-3.455163445E-3
2.805437500E-1,1.678666472E-2,5.086566880E-2,-5.315880477E-2
2.905667500E-1,-6.998292636E-3,9.677723795E-2,-1.138943285E-1
3.005887499E-1,2.602205612E-3,5.864006653E-2,-1.426524967E-1
3.106107500E-1,6.225115433E-2,-3.815678135E-2,-9.924375266E-2
3.206327499E-1,1.048942730E-1,-9.146234393E-2,-2.060082182E-2
3.306547500E-1,1.008550525E-1,-7.264631242E-2,4.445328191E-2
3.406777499E-1,6.127320975E-2,3.379639238E-4,6.274874508E-2
3.506997500E-1,2.355938405E-2,4.566363245E-2,4.802040011E-2
3.607217500E-1,1.214425080E-2,3.266149387E-2,2.124906145E-2
3.707437500E-1,1.766738109E-2,-1.363543142E-2,1.096819341E-2
3.807657500E-1,3.729190677E-2,-5.338288844E-2,1.347442064E-2
3.907887500E-1,4.858184606E-2,-8.280735463E-2,1.126825903E-2
4.008107500E-1,4.846726730E-2,-9.902464598E-2,-4.547499120E-4
4.108327500E-1,4.460621625E-2,-1.027120575E-1,-1.466670819E-2
4.208547500E-1,4.006741941E-2,-9.603209794E-2,-1.450863853E-2
