"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.012333367E-3,1.014664993E1,1.924547882E0,6.866221619E-1
1.203433331E-2,9.538165283E0,1.968256989E0,5.942642212E-1
2.205608331E-2,9.602681122E0,2.181114349E0,5.894741821E-1
3.207808337E-2,9.786947937E0,2.290387115E0,7.026388550E-1
4.210008332E-2,9.838291168E0,2.295476532E0,8.042774963E-1
5.212308338E-2,9.825717316E0,2.306703186E0,8.324189758E-1
6.214508333E-2,9.852062531E0,2.312241669E0,8.321195984E-1
7.216808328E-2,9.675429840E0,2.257754974E0,8.440946960E-1
8.219008334E-2,9.461524658E0,2.221230927E0,8.485853577E-1
9.221308329E-2,9.263336792E0,2.249522095E0,7.141648865E-1
1.022350834E-1,9.148375854E0,2.275717621E0,5.254074097E-1
1.122570833E-1,9.130113831E0,2.230661316E0,4.119433594E-1
1.222800834E-1,9.131461029E0,2.196382599E0,3.629951477E-1
1.323020833E-1,9.211095428E0,2.209555206E0,3.406915283E-1
1.423250834E-1,9.299860840E0,2.234702911E0,3.363505554E-1
1.523470833E-1,9.439071350E0,2.218087463E0,4.079017639E-1
1.623700833E-1,9.641001434E0,2.145937500E0,4.796026611E-1
1.723920833E-1,9.789043579E0,2.082768860E0,6.153703308E-1
1.824140833E-1,9.779613190E0,2.052531738E0,7.361691284E-1
1.924370833E-1,9.761051788E0,1.980531464E0,7.138655090E-1
2.024590833E-1,9.859097900E0,1.931732941E0,6.728507996E-1
2.124820834E-1,9.891879730E0,1.955383759E0,6.744973755E-1
2.225040833E-1,9.745334473E0,2.019899597E0,6.521937561E-1
2.325270834E-1,9.594747620E0,1.981130219E0,7.285350037E-1
2.425490833E-1,9.539213104E0,1.898202667E0,8.312214661E-1
2.525710834E-1,9.645492096E0,1.839824066E0,7.336244202E-1
2.625940833E-1,9.835746460E0,1.817071381E0,6.993457031E-1
2.726160834E-1,9.928553467E0,1.765428772E0,8.113128662E-1
2.826390833E-1,9.901160431E0,1.722168732E0,8.632548523E-1
2.926610833E-1,9.770482178E0,1.593885498E0,9.925859070E-1
3.026840833E-1,9.691446533E0,1.370400238E0,1.116228790E0
3.127060833E-1,9.758507080E0,1.115929413E0,1.186732178E0
3.227290834E-1,9.853559418E0,1.012943573E0,1.285227356E0
3.327510833E-1,9.992021484E0,1.034947815E0,1.493743744E0
3.427730834E-1,1.004650818E1,9.482780457E-1,1.799258423E0
3.527960833E-1,9.269024963E0,6.286926270E-1,2.044448547E0
3.628180834E-1,9.256151733E0,8.976832581E-1,1.936373291E0
3.728410833E-1,1.017913239E1,1.881437531E0,1.639540558E0
3.828630833E-1,1.085991669E1,2.418969727E0,1.458866272E0
3.928860833E-1,1.046833099E1,2.890938263E0,1.563498688E0
4.029080833E-1,1.024768982E1,3.200344849E0,1.391057281E0
4.129310834E-1,9.651180267E0,3.105891266E0,1.043330383E0
4.229530833E-1,1.037462585E1,2.809507599E0,6.138734436E-1
4.329750834E-1,1.055934174E1,2.419418793E0,2.164498901E-1
4.429980833E-1,1.013662079E1,2.103725281E0,2.058219910E-1
4.530200834E-1,9.258846130E0,1.882485352E0,2.441423035E-1
4.630430833E-1,8.148305511E0,1.747615814E0,2.969824219E-1
4.730650834E-1,7.013814697E0,1.706750793E0,4.086502075E-1
4.830880833E-1,6.092181244E0,1.438957672E0,7.315287781E-1
4.931100833E-1,5.504802704E0,7.806266785E-1,7.966433716E-1
5.031330833E-1,5.698200531E0,2.254312134E-1,3.291654968E-1
5.131550833E-1,6.930587769E0,1.151106262E-1,-4.071533203E-2
5.231770833E-1,8.724158020E0,4.376898193E-1,-2.727328491E-1
5.332000833E-1,1.036265076E1,1.071771240E0,-2.501298523E-1
5.432220834E-1,1.156150772E1,1.731449432E0,2.125579834E-1
5.532450833E-1,1.221564743E1,2.079475708E0,7.764353943E-1
5.632670834E-1,1.245634689E1,1.949695587E0,8.104147339E-1
5.732900833E-1,1.231309479E1,1.656605072E0,6.909631348E-1
5.833120834E-1,1.165760788E1,1.567540283E0,8.246351624E-1
5.933350833E-1,1.058104660E1,1.861977997E0,9.324110413E-1
6.033570833E-1,9.520951080E0,2.452949066E0,1.007255402E0
6.133790833E-1,8.894503784E0,3.156785431E0,1.007405090E0
6.234020833E-1,8.999285889E0,3.808530121E0,1.040785675E0
6.334240834E-1,9.443562012E0,4.084855499E0,1.291963348E0
6.434470833E-1,9.522148590E0,3.876339111E0,1.870659943E0
6.534690834E-1,9.137897644E0,3.364403687E0,2.352507935E0
6.634920833E-1,8.937165070E0,2.478246460E0,2.689906311E0
6.735140834E-1,9.347162476E0,1.373394012E0,2.342778168E0
6.835370833E-1,1.037028488E1,5.959107971E-1,1.789378967E0
6.935590833E-1,1.173649384E1,3.228785706E-1,1.740281067E0
7.035810833E-1,1.304177948E1,3.450325012E-1,2.080822906E0
7.136040833E-1,1.379501312E1,4.977149963E-1,2.698438568E0
7.236260833E-1,1.329280746E1,7.027885437E-1,3.107388153E0
7.336490833E-1,1.188812851E1,1.110540619E0,2.547103271E0
7.436710834E-1,1.052626053E1,1.415306854E0,1.953437805E0
7.536940833E-1,9.469158783E0,1.496587830E0,1.205293579E0
7.637160834E-1,8.665480042E0,1.263672180E0,-3.188369751E-2
7.737390833E-1,8.224197693E0,9.104067993E-1,-1.248403931E0
7.837610834E-1,8.096812592E0,8.864566040E-1,-2.084714813E0
7.937840833E-1,8.040978699E0,1.409918060E0,-2.765648804E0
8.038060833E-1,7.680827637E0,2.390229492E0,-2.658771057E0
8.138280833E-1,7.125183105E0,3.369044037E0,-1.364412689E0
8.238510833E-1,7.145840149E0,3.850442963E0,-9.984237671E-2
8.338730833E-1,8.103099518E0,3.414699097E0,1.271455994E0
