"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.579333330E-2,1.365184522E-1,-2.557373321E-1,4.491418105E-2
2.581508330E-2,-2.120785117E-3,-4.650129810E-2,-2.953607697E-2
3.583708336E-2,1.654200697E-1,1.086406821E-1,2.953012012E-2
4.585908330E-2,2.918362874E-1,1.449796656E-1,1.360839310E-1
5.588208337E-2,2.727451283E-1,1.379551131E-1,1.716777599E-1
6.590408331E-2,3.124845600E-1,1.646453136E-1,1.484578087E-1
7.592708338E-2,2.183981824E-1,1.246180527E-1,1.311711004E-1
8.594908332E-2,2.044771314E-3,5.955915391E-2,1.291409471E-1
9.597208328E-2,-1.956811649E-1,7.802670747E-2,2.714043617E-2
1.059940833E-1,-3.679606032E-1,1.122856902E-1,-2.016663748E-1
1.160160833E-1,-3.978328586E-1,9.894336730E-2,-3.679805569E-1
1.260390833E-1,-4.136261880E-1,4.184998423E-2,-4.493200044E-1
1.360610833E-1,-3.623753428E-1,4.662511289E-2,-4.803943741E-1
1.460840834E-1,-2.654425406E-1,6.785079807E-2,-4.979301008E-1
1.561060833E-1,-1.500506634E-1,7.831599846E-2,-4.490358297E-1
1.661290834E-1,2.389581621E-2,2.555043206E-2,-3.561855534E-1
1.761510833E-1,2.139350027E-1,-5.149657443E-2,-2.392780779E-1
1.861730834E-1,2.598724830E-1,-7.765614018E-2,-8.389943160E-2
1.961960833E-1,2.058781242E-1,-1.198904327E-1,-4.560009599E-2
2.062180833E-1,2.761464536E-1,-1.878704542E-1,-9.525348186E-2
2.162410833E-1,3.590658188E-1,-1.940578316E-1,-1.042634565E-1
2.262630833E-1,2.698174274E-1,-1.211450990E-1,-1.304917270E-1
2.362860834E-1,9.639251947E-2,-1.257025650E-1,-1.034185338E-1
2.463080833E-1,-7.865089774E-3,-1.854062913E-1,3.744608067E-2
2.563300834E-1,3.988912046E-2,-2.505974834E-1,1.897655368E-2
2.663530833E-1,2.135256976E-1,-2.715601900E-1,-6.901468635E-2
2.763750834E-1,3.517614770E-1,-3.167376785E-1,2.315373145E-2
2.863980833E-1,3.707321835E-1,-3.496941939E-1,1.252035052E-1
2.964200834E-1,2.604630518E-1,-4.386372145E-1,2.489581434E-1
3.064430833E-1,1.345532030E-1,-6.135253881E-1,4.324758571E-1
3.164650833E-1,1.614498103E-1,-8.628217198E-1,5.578875232E-1
3.264880833E-1,2.342874062E-1,-1.020749898E0,6.876676440E-1
3.365100833E-1,3.441864091E-1,-9.916484521E-1,9.004302800E-1
3.465320833E-1,4.991551656E-1,-1.019963302E0,1.234359503E0
3.565550833E-1,-1.272704959E-2,-1.207459680E0,1.575406542E0
3.665770834E-1,-4.933991665E-1,-1.322014675E0,1.683110501E0
3.766000833E-1,1.563469452E-1,-3.723490848E-1,1.466410934E0
3.866220834E-1,1.144609421E0,3.126617306E-1,1.210985844E0
3.966450833E-1,9.542100459E-1,8.322336191E-1,1.196713960E0
4.066670833E-1,8.751422417E-1,1.239792151E0,1.220676434E0
4.166900833E-1,3.130423844E-2,1.352880664E0,6.912350303E-1
4.267120833E-1,4.737671399E-1,1.119206923E0,3.346993017E-1
4.367340833E-1,9.570687497E-1,7.819614516E-1,-2.440762299E-1
4.467570833E-1,7.220089263E-1,4.200085701E-1,-4.472571067E-1
4.567790834E-1,1.921512008E-2,1.502585319E-1,-4.836851871E-1
4.668020833E-1,-1.019675472E0,-6.167058349E-2,-5.409113751E-1
4.768240834E-1,-2.165392356E0,-1.607862975E-1,-5.525256995E-1
4.868470833E-1,-3.156633403E0,-3.358892101E-1,-3.583641529E-1
4.968690834E-1,-3.898352709E0,-8.900697447E-1,-1.145172800E-1
5.068920833E-1,-4.067023246E0,-1.567420854E0,-4.032115661E-1
5.169140833E-1,-3.219157680E0,-1.833020538E0,-7.602783680E-1
5.269360833E-1,-1.553843181E0,-1.655219574E0,-9.070020387E-1
5.369590833E-1,1.841849542E-1,-1.090031510E0,-8.634840631E-1
5.469810833E-1,1.563562422E0,-3.825437053E-1,-4.099401033E-1
5.570040833E-1,2.394349440E0,1.394920537E-1,3.002831386E-1
5.670260834E-1,2.785339302E0,1.600144650E-1,6.422944200E-1
5.770490833E-1,2.790119986E0,-1.148309831E-1,4.998527384E-1
5.870710834E-1,2.345782467E0,-3.124898225E-1,5.515894872E-1
5.970940833E-1,1.373601589E0,-1.492969573E-1,6.608289242E-1
6.071160834E-1,2.571500194E-1,3.868680136E-1,6.928780979E-1
6.171380833E-1,-5.861862928E-1,1.091682325E0,6.683718324E-1
6.271610833E-1,-7.496329272E-1,1.817539450E0,6.009131267E-1
