"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.845708380E-3,3.283059561E-1,-7.190949664E-1,3.283211589E-2
1.986970834E-2,5.300003976E-1,-5.846967146E-1,1.126539186E-1
2.989270841E-2,1.543875432E-1,-2.939702287E-1,3.546403536E-1
3.991570836E-2,-2.890933585E-1,7.406083345E-2,4.019911060E-1
4.993870831E-2,-2.719031292E-1,4.638599101E-1,2.114458430E-1
5.996170838E-2,-1.730588722E-1,5.904936442E-1,5.552077442E-2
6.998470833E-2,-2.353761578E-1,4.267596191E-1,-1.012676355E-1
8.000770840E-2,-3.659134930E-1,1.530377135E-1,-1.640181997E-1
9.003070835E-2,-5.296203285E-1,1.975627989E-2,-2.524266386E-1
1.000537083E-1,-5.768693393E-1,9.972163171E-2,-3.237381113E-1
1.100767084E-1,-5.187065005E-1,2.128789955E-1,-2.963968232E-1
1.200997083E-1,-5.024413007E-1,1.523509580E-1,-2.410277840E-1
1.301227084E-1,-3.349787986E-1,-2.757722318E-2,-7.247594565E-2
1.401457083E-1,-2.560378790E-1,-9.699595213E-2,8.238259077E-2
1.501687084E-1,-2.341067272E-1,-9.183607668E-2,1.111272106E-1
1.601917084E-1,-1.803310543E-1,-1.152617767E-1,6.883108377E-2
1.702147083E-1,-7.966538966E-2,-1.444864529E-1,-5.583535463E-2
1.802377084E-1,-9.887583196E-2,-7.479992151E-2,-2.055758232E-1
1.902607083E-1,-1.062404001E-1,4.188652933E-3,-1.810233647E-1
2.002837084E-1,2.305826104E-1,8.555265874E-2,-3.715145409E-2
2.103067084E-1,5.534296060E-1,2.354542181E-1,-6.882816017E-2
2.203297083E-1,5.432484341E-1,2.386535221E-1,-4.157896578E-2
2.303527084E-1,1.510663247E-1,1.010027567E-1,1.169738415E-1
2.403757083E-1,-4.883740693E-1,-8.493285388E-2,1.733167344E-1
2.503987084E-1,-9.958498228E-1,-2.650089696E-1,2.599420649E-1
2.604217083E-1,-1.186901747E0,-3.844953597E-1,3.019063622E-1
2.704447084E-1,-1.161518984E0,-4.864383486E-1,1.891866624E-1
2.804677084E-1,-1.010907573E0,-5.263151899E-1,-8.882329881E-2
2.904907083E-1,-7.730837703E-1,-4.744714370E-1,-5.535307628E-1
3.005137084E-1,-5.587032098E-1,-3.582109559E-1,-7.561674830E-1
3.105367083E-1,-5.676740080E-1,-2.229265586E-1,-6.677917886E-1
3.205597084E-1,-7.654636788E-1,1.420332536E-1,-2.433447433E-1
3.305827084E-1,-1.020193536E0,1.925102198E-1,-1.746610093E-1
3.406067083E-1,-1.139561520E0,1.558171874E-1,-2.298873764E-1
3.506297084E-1,-1.016807413E0,1.068642980E-1,-3.439226997E-1
3.606527083E-1,-7.365228850E-1,3.875593007E-2,-4.238342571E-1
3.706757084E-1,-4.834483749E-1,-1.011077142E-1,-4.012172270E-1
3.806987084E-1,-1.497009999E-1,-8.799065530E-2,-5.596802795E-1
3.907217083E-1,3.593611032E-1,8.873149753E-3,-7.868984020E-1
4.007447084E-1,7.785468239E-1,1.857137087E-1,-6.601535708E-1
4.107677083E-1,9.956036550E-1,2.929916972E-1,-4.527002066E-1
4.207907084E-1,8.653727138E-1,3.512726498E-1,-3.418983936E-1
4.308137083E-1,5.966469616E-1,4.452847677E-1,-9.133994043E-2
4.408367084E-1,4.821198875E-1,5.763626781E-1,9.762569726E-2
4.508597084E-1,9.231011045E-1,3.941561294E-1,2.288220137E-1
4.608824584E-1,1.544178318E0,7.960457861E-2,1.303677660E-1
4.709054583E-1,1.964783158E0,-1.975990516E-1,-5.671448350E-2
4.809284584E-1,2.187639257E0,-3.804774454E-1,-2.205903035E-1
4.909514583E-1,2.139761671E0,-4.096033037E-1,-2.417923075E-1
5.009744584E-1,1.990190479E0,-1.913641655E-1,-1.497466081E-1
5.109974584E-1,1.880541152E0,1.567094725E-1,3.795836985E-2
5.210204583E-1,1.844837469E0,5.100736713E-1,1.546085680E-1
5.310434584E-1,1.776666536E0,6.769839039E-1,1.723297244E-1
5.410664583E-1,1.580038707E0,6.324535561E-1,1.154152662E-1
5.510894584E-1,1.174255974E0,4.063215539E-1,5.193263054E-2
5.611124584E-1,6.701552331E-1,8.430983305E-2,7.582026064E-2
5.711354583E-1,1.785359591E-1,-1.753962967E-1,1.289398760E-1
5.811584584E-1,-1.669099402E-1,-3.096895909E-1,2.220111769E-1
