"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.763981819E-3,5.237856934E1,4.858092668E0,-1.598250454E0,NaN,NaN,8.319250454E2,3.004672384E1
4.640495777E-2,5.237796436E1,4.858007512E0,-1.598250454E0,NaN,NaN,8.517403177E2,3.005014227E1
8.182950020E-1,5.238115979E1,4.860452896E0,2.530454079E0,NaN,NaN,2.399050651E1,3.000000000E1
7.645200968E0,5.238113361E1,4.860522473E0,2.546599333E0,NaN,NaN,2.395696883E1,3.000000000E1
1.449273396E1,5.238114403E1,4.860482924E0,2.518448428E0,NaN,NaN,2.395705096E1,3.000000000E1
2.100102496E1,5.238112605E1,4.860549531E0,2.563020184E0,NaN,NaN,2.395271179E1,3.000000000E1
2.242047191E1,5.238112619E1,4.860549116E0,3.005580902E0,NaN,NaN,8.002607727E1,4.800000000E1
2.302002907E1,5.238115017E1,4.860658144E0,3.108119965E0,NaN,NaN,8.546223204E1,4.800000000E1
2.402278805E1,5.238118162E1,4.860979366E0,4.622054672E1,5.600000024E-1,NaN,3.055780310E1,2.400000000E1
2.502519894E1,5.238116229E1,4.861003984E0,4.558803558E0,1.500000060E-1,NaN,1.399424631E1,4.000000000E0
2.602556705E1,5.238115602E1,4.860989626E0,8.908596039E0,3.199999928E-1,NaN,1.399998446E1,4.000000000E0
2.702342296E1,5.238115137E1,4.860979296E0,1.233620834E1,0.000000000E0,NaN,1.399999996E1,4.000000000E0
2.800160563E1,5.238114563E1,4.860968403E0,1.425234604E1,2.800000012E-1,NaN,1.400000000E1,4.000000000E0
2.900162315E1,5.238113981E1,4.860958932E0,1.556002426E1,0.000000000E0,NaN,1.400000000E1,4.000000000E0
3.000163507E1,5.238112971E1,4.860948958E0,1.660274887E1,7.300000191E-1,1.750781250E2,1.400000000E1,4.000000000E0
3.100165641E1,5.238111785E1,4.860940743E0,1.718874741E1,6.800000072E-1,1.831640625E2,1.400000000E1,4.000000000E0
