"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.845708380E-3,5.636731110E-1,2.172923765E-1,-7.863196756E-1,-1.294528440E-1,1.113795992E2,1.264274904E2,-5.611890633E1,-1.189818952E2
1.986970834E-2,5.644035581E-1,2.179296158E-1,-7.856106181E-1,-1.295036310E-1,1.112782329E2,1.262319915E2,-5.613547975E1,-1.187369454E2
2.989270841E-2,5.645980025E-1,2.182864310E-1,-7.853638905E-1,-1.295525002E-1,1.112512389E2,1.261631126E2,-5.612655156E1,-1.186417508E2
3.991570836E-2,5.643528765E-1,2.184404145E-1,-7.854878233E-1,-1.296095671E-1,1.112852681E2,1.261951254E2,-5.609470012E1,-1.186648980E2
4.993870831E-2,5.637688265E-1,2.184121339E-1,-7.858794939E-1,-1.298240313E-1,1.113663199E2,1.262857797E2,-5.603699200E1,-1.187750026E2
5.996170838E-2,5.629310525E-1,2.182018844E-1,-7.864683908E-1,-1.302459423E-1,1.114825142E2,1.264104597E2,-5.595674089E1,-1.189517556E2
6.998470833E-2,5.618866747E-1,2.178251759E-1,-7.872251796E-1,-1.308131336E-1,1.116272509E2,1.265663845E2,-5.586052641E1,-1.191859329E2
8.000770840E-2,5.607096818E-1,2.173070225E-1,-7.880986309E-1,-1.314648503E-1,1.117902176E2,1.267447362E2,-5.575639846E1,-1.194616123E2
9.003070835E-2,5.594742312E-1,2.166033387E-1,-7.890487051E-1,-1.321881745E-1,1.119611097E2,1.269348418E2,-5.565343485E1,-1.197709593E2
1.000537083E-1,5.581711982E-1,2.157527100E-1,-7.900720517E-1,-1.329730963E-1,1.121411639E2,1.271371442E2,-5.554920576E1,-1.201102578E2
1.100767084E-1,5.567374467E-1,2.148258165E-1,-7.911961081E-1,-1.337989638E-1,1.123390613E2,1.273618251E2,-5.543570370E1,-1.204817883E2
1.200997083E-1,5.550887041E-1,2.139188374E-1,-7.924576265E-1,-1.346330921E-1,1.125663506E2,1.276226598E2,-5.530235558E1,-1.208881858E2
1.301227084E-1,5.531755322E-1,2.130858681E-1,-7.938794715E-1,-1.354496451E-1,1.128297166E2,1.279280864E2,-5.514335613E1,-1.213310097E2
1.401457083E-1,5.510008602E-1,2.122903674E-1,-7.954726435E-1,-1.362136621E-1,1.131285934E2,1.282830586E2,-5.496270568E1,-1.218154311E2
1.501687084E-1,5.485376720E-1,2.114463557E-1,-7.972684996E-1,-1.369666999E-1,1.134665022E2,1.286905449E2,-5.475991270E1,-1.223552775E2
1.601917084E-1,5.459113754E-1,2.106755741E-1,-7.991518737E-1,-1.376695407E-1,1.138260683E2,1.291232627E2,-5.454041983E1,-1.229096709E2
