"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.759041666E-3,5.668394268E-2,-1.060959101E-1,1.150680184E-1
1.878204162E-2,6.885432452E-2,-1.522138715E-1,1.495743245E-1
2.880504157E-2,7.896275818E-2,-2.008311599E-1,1.578738838E-1
3.882804164E-2,8.671841770E-2,-2.599956989E-1,1.360617876E-1
4.885204160E-2,9.117744863E-2,-3.195233941E-1,1.076151431E-1
5.887504166E-2,9.515222162E-2,-3.292391300E-1,8.364269882E-2
6.889804162E-2,1.018157601E-1,-3.103055060E-1,7.188733667E-2
7.892104157E-2,1.039825082E-1,-3.002198339E-1,5.345879123E-2
8.894404164E-2,9.726320207E-2,-2.840437591E-1,1.614896581E-2
9.896704159E-2,7.751772553E-2,-2.508850098E-1,-2.346076071E-2
1.089900417E-1,5.306531861E-2,-2.007609308E-1,-4.462812468E-2
1.190130416E-1,3.011180088E-2,-1.445405483E-1,-4.456367344E-2
1.290360417E-1,1.459109411E-2,-1.033573002E-1,-3.050554916E-2
1.390600416E-1,2.995957155E-3,-7.027710974E-2,-1.711837202E-2
1.490830416E-1,4.909628071E-3,-6.868636608E-2,2.334908582E-3
1.591060417E-1,2.728950232E-2,-7.786335796E-2,2.676168829E-2
1.691290416E-1,5.477318540E-2,-1.049421504E-1,3.788031265E-2
1.791520417E-1,7.925163209E-2,-1.557526141E-1,4.954202846E-2
1.891750416E-1,9.970735013E-2,-1.981477290E-1,5.543126911E-2
1.991980416E-1,1.119682714E-1,-2.213672996E-1,5.936422572E-2
2.092210416E-1,1.248332858E-1,-2.606913149E-1,5.733467638E-2
2.192440416E-1,1.512957811E-1,-3.135673106E-1,7.052239031E-2
2.292670417E-1,1.810284406E-1,-3.543910086E-1,9.164221585E-2
2.392910416E-1,1.959384233E-1,-3.645528555E-1,1.303965449E-1
2.493140416E-1,1.974954009E-1,-3.619297147E-1,1.715061367E-1
2.593370416E-1,2.142698616E-1,-4.382956028E-1,1.626332849E-1
2.693600416E-1,2.943007946E-1,-6.571291089E-1,2.951592766E-2
2.793830417E-1,3.619331121E-1,-6.836336851E-1,-9.636797011E-2
2.894060416E-1,2.475691289E-1,-5.500128269E-1,-1.099726036E-1
2.994290416E-1,1.570813060E-1,-5.805694461E-1,-2.209201455E-2
3.094520416E-1,2.155062854E-1,-5.687228441E-1,4.511912540E-2
3.194750416E-1,2.744143307E-1,-5.749655366E-1,1.350317001E-1
3.294980417E-1,3.023813963E-1,-5.193979144E-1,2.278374732E-1
3.395220416E-1,2.771716416E-1,-3.190592229E-1,2.776644230E-1
3.495450416E-1,2.193213701E-1,-1.169353500E-1,2.756846845E-1
3.595680416E-1,1.656661332E-1,-1.068401057E-2,2.183960974E-1
3.695910416E-1,1.284502447E-1,4.538736492E-2,1.263879687E-1
3.796140417E-1,1.214328259E-1,7.576470822E-2,3.064147569E-2
3.896370416E-1,1.186036244E-1,-3.988061100E-3,-3.107333928E-2
3.996600417E-1,1.286503971E-1,-1.834118664E-1,3.032433800E-3
4.096830416E-1,1.067980975E-1,-2.198036760E-1,1.172364131E-1
4.197060416E-1,5.366856605E-2,-5.878869444E-2,2.048805207E-1
4.297290416E-1,-4.838529974E-3,1.692004502E-1,2.092511207E-1
4.397530416E-1,-3.907213360E-2,3.197124898E-1,1.659403890E-1
4.497760417E-1,-5.575460568E-2,3.693321645E-1,1.168845594E-1
4.597990416E-1,-8.452020586E-2,3.810061514E-1,8.314603567E-2
4.698220416E-1,-1.246989816E-1,3.904557228E-1,7.256626338E-2
