"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.759041666E-3,4.593075885E-1,2.795244532E-1,-8.350107707E-1,-1.168751918E-1,1.253151270E2,1.406270192E2,-4.456473049E1,-1.263020735E2
1.878204162E-2,4.587548115E-1,2.790322833E-1,-8.355331176E-1,-1.164872090E-1,1.253864262E2,1.407679811E2,-4.455569789E1,-1.264517786E2
2.880504157E-2,4.580094445E-1,2.784462103E-1,-8.361966565E-1,-1.160611465E-1,1.254825300E2,1.409416043E2,-4.453447964E1,-1.266384557E2
3.882804164E-2,4.570207637E-1,2.778845825E-1,-8.369744977E-1,-1.156980936E-1,1.256099414E2,1.411346898E2,-4.448544201E1,-1.268465503E2
4.885204160E-2,4.557473389E-1,2.774031812E-1,-8.378621103E-1,-1.154512395E-1,1.257739407E2,1.413419917E2,-4.439923268E1,-1.270700891E2
5.887504166E-2,4.542944211E-1,2.770297180E-1,-8.387950308E-1,-1.152998796E-1,1.259609095E2,1.415516907E2,-4.428571441E1,-1.272934868E2
6.889804162E-2,4.528584042E-1,2.767430983E-1,-8.396856148E-1,-1.151546310E-1,1.261455507E2,1.417528442E2,-4.416930046E1,-1.275010250E2
7.892104157E-2,4.514690017E-1,2.765338814E-1,-8.405245057E-1,-1.149924816E-1,1.263240546E2,1.419454938E2,-4.405454697E1,-1.276917743E2
8.894404164E-2,4.501157297E-1,2.764384398E-1,-8.412953083E-1,-1.148901279E-1,1.264977814E2,1.421194297E2,-4.393488457E1,-1.278587430E2
9.896704159E-2,4.488571931E-1,2.764969607E-1,-8.419469618E-1,-1.149000219E-1,1.266592275E2,1.422594224E2,-4.381156828E1,-1.279878515E2
1.089900417E-1,4.477939967E-1,2.766629982E-1,-8.424424612E-1,-1.150161786E-1,1.267955262E2,1.423574253E2,-4.369663199E1,-1.280752760E2
1.190130416E-1,4.469844717E-1,2.768484233E-1,-8.427882551E-1,-1.151862096E-1,1.268992505E2,1.424184023E2,-4.360227401E1,-1.281298268E2
