"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.759233327E-2,-5.709741765E-1,2.338360012E-1,1.163788873E-1
3.761433333E-2,-6.477370083E-2,1.339728668E-2,2.677516061E-1
4.763533326E-2,3.281170911E-1,-7.684089214E-2,3.529496312E-1
5.765733332E-2,5.203875750E-1,-9.441952273E-2,3.356377798E-1
6.767833326E-2,5.876059967E-1,-9.128249153E-2,2.597075915E-1
7.770033332E-2,4.736806011E-1,-5.808770210E-2,1.765484905E-1
8.772233326E-2,2.573839080E-1,-5.839365765E-2,1.761733916E-1
9.774333332E-2,1.643067598E-1,-7.890846759E-2,2.177260450E-1
1.077653333E-1,2.187928694E-1,-1.197329964E-1,2.250488055E-1
1.177873333E-1,3.293596244E-1,-1.370955724E-1,2.291284078E-1
1.278083334E-1,4.120527023E-1,-1.410649547E-1,1.784815800E-1
1.378303333E-1,4.015458405E-1,-1.718974690E-1,1.042693037E-1
1.478523333E-1,1.967669928E-1,-1.772060099E-1,5.636540473E-2
1.578733333E-1,-3.567327797E-2,-1.800001019E-1,-5.316083819E-2
1.678953333E-1,-1.403290826E-1,-1.880466016E-1,-1.631215292E-1
1.779163333E-1,-1.984597617E-1,-1.907157093E-1,-2.785786030E-1
1.879383334E-1,-2.520787293E-1,-1.564434242E-1,-3.040628153E-1
1.979603333E-1,-3.245280701E-1,-1.226621591E-1,-2.425506914E-1
2.079813334E-1,-4.141635472E-1,-4.662876740E-2,-1.273792541E-1
2.180033333E-1,-4.047080147E-1,4.663841531E-2,1.599125773E-2
2.280253334E-1,-3.896952885E-1,6.541689456E-2,1.435152304E-1
2.380463333E-1,-4.544912088E-1,1.209658818E-1,2.381044686E-1
2.480683334E-1,-1.615176380E-1,6.752642378E-2,3.536624068E-1
2.580903333E-1,7.198226523E-1,-4.408560866E-1,4.638759899E-1
2.681113334E-1,1.817020510E0,-9.835336863E-1,5.316113055E-1
2.781333333E-1,2.147338493E0,-6.767226796E-1,7.182965291E-1
2.881543334E-1,1.834473279E0,-2.673624739E-2,8.099650830E-1
2.981763333E-1,1.205150907E0,5.626857483E-1,6.643556723E-1
3.081983334E-1,6.481299412E-1,7.638742594E-1,4.394714659E-1
3.182193333E-1,2.157704437E-1,6.685128964E-1,2.354884243E-1
3.282413334E-1,-7.502036154E-2,4.030346878E-1,1.244457060E-1
3.382633333E-1,-2.261989528E-1,1.062767990E-1,-4.454993606E-3
3.482843334E-1,-2.879180682E-1,-8.157816008E-2,-1.651136756E-1
3.583063333E-1,-3.133651507E-1,-9.861066073E-2,-3.132908911E-1
3.683273334E-1,-3.612819135E-1,-5.490535498E-3,-4.071001107E-1
3.783493333E-1,-4.407794881E-1,1.294158393E-1,-3.854168808E-1
3.883713334E-1,-4.917929363E-1,2.408314638E-1,-3.072308367E-1
3.983923333E-1,-4.697810930E-1,2.436046520E-1,-1.802696586E-1
4.084143334E-1,-3.493430686E-1,1.641661343E-1,-6.861239791E-2
4.184363333E-1,-1.626917589E-1,2.101021528E-2,7.598807573E-2
4.284573334E-1,5.354880095E-2,-1.088019191E-1,1.704007280E-1
4.384793333E-1,1.865542459E-1,-2.234362896E-1,2.065172249E-1
4.485003334E-1,2.606180030E-1,-2.616490133E-1,2.061511892E-1
4.585223333E-1,2.938184935E-1,-2.816926838E-1,1.753346086E-1
4.685443334E-1,2.711704731E-1,-2.660298935E-1,1.754375196E-1
4.785653333E-1,1.845012885E-1,-2.739000995E-1,1.954291499E-1
4.885873334E-1,7.159974039E-2,-2.374646370E-1,2.430172992E-1
4.986093333E-1,-3.154631317E-2,-2.199361463E-1,2.479198971E-1
5.086303334E-1,-9.980612397E-2,-2.262081622E-1,2.209630635E-1
5.186523333E-1,-1.490578061E-1,-2.327126049E-1,1.948485214E-1
5.286733333E-1,-1.412862718E-1,-2.383871815E-1,1.332627225E-1
5.386953333E-1,-9.686672866E-2,-2.025345401E-1,6.185740203E-2
5.487173334E-1,2.245330811E-3,-1.334942722E-1,9.653869987E-2
5.587383333E-1,9.131538212E-2,-2.528964624E-2,2.683491915E-1
5.687603333E-1,1.352420050E-1,4.915885761E-2,4.641320980E-1
5.787823333E-1,1.951151544E-1,3.664303869E-2,5.923407796E-1
5.888033333E-1,2.607922500E-1,-2.616775185E-3,6.397807020E-1
5.988249583E-1,3.756303960E-1,-9.005823076E-2,6.779554188E-1
6.088469583E-1,5.064022046E-1,-2.136996523E-1,7.052937832E-1
6.188679583E-1,6.119836235E-1,-3.162903665E-1,7.678423262E-1
6.288899584E-1,6.709568864E-1,-3.949911118E-1,8.266887045E-1
6.389109583E-1,6.383954966E-1,-4.417106572E-1,8.468291464E-1
6.489329584E-1,5.328895068E-1,-4.440330251E-1,8.175436592E-1
6.589549583E-1,4.104084653E-1,-4.217852466E-1,7.748016822E-1
6.689759584E-1,2.994066775E-1,-4.346545297E-1,6.881307435E-1
6.789979583E-1,2.346218669E-1,-4.822130044E-1,5.451566729E-1
6.890199584E-1,2.331770200E-1,-5.042711869E-1,3.858139068E-1
6.990409583E-1,2.342341965E-1,-4.882904541E-1,2.477786869E-1
7.090629584E-1,2.375185776E-1,-3.728430283E-1,1.661164731E-1
7.190839583E-1,2.246348226E-1,-1.770481351E-1,1.390587750E-1
7.291059584E-1,2.319765866E-1,-1.761517569E-2,1.578011477E-1
7.391279583E-1,2.619991153E-1,-1.879002750E-2,1.753264225E-1
7.491489584E-1,2.899084604E-1,-2.247829033E-1,2.062488377E-1
7.591709583E-1,2.707740319E-1,-5.185772771E-1,2.851201755E-1
7.691929584E-1,1.790826738E-1,-7.606679387E-1,3.857127500E-1
7.792139583E-1,8.170022070E-2,-8.508613864E-1,4.842587990E-1
7.892359584E-1,1.632133305E-2,-7.358068934E-1,4.784308791E-1
7.992569583E-1,6.412056684E-3,-5.288930811E-1,2.936123791E-1
8.092789584E-1,6.934797764E-4,-2.040958929E-1,5.564298123E-2
8.193009583E-1,3.275142431E-2,9.829169512E-2,-1.904695415E-1
8.293219584E-1,1.236452222E-1,1.900469340E-1,-3.309243393E-1
8.393439583E-1,2.199506181E-1,9.267749101E-2,-3.279606780E-1
8.493659584E-1,3.145258230E-1,-1.282203761E-1,-2.386658013E-1
8.593869583E-1,3.353869343E-1,-2.934799397E-1,-1.242811069E-1
8.694089584E-1,2.456181407E-1,-3.412417513E-1,-1.674788743E-2
8.794299583E-1,1.623151982E-1,-3.257198788E-1,-6.840774536E-2
8.894519584E-1,7.469467163E-2,-3.132992233E-1,-1.564843547E-1
8.994739583E-1,-6.993854642E-3,-3.075610583E-1,-2.341537973E-1
9.094949584E-1,-5.044568360E-2,-2.886415149E-1,-2.313412866E-1
9.195169583E-1,-1.077729553E-1,-1.954481533E-1,-1.487607676E-1
9.295389584E-1,-1.172980696E-1,-4.809714943E-2,-5.914429396E-2
9.395599583E-1,-8.326025784E-2,4.684920743E-2,4.002126753E-2
9.495819584E-1,-3.825248480E-3,9.227271751E-2,1.824310818E-1
9.596029583E-1,1.346607918E-1,8.006782427E-2,2.744636250E-1
9.696249584E-1,2.167445898E-1,8.065254584E-2,3.357389367E-1
9.796469583E-1,2.046841228E-1,1.464603268E-1,3.309009504E-1
9.896679583E-1,7.770715714E-2,2.559368683E-1,2.891179168E-1
9.996899583E-1,-1.026046014E-1,3.620743574E-1,3.157744959E-1
1.009711958E0,-2.667874002E-1,3.776324826E-1,3.373153460E-1
1.019732958E0,-3.780219072E-1,2.997808993E-1,4.047197092E-1
1.029754958E0,-4.220713216E-1,1.825107501E-1,5.597916690E-1
1.039775958E0,-3.718513405E-1,6.394251913E-2,6.348006284E-1
1.049797958E0,-2.704606211E-1,2.839261740E-2,6.400447038E-1
1.059819958E0,-1.373668832E-1,1.111986928E-1,5.266236305E-1
1.069840958E0,5.684019864E-2,2.750617951E-1,3.743174037E-1
1.079862958E0,3.036833310E-1,4.563741584E-1,1.772209203E-1
1.089884958E0,4.797845095E-1,5.500857295E-1,4.889441729E-2
1.099905958E0,5.292238873E-1,5.282842398E-1,2.914749295E-2
1.109927958E0,4.232091898E-1,4.308200718E-1,1.006662494E-1
1.119948958E0,9.075346470E-2,2.679825711E-1,1.435476825E-1
1.129970958E0,-1.962103379E-1,9.688924044E-2,1.079147503E-1
1.139992958E0,-4.220081717E-1,-1.028798591E-1,1.134307212E-1
1.150013958E0,-5.738118303E-1,-2.476037090E-1,1.222389668E-1
1.160035958E0,-6.145470428E-1,-2.441773868E-1,6.022573650E-2
1.170057958E0,-6.012417036E-1,-1.626003961E-1,6.087828577E-2
1.180078958E0,-5.342086387E-1,-7.483427390E-2,6.056545973E-2
1.190100958E0,-3.948852772E-1,-4.010956049E-2,1.164841372E-1
1.200121958E0,-2.456163865E-1,-6.189292386E-2,1.873743179E-1
1.210143958E0,-5.180574596E-2,-1.852516325E-1,1.362205365E-1
1.220165958E0,1.513604397E-1,-3.755130132E-1,9.747483909E-2
1.230186958E0,3.416136342E-1,-5.328316194E-1,1.135616988E-1
1.240208958E0,4.132923120E-1,-6.935639763E-1,-3.744966209E-2
1.250230958E0,4.405660647E-1,-8.555243947E-1,-2.810674703E-1
1.260251958E0,4.715346730E-1,-8.709258145E-1,-4.640651473E-1
1.270273958E0,3.966891432E-1,-7.191443753E-1,-4.335681170E-1
1.280294958E0,2.217889827E-1,-5.165110172E-1,-3.062639996E-1
1.290316958E0,-3.754497170E-3,-2.862213524E-1,-1.708913094E-1
1.300338958E0,-1.981492746E-1,-6.090576768E-2,-4.197365284E-2
1.310359958E0,-2.566389728E-1,3.457020074E-2,1.661544800E-2
1.320381958E0,-1.506178433E-1,3.370481282E-3,3.690937936E-2
1.330403958E0,7.758728921E-2,-5.498750836E-2,2.975940406E-2
1.340424958E0,3.640885770E-1,-7.688796222E-2,3.133990645E-2
1.350446958E0,5.893695170E-1,-3.709210485E-2,1.118864715E-2
1.360467958E0,7.190057963E-1,3.375480652E-2,-1.464405924E-1
1.370489958E0,7.556923968E-1,1.396335563E-1,-3.212471974E-1
1.380511958E0,7.441359597E-1,1.600803924E-1,-5.395617646E-1
1.390532958E0,8.005118895E-1,1.148957410E-1,-6.211631674E-1
1.400554958E0,9.747939992E-1,1.637103438E-2,-5.599779028E-1
1.410576958E0,1.306802997E0,-1.265059724E-1,-4.388601395E-1
1.420597958E0,1.698693330E0,-2.633758423E-1,-2.875923783E-1
1.430619958E0,1.883751274E0,-3.112540135E-1,-1.133272254E-1
1.440640958E0,1.776843122E0,-2.651270834E-1,-1.094686478E-2
1.450662958E0,1.335590594E0,-1.363307565E-1,8.369646013E-2
1.460684958E0,6.546893477E-1,-3.975521922E-3,2.103111908E-1
1.470705958E0,-1.403056937E-1,1.161333042E-1,2.137990549E-1
1.480727958E0,-8.036723095E-1,1.740578690E-1,1.385839811E-1
1.490749958E0,-1.318013279E0,2.067043358E-1,1.755720055E-1
1.500770958E0,-1.678069616E0,2.801035568E-1,3.943131271E-1
1.510792958E0,-1.811000217E0,3.413414463E-1,5.070649865E-1
1.520813958E0,-1.671739420E0,4.279357865E-1,7.141084608E-1
1.530835958E0,-1.550732462E0,5.227185676E-1,8.375130701E-1
1.540857958E0,-1.542361588E0,6.423040679E-1,7.630519947E-1
1.550878958E0,-1.622448562E0,7.453910646E-1,5.480925599E-1
1.560900958E0,-1.749444823E0,8.076966557E-1,2.314108685E-1
1.570922958E0,-1.905414038E0,8.439470538E-1,-9.380191058E-2
1.580943958E0,-1.979485397E0,8.891749746E-1,-3.635351381E-1
1.590966708E0,-1.832199297E0,1.017436866E0,-6.104189086E-1
1.600987708E0,-1.479446132E0,1.159680912E0,-1.009271229E0
1.611009708E0,-9.599982047E-1,1.311876041E0,-1.500063122E0
1.621031708E0,-3.836247092E-1,1.415669089E0,-2.039494494E0
1.631052708E0,9.968099356E-2,1.373805364E0,-2.335315951E0
1.641074708E0,4.268636996E-1,1.050068715E0,-2.385814260E0
1.651095708E0,5.791205174E-1,4.661537728E-1,-2.162344202E0
1.661117708E0,6.343246651E-1,-9.198254943E-2,-1.683675342E0
1.671139708E0,8.555254179E-1,-4.596908453E-1,-1.093552411E0
1.681160708E0,1.278976098E0,-4.923723954E-1,-4.916043636E-1
1.691182708E0,1.681950413E0,-2.316567439E-1,-4.566821605E-2
1.701204708E0,1.945875016E0,1.149352098E-1,1.337822476E-1
1.711225708E0,2.105709241E0,4.049094513E-1,3.696685749E-1
1.721247708E0,2.107943462E0,5.226054239E-1,8.085740304E-1
1.731268708E0,2.024631749E0,3.743121412E-1,1.243672656E0
1.741290708E0,1.993589466E0,2.923870951E-2,1.418408802E0
1.751312708E0,1.978594281E0,-2.933334669E-1,1.303904825E0
1.761333708E0,1.724514050E0,-3.608524355E-1,1.154417833E0
1.771355708E0,1.251961377E0,-1.991892019E-1,1.221770448E0
1.781376708E0,6.774964124E-1,-7.057589293E-2,1.383030516E0
1.791398708E0,1.987772655E-1,-1.917758095E-1,1.398270114E0
1.801420708E0,-1.005072051E-1,-5.883860153E-1,1.189145616E0
1.811441708E0,-2.684041554E-1,-1.174679604E0,9.213115641E-1
1.821463708E0,-3.387140000E-1,-1.716309237E0,7.010513359E-1
1.831485708E0,-2.894161248E-1,-1.934658010E0,6.372462264E-1
1.841506708E0,-3.281632841E-2,-1.774048153E0,7.433077016E-1
1.851528708E0,5.413656306E-1,-1.390838888E0,7.535049534E-1
1.861549708E0,1.170061766E0,-1.074480255E0,5.456571946E-1
1.871571708E0,1.448207383E0,-9.233627674E-1,1.088272083E-1
1.881593708E0,1.278581995E0,-8.673365012E-1,-2.406009373E-1
1.891614708E0,6.998947567E-1,-8.386354432E-1,-1.530801058E-1
1.901636708E0,-6.928833604E-2,-7.538014072E-1,3.811261940E-1
1.911658708E0,-7.178468782E-1,-6.367109138E-1,8.588554072E-1
1.921679708E0,-1.105092183E0,-5.143596804E-1,1.169391967E0
1.931701708E0,-1.137520257E0,-4.561345688E-1,1.033248322E0
1.941722708E0,-8.769355828E-1,-3.873052391E-1,1.001252650E0
1.951744708E0,-7.816645592E-1,-3.455382854E-1,1.076465677E0
1.961766708E0,-8.245158792E-1,-3.146977311E-1,1.256673063E0
1.971787708E0,-9.815989888E-1,-3.508557433E-1,9.265784436E-1
1.981809708E0,-1.257483487E0,-3.022414076E-1,2.639155403E-1
1.991830708E0,-1.544974709E0,-2.112324196E-1,-6.287285873E-1
2.001852708E0,-1.714134073E0,-3.171494687E-1,-1.319272184E0
2.011874708E0,-1.701430412E0,-7.506711003E-1,-1.289968571E0
2.021895708E0,-1.342861022E0,-1.271836647E0,-9.656182560E-1
2.031917708E0,-8.523386854E-1,-1.583095923E0,-6.011557496E-1
2.041939708E0,-5.072728550E-1,-1.538652407E0,-5.086937284E-1
2.051960708E0,-4.317437857E-1,-1.003329289E0,-7.067930093E-1
2.061982708E0,-7.469619191E-1,-1.616053462E-1,-9.114657301E-1
2.072003708E0,-1.331337329E0,7.976523086E-1,-8.568729088E-1
2.082025708E0,-1.901508683E0,1.662968889E0,-4.598542750E-1
2.092047708E0,-2.054758943E0,2.287316743E0,2.161470044E-1
2.102068708E0,-1.768537152E0,2.504281188E0,1.286336573E0
2.112090708E0,-1.196979423E0,2.099107442E0,2.029999200E0
2.122111708E0,-4.182104051E-1,1.334921672E0,1.858986561E0
2.132133708E0,4.908158666E-1,6.470400202E-1,1.255753296E0
2.142155708E0,1.319787909E0,2.938988927E-1,9.052866849E-1
2.152176708E0,1.927859160E0,2.319359484E-1,7.561797622E-1
2.162198708E0,1.938046179E0,8.220571250E-2,4.455493543E-1
2.172220708E0,1.435868588E0,-1.491013679E-1,2.083593902E-1
2.182241708E0,8.426106727E-1,-5.950530106E-1,-1.126992345E-2
2.192263708E0,5.871925986E-1,-1.241791607E0,-2.895304379E-1
2.202284708E0,6.549483794E-1,-1.646154636E0,1.304835409E-2
2.212306708E0,8.106620711E-1,-1.531101897E0,9.147843173E-1
2.222328708E0,9.104366201E-1,-7.893469235E-1,1.483781258E0
2.232349708E0,8.605008137E-1,1.297023529E-1,1.152673608E0
2.242371708E0,7.369959247E-1,5.500686264E-1,3.909942475E-1
2.252393708E0,6.473610324E-1,2.955404985E-1,-4.315069735E-1
2.262414708E0,6.017457336E-1,-2.301464081E-1,-7.940311280E-1
2.272436708E0,4.896774137E-1,-6.441731304E-1,-4.962964618E-1
2.282457708E0,3.077126473E-1,-7.781568146E-1,1.343938664E-1
2.292479708E0,1.925838947E-1,-6.388679516E-1,5.151338518E-1
2.302501708E0,2.209154087E-1,-4.413367277E-1,5.458834818E-1
2.312522708E0,3.384163767E-1,-3.478505668E-1,5.140404224E-1
2.322544708E0,6.028941268E-1,-3.088475919E-1,4.660189945E-1
2.332565708E0,1.058255986E0,-2.182520020E-1,4.752640271E-1
2.342587708E0,1.477728805E0,-8.077285230E-2,5.160638514E-1
2.352609708E0,1.649651563E0,5.475420445E-2,5.623682445E-1
2.362630708E0,1.607797778E0,8.827863067E-2,4.790167701E-1
2.372652708E0,1.363933802E0,7.128106713E-2,3.334456587E-1
2.382674708E0,9.474576813E-1,1.746735808E-1,1.992894816E-1
2.392695708E0,4.348942655E-1,3.512986699E-1,3.383491337E-2
2.402717708E0,-1.902754140E-1,5.319080517E-1,-1.366815895E-1
2.412738708E0,-8.065660965E-1,5.528685656E-1,-7.386761221E-1
2.422760708E0,-1.206533189E0,4.199101907E-1,-1.474791164E0
2.432782708E0,-1.366617674E0,8.492379069E-2,-2.135584128E0
2.442803708E0,-1.328258770E0,-3.361476570E-1,-2.758887084E0
2.452825708E0,-1.219761930E0,-4.147067535E-1,-2.974575374E0
2.462847708E0,-1.261173665E0,5.644668102E-2,-2.521432241E0
2.472868708E0,-1.474821569E0,8.384436545E-1,-1.830398939E0
2.482890708E0,-1.703548858E0,1.483216417E0,-1.163846760E0
2.492911708E0,-1.751981930E0,1.766712528E0,-4.241459137E-1
2.502933708E0,-1.447170087E0,1.613253230E0,3.255647814E-1
2.512955708E0,-6.958765501E-1,1.141599859E0,9.161703998E-1
2.522976708E0,5.196227592E-1,6.235900542E-1,1.144863775E0
2.532998708E0,1.738264947E0,4.034216273E-1,1.059194172E0
2.543019708E0,2.517152663E0,5.664811760E-1,2.902525690E-1
2.553041708E0,2.658214402E0,8.693128601E-1,-4.712393886E-1
2.563063708E0,2.478468069E0,1.100259167E0,-3.171091229E-1
2.573084708E0,2.247890137E0,1.063087248E0,6.630613911E-1
2.583106708E0,1.998454934E0,7.001815626E-1,1.734324216E0
2.593128333E0,1.782973927E0,3.500666615E-1,1.831017575E0
2.603149333E0,1.059369881E0,3.662619871E-1,1.180135641E0
2.613171333E0,-1.648599064E-1,6.909967563E-1,4.649410602E-1
2.623192333E0,-1.247219869E0,1.090409532E0,-8.542080402E-2
2.633214333E0,-1.667463936E0,1.374294191E0,-4.726041287E-1
2.643236333E0,-1.153519993E0,1.216433110E0,-6.001395035E-1
2.653257333E0,6.479241192E-2,3.454625639E-1,-7.448779714E-1
2.663279333E0,1.390215282E0,-8.785842052E-1,-1.108687929E0
2.673300333E0,2.432855110E0,-1.829282121E0,-1.573587181E0
2.683322333E0,3.113693206E0,-1.951193644E0,-1.500024238E0
2.693344333E0,3.214044875E0,-1.053519741E0,-7.898141161E-1
2.703365333E0,2.482130765E0,3.845865762E-1,-2.228984919E-1
2.713387333E0,1.172777213E0,1.675613785E0,1.479649615E-1
2.723409333E0,-1.219688255E-1,2.131281746E0,2.828625655E-1
2.733430333E0,-1.095539587E0,1.594310298E0,3.192225990E-1
2.743452333E0,-1.523374509E0,4.006737283E-1,2.803318906E-1
2.753473333E0,-1.240899614E0,-1.020484435E0,1.872854403E-1
2.763495333E0,-5.244975829E-1,-2.046076412E0,3.832159889E-1
2.773517333E0,2.509671736E-1,-2.415399124E0,3.120603445E-1
2.783538333E0,8.550786906E-1,-1.873724761E0,1.922371548E-1
2.793560333E0,1.006571862E0,-7.079873031E-1,-1.565296707E-1
2.803581333E0,6.885570055E-1,3.845263499E-1,-5.404052255E-1
2.813603333E0,3.598201096E-2,9.110768902E-1,-6.684244573E-1
2.823625333E0,-8.185423636E-1,7.025476384E-1,-6.473241949E-1
2.833646333E0,-1.563576456E0,-5.718401492E-2,-3.678471673E-1
2.843668333E0,-1.902093405E0,-8.570866245E-1,1.838335365E-2
2.853690333E0,-2.007542676E0,-1.255308031E0,3.651691425E-1
2.863711333E0,-2.045150213E0,-1.056204783E0,4.995115533E-1
2.873733333E0,-1.940400853E0,-3.910620752E-1,2.930732659E-1
2.883754333E0,-1.746424736E0,3.961593854E-1,-1.438944224E-1
2.893776333E0,-1.506897056E0,9.622020203E-1,-4.041808882E-1
2.903798333E0,-1.374125499E0,1.067544288E0,-4.818716732E-1
2.913819333E0,-1.492063254E0,5.961315295E-1,-5.434954789E-1
2.923841333E0,-1.658995999E0,-3.132943994E-1,-4.598007730E-1
2.933862333E0,-1.545723737E0,-1.250320648E0,-3.054293096E-1
2.943884333E0,-1.094690571E0,-1.805987399E0,-1.250687268E-1
2.953906333E0,-4.086385131E-1,-1.761892084E0,1.694391534E-1
2.963927333E0,4.592069882E-1,-1.156095984E0,4.746255112E-1
2.973949333E0,1.503248978E0,-2.689719200E-1,5.353777894E-1
2.983971333E0,2.522237402E0,6.626953554E-1,2.251631185E-1
2.993992333E0,3.002720069E0,1.339079920E0,-1.425843537E-1
3.004014333E0,2.689359012E0,1.649782248E0,-7.530716747E-2
3.014035333E0,1.873512214E0,1.450295716E0,3.865676129E-1
