"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.210791762E-3,3.532047570E-2,2.174508870E-1,-1.089863181E-1
1.623279171E-2,3.359951451E-2,2.044239640E-1,-1.142800972E-1
2.625579177E-2,4.308143258E-2,1.350640655E-1,-9.605022520E-2
3.627779172E-2,5.619895086E-2,7.333656773E-3,-5.567754433E-2
4.630079167E-2,5.882109702E-2,-1.227281988E-1,-7.976069115E-3
5.632279173E-2,4.455284029E-2,-1.916969419E-1,3.547842056E-2
6.634579168E-2,2.993528545E-2,-1.943337470E-1,6.064156815E-2
7.636779174E-2,1.114691049E-2,-1.526900530E-1,5.412495136E-2
8.639079169E-2,-1.088595390E-2,-8.698613197E-2,2.430367470E-2
9.641279175E-2,-2.124485187E-2,-1.154969633E-2,-1.118880697E-2
1.064347917E-1,-2.109731175E-2,5.018823594E-2,-2.274586074E-2
1.164577918E-1,-7.877558470E-3,8.465670049E-2,-2.233560197E-2
1.264797917E-1,9.039374068E-3,9.043949097E-2,-2.560116909E-2
1.365027918E-1,1.204556040E-2,9.806732088E-2,-2.643602900E-2
1.465247917E-1,6.601526402E-3,1.004124954E-1,-2.716467157E-2
1.565477917E-1,7.466562092E-3,8.542571962E-2,-1.936123148E-2
1.665697917E-1,7.052440196E-3,6.698359549E-2,-1.353210397E-2
1.765927917E-1,1.695885090E-3,5.341305956E-2,-4.228368402E-3
1.866147917E-1,3.821477294E-4,3.657735139E-2,5.914546549E-3
1.966367917E-1,-3.150305711E-4,2.012602240E-2,1.839782670E-2
2.066597918E-1,-4.529749509E-3,1.161828823E-2,1.172554307E-2
2.166817917E-1,-8.121185936E-3,9.020959958E-3,-1.426820084E-2
2.267047918E-1,-3.822578117E-3,-9.097014554E-4,-3.086342290E-2
2.367267917E-1,2.191587351E-3,-1.838792115E-2,-2.198086865E-2
2.467497917E-1,7.204188965E-3,-3.945645317E-2,-3.374693915E-3
2.567717917E-1,4.448248073E-3,-6.598611921E-2,1.553983800E-2
2.667947917E-1,-7.049151231E-3,-9.781541675E-2,1.401171647E-2
2.768167917E-1,-1.807834208E-2,-1.107023805E-1,1.321910135E-2
2.868397917E-1,-3.578010574E-2,-5.041506886E-2,2.532769553E-2
2.968617918E-1,-5.122518539E-2,5.112950131E-2,4.494804516E-2
3.068837917E-1,-5.516906083E-2,1.100716516E-1,3.875965998E-2
3.169067918E-1,-5.260045454E-2,1.325428635E-1,1.039164141E-2
3.269287917E-1,-4.053926468E-2,1.561725587E-1,-1.339582726E-3
3.369517918E-1,-3.756291419E-2,2.189399898E-1,3.105575405E-2
3.469737917E-1,-4.277897999E-2,2.723478377E-1,4.692633450E-2
3.569967917E-1,-3.693879768E-2,2.776548266E-1,3.145471588E-2
3.670187917E-1,-2.323017456E-2,2.449911535E-1,1.115343906E-2
3.770417917E-1,-1.965614781E-2,2.224051356E-1,5.731304642E-3
3.870637917E-1,-2.810049802E-2,2.085463107E-1,2.956024837E-3
3.970857917E-1,-3.598118573E-2,1.722523570E-1,1.065231021E-2
4.071087918E-1,-4.031547904E-2,1.263850033E-1,8.927913383E-3
4.171307917E-1,-4.132094979E-2,9.755562246E-2,2.773898654E-3
4.271537918E-1,-4.091189057E-2,8.265843242E-2,-2.592903329E-3
4.371757917E-1,-3.258485720E-2,5.740540102E-2,6.947508082E-4
4.471987918E-1,-1.166705787E-2,2.427274734E-2,3.150718287E-3
4.572207917E-1,-4.046563990E-4,-2.959002508E-3,-8.616357110E-3
4.672437917E-1,-9.125210345E-4,-1.240949612E-2,-2.364004776E-2
4.772657917E-1,-2.454600763E-3,-2.282163315E-2,-4.139396176E-2
4.872877917E-1,6.444085855E-3,-3.271660581E-2,-5.123354122E-2
4.973107917E-1,1.988140866E-2,-4.636879638E-2,-4.280587286E-2
5.073327917E-1,3.330161050E-2,-4.800797254E-2,-2.674807608E-2
5.173557918E-1,4.262503237E-2,-2.470733598E-2,-1.964687370E-2
5.273777917E-1,4.175684229E-2,6.480410229E-3,-2.194065414E-2
5.374007918E-1,3.588688746E-2,3.785780445E-2,-2.786601707E-2
5.474227917E-1,3.301040828E-2,6.421137601E-2,-2.921863645E-2
5.574457917E-1,1.781324670E-2,9.954489022E-2,-2.595589682E-2
5.674677917E-1,1.192526519E-2,1.133179590E-1,-1.462121774E-2
5.774897917E-1,2.667897195E-2,9.129138291E-2,6.441642996E-3
5.875127917E-1,3.489828855E-2,7.807731628E-2,2.507977560E-2
5.975347917E-1,4.030564427E-2,7.061936706E-2,3.058595583E-2
6.075577918E-1,4.435604811E-2,4.650631174E-2,2.858405933E-2
6.175797917E-1,4.921181500E-2,3.547530994E-2,2.947110124E-2
6.276027918E-1,5.247951299E-2,3.456503898E-2,3.283174336E-2
6.376230418E-1,3.392568976E-2,3.413401172E-2,3.927531838E-2
6.476460417E-1,1.124673989E-2,1.314297412E-2,5.220310017E-2
6.576680418E-1,9.407596663E-3,-4.075080156E-2,7.067184150E-2
6.676910417E-1,1.153226756E-2,-1.020482555E-1,8.746733516E-2
6.777130418E-1,2.805461921E-2,-1.625371128E-1,8.575442433E-2
6.877350417E-1,5.154157057E-2,-2.099885195E-1,7.182582468E-2
6.977580417E-1,6.838702410E-2,-2.330027968E-1,5.859866738E-2
7.077800417E-1,8.651702851E-2,-2.577742040E-1,5.664603785E-2
7.178030417E-1,1.084287018E-1,-2.822968364E-1,7.869186997E-2
7.278250417E-1,1.170171276E-1,-2.930088937E-1,1.080657393E-1
7.378480417E-1,1.074481383E-1,-2.918059528E-1,1.377440840E-1
7.478700418E-1,9.885252267E-2,-2.882370353E-1,1.706889719E-1
7.578930417E-1,1.205542609E-1,-2.647559047E-1,1.866041273E-1
7.679150418E-1,1.444164515E-1,-2.120077461E-1,1.723183990E-1
7.779370417E-1,1.543908119E-1,-1.637833416E-1,1.298453361E-1
7.879600417E-1,1.606463194E-1,-1.720351428E-1,1.067924798E-1
7.979820417E-1,1.568921506E-1,-2.293727547E-1,1.300622672E-1
8.080050417E-1,1.699746698E-1,-2.987824678E-1,1.950228959E-1
8.180270417E-1,2.091253102E-1,-3.372162282E-1,2.505235970E-1
8.280500417E-1,2.453794628E-1,-2.974429727E-1,2.638162374E-1
8.380720417E-1,2.662618756E-1,-2.278023958E-1,2.398489118E-1
8.480950417E-1,2.826445699E-1,-1.467035562E-1,2.021191120E-1
8.581170418E-1,3.907671273E-1,-9.088211507E-2,1.562073380E-1
8.681400417E-1,4.424556196E-1,-9.999545664E-2,1.452407092E-1
8.781620418E-1,4.000665843E-1,-1.915813088E-1,2.658382058E-1
8.881840417E-1,3.534050584E-1,-3.744917214E-1,4.251423776E-1
8.982070417E-1,3.705567718E-1,-4.342852235E-1,4.397096932E-1
9.082290417E-1,4.055917263E-1,-2.605983913E-1,3.050115407E-1
9.182520417E-1,4.496795237E-1,-4.334730655E-2,1.646506637E-1
9.282740417E-1,4.829533100E-1,4.343099892E-2,1.288607121E-1
9.382970417E-1,5.266858935E-1,-1.180296391E-2,1.691870838E-1
9.483190418E-1,5.603094101E-1,-1.109548509E-1,2.205434889E-1
9.583420417E-1,6.041122079E-1,-1.608438194E-1,2.512525320E-1
9.683640418E-1,6.561772227E-1,-1.636065692E-1,2.634929717E-1
9.783870417E-1,7.192490101E-1,-1.536263227E-1,2.815202475E-1
9.884090418E-1,7.685089707E-1,-1.507461220E-1,3.117828369E-1
9.984310417E-1,7.606117725E-1,-1.862890720E-1,3.508420587E-1
1.008454042E0,7.103062272E-1,-3.222264051E-1,3.949080408E-1
1.018476042E0,6.246340871E-1,-5.310942531E-1,4.374350309E-1
1.028499042E0,4.781782925E-1,-7.008033991E-1,4.369135797E-1
1.038521042E0,3.700768054E-1,-8.489539027E-1,3.931917548E-1
1.048544042E0,3.318553865E-1,-9.663375020E-1,3.497255147E-1
1.058566042E0,3.412551582E-1,-9.105815887E-1,3.346641958E-1
1.068589042E0,3.486827314E-1,-6.688712239E-1,3.281586170E-1
1.078611042E0,3.822247982E-1,-3.084695041E-1,2.874210477E-1
1.088633042E0,4.309113622E-1,1.062568575E-1,2.060849071E-1
1.098656042E0,4.624731839E-1,4.912663698E-1,1.160781831E-1
1.108678042E0,4.504487514E-1,8.046658039E-1,5.251252279E-2
1.118701042E0,4.678653181E-1,9.792430401E-1,2.539265901E-2
1.128723042E0,5.322155356E-1,1.053263664E0,1.240948215E-2
1.138746042E0,5.821040869E-1,1.089914441E0,-1.887921616E-2
1.148768042E0,5.750863552E-1,9.715647101E-1,-5.744791403E-2
1.158791042E0,5.501944423E-1,6.657317281E-1,-4.902127013E-2
1.168813042E0,5.902310610E-1,2.545250356E-1,3.642119467E-2
1.178836042E0,6.347834468E-1,-8.703446388E-2,1.543644965E-1
1.188858042E0,6.503109932E-1,-2.701717913E-1,2.410138994E-1
1.198880042E0,6.508191228E-1,-3.737342060E-1,2.520921528E-1
1.208903042E0,6.285178065E-1,-4.125425816E-1,2.083867639E-1
1.218925042E0,6.285670400E-1,-3.998395801E-1,1.552747190E-1
1.228948042E0,6.365288496E-1,-3.961721063E-1,1.105887368E-1
1.238970042E0,6.180462241E-1,-4.005749524E-1,9.157362580E-2
1.248993042E0,5.718337297E-1,-3.797940612E-1,1.112285480E-1
1.259015042E0,4.996986687E-1,-2.905070782E-1,1.540299356E-1
1.269038042E0,4.295153022E-1,-1.359960735E-1,1.823955327E-1
1.279060042E0,3.880845606E-1,8.108136058E-2,1.980800480E-1
1.289083042E0,3.703878522E-1,3.244000077E-1,2.358506024E-1
1.299105042E0,3.754198849E-1,5.196186304E-1,3.226983249E-1
1.309127042E0,4.102542996E-1,6.061044931E-1,4.233551621E-1
