"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.233449997E-2,5.781017685E-1,1.319099631E-1,-8.002841699E-1,8.912532744E-2,1.093657168E2,1.782105152E2,-7.158701023E1,-1.599899557E2
2.235650003E-2,5.790679639E-1,1.322980092E-1,-7.995882832E-1,8.852096271E-2,1.092299703E2,1.778715455E2,-7.170524414E1,-1.596720219E2
3.237949999E-2,5.799652493E-1,1.325029693E-1,-7.989640463E-1,8.797547712E-2,1.091038030E2,1.775913038E2,-7.181555084E1,-1.594229214E2
4.240249994E-2,5.805647671E-1,1.325574230E-1,-7.985626397E-1,8.758302674E-2,1.090194497E2,1.774122639E2,-7.188866050E1,-1.592738353E2
5.242450000E-2,5.807384121E-1,1.324892505E-1,-7.984665238E-1,8.741073042E-2,1.089950092E2,1.773616967E2,-7.190859515E1,-1.592437507E2
6.244749995E-2,5.804482943E-1,1.323252360E-1,-7.987045481E-1,8.741188946E-2,1.090358411E2,1.774245566E2,-7.186890475E1,-1.593191368E2
7.247050002E-2,5.796953409E-1,1.321666164E-1,-7.992757011E-1,8.742853747E-2,1.091417652E2,1.775321087E2,-7.176536405E1,-1.594358536E2
8.249249996E-2,5.785799245E-1,1.321401271E-1,-8.001020533E-1,8.729784009E-2,1.092985521E2,1.775999899E2,-7.160745364E1,-1.595127370E2
9.251550003E-2,5.772486531E-1,1.322913921E-1,-8.010772893E-1,8.693754776E-2,1.094854814E2,1.775828325E2,-7.141353850E1,-1.595079354E2
1.025385000E-1,5.757889602E-1,1.325903186E-1,-8.021388630E-1,8.637166309E-2,1.096901954E2,1.774885423E2,-7.119648651E1,-1.594301602E2
1.125604999E-1,5.742495887E-1,1.329593564E-1,-8.032497696E-1,8.572593123E-2,1.099058053E2,1.773663716E2,-7.096645957E1,-1.593249146E2
1.225835000E-1,5.726464912E-1,1.333577285E-1,-8.043935508E-1,8.510447595E-2,1.101300388E2,1.772528320E2,-7.072845297E1,-1.592235713E2
1.326064999E-1,5.710726436E-1,1.337999121E-1,-8.054909915E-1,8.460495150E-2,1.103498833E2,1.771632940E2,-7.049768618E1,-1.591325560E2
1.426285000E-1,5.696469210E-1,1.342843480E-1,-8.064573345E-1,8.424204606E-2,1.105487837E2,1.770911824E2,-7.029084185E1,-1.590446496E2
1.526515000E-1,5.683732433E-1,1.347646113E-1,-8.072993021E-1,8.401331511E-2,1.107262704E2,1.770440737E2,-7.010851276E1,-1.589715342E2
1.626745000E-1,5.671706883E-1,1.351733304E-1,-8.080871320E-1,8.390944420E-2,1.108936721E2,1.770387062E2,-6.993955983E1,-1.589360325E2
1.726965000E-1,5.660453675E-1,1.354524058E-1,-8.088304549E-1,8.389583077E-2,1.110501700E2,1.770756602E2,-6.978411402E1,-1.589464582E2
1.827199999E-1,5.651242270E-1,1.355637577E-1,-8.094540597E-1,8.391161477E-2,1.111781634E2,1.771349292E2,-6.965809587E1,-1.589915345E2
1.927430000E-1,5.645915962E-1,1.354620363E-1,-8.098457514E-1,8.388137440E-2,1.112521283E2,1.771901741E2,-6.958483461E1,-1.590556735E2
2.027649999E-1,5.645503555E-1,1.350777413E-1,-8.099469882E-1,8.380232799E-2,1.112578540E2,1.772459225E2,-6.957854192E1,-1.591498815E2
2.127880000E-1,5.650452438E-1,1.343601280E-1,-8.097361907E-1,8.365768000E-2,1.111891336E2,1.773045343E2,-6.964503485E1,-1.592822739E2
2.228110000E-1,5.659254386E-1,1.333602573E-1,-8.093086320E-1,8.344399548E-2,1.110668398E2,1.773686312E2,-6.976350806E1,-1.594508514E2
2.328330000E-1,5.669723031E-1,1.322221659E-1,-8.087842831E-1,8.323281870E-2,1.109212721E2,1.774480019E2,-6.990546427E1,-1.596465999E2
2.428560000E-1,5.680841791E-1,1.310387667E-1,-8.082104959E-1,8.309668438E-2,1.107665250E2,1.775528039E2,-7.005843730E1,-1.598655058E2
2.528790000E-1,5.691756139E-1,1.298499516E-1,-8.076372355E-1,8.306764520E-2,1.106144824E2,1.776913481E2,-7.021128998E1,-1.601095809E2
2.629010000E-1,5.701889506E-1,1.286615369E-1,-8.071053001E-1,8.313680818E-2,1.104731942E2,1.778652732E2,-7.035574443E1,-1.603805101E2
2.729239999E-1,5.711128306E-1,1.274808351E-1,-8.066258376E-1,8.326799024E-2,1.103442734E2,1.780645775E2,-7.048925546E1,-1.606706594E2
2.829470000E-1,5.719689384E-1,1.262935373E-1,-8.061922519E-1,8.340026813E-2,1.102247195E2,1.782738953E2,-7.061329068E1,-1.609709590E2
2.929689999E-1,5.727841639E-1,1.250452530E-1,-8.057996750E-1,8.348007318E-2,1.101107939E2,1.784873748E2,-7.073039599E1,-1.612846045E2
3.029920000E-1,5.735585490E-1,1.237182806E-1,-8.054489500E-1,8.352481206E-2,1.100025023E2,1.787133366E2,-7.084098148E1,-1.616199534E2
3.130140000E-1,5.742785857E-1,1.222970046E-1,-8.051477687E-1,8.357387100E-2,1.099017465E2,1.789669330E2,-7.094399880E1,-1.619901534E2
3.230370000E-1,5.748454187E-1,1.208204529E-1,-8.049585082E-1,8.364796516E-2,1.098223850E2,1.792528295E2,-7.102599561E1,-1.623945837E2
3.330600000E-1,5.751759343E-1,1.193685994E-1,-8.049337891E-1,8.369875211E-2,1.097760922E2,1.795456520E2,-7.107414514E1,-1.628049419E2
3.430829999E-1,5.752725770E-1,1.180325021E-1,-8.050660881E-1,8.365685814E-2,1.097625537E2,1.798050015E2,-7.108726567E1,-1.631790170E2
3.531050000E-1,5.751385290E-1,1.169292662E-1,-8.053355750E-1,8.353334680E-2,1.097813319E2,-1.799922836E2,-7.106618470E1,-1.634830508E2
3.631279999E-1,5.748453133E-1,1.161077609E-1,-8.056773649E-1,8.340193293E-2,1.098223998E2,-1.798410608E2,-7.102260305E1,-1.637123220E2
3.731510000E-1,5.745148188E-1,1.155279257E-1,-8.060040662E-1,8.332794414E-2,1.098686765E2,-1.797222376E2,-7.097491906E1,-1.638842669E2
3.831730000E-1,5.742363124E-1,1.151097236E-1,-8.062632904E-1,8.331867183E-2,1.099076636E2,-1.796222910E2,-7.093574974E1,-1.640187517E2
3.931960000E-1,5.740340919E-1,1.147788919E-1,-8.064505699E-1,8.335630896E-2,1.099359658E2,-1.795320262E2,-7.090812952E1,-1.641326896E2
4.032180000E-1,5.738805509E-1,1.144735169E-1,-8.065924151E-1,8.346091744E-2,1.099574517E2,-1.794313090E2,-7.088855465E1,-1.642495992E2
4.132410000E-1,5.737008157E-1,1.141802380E-1,-8.067380114E-1,8.369017522E-2,1.099825996E2,-1.792969648E2,-7.086765505E1,-1.643887476E2
4.232640000E-1,5.734305701E-1,1.139383151E-1,-8.069208444E-1,8.410763976E-2,1.100204040E2,-1.791158628E2,-7.083765963E1,-1.645545457E2
4.332869999E-1,5.730390048E-1,1.138272582E-1,-8.071492382E-1,8.473345724E-2,1.100751643E2,-1.788973698E2,-7.079470023E1,-1.647292647E2
4.433090000E-1,5.725046460E-1,1.138917007E-1,-8.074292197E-1,8.558657267E-2,1.101498647E2,-1.786447306E2,-7.073612611E1,-1.649042789E2
