"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.190916614E-3,-9.532090026E-1,2.005501413E-1,1.767502195E-1
1.321391668E-2,-7.193841112E-1,3.574580172E-1,-1.269151314E-1
2.323691663E-2,-8.331732666E-1,4.426054274E-1,-2.630948836E-1
3.325891669E-2,-6.593197578E-1,5.013302932E-1,-4.426289624E-1
4.328191665E-2,-4.971513247E-1,3.010088146E-1,-4.512858383E-1
5.330491660E-2,-4.680263436E-1,-7.666372150E-2,-3.387029634E-1
6.332791667E-2,-3.114917028E-1,-2.761848991E-1,-1.379704620E-1
7.335091662E-2,-1.159239739E-1,-3.625995470E-1,5.201493010E-2
8.337391668E-2,5.878966033E-2,-4.659403494E-1,1.923558533E-1
9.339591663E-2,7.248617828E-2,-2.605243379E-1,8.536934853E-2
1.034189167E-1,4.353252053E-3,3.056156896E-2,-9.657268681E-2
1.134419166E-1,-2.584890318E-1,1.354268501E-1,-1.930259442E-1
1.234649166E-1,-6.700985152E-1,1.086586988E-1,-4.800474881E-1
1.334879167E-1,-7.610373366E-1,1.226316439E-1,-7.049912629E-1
1.435109166E-1,-3.757607889E-1,-1.080630868E-1,-4.848523644E-1
1.535329167E-1,-3.183019549E-1,-5.460278349E-1,-1.797697216E-1
1.635559166E-1,-2.223742890E-1,-6.963276628E-1,-1.830769799E-1
1.735789167E-1,2.815580517E-1,-7.059676018E-1,-1.515699162E-1
1.836019167E-1,4.100646490E-1,-6.924911584E-1,-1.391894603E-1
1.936249166E-1,-6.246229649E-2,-6.856573713E-1,-1.898747335E-1
2.036479167E-1,-5.520865005E-1,-6.108628219E-1,-4.440578757E-1
2.136699166E-1,-6.630368328E-1,-1.767494520E-1,-5.710549412E-1
2.236929167E-1,-4.788641578E-1,1.384999274E-1,-3.341882551E-1
2.337159166E-1,-3.419247061E-1,-6.913296456E-2,1.067375596E-1
2.437389167E-1,-1.181897700E-2,-4.647156501E-1,1.895181265E-1
2.537619167E-1,7.693807286E-1,-9.035934775E-1,-5.862009108E-2
2.637849166E-1,8.755562246E-1,-1.078413458E0,1.304062115E-1
2.738069167E-1,6.124619257E-1,-1.123002059E0,2.998716773E-1
2.838294583E-1,7.496428674E-1,-9.484460069E-1,3.976135880E-1
2.938524584E-1,6.663504499E-1,-2.651441865E-1,1.902040780E-1
3.038754583E-1,3.278896344E-1,5.680694625E-1,5.969890237E-2
3.138984583E-1,-1.073104405E-1,1.098987032E0,-1.045781098E-1
3.239214583E-1,5.102514267E-2,1.174098391E0,6.141279437E-2
3.339434583E-1,6.140932989E-1,8.223365488E-1,3.966937479E-1
3.439664583E-1,1.076239098E0,3.460745481E-1,2.374267032E-1
3.539894583E-1,1.663033501E0,-2.446691011E-1,7.474561550E-2
3.640124584E-1,2.083578699E0,-9.050295536E-1,-9.815143503E-2
3.740354583E-1,1.270091254E0,-1.044400424E0,8.770998895E-2
3.840584583E-1,-7.647514880E-2,-1.107160051E0,4.282009578E-1
3.940804583E-1,-6.351941460E-1,-1.461895861E0,9.152061939E-2
4.041034583E-1,-1.603819917E0,-1.842959782E0,-6.362951767E-1
4.141264583E-1,-2.236627230E0,-1.198067590E0,-8.882843705E-1
4.241494583E-1,-1.615469910E0,1.083044307E-1,-4.157990134E-1
4.341724584E-1,-4.709821111E-1,1.279249016E0,2.404814348E-1
4.441954583E-1,9.981197119E-1,2.250039573E0,3.083535752E-1
4.542174583E-1,1.981562328E0,2.765673362E0,3.119489551E-3
4.642404583E-1,1.928695897E0,2.741350991E0,-2.495206090E-1
4.742634583E-1,1.324834056E0,1.949468130E0,2.389330190E-1
4.842864583E-1,7.340787488E-1,5.750924436E-1,6.063071465E-1
4.943094583E-1,4.982120097E-1,-4.001751801E-1,3.974990556E-1
5.043324584E-1,2.067680705E-1,-7.244207565E-1,5.259156058E-1
5.143544583E-1,-3.086873782E-1,-2.455969445E-2,5.541470593E-1
5.243774583E-1,-9.805839121E-2,1.672675852E0,-3.332836908E-1
5.344004583E-1,2.047063422E-1,2.787999201E0,-1.171945739E-1
5.444234583E-1,2.607127279E-1,2.840965619E0,4.630813533E-1
5.544464584E-1,8.315851629E-2,1.997032014E0,3.903589475E-1
5.644694583E-1,7.040205520E-1,4.716170456E-1,4.066732639E-1
5.744924584E-1,1.598834581E0,-9.061570430E-1,8.865723789E-2
5.845144583E-1,1.256953145E0,-1.471438663E0,1.504657426E-1
5.945374583E-1,2.083456492E-1,-7.730600160E-1,-5.599300287E-1
6.045604583E-1,-3.231609911E-1,5.762857141E-1,-1.301398416E0
6.145834583E-1,-3.743498558E-1,8.832511604E-1,-1.128270546E0
6.246064584E-1,-4.344919771E-1,-1.472914354E-1,-6.334885132E-1
6.346294583E-1,-5.316650999E-1,-1.178807739E0,-2.868303399E-1
6.446524583E-1,-5.297700173E-1,-1.402754929E0,-4.830588041E-1
6.546744583E-1,-5.220557857E-1,-1.107836866E0,-8.420757256E-1
6.646974583E-1,-9.196980250E-1,-4.893826409E-1,-1.145322196E0
6.747204583E-1,-8.705474997E-1,-3.648813864E-1,-9.466631178E-1
6.847434583E-1,1.912665170E-1,-8.289467530E-1,-5.851040462E-1
6.947664584E-1,9.310919094E-1,-9.030398923E-1,8.539916933E-2
7.047894583E-1,7.934630710E-1,1.635377048E-1,6.114303307E-1
7.148114584E-1,5.485354865E-1,1.544766694E0,4.998656023E-1
7.248344583E-1,3.093937218E-1,1.944592284E0,2.796303709E-1
7.348574583E-1,2.479763228E-1,1.002690042E0,6.720282425E-1
7.448804583E-1,2.699384648E-1,-4.284657636E-1,9.458461887E-1
7.549034583E-1,1.053960621E-1,-9.649602250E-1,6.664609623E-1
7.649264584E-1,-3.067203748E-1,-4.521997581E-1,-1.740156229E-1
7.749494583E-1,-5.090778905E-1,1.453033090E-4,-4.729350811E-1
7.849714584E-1,-6.459799200E-1,1.732303418E-2,-6.926431860E-1
7.949944583E-1,-5.792070562E-1,-4.049209996E-1,-6.497466964E-1
8.050174583E-1,-4.210696936E-1,-8.099479799E-1,1.985269316E-1
8.150404583E-1,-4.396872282E-2,-1.596080835E-1,-3.006065261E-1
8.250634583E-1,7.072371054E-1,1.078442036E0,-9.031420724E-1
8.350864584E-1,6.555980051E-1,1.840805229E0,-4.559389794E-1
8.451094583E-1,-3.476520538E-1,1.694665768E0,-2.529992272E-1
8.551314583E-1,-7.820615852E-1,6.396175647E-1,8.818171307E-2
8.651544583E-1,-2.286553681E-2,-3.351977769E-1,-4.191459596E-2
8.751774583E-1,8.861999112E-1,-7.468854667E-1,2.961654197E-1
8.852004583E-1,1.018591399E0,-4.144505724E-1,6.354104930E-1
8.952234583E-1,5.479957885E-1,1.364713090E-1,3.394295530E-1
9.052464584E-1,4.123438936E-1,1.779355232E-1,4.340429109E-1
9.152694583E-1,-1.313261247E-1,-4.327646365E-1,6.502377163E-1
9.252914583E-1,-1.080041542E0,-1.427671523E0,1.192999077E0
9.353144583E-1,-8.630244720E-1,-2.105526808E0,8.006129001E-1
