"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.835000383E-4,8.318202209E0,-4.624333649E0,-3.450175323E0
9.039500030E-3,8.409512329E0,-4.710404663E0,-3.616629181E0
1.906149997E-2,8.350984039E0,-4.555776215E0,-3.693419495E0
2.908350003E-2,8.148305511E0,-4.307143250E0,-3.753294983E0
3.910549998E-2,8.075856171E0,-4.255500641E0,-3.797153778E0
4.912850005E-2,8.061036987E0,-4.484225006E0,-3.754342804E0
5.915049999E-2,7.833510132E0,-4.649631042E0,-3.644770660E0
6.917249993E-2,7.676935730E0,-4.671186218E0,-3.586541748E0
7.919449999E-2,7.690856781E0,-4.573589172E0,-3.677253113E0
8.921749995E-2,7.838000793E0,-4.392914886E0,-3.787124634E0
9.923950001E-2,8.052953796E0,-4.318220215E0,-3.863016815E0
1.092615000E-1,8.274343414E0,-4.381987610E0,-3.911965027E0
1.192835000E-1,8.361611938E0,-4.503983917E0,-3.918401642E0
1.293055000E-1,8.290659485E0,-4.622238007E0,-3.905827789E0
1.393285000E-1,8.133636017E0,-4.659061432E0,-3.926335144E0
1.493505000E-1,8.002209320E0,-4.705015869E0,-3.938759308E0
1.593725000E-1,7.943830719E0,-4.747078400E0,-3.924688568E0
1.693945000E-1,7.927364960E0,-4.786446533E0,-3.907624054E0
1.794175000E-1,7.848628693E0,-4.747377777E0,-3.967349854E0
1.894395000E-1,7.711962891E0,-4.614903259E0,-4.049978027E0
1.994615000E-1,7.591463470E0,-4.464017029E0,-3.980672150E0
2.094835000E-1,7.557484131E0,-4.338278503E0,-3.913162537E0
2.195064999E-1,7.588918762E0,-4.312532043E0,-3.917503510E0
2.295285000E-1,7.785160675E0,-4.424499207E0,-4.000431061E0
2.395504999E-1,8.217761078E0,-4.489015045E0,-4.039799194E0
2.495725000E-1,8.846603394E0,-4.517455902E0,-3.968247986E0
2.595944999E-1,9.295819244E0,-4.690496063E0,-3.912863159E0
2.696175000E-1,9.155111847E0,-4.697681122E0,-3.810027008E0
2.796395000E-1,8.151898041E0,-4.405039673E0,-3.219654694E0
2.896615000E-1,7.097490692E0,-4.255500641E0,-3.270848236E0
2.996835000E-1,6.769223328E0,-4.307442627E0,-3.860172729E0
3.097065000E-1,7.212900696E0,-4.255350952E0,-3.931723938E0
3.197285000E-1,7.782017212E0,-4.367168427E0,-3.740421753E0
3.297505000E-1,7.865393829E0,-4.474644928E0,-3.649261322E0
3.397725000E-1,7.725883942E0,-4.553530884E0,-3.733835449E0
3.497945000E-1,7.581883392E0,-4.545896759E0,-3.865860901E0
3.598175000E-1,7.504344635E0,-4.565356293E0,-3.891607361E0
3.698394999E-1,7.546856232E0,-4.633913727E0,-3.951033783E0
3.798615000E-1,7.651638336E0,-4.733756104E0,-3.968247986E0
3.898834999E-1,7.763755188E0,-4.827161865E0,-3.952979736E0
3.999065000E-1,7.804919586E0,-4.854704590E0,-3.908073120E0
4.099285000E-1,7.866591339E0,-4.851561127E0,-3.870351563E0
4.199505000E-1,7.880512390E0,-4.860991516E0,-3.931574249E0
4.299725000E-1,7.816595306E0,-4.823868713E0,-3.928580475E0
4.399955000E-1,7.674840088E0,-4.688400421E0,-3.861819305E0
4.500175000E-1,7.516918488E0,-4.490811310E0,-3.789968719E0
4.600395000E-1,7.401209106E0,-4.370760956E0,-3.754791870E0
4.700615000E-1,7.338339844E0,-4.323159943E0,-3.751349030E0
4.800835000E-1,7.384443970E0,-4.401447144E0,-3.810925140E0
4.901065000E-1,7.489375763E0,-4.563410339E0,-3.873794403E0
5.001285000E-1,7.619904327E0,-4.676724701E0,-3.875590668E0
5.101505000E-1,7.782615967E0,-4.678071899E0,-3.861519928E0
5.201724999E-1,7.940537567E0,-4.603526917E0,-3.776496735E0
5.301928333E-1,8.091274109E0,-4.530927887E0,-3.763024750E0
5.402148333E-1,8.233777771E0,-4.521048431E0,-3.896846466E0
5.502368333E-1,8.310568085E0,-4.491410065E0,-3.946094055E0
5.602588333E-1,8.354875946E0,-4.437073059E0,-3.963008881E0
5.702818333E-1,8.329728241E0,-4.403991852E0,-4.037853241E0
5.803038334E-1,8.196056213E0,-4.362378387E0,-4.094884644E0
5.903258333E-1,8.057145081E0,-4.324806519E0,-4.126918030E0
6.003478334E-1,7.943082275E0,-4.312831421E0,-4.156556396E0
6.103698333E-1,7.885751495E0,-4.385580139E0,-4.123325500E0
6.203928334E-1,7.872728577E0,-4.501888275E0,-4.065545654E0
6.304148333E-1,7.893834686E0,-4.659510498E0,-4.027524719E0
6.404368334E-1,7.823630676E0,-4.757556610E0,-3.931125183E0
6.504588333E-1,7.709567871E0,-4.702171783E0,-3.811823273E0
6.604818333E-1,7.622898102E0,-4.583169250E0,-3.758983154E0
6.705038333E-1,7.585625610E0,-4.463567963E0,-3.683839417E0
6.805258333E-1,7.699389038E0,-4.451443176E0,-3.716770935E0
6.905478333E-1,7.776478729E0,-4.561314697E0,-3.896098022E0
7.005708333E-1,7.670499115E0,-4.634362793E0,-3.944597168E0
7.105928333E-1,7.526947632E0,-4.619094543E0,-3.942651215E0
7.206148333E-1,7.437433777E0,-4.543052673E0,-3.928281097E0
7.306368334E-1,7.339088287E0,-4.490362244E0,-3.909270630E0
7.406588333E-1,7.303162994E0,-4.473148041E0,-3.868106232E0
7.506818334E-1,7.363936615E0,-4.545148315E0,-3.972888336E0
7.607038333E-1,7.401358795E0,-4.573589172E0,-4.052522736E0
7.707258334E-1,7.387587433E0,-4.533472595E0,-4.067491608E0
7.807478333E-1,7.368427277E0,-4.452191620E0,-4.113296356E0
7.907708334E-1,7.343279572E0,-4.353546753E0,-4.189338226E0
8.007928333E-1,7.312743073E0,-4.305945740E0,-4.310137024E0
8.108148333E-1,7.306456146E0,-4.279151459E0,-4.428840179E0
8.208368333E-1,7.301815796E0,-4.274361420E0,-4.544848938E0
8.308598333E-1,7.304959259E0,-4.235741730E0,-4.587959290E0
8.408818333E-1,7.346872101E0,-4.174818420E0,-4.655319214E0
8.509038333E-1,7.402855682E0,-4.141288147E0,-4.807702332E0
8.609258333E-1,7.477849731E0,-4.164639587E0,-5.013823700E0
8.709488333E-1,7.507937164E0,-4.243824921E0,-5.205574951E0
8.809708334E-1,7.501650238E0,-4.351451111E0,-5.298831024E0
8.909928333E-1,7.547305298E0,-4.460873566E0,-5.300776978E0
9.010148334E-1,7.710615692E0,-4.560416565E0,-5.248535614E0
9.110378333E-1,7.993976440E0,-4.618046722E0,-5.145100708E0
9.210598334E-1,8.256979523E0,-4.667593689E0,-5.002746735E0
9.310818333E-1,8.463400269E0,-4.713697815E0,-4.856051788E0
9.411038334E-1,8.635691986E0,-4.705315247E0,-4.670437775E0
9.511268333E-1,8.831035767E0,-4.658462677E0,-4.444557495E0
9.611488333E-1,8.977581024E0,-4.556674347E0,-4.193230133E0
9.711708333E-1,8.968000946E0,-4.429438934E0,-3.916006622E0
9.811928333E-1,8.706943817E0,-4.309687958E0,-3.636986847E0
9.912148333E-1,8.122109985E0,-4.318818970E0,-3.352727966E0
1.001237833E0,7.347021790E0,-4.459077301E0,-3.114273834E0
1.011259833E0,6.659651184E0,-4.678670654E0,-3.054548035E0
1.021281833E0,6.164929962E0,-5.002896423E0,-3.170556793E0
1.031303833E0,5.905070343E0,-5.352569275E0,-3.467090149E0
1.041326833E0,5.861211548E0,-5.653443604E0,-3.797752533E0
1.051348833E0,5.967191162E0,-5.763614502E0,-3.967649231E0
1.061370833E0,6.130950623E0,-5.704487457E0,-3.989204407E0
1.071392833E0,6.231541443E0,-5.599256287E0,-4.032314758E0
1.081415833E0,6.216123505E0,-5.557044067E0,-4.025279388E0
1.091437833E0,6.168223114E0,-5.538632355E0,-4.027524719E0
1.101459833E0,6.234235840E0,-5.600603485E0,-4.064797211E0
1.111481833E0,6.497987366E0,-5.628295898E0,-4.060456238E0
1.121504833E0,6.805597687E0,-5.579497375E0,-4.069587250E0
1.131526833E0,7.033124542E0,-5.511987762E0,-4.152664490E0
1.141548833E0,7.141798553E0,-5.431604919E0,-4.271517334E0
1.151570833E0,7.173083496E0,-5.333409119E0,-4.376299438E0
