"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.021997452E-3,5.238160954E1,4.859968230E0,2.460774220E0,NaN,NaN,2.444792266E1,3.000617949E1
4.975700378E-2,5.238160954E1,4.859968230E0,2.460774220E0,NaN,NaN,2.444792266E1,3.001169274E1
5.823400021E-1,5.238125168E1,4.860331201E0,2.475222476E0,NaN,NaN,2.455004057E1,3.000000000E1
3.744272470E0,5.238117596E1,4.860555882E0,1.810775375E1,0.000000000E0,NaN,3.355316938E1,4.800000000E1
4.744262815E0,5.238110734E1,4.860603952E0,1.435634613E0,0.000000000E0,NaN,1.249461726E1,4.000000000E0
5.744252324E0,5.238111297E1,4.860630833E0,1.838588715E0,0.000000000E0,NaN,1.321321299E1,4.000000000E0
6.744243979E0,5.238110511E1,4.860651401E0,1.935024261E0,0.000000000E0,NaN,1.391485623E1,4.000000000E0
7.744233727E0,5.238110331E1,4.860659469E0,1.859889984E0,0.000000000E0,NaN,1.399077669E1,4.000000000E0
8.744223475E0,5.238110502E1,4.860663298E0,1.775600433E0,0.000000000E0,NaN,1.304480848E1,4.000000000E0
9.745165467E0,5.238111477E1,4.860666225E0,2.127162933E0,0.000000000E0,NaN,1.389694346E1,4.000000000E0
1.074516904E1,5.238112636E1,4.860670966E0,2.234096527E0,0.000000000E0,NaN,1.381115224E1,4.000000000E0
1.174515760E1,5.238113447E1,4.860681362E0,2.620571136E0,0.000000000E0,NaN,1.397954423E1,4.000000000E0
1.274516129E1,5.238112727E1,4.860674410E0,2.501430511E0,0.000000000E0,NaN,1.399778414E1,4.000000000E0
1.374516332E1,5.238111781E1,4.860670336E0,1.396816254E0,0.000000000E0,NaN,1.296528121E1,4.000000000E0
1.474515283E1,5.238111563E1,4.860670475E0,1.554531097E0,0.000000000E0,NaN,1.388810084E1,4.000000000E0
1.574515975E1,5.238111601E1,4.860670665E0,1.619289398E0,0.000000000E0,NaN,1.398787916E1,4.000000000E0
1.674515975E1,5.238111851E1,4.860655234E0,1.619289465E0,0.000000000E0,NaN,6.871554526E0,4.000000000E0
1.774514651E1,5.238111666E1,4.860668017E0,1.704799722E0,0.000000000E0,NaN,7.768741503E0,4.000000000E0
1.874514556E1,5.238113157E1,4.860670511E0,1.970729895E0,0.000000000E0,NaN,6.928613113E0,4.000000000E0
1.974514520E1,5.238114614E1,4.860661100E0,2.701992105E0,3.700000048E-1,NaN,5.431551422E0,4.000000000E0
2.074513590E1,5.238115602E1,4.860652321E0,3.474453040E0,2.500000000E-1,NaN,4.748647023E0,4.687842259E0
2.174514353E1,5.238116303E1,4.860649538E0,3.688137122E0,0.000000000E0,NaN,4.693004996E0,5.062405706E0
2.274514687E1,5.238117647E1,4.860661126E0,2.938137123E0,2.099999934E-1,NaN,4.748493430E0,5.159047177E0
2.374513435E1,5.238117191E1,4.860652715E0,2.989528724E0,0.000000000E0,NaN,4.686328663E0,4.591566469E0
2.474512160E1,5.238116893E1,4.860648718E0,3.573452064E0,2.800000012E-1,NaN,4.748651530E0,4.073739939E0
2.574510932E1,5.238119240E1,4.860637905E0,2.965541907E0,2.800000012E-1,NaN,4.748651530E0,4.665500751E0
2.674509716E1,5.238118641E1,4.860641006E0,2.574672768E0,1.599999964E-1,NaN,4.748651530E0,4.424306327E0
2.774508405E1,5.238119161E1,4.860610999E0,1.697780678E0,3.499999940E-1,NaN,4.748651530E0,3.497290537E0
2.874507272E1,5.238121688E1,4.860596582E0,2.159694741E0,0.000000000E0,NaN,4.748651530E0,4.003400828E0
2.974506068E1,5.238122036E1,4.860595241E0,2.779995032E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.074504924E1,5.238122505E1,4.860592643E0,2.412319251E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.174503732E1,5.238123125E1,4.860593565E0,2.034389566E0,0.000000000E0,NaN,4.748651530E0,4.029364438E0
3.274502587E1,5.238123448E1,4.860598259E0,2.013149331E0,3.100000024E-1,NaN,4.748651530E0,4.029364438E0
3.374501419E1,5.238123423E1,4.860602450E0,1.725978917E0,4.000000060E-1,NaN,4.748651530E0,4.029364438E0
3.474500251E1,5.238122386E1,4.860607252E0,2.516506289E0,5.799999833E-1,1.655859392E2,4.748651530E0,4.008550219E0
3.574499166E1,5.238121716E1,4.860602904E0,2.681545343E0,4.699999988E-1,1.894921866E2,4.748651530E0,4.029364438E0
