"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.731625017E-3,6.078273507E-1,2.824819607E-1,-7.187562123E-1,1.847687493E-1,1.051348569E2,1.580276967E2,-7.799984707E1,-1.192210369E2
1.575462497E-2,6.088390015E-1,2.838156767E-1,-7.174673406E-1,1.844029568E-1,1.049887950E2,1.569806709E2,-7.804679967E1,-1.180921250E2
2.577762504E-2,6.091527005E-1,2.849341276E-1,-7.169306847E-1,1.837278907E-1,1.049434742E2,1.562654749E2,-7.799824116E1,-1.173368054E2
3.579962498E-2,6.088831293E-1,2.856444284E-1,-7.170505082E-1,1.830496636E-1,1.049824206E2,1.559821671E2,-7.789751590E1,-1.170469677E2
4.582262505E-2,6.083578109E-1,2.859170975E-1,-7.175212253E-1,1.825256097E-1,1.050582870E2,1.560141824E2,-7.779397559E1,-1.170968280E2
5.584562500E-2,6.078134001E-1,2.858771844E-1,-7.180966562E-1,1.821382380E-1,1.051368701E2,1.561932798E2,-7.770815185E1,-1.173095904E2
6.586762506E-2,6.074159132E-1,2.857288064E-1,-7.185636644E-1,1.818548848E-1,1.051942194E2,1.563617952E2,-7.764921479E1,-1.175131646E2
7.589062501E-2,6.072397183E-1,2.856922019E-1,-7.187806574E-1,1.816434973E-1,1.052196338E2,1.564046000E2,-7.761610247E1,-1.175761529E2
8.591362508E-2,6.072154417E-1,2.858927155E-1,-7.187649999E-1,1.814708638E-1,1.052231351E2,1.563060938E2,-7.759480647E1,-1.174744130E2
9.593562502E-2,6.071988148E-1,2.864170645E-1,-7.186388544E-1,1.811987005E-1,1.052255331E2,1.560723436E2,-7.755680714E1,-1.172173914E2
1.059586250E-1,6.071173238E-1,2.872507924E-1,-7.184977678E-1,1.807113776E-1,1.052372854E2,1.557164142E2,-7.748620226E1,-1.168288237E2
1.159816250E-1,6.068717974E-1,2.882320131E-1,-7.184741234E-1,1.800665097E-1,1.052726887E2,1.553563346E2,-7.738122586E1,-1.164355803E2
1.260036250E-1,6.062305541E-1,2.891379175E-1,-7.188236051E-1,1.793775984E-1,1.053651126E2,1.552025729E2,-7.723263703E1,-1.162571908E2
1.360266251E-1,6.050658892E-1,2.898367544E-1,-7.196832743E-1,1.787340792E-1,1.055328333E2,1.553710404E2,-7.703799178E1,-1.164131191E2
1.460496250E-1,6.035310063E-1,2.902874096E-1,-7.209258267E-1,1.781837046E-1,1.057535837E2,1.557998200E2,-7.681814020E1,-1.168416129E2
1.560716251E-1,6.018785127E-1,2.905048873E-1,-7.223204659E-1,1.777705812E-1,1.059908900E2,1.563683140E2,-7.660220117E1,-1.174181560E2
1.660946250E-1,6.002860783E-1,2.905794029E-1,-7.236800389E-1,1.775033280E-1,1.062192215E2,1.569692356E2,-7.640651386E1,-1.180275615E2
1.761166251E-1,5.988966021E-1,2.906867931E-1,-7.248370542E-1,1.773004120E-1,1.064181732E2,1.574730783E2,-7.623568956E1,-1.185324483E2
1.861396250E-1,5.977268163E-1,2.909983005E-1,-7.257425792E-1,1.770322316E-1,1.065854685E2,1.577985079E2,-7.607790253E1,-1.188473432E2
1.961626250E-1,5.966603325E-1,2.915067600E-1,-7.265147095E-1,1.766261889E-1,1.067378317E2,1.579847565E2,-7.591610942E1,-1.190177098E2
2.061846250E-1,5.955580027E-1,2.920755528E-1,-7.273167851E-1,1.761051063E-1,1.068951578E2,1.581361303E2,-7.574063345E1,-1.191572326E2
2.162076250E-1,5.943879219E-1,2.926420065E-1,-7.281733777E-1,1.755768377E-1,1.070619785E2,1.583085765E2,-7.555722718E1,-1.193181800E2
2.262306251E-1,5.933257792E-1,2.931646063E-1,-7.289225168E-1,1.751885388E-1,1.072132550E2,1.584797106E2,-7.539682449E1,-1.194704371E2
2.362526250E-1,5.925363266E-1,2.935371423E-1,-7.294493103E-1,1.750440173E-1,1.073255981E2,1.586420284E2,-7.528792917E1,-1.196080334E2
2.462756251E-1,5.920623852E-1,2.937060247E-1,-7.297321578E-1,1.751851671E-1,1.073930034E2,1.588061560E2,-7.523962086E1,-1.197430582E2
2.562986250E-1,5.919191070E-1,2.937234735E-1,-7.297468249E-1,1.755788819E-1,1.074133751E2,1.589462765E2,-7.524989132E1,-1.198480182E2
2.663206250E-1,5.921339927E-1,2.937136323E-1,-7.294501743E-1,1.761024932E-1,1.073828210E2,1.589900157E2,-7.530996998E1,-1.198499591E2
2.763436250E-1,5.926519354E-1,2.937574860E-1,-7.288962593E-1,1.765799749E-1,1.073091514E2,1.588932686E2,-7.539949223E1,-1.197121012E2
2.863666250E-1,5.932542770E-1,2.938491133E-1,-7.282928007E-1,1.768947486E-1,1.072234335E2,1.587110146E2,-7.548598535E1,-1.194985508E2
2.963886251E-1,5.936865983E-1,2.939028505E-1,-7.278727231E-1,1.770839247E-1,1.071618816E2,1.585734447E2,-7.554580632E1,-1.193426246E2
