"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.492791650E-3,3.541541576E-1,-3.679467892E-1,-1.670076070E-1
1.551579172E-2,3.225511265E-1,-5.588796495E-1,7.366263807E-2
2.553779166E-2,5.260728228E-1,-4.807449878E-1,2.053992373E-1
3.556079173E-2,4.018428791E-1,-3.570807622E-1,1.898409659E-1
4.558279167E-2,1.549196398E-1,-1.406889056E-1,1.896468200E-1
5.560579163E-2,6.119111180E-2,6.230339840E-2,2.110558337E-1
6.562879169E-2,1.943211025E-1,5.794539548E-2,2.328472370E-1
7.565079164E-2,6.027783519E-1,3.600386493E-2,1.135184203E-1
8.567379171E-2,1.102106010E0,2.195848748E-2,-5.154379070E-2
9.569579165E-2,1.329393130E0,3.521763369E-2,-9.159021953E-2
1.057187917E-1,1.172512919E0,1.996017960E-1,1.631484081E-1
1.157407917E-1,9.225228149E-1,3.440063880E-1,2.303937453E-1
1.257637917E-1,8.666684568E-1,3.347860598E-1,1.354197238E-1
1.357857917E-1,8.028390813E-1,3.232203403E-1,-4.002360642E-2
1.458087916E-1,9.039082038E-1,3.180322520E-1,-2.702500483E-1
1.558307917E-1,8.938001221E-1,3.051610686E-1,-6.551797830E-2
1.658537916E-1,6.268589401E-1,2.214629274E-1,3.041037458E-1
1.758757917E-1,9.638082504E-2,1.358398828E-1,4.701224973E-1
1.858987916E-1,-4.134911174E-1,1.343700390E-1,3.046106994E-1
1.959207917E-1,-6.188786602E-1,1.085399638E-1,5.553977787E-2
2.059437917E-1,-6.631204480E-1,2.174228668E-2,-1.471282250E-1
2.159667917E-1,-6.617416745E-1,-8.190947793E-2,-3.721286447E-1
2.259887917E-1,-6.553723025E-1,-1.934897015E-1,-4.551145220E-1
2.360117916E-1,-6.594396257E-1,-2.646036845E-1,-2.722948927E-1
2.460337917E-1,-6.322225910E-1,-2.748147503E-1,-1.247108041E-1
2.560567916E-1,-5.238719308E-1,-3.395271284E-1,1.727194414E-2
2.660787917E-1,-2.422068751E-1,-3.909603336E-1,2.018743895E-1
2.761017916E-1,9.551309824E-2,-3.620060912E-1,1.609000258E-1
2.861237917E-1,4.675556427E-1,-2.422592808E-1,-1.858829856E-3
2.961467917E-1,7.788842082E-1,-1.199151371E-1,-2.087512998E-1
3.061687917E-1,7.538014072E-1,-1.383917539E-1,-2.635812257E-1
3.161917917E-1,4.573592681E-1,-2.625156438E-1,-9.253394186E-2
3.262137917E-1,1.974183726E-1,-4.374910140E-1,-2.164069131E-2
3.362367917E-1,1.000604779E-1,-4.691339524E-1,-2.337915623E-1
3.462597916E-1,7.046830416E-2,-2.951385755E-1,-4.304369330E-1
3.562817917E-1,-1.332521975E-2,-9.501995869E-2,-4.087852782E-1
3.663047916E-1,-1.606943500E-1,1.144576384E-1,-2.618823172E-1
3.763267917E-1,-2.220602936E-1,3.930360952E-1,-1.482427043E-1
3.863497917E-1,1.728670835E-2,5.962315169E-1,-2.407455097E-1
3.963717917E-1,1.626145756E-1,6.213396802E-1,-4.216557308E-1
4.063947917E-1,-1.164718580E-1,6.290702109E-1,-3.388595957E-1
4.164167917E-1,-5.486325502E-1,7.181620431E-1,2.637839779E-2
4.264397917E-1,-8.821396047E-1,7.508509022E-1,2.179754287E-1
4.364617916E-1,-9.828690040E-1,6.887156112E-1,1.863395070E-1
4.464847917E-1,-9.163048857E-1,5.633219985E-1,4.395878255E-2
4.565067916E-1,-7.170393777E-1,4.036813898E-1,-2.436536224E-1
4.665297917E-1,-7.025219107E-1,3.511084161E-1,-4.955176127E-1
4.765517917E-1,-1.137943595E0,-3.343971469E-2,-9.918718158E-1
4.865747917E-1,-1.617967256E0,3.132916220E-2,-1.162685503E0
4.965977917E-1,-2.017545508E0,-3.965623317E-1,-1.064856908E0
5.066197917E-1,-1.188543060E0,-7.003479159E-1,-1.493136072E0
5.166427917E-1,-2.935904521E-1,-5.345517971E-1,-1.234543106E0
5.266647916E-1,-2.259948850E-3,-3.006658754E-1,-6.744510363E-1
5.366877917E-1,3.287374806E-1,-8.188148439E-3,3.820062000E-1
5.467097916E-1,3.813758701E-1,-1.013052039E-2,5.398248893E-1
5.567327917E-1,3.194123411E-1,-1.193507347E-1,3.465995550E-1
5.667547917E-1,5.589791983E-1,-2.869607328E-1,3.898527248E-1
5.767777917E-1,5.890835881E-1,-3.998687129E-1,5.202986974E-1
5.867997917E-1,1.545097500E-1,-3.990892790E-1,6.886325808E-1
5.968227917E-1,-2.640596741E-1,-2.233242423E-1,7.216427444E-1
6.068447917E-1,-6.308555120E-1,-3.089639515E-2,4.019494446E-1
6.168677916E-1,-9.804733998E-1,3.366899863E-2,3.407162328E-1
6.268897917E-1,-9.178608298E-1,-1.003971313E-1,4.022954535E-1
6.369127916E-1,-5.036703855E-1,-2.526217163E-1,5.278620708E-1
6.469357917E-1,1.319628865E-1,-3.802534240E-1,4.719515795E-1
6.569577917E-1,9.824649614E-1,-3.072700131E-1,4.565685783E-1
6.669807917E-1,1.687461414E0,-1.887100413E-1,7.325953102E-1
6.770027917E-1,2.150518209E0,-2.045859627E-1,5.282495950E-1
6.870257917E-1,2.289676679E0,-1.822773001E-1,3.610187888E-1
6.970477917E-1,2.139564620E0,-1.566747547E-1,5.675085318E-1
7.070707916E-1,2.131589018E0,-9.923967496E-3,7.676277333E-1
7.170927917E-1,2.032271136E0,2.218485878E-1,6.956572795E-1
7.271157916E-1,1.560405511E0,4.240844449E-1,2.597491068E-1
7.371377917E-1,7.207564527E-1,5.270562148E-1,3.102595483E-1
7.471607917E-1,-1.004855704E-1,2.942347056E-1,4.937609629E-1
7.571827917E-1,-5.198355979E-1,-4.385557920E-2,5.087451839E-1
7.672057917E-1,-6.774110430E-1,-1.515505473E-1,7.432797812E-1
7.772287917E-1,-7.169540083E-1,-2.103743042E-1,7.018196601E-1
7.872507917E-1,-7.259996510E-1,-3.357394483E-1,4.192370300E-1
7.972737916E-1,-9.246126097E-1,-3.799583223E-1,1.837657088E-1
8.072957917E-1,-1.204319433E0,-3.658226054E-1,2.359333974E-1
8.173187916E-1,-1.489398678E0,-2.907612037E-1,3.260097545E-1
8.273407917E-1,-1.513576330E0,-2.380315611E-1,3.039034787E-1
8.373637917E-1,-1.358106467E0,-2.480681241E-1,2.935376810E-1
8.473857917E-1,-1.118080603E0,-3.692896023E-1,3.217108816E-1
8.574087917E-1,-8.827810442E-1,-5.207664746E-1,1.037442237E-2
8.674307917E-1,-6.387317115E-1,-5.399740298E-1,-7.338331658E-1
8.774537917E-1,-5.575413680E-1,-5.515231578E-1,-1.008646454E0
8.874757917E-1,-9.218936545E-1,-6.108414065E-1,-6.732397856E-1
8.974987917E-1,-1.474316370E0,-6.081514680E-1,-3.500798178E-1
9.075217916E-1,-1.711022184E0,-6.723770289E-1,-2.734462094E-1
9.175437917E-1,-1.652522546E0,-6.672164226E-1,-6.613943499E-1
9.275672500E-1,-1.587951159E0,-4.361888391E-1,-4.429572836E-1
9.375892500E-1,-1.523831761E0,-1.245378362E-2,1.052813105E-1
9.476122500E-1,-1.261828553E0,3.479752587E-1,4.283874840E-1
9.576342501E-1,-7.671131784E-1,4.698769142E-1,8.099077803E-1
9.676572500E-1,-3.588716912E-1,4.543692578E-1,1.183618535E0
9.776792501E-1,-1.935662270E-1,4.153125250E-1,1.625407545E0
