"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.249998093E-3,5.238121796E1,4.860399249E0,2.499649052E0,NaN,NaN,4.560312570E1,3.000204075E1
4.511797428E-2,5.238121796E1,4.860399250E0,2.499649052E0,NaN,NaN,4.734695786E1,3.000219766E1
5.458759069E-1,5.238128901E1,4.860290676E0,2.458447809E0,NaN,NaN,2.211735650E1,3.000000000E1
7.371715903E0,5.238130544E1,4.860224898E0,2.542695053E0,NaN,NaN,2.008329730E1,3.000000000E1
1.271182585E1,5.238144513E1,4.860293014E0,2.588503647E1,2.800000012E-1,NaN,2.092568645E1,3.200000000E1
1.430851197E1,5.238122403E1,4.860514951E0,7.759666443E-1,2.800000012E-1,1.314843750E2,1.254083330E1,4.000000000E0
1.530911207E1,5.238123365E1,4.860554159E0,1.083950043E0,2.399999946E-1,NaN,1.133767253E1,4.000000000E0
1.630868006E1,5.238121457E1,4.860564925E0,1.011684418E0,0.000000000E0,NaN,1.206495887E1,4.000000000E0
1.731114197E1,5.238122369E1,4.860603540E0,1.319240570E0,0.000000000E0,NaN,1.015126870E1,4.000000000E0
1.828534043E1,5.238122695E1,4.860639412E0,1.679286957E0,2.199999988E-1,NaN,1.356167572E1,4.000000000E0
1.928534126E1,5.238125354E1,4.860673834E0,2.013393402E0,2.300000042E-1,NaN,1.395253616E1,4.000000000E0
2.028532505E1,5.238126108E1,4.860681768E0,3.676296234E0,1.800000072E-1,NaN,1.298413052E1,4.000000000E0
2.128532147E1,5.238126793E1,4.860682018E0,3.691799164E0,0.000000000E0,NaN,1.389013729E1,4.000000000E0
2.228531861E1,5.238127126E1,4.860683514E0,3.168972015E0,0.000000000E0,1.655859375E2,1.398809960E1,4.000000000E0
2.328530133E1,5.238127235E1,4.860688292E0,3.255458832E0,0.000000000E0,1.427343750E2,1.398848808E1,4.000000000E0
2.428530300E1,5.238127244E1,4.860694158E0,2.860073090E0,2.399999946E-1,7.488281250E1,1.398885506E1,4.000000000E0
2.528532910E1,5.238127258E1,4.860694540E0,2.860073158E0,2.399999946E-1,NaN,6.710289611E0,4.000000000E0
2.628534043E1,5.238127525E1,4.860702099E0,2.687526771E0,2.399999946E-1,NaN,6.841011348E0,4.000000000E0
2.728536034E1,5.238127870E1,4.860708395E0,2.566921303E0,1.800000072E-1,NaN,7.330063583E0,4.000000000E0
2.828537524E1,5.238128203E1,4.860713133E0,2.985988684E0,1.899999976E-1,NaN,6.005911905E0,4.000000000E0
2.928537416E1,5.238128574E1,4.860707398E0,3.314479896E0,1.899999976E-1,NaN,5.661825602E0,4.000000000E0
3.028538799E1,5.238129622E1,4.860722619E0,3.117336339E0,4.600000083E-1,NaN,6.079868754E0,4.000000000E0
3.128539431E1,5.238130284E1,4.860728673E0,3.494777748E0,3.799999952E-1,NaN,5.378082979E0,4.000000000E0
3.228538740E1,5.238130619E1,4.860728508E0,3.497036048E0,4.199999869E-1,NaN,5.272388251E0,4.000000000E0
3.328537989E1,5.238130686E1,4.860728262E0,3.726955481E0,1.700000018E-1,NaN,5.168484101E0,4.000000000E0
3.428537321E1,5.238130774E1,4.860728933E0,3.331935951E0,1.899999976E-1,NaN,5.591021808E0,4.000000000E0
3.528536582E1,5.238130887E1,4.860731447E0,3.746303625E0,0.000000000E0,NaN,4.902318007E0,4.000000000E0
3.628535867E1,5.238131050E1,4.860732537E0,3.569179603E0,2.399999946E-1,NaN,5.184653832E0,4.000000000E0
3.728535187E1,5.238131285E1,4.860736309E0,3.618434975E0,0.000000000E0,NaN,5.210233281E0,4.000000000E0
3.828534508E1,5.238131369E1,4.860736979E0,3.460842201E0,2.399999946E-1,NaN,5.573429107E0,4.000000000E0
3.928533781E1,5.238131465E1,4.860736728E0,3.359462806E0,2.000000030E-1,NaN,5.739282156E0,4.000000000E0
4.028533113E1,5.238131755E1,4.860734968E0,3.204311440E0,2.500000000E-1,NaN,5.474307196E0,4.000000000E0
4.128532279E1,5.238132010E1,4.860735470E0,3.473415442E0,1.899999976E-1,NaN,5.313971551E0,4.000000000E0
4.228531539E1,5.238132301E1,4.860760242E0,3.462429188E0,9.800000191E-1,8.332032382E1,5.707547536E0,4.000000000E0
4.328530753E1,5.238132161E1,4.860758940E0,3.671962805E0,5.299999714E-1,NaN,6.173768740E0,4.000000000E0
4.428530157E1,5.238131692E1,4.860771513E0,3.820217201E0,8.899999857E-1,NaN,7.330651473E0,4.000000000E0
4.528529406E1,5.238125075E1,4.860810364E0,3.037838833E-1,1.025228214E0,NaN,1.120703602E1,3.000000000E0
4.628528595E1,5.238124242E1,4.860820092E0,2.453033477E-1,9.341922480E-1,NaN,1.438117428E1,3.000000000E0
4.728527904E1,5.238126128E1,4.860934437E0,1.261614318E0,1.653528547E0,9.957879908E1,2.108391831E1,3.000000000E0
4.828527081E1,5.238127868E1,4.860829579E0,1.210282867E0,6.044534856E-1,NaN,1.879162840E1,3.000000000E0
4.928526378E1,5.238126489E1,4.860898610E0,1.463496893E0,4.604512684E-1,NaN,1.935739605E1,3.000000000E0
5.028525686E1,5.238127642E1,4.860795136E0,1.135829718E0,4.368688681E-1,NaN,1.924682466E1,3.069984839E0
