"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.492791650E-3,3.816173544E-1,-5.496839503E-1,-4.310045151E-1,-6.053518345E-1,1.351321973E2,7.670681740E1,-8.396724788E1,1.735495437E2
1.551579172E-2,3.814583238E-1,-5.499755749E-1,-4.318248087E-1,-6.046021790E-1,1.351519122E2,7.783732809E1,-8.397664103E1,1.724843370E2
2.553779166E-2,3.812637423E-1,-5.501924257E-1,-4.327055462E-1,-6.038975153E-1,1.351760325E2,7.896189747E1,-8.397137533E1,1.714280782E2
3.556079173E-2,3.810763047E-1,-5.503804850E-1,-4.335328888E-1,-6.032506982E-1,1.351992652E2,8.000191067E1,-8.396237878E1,1.704519217E2
4.558279167E-2,3.810223989E-1,-5.505747556E-1,-4.342245449E-1,-6.026096025E-1,1.352059464E2,8.089396914E1,-8.396716267E1,1.696229963E2
5.560579163E-2,3.811262277E-1,-5.508198922E-1,-4.347832330E-1,-6.019167294E-1,1.351930775E2,8.169094410E1,-8.399348481E1,1.688909168E2
6.562879169E-2,3.814184528E-1,-5.509728484E-1,-4.350594160E-1,-6.013918536E-1,1.351568548E2,8.209192120E1,-8.403223358E1,1.685450237E2
7.565079164E-2,3.818974412E-1,-5.507899047E-1,-4.349475003E-1,-6.013363567E-1,1.350974717E2,8.172057113E1,-8.405991815E1,1.689518235E2
8.567379171E-2,3.825513601E-1,-5.501551837E-1,-4.344112133E-1,-6.018892707E-1,1.350163808E2,8.041163172E1,-8.406187917E1,1.702724844E2
9.569579165E-2,3.834556524E-1,-5.490327605E-1,-4.335601525E-1,-6.029513818E-1,1.349042026E2,7.824533385E1,-8.403320444E1,1.724450844E2
1.057187917E-1,3.847144418E-1,-5.475007857E-1,-4.324057714E-1,-6.043698445E-1,1.347479728E2,7.533506975E1,-8.398331816E1,1.753675808E2
1.157407917E-1,3.864393226E-1,-5.456121064E-1,-4.309196683E-1,-6.060366049E-1,1.345337514E2,7.172240441E1,-8.391753907E1,1.790065084E2
1.257637917E-1,3.887354408E-1,-5.433518974E-1,-4.289777522E-1,-6.079732947E-1,1.342483246E2,6.729590600E1,-8.382851906E1,-1.765284006E2
1.357857917E-1,3.913762043E-1,-5.407973400E-1,-4.264980371E-1,-6.102969242E-1,1.339196840E2,6.220441248E1,-8.368712522E1,-1.714153819E2
1.458087916E-1,3.941132311E-1,-5.380491706E-1,-4.237124097E-1,-6.128994816E-1,1.335786399E2,5.697245356E1,-8.347453727E1,-1.661797572E2
1.558307917E-1,3.966929028E-1,-5.353593429E-1,-4.210224450E-1,-6.154391348E-1,1.332568041E2,5.229588736E1,-8.321448647E1,-1.615034413E2
1.658537916E-1,3.988991111E-1,-5.328598767E-1,-4.187714556E-1,-6.177138107E-1,1.329812508E2,4.858084465E1,-8.293391761E1,-1.577808120E2
1.758757917E-1,4.006840934E-1,-5.306320575E-1,-4.170246584E-1,-6.196549470E-1,1.327580971E2,4.580912584E1,-8.266105861E1,-1.549930952E2
1.858987916E-1,4.021584007E-1,-5.287477299E-1,-4.156222062E-1,-6.212508691E-1,1.325736399E2,4.369841493E1,-8.242010895E1,-1.528640510E2
1.959207917E-1,4.034852467E-1,-5.271573502E-1,-4.143553668E-1,-6.225869452E-1,1.324075206E2,4.192357228E1,-8.221152663E1,-1.510732606E2
2.059437917E-1,4.046934283E-1,-5.258168117E-1,-4.131575691E-1,-6.237313165E-1,1.322561656E2,4.037072560E1,-8.203013498E1,-1.495104966E2
2.159667917E-1,4.056666938E-1,-5.247904411E-1,-4.119945795E-1,-6.247318721E-1,1.321341753E2,3.904732213E1,-8.187885365E1,-1.481984400E2
2.259887917E-1,4.064406786E-1,-5.240299855E-1,-4.109576406E-1,-6.255496896E-1,1.320371220E2,3.796200688E1,-8.175879205E1,-1.471332285E2
2.360117916E-1,4.070452962E-1,-5.235231275E-1,-4.101206885E-1,-6.261299042E-1,1.319612809E2,3.712175369E1,-8.167486464E1,-1.463118140E2
2.460337917E-1,4.074979006E-1,-5.232845711E-1,-4.094100979E-1,-6.264997533E-1,1.319044931E2,3.645466152E1,-8.162769137E1,-1.456679871E2
2.560567916E-1,4.080027672E-1,-5.231410084E-1,-4.087406479E-1,-6.267281576E-1,1.318411333E2,3.579398974E1,-8.159870523E1,-1.450222072E2
2.660787917E-1,4.086414500E-1,-5.229140792E-1,-4.079873257E-1,-6.269922603E-1,1.317609573E2,3.502110720E1,-8.155887539E1,-1.442586665E2
2.761017916E-1,4.094052141E-1,-5.224385732E-1,-4.071207917E-1,-6.274535365E-1,1.316650465E2,3.413196872E1,-8.148092921E1,-1.433756666E2
2.861237917E-1,4.100901320E-1,-5.217436454E-1,-4.060868558E-1,-6.282540421E-1,1.315790062E2,3.321161688E1,-8.135534369E1,-1.424834070E2
2.961467917E-1,4.107379502E-1,-5.208361184E-1,-4.049567512E-1,-6.293124970E-1,1.314975998E2,3.229393103E1,-8.118921551E1,-1.416047863E2
3.061687917E-1,4.114610004E-1,-5.197827211E-1,-4.036772361E-1,-6.305319950E-1,1.314067087E2,3.130195503E1,-8.099480443E1,-1.406575152E2
3.161917917E-1,4.124441389E-1,-5.185769314E-1,-4.021984402E-1,-6.318261350E-1,1.312830709E2,3.013422037E1,-8.077617431E1,-1.395268054E2
3.262137917E-1,4.136920438E-1,-5.172249343E-1,-4.005843107E-1,-6.331424443E-1,1.311260495E2,2.884088378E1,-8.053672952E1,-1.382560821E2
3.362367917E-1,4.149586515E-1,-5.158965973E-1,-3.989582379E-1,-6.344228551E-1,1.309665748E2,2.759344782E1,-8.029730036E1,-1.370302623E2
3.462597916E-1,4.161170576E-1,-5.147054536E-1,-3.974946359E-1,-6.355493139E-1,1.308206347E2,2.651243789E1,-8.008024640E1,-1.359664777E2
3.562817917E-1,4.170790384E-1,-5.137637192E-1,-3.962508034E-1,-6.364567987E-1,1.306993763E2,2.562981673E1,-7.990308866E1,-1.351009669E2
3.663047916E-1,4.178737172E-1,-5.131154427E-1,-3.951869906E-1,-6.371195579E-1,1.305991621E2,2.488746183E1,-7.977178413E1,-1.343771647E2
3.763267917E-1,4.184943822E-1,-5.127340032E-1,-3.942346509E-1,-6.376091252E-1,1.305208640E2,2.424758332E1,-7.967845457E1,-1.337644065E2
3.863497917E-1,4.189238164E-1,-5.125013526E-1,-3.933171983E-1,-6.380806220E-1,1.304666757E2,2.369471276E1,-7.960088126E1,-1.332551830E2
3.963717917E-1,4.191568991E-1,-5.123170444E-1,-3.922798380E-1,-6.387137414E-1,1.304372591E2,2.317790134E1,-7.951465062E1,-1.328128833E2
