"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.259416691E-3,9.596394196E0,5.571414185E-1,3.397933960E-1
1.128241676E-2,1.008482849E1,6.589297485E-1,5.063969421E-1
2.130541671E-2,9.818532257E0,9.662406921E-1,7.191046143E-1
3.132741677E-2,9.500144348E0,1.166374512E0,6.499484253E-1
4.135041672E-2,9.540111237E0,1.237776031E0,4.207749939E-1
5.137341667E-2,9.701325989E0,1.301992493E0,3.556604004E-1
6.139541673E-2,9.824070740E0,1.427281952E0,4.436773682E-1
7.141841669E-2,9.849368134E0,1.578168182E0,5.120851135E-1
8.144141675E-2,9.794731750E0,1.629960480E0,5.439688110E-1
9.146341670E-2,9.695188751E0,1.498982849E0,6.189628601E-1
1.014864168E-1,9.785151672E0,1.208586731E0,6.727011108E-1
1.115084167E-1,1.011761032E1,8.671467590E-1,8.035290527E-1
1.215314167E-1,1.032328262E1,8.078700256E-1,9.970765686E-1
1.315544167E-1,1.036878799E1,8.885522461E-1,1.129551086E0
1.415764167E-1,1.051877609E1,1.001716919E0,1.132544861E0
1.515994167E-1,1.064047302E1,1.284329224E0,1.105600891E0
1.616224167E-1,1.046698380E1,1.394200745E0,9.818083191E-1
1.716444168E-1,1.028346542E1,1.316063232E0,9.608518982E-1
1.816674167E-1,1.020742355E1,1.238973541E0,1.031804352E0
1.916904167E-1,1.002031265E1,1.173858948E0,1.118324432E0
2.017124167E-1,9.885293427E0,1.060245209E0,1.138382721E0
2.117354167E-1,9.858199768E0,8.840615845E-1,1.042581940E0
2.217584167E-1,9.843230896E0,6.439608765E-1,9.184899902E-1
2.317804167E-1,9.613159332E0,3.408412170E-1,9.029223633E-1
2.418034167E-1,9.359586639E0,2.689906311E-1,9.532177734E-1
2.518264167E-1,9.383087769E0,5.098397827E-1,9.931846619E-1
2.618484168E-1,9.519154816E0,9.370513916E-1,8.875044250E-1
2.718714167E-1,9.400152283E0,1.467997284E0,7.243437195E-1
2.818934167E-1,9.465566254E0,1.823358307E0,6.658154297E-1
2.919164167E-1,9.721384277E0,1.961071930E0,5.771997070E-1
3.019394167E-1,9.902657318E0,1.967508545E0,4.020639038E-1
3.119614167E-1,9.964927826E0,1.934277649E0,4.085005188E-1
3.219844167E-1,9.943672028E0,1.914369049E0,4.766088867E-1
3.320074168E-1,9.995015259E0,1.817670135E0,6.048921204E-1
3.420294167E-1,1.008872040E1,1.579515381E0,7.731422424E-1
3.520524168E-1,1.007000931E1,1.226250000E0,9.099577332E-1
3.620754167E-1,9.935588837E0,8.527766418E-1,1.002764740E0
3.720974167E-1,9.773775330E0,6.535409546E-1,9.416917419E-1
