"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.622500045E-3,-3.333556116E-1,-9.000560582E-2,-5.889394543E-1
1.964449999E-2,-4.883366472E-1,-6.933628321E-2,-4.532013130E-1
2.966750006E-2,-8.719631106E-1,-3.582004309E-3,-5.897969484E-2
3.969050001E-2,-3.902846879E-1,1.136535001E-1,9.589287490E-2
4.971349996E-2,1.363594079E-1,7.831936061E-2,-1.964664459E-3
5.973650003E-2,2.644502681E-1,9.323970079E-2,-4.054137737E-2
6.975849997E-2,3.527104801E-1,1.766853154E-2,-6.554465622E-2
7.978150004E-2,5.281801593E-1,-1.719379610E-1,-8.919196576E-2
8.980449999E-2,5.883205265E-1,-2.588872272E-1,-3.538354844E-2
9.982750006E-2,5.704835951E-1,-2.956334692E-1,-1.539396465E-2
1.098505000E-1,3.269453090E-1,-4.243926662E-1,-1.381316990E-2
1.198725000E-1,4.770567834E-2,-5.637674832E-1,-9.767773747E-2
1.298955000E-1,-6.471288979E-2,-4.981541222E-1,-2.954305708E-1
1.399185000E-1,-2.436657554E-1,-4.277431208E-1,-4.432277173E-1
1.499415000E-1,-4.554314411E-1,-4.306526953E-1,-4.308889228E-1
1.599645000E-1,-4.149494129E-1,-2.612114954E-1,-2.914474475E-1
1.699865001E-1,-1.253572869E-1,-1.809537828E-2,-1.554061282E-1
1.800095000E-1,-8.340292990E-2,-2.837069035E-3,5.215424001E-3
1.900325000E-1,-1.945146453E-1,-2.541439658E-1,1.217179799E-1
2.000555000E-1,-4.459694767E-1,-4.915619713E-1,2.488957974E-1
2.100785000E-1,-7.104226685E-1,-5.206501150E-1,3.207145160E-1
2.201005000E-1,-8.693879968E-1,-4.532106686E-1,2.455421269E-1
2.301235000E-1,-8.730278885E-1,-1.870255315E-1,1.133044213E-1
2.401465001E-1,-7.682241493E-1,1.397449458E-1,3.621414542E-2
2.501695000E-1,-4.490597302E-1,3.584553695E-1,7.409299314E-2
2.601925000E-1,-7.681019425E-2,6.725268638E-1,1.485987997E-1
2.702145000E-1,1.125419444E-1,8.186294872E-1,1.760982549E-1
2.802375000E-1,7.895378351E-2,7.263487297E-1,1.970733869E-1
2.902605000E-1,-8.288369715E-2,5.328585166E-1,2.440744758E-1
3.002835000E-1,-1.415762937E-1,2.817252821E-1,4.116884208E-1
3.103065001E-1,1.381287754E-1,1.881897122E-1,4.452432525E-1
3.203285000E-1,5.949313885E-1,2.206435132E-1,4.123146576E-1
3.303515000E-1,9.530096126E-1,2.863574463E-1,3.202356291E-1
3.403745000E-1,1.150629129E0,3.900215632E-1,1.721051913E-1
3.503975000E-1,1.240544103E0,4.556056881E-1,-1.275394678E-1
3.604205000E-1,8.934925586E-1,8.680600941E-2,-7.620676160E-2
3.704425000E-1,2.822182024E-1,-4.188272864E-1,-7.695754409E-2
3.804655001E-1,-3.696609735E-3,-5.545177728E-1,-4.498263001E-2
3.904885000E-1,3.610714138E-2,-5.445570409E-1,7.403452098E-2
4.005115000E-1,2.326180261E-1,-4.053324974E-1,1.361091471E-1
4.105345000E-1,4.388692027E-1,-1.980329150E-1,9.703454375E-2
4.205565000E-1,4.993253195E-1,-1.051691902E-1,1.409904027E-1
4.305795000E-1,4.219315732E-1,-2.170445520E-1,2.779000336E-1
4.406025000E-1,2.186484432E-1,-4.611582041E-1,3.957746387E-1
4.506255001E-1,-7.508818924E-2,-6.853726119E-1,6.817286271E-1
4.606485000E-1,-4.485209092E-1,-7.629370970E-1,1.111211295E0
4.706705000E-1,-6.744277936E-1,-7.053379297E-1,1.225120903E0
4.806935000E-1,-8.576897648E-1,-5.544955534E-1,9.050659525E-1
4.907165000E-1,-1.024689752E0,-3.927019268E-1,3.195906812E-1
5.007395000E-1,-1.236105190E0,-3.016537625E-1,-1.675227284E-1
5.107625000E-1,-1.458457259E0,-3.297946572E-1,-2.183116436E-1
