"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.748888969E-3,5.238124893E1,4.860294945E0,2.458913430E0,NaN,NaN,2.499412804E1,3.000000000E1
4.170489311E-2,5.238160954E1,4.859968230E0,-1.626966850E0,NaN,NaN,2.444792266E1,3.001225680E1
1.768980026E-1,5.238160954E1,4.859968230E0,-1.626966850E0,NaN,NaN,2.444792266E1,3.001225798E1
1.946179867E-1,5.238160954E1,4.859968230E0,-1.626966850E0,NaN,NaN,2.444792266E1,3.001225798E1
4.264079332E-1,5.238126627E1,4.860233054E0,2.468243311E0,NaN,NaN,2.494848792E1,3.000000000E1
1.317427993E0,5.238160954E1,4.859968230E0,2.468132685E0,NaN,NaN,2.444792266E1,3.000016397E1
1.325642943E0,5.238160954E1,4.859968230E0,2.468132685E0,NaN,NaN,2.444792266E1,3.000016397E1
2.539280176E0,5.238129698E1,4.860262959E0,7.975673676E0,NaN,NaN,5.846576402E1,6.400000000E1
3.539271355E0,5.238128047E1,4.860254832E0,1.174459457E1,1.149999976E0,NaN,2.224347348E1,3.200000000E1
4.539262533E0,5.238130290E1,4.860320358E0,6.456565857E-1,1.970000029E0,8.085937500E1,3.505878514E1,4.000000000E0
5.539253354E0,5.238128931E1,4.860347650E0,2.109340668E0,1.149999976E0,9.246093750E1,1.393495733E1,4.000000000E0
6.539245129E0,5.238126648E1,4.860349460E0,3.170009613E0,5.099999905E-1,NaN,1.394087960E1,4.000000000E0
7.539235830E0,5.238124741E1,4.860348390E0,5.348232269E0,2.099999934E-1,NaN,1.399984035E1,4.000000000E0
8.540225267E0,5.238122572E1,4.860342690E0,6.966213226E0,0.000000000E0,NaN,1.399999957E1,4.000000000E0
9.540239096E0,5.238120602E1,4.860336240E0,7.633205414E0,1.500000060E-1,NaN,1.400000000E1,4.000000000E0
1.054023957E1,5.238118696E1,4.860334815E0,8.539394379E0,1.500000060E-1,1.409765625E2,1.400000000E1,4.000000000E0
1.154024887E1,5.238117304E1,4.860335067E0,8.174098969E0,2.899999917E-1,NaN,1.400000000E1,4.000000000E0
1.254026353E1,5.238116904E1,4.860330186E0,7.490993500E0,2.899999917E-1,5.273437500E1,1.323990790E1,4.000000000E0
1.354026246E1,5.238116481E1,4.860324740E0,6.772060394E0,3.400000036E-1,3.512109375E2,1.331319545E1,4.000000000E0
1.454027057E1,5.238116178E1,4.860326959E0,6.772060464E0,3.400000036E-1,NaN,8.464975837E0,4.000000000E0
1.554028273E1,5.238115642E1,4.860322612E0,7.113308021E0,3.300000131E-1,NaN,9.807520824E0,4.000000000E0
1.654028118E1,5.238114974E1,4.860331718E0,7.422939369E0,3.400000036E-1,NaN,1.096406732E1,4.000000000E0
1.754029047E1,5.238114450E1,4.860343700E0,7.866176674E0,9.100000262E-1,NaN,1.209303910E1,4.000000000E0
1.854029906E1,5.238113748E1,4.860390285E0,8.259121186E0,1.500000000E0,1.023047045E2,1.372621966E1,4.000000000E0
1.954029679E1,5.238113313E1,4.860413766E0,8.428554779E0,1.500000000E0,9.949220471E1,1.061938912E1,4.000000000E0
2.054031098E1,5.238112860E1,4.860435643E0,8.149196869E0,1.500000000E0,1.037109545E2,9.753682926E0,4.000000000E0
2.154031706E1,5.238112813E1,4.860454803E0,7.186367309E0,1.620000005E0,7.628908081E1,9.503768629E0,4.000000000E0
2.254031575E1,5.238117596E1,4.860438606E0,6.476223387E0,2.039999962E0,1.898438272E1,2.169368353E1,4.000000000E0
2.354031396E1,5.238119355E1,4.860417504E0,6.869167603E0,1.620000005E0,3.592968748E2,1.455039001E1,4.000000000E0
2.454031193E1,5.238118387E1,4.860385767E0,6.782680628E0,7.799999714E-1,3.476953106E2,1.175434168E1,4.000000000E0
2.554030967E1,5.238115484E1,4.860341245E0,6.581875061E0,1.360000014E0,2.197265524E2,1.117754168E1,4.000000000E0
2.654030716E1,5.238115389E1,4.860334061E0,7.195034096E0,1.700000018E-1,NaN,8.744306982E0,4.000000000E0
2.754030359E1,5.238114890E1,4.860329451E0,7.403041907E0,0.000000000E0,NaN,7.575716507E0,4.000000000E0
2.854030061E1,5.238115481E1,4.860349149E0,7.188991616E0,1.599999964E-1,NaN,4.748651530E0,4.201635224E0
2.954029679E1,5.238116298E1,4.860366583E0,6.993740149E0,1.700000018E-1,NaN,4.748651530E0,4.913926000E0
3.054029214E1,5.238116864E1,4.860379742E0,7.346767494E0,2.800000012E-1,NaN,4.748651530E0,4.029364438E0
3.154028857E1,5.238117292E1,4.860390555E0,6.991115640E0,1.899999976E-1,NaN,4.748651530E0,4.029364438E0
3.254028344E1,5.238117824E1,4.860403044E0,6.268215247E0,0.000000000E0,NaN,4.748651530E0,3.987860283E0
3.354027867E1,5.238118440E1,4.860413689E0,5.429531166E0,2.099999934E-1,NaN,4.748651530E0,3.924047816E0
3.454027307E1,5.238120497E1,4.860403382E0,2.508893991E-1,1.495472002E-1,NaN,1.440769400E1,3.000000000E0
3.554026878E1,5.238119713E1,4.860419951E0,3.424967984E-1,1.114083875E-1,NaN,1.648319191E1,3.641937205E0
3.654026246E1,5.238119098E1,4.860422971E0,5.261368528E-1,4.500837759E-1,NaN,1.617051785E1,4.109560567E0
3.754025674E1,5.238116642E1,4.860401912E0,7.404724238E-1,3.298383477E-1,NaN,1.450279514E1,4.072292159E0
3.854025066E1,5.238115955E1,4.860409907E0,7.824276229E-1,1.474123637E-1,NaN,1.504275409E1,4.406375595E0
3.954024422E1,5.238114754E1,4.860406764E0,9.443913046E-1,3.401104790E-1,NaN,1.545156867E1,4.660250423E0
4.054023862E1,5.238115300E1,4.860406180E0,9.154270915E-1,2.059579656E-1,NaN,1.755044579E1,5.124588569E0
4.154023182E1,5.238115005E1,4.860416066E0,8.856332209E-1,2.429475197E-1,NaN,1.668992964E1,4.780926339E0
4.254022610E1,5.238114774E1,4.860416142E0,8.364524320E-1,9.541438322E-2,NaN,1.590178746E1,4.689558405E0
4.354021978E1,5.238115347E1,4.860420864E0,7.702959748E-1,8.185440650E-2,NaN,1.585952895E1,4.686816380E0
4.454021215E1,5.238115741E1,4.860418440E0,6.865788950E-1,1.755335372E-1,NaN,1.563202500E1,4.457662722E0
4.554020560E1,5.238115012E1,4.860416335E0,8.018259080E-1,3.874464538E-1,NaN,1.563202500E1,4.282513111E0
4.654020071E1,5.238114357E1,4.860407194E0,8.736435939E-1,1.519868589E-1,NaN,1.645373893E1,4.257119609E0
4.754019439E1,5.238114694E1,4.860417314E0,6.565750930E-1,2.375009986E-1,NaN,1.714412347E1,4.231803698E0
4.854018414E1,5.238114375E1,4.860430825E0,5.464899177E-1,3.453892615E-1,NaN,1.653792902E1,3.872808023E0
4.954018164E1,5.238113568E1,4.860441922E0,4.561522081E-1,3.463185675E-1,NaN,1.627196037E1,3.866397229E0
5.054016960E1,5.238113214E1,4.860425069E0,3.516203500E-1,6.044335749E-1,2.071232318E2,1.627196036E1,4.290720147E0
