"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.622500045E-3,5.150664045E-1,2.790191967E-1,-7.743956789E-1,-2.390945514E-1,1.179962127E2,1.183625835E2,-4.162914062E1,-1.148157043E2
1.964449999E-2,5.144014537E-1,2.789985869E-1,-7.747961161E-1,-2.392528971E-1,1.180850886E2,1.184430306E2,-4.157578087E1,-1.149113157E2
2.966750006E-2,5.128372155E-1,2.785989294E-1,-7.758727363E-1,-2.395875430E-1,1.182939985E2,1.186466202E2,-4.147515063E1,-1.151788030E2
3.969050001E-2,5.107681846E-1,2.781275169E-1,-7.772385049E-1,-2.401277392E-1,1.185699766E2,1.189006819E2,-4.133077813E1,-1.155208929E2
4.971349996E-2,5.088571938E-1,2.777556342E-1,-7.784466654E-1,-2.407009890E-1,1.188245241E2,1.191225251E2,-4.118742133E1,-1.158249529E2
5.973650003E-2,5.073327950E-1,2.774365615E-1,-7.794139566E-1,-2.411563752E-1,1.190273374E2,1.192989202E2,-4.107400830E1,-1.160688350E2
6.975849997E-2,5.061160049E-1,2.771556317E-1,-7.801887632E-1,-2.415304811E-1,1.191890734E2,1.194383398E2,-4.098405503E1,-1.162654542E2
7.978150004E-2,5.051282830E-1,2.769683522E-1,-7.808027374E-1,-2.418285120E-1,1.193202631E2,1.195502502E2,-4.090853515E1,-1.164196567E2
8.980449999E-2,5.043348370E-1,2.768965972E-1,-7.812895546E-1,-2.419943915E-1,1.194255854E2,1.196458701E2,-4.084752130E1,-1.165356958E2
9.982750006E-2,5.035511479E-1,2.768727631E-1,-7.817692490E-1,-2.421045739E-1,1.195295570E2,1.197447642E2,-4.078763947E1,-1.166457941E2
1.098505000E-1,5.024814504E-1,2.767867835E-1,-7.824413226E-1,-2.422540372E-1,1.196713846E2,1.198809762E2,-4.070911992E1,-1.168020293E2
1.198725000E-1,5.009347980E-1,2.766112419E-1,-7.834034930E-1,-2.425480009E-1,1.198762699E2,1.200693582E2,-4.059327794E1,-1.170308713E2
1.298955000E-1,4.987860779E-1,2.762862054E-1,-7.847194019E-1,-2.430923591E-1,1.201605600E2,1.203155385E2,-4.042770744E1,-1.173526475E2
1.399185000E-1,4.960172723E-1,2.757157268E-1,-7.864476545E-1,-2.438189813E-1,1.205262944E2,1.206307995E2,-4.022071451E1,-1.177813301E2
1.499415000E-1,4.927071220E-1,2.748125619E-1,-7.886061211E-1,-2.445776456E-1,1.209626626E2,1.210221177E2,-3.999177882E1,-1.183186233E2
1.599645000E-1,4.888955613E-1,2.735779964E-1,-7.911622431E-1,-2.453539589E-1,1.214639683E2,1.214829932E2,-3.974296001E1,-1.189567694E2
1.699865001E-1,4.846221764E-1,2.720832795E-1,-7.940438443E-1,-2.461837777E-1,1.220245572E2,1.219989002E2,-3.946876951E1,-1.196781547E2
1.800095000E-1,4.797178532E-1,2.702861168E-1,-7.973221315E-1,-2.471710571E-1,1.226660476E2,1.225776866E2,-3.915093954E1,-1.205037487E2
1.900325000E-1,4.740988775E-1,2.680273197E-1,-8.010865826E-1,-2.482981060E-1,1.233986115E2,1.232323787E2,-3.879142356E1,-1.214596005E2
2.000555000E-1,4.677704123E-1,2.652315085E-1,-8.053846761E-1,-2.493963159E-1,1.242206675E2,1.239788966E2,-3.840196972E1,-1.225537081E2
2.100785000E-1,4.608230522E-1,2.618701920E-1,-8.101638969E-1,-2.504006331E-1,1.251195394E2,1.248088860E2,-3.799113003E1,-1.237748242E2
2.201005000E-1,4.536074169E-1,2.578741439E-1,-8.152568589E-1,-2.511920772E-1,1.260492625E2,1.256923695E2,-3.759393057E1,-1.250889154E2
2.301235000E-1,4.460418153E-1,2.532881453E-1,-8.206567131E-1,-2.518223306E-1,1.270199738E2,1.266287676E2,-3.719482707E1,-1.264961631E2
