"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.514541710E-3,1.868610382E-1,5.713628605E-2,-7.963531464E-2
1.453754166E-2,1.308819205E-1,4.605567083E-2,-2.417978272E-2
2.456054173E-2,7.881062478E-2,3.194002807E-2,3.401227295E-2
3.458354168E-2,5.432659015E-2,2.792930976E-2,4.090586305E-2
4.460654175E-2,3.255627304E-2,1.791265793E-2,2.555621974E-2
5.462954170E-2,1.340068970E-2,1.393336337E-3,7.748726755E-3
6.465254177E-2,7.717913482E-3,-1.483634021E-2,-7.559553254E-3
7.467554172E-2,3.818367422E-2,-9.287574887E-2,7.569598500E-3
8.469854167E-2,7.157631218E-2,-1.452312768E-1,3.182324767E-2
9.472154174E-2,7.793647796E-2,-1.727819443E-1,8.113407344E-2
1.047445417E-1,7.160051167E-2,-2.157060504E-1,1.267766953E-1
1.147675418E-1,8.551073819E-2,-2.588327527E-1,1.367827356E-1
1.247905417E-1,1.026759371E-1,-2.821039557E-1,1.195402816E-1
1.348135417E-1,9.793763608E-2,-2.903544009E-1,9.889040142E-2
1.448365417E-1,7.654011995E-2,-2.920289040E-1,9.816370904E-2
1.548595417E-1,6.165571138E-2,-2.843981385E-1,1.203414500E-1
1.648825418E-1,6.349239498E-2,-2.677949369E-1,1.619797945E-1
1.749055417E-1,7.405076176E-2,-2.668969035E-1,2.252802104E-1
1.849285418E-1,9.135260433E-2,-2.838744223E-1,2.833202481E-1
1.949515417E-1,1.003322527E-1,-2.702432871E-1,2.934189737E-1
2.049745417E-1,9.898911417E-2,-2.497311831E-1,2.583668232E-1
2.149975417E-1,9.892466664E-2,-2.441204339E-1,1.980393082E-1
2.250205417E-1,7.642162591E-2,-2.103540599E-1,1.287652552E-1
2.350435418E-1,3.343288228E-2,-1.587973982E-1,7.790101320E-2
2.450665417E-1,-7.941643707E-4,-1.193209067E-1,4.514957964E-2
2.550895417E-1,-2.159052342E-2,-1.121780425E-1,1.702260226E-2
2.651125417E-1,-3.035453707E-2,-1.223741025E-1,-8.558306843E-3
2.751355417E-1,-1.605948433E-2,-1.342912167E-1,-3.841315862E-3
2.851585418E-1,1.840526052E-2,-1.561656445E-1,4.601304233E-2
2.951815417E-1,4.282937571E-2,-1.902248114E-1,1.163298115E-1
3.052045418E-1,5.002851412E-2,-2.094393671E-1,1.755792052E-1
3.152275417E-1,4.377141967E-2,-2.157499939E-1,2.046633214E-1
3.252505417E-1,3.216407076E-2,-2.260558307E-1,1.898790151E-1
3.352735417E-1,2.580257878E-2,-2.494383901E-1,1.447999477E-1
3.452965417E-1,2.691407874E-2,-2.894158065E-1,9.633641690E-2
3.553195418E-1,4.633225128E-2,-3.615616262E-1,6.473188847E-2
3.653425417E-1,7.539609075E-2,-4.513303936E-1,6.753115356E-2
3.753655417E-1,1.111500934E-1,-5.290552974E-1,8.286483586E-2
