"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.216679171E-2,-4.829739779E-2,-2.716291882E-2,2.157476917E-2
2.218879166E-2,-4.125563428E-2,-3.006458096E-2,9.215436876E-3
3.221179172E-2,-2.110482752E-2,-4.393884912E-2,-5.927830003E-3
4.223379167E-2,9.632715955E-5,-6.934081763E-2,-8.711539209E-3
5.225579173E-2,1.680286974E-2,-9.178114682E-2,1.869199798E-3
6.227879168E-2,2.030782774E-2,-1.039101332E-1,1.693368331E-2
7.230079174E-2,1.513144188E-2,-1.142842099E-1,2.510905638E-2
8.232379169E-2,-1.274471171E-3,-1.145708710E-1,2.320222929E-2
9.234579175E-2,-1.954322495E-2,-9.841987491E-2,1.856566593E-2
1.023677917E-1,-3.528059274E-2,-6.783711910E-2,1.422173902E-2
1.123907916E-1,-4.627651721E-2,-3.935993463E-2,8.430961519E-3
1.224127917E-1,-4.064460844E-2,-9.193470702E-3,5.179906264E-3
1.324357917E-1,-1.797897741E-2,1.329932176E-2,1.056774799E-2
1.424577917E-1,8.960562758E-3,2.775894850E-2,1.214509457E-2
1.524797917E-1,2.798964828E-2,3.948804364E-2,8.456084877E-3
1.625027917E-1,3.690809011E-2,4.976499081E-2,-6.683498155E-3
1.725247917E-1,3.418660536E-2,6.109833717E-2,-2.444651537E-2
1.825477917E-1,1.869943179E-2,7.190420479E-2,-4.503297806E-2
1.925697917E-1,1.934832893E-3,7.337480038E-2,-5.785822868E-2
2.025917917E-1,-8.384879678E-3,7.429611683E-2,-6.592648476E-2
2.126147917E-1,-6.120926235E-3,7.367400080E-2,-6.943146884E-2
2.226367918E-1,7.123562507E-3,5.844955891E-2,-5.618660152E-2
2.326596250E-1,2.198453434E-2,3.362969682E-2,-2.507608756E-2
2.426816251E-1,3.323946148E-2,1.112061925E-2,7.119534537E-3
2.527036250E-1,3.911705688E-2,2.735921647E-3,2.440211922E-2
2.627266251E-1,4.708744213E-2,-8.795866743E-3,3.173530847E-2
2.727486250E-1,5.046299845E-2,-2.654423751E-2,2.983541042E-2
2.827716251E-1,2.180097066E-2,-1.499691606E-1,3.231493291E-3
2.927936250E-1,-3.055437841E-2,-2.352337241E-1,-3.845203668E-2
3.028156251E-1,-6.694966555E-2,-2.234351188E-1,-4.548145086E-2
3.128386250E-1,-7.309198380E-2,-1.788242459E-1,-5.172736198E-2
3.228606250E-1,-4.674319923E-2,-1.743091196E-1,-5.811468884E-2
3.328836251E-1,-6.730271969E-3,-1.722417027E-1,-4.012530297E-2
3.429056250E-1,2.272931673E-2,-1.310688257E-1,-9.981419891E-3
3.529276251E-1,3.200164437E-2,-6.736335158E-2,-7.483907044E-3
3.629506250E-1,3.324846923E-2,-1.165481098E-2,-3.689661622E-2
3.729726251E-1,3.642721474E-2,1.932201348E-2,-7.494732738E-2
3.829956250E-1,3.242350742E-2,3.294505924E-2,-9.363290668E-2
3.930176251E-1,1.737558283E-2,3.619598225E-2,-9.408883750E-2
4.030396250E-1,-8.452516049E-4,3.585997224E-2,-9.075056762E-2
4.130626250E-1,-1.005579345E-2,2.722786739E-2,-9.723509848E-2
4.230846250E-1,-9.417226538E-3,4.198400304E-3,-1.149335802E-1
4.331076250E-1,-5.898392294E-3,-2.150909416E-2,-1.345269829E-1
4.431296251E-1,-1.845043153E-3,-4.177900031E-2,-1.482713819E-1
4.531516250E-1,2.825342119E-3,-5.451583490E-2,-1.542890668E-1
4.631746251E-1,4.824773874E-3,-7.179921120E-2,-1.549968868E-1
4.731966250E-1,5.116123706E-3,-1.106304973E-1,-1.561159492E-1
4.832196251E-1,5.211172625E-3,-1.727970988E-1,-1.544077545E-1
4.932416250E-1,-2.282163594E-3,-2.482481748E-1,-1.520087868E-1
5.032636251E-1,-8.647629991E-3,-3.288283348E-1,-1.538748443E-1
5.132866250E-1,-1.294836868E-2,-3.878634274E-1,-1.583633423E-1
5.233086250E-1,-1.678068377E-2,-4.262447655E-1,-1.589369476E-1
5.333316250E-1,-1.535828970E-2,-4.556774795E-1,-1.671924889E-1
5.433536250E-1,-6.860591937E-3,-4.796532094E-1,-1.981805265E-1
5.533756251E-1,7.098899223E-3,-5.395419002E-1,-2.353276312E-1
5.633986250E-1,3.054764122E-2,-6.719007492E-1,-2.388992161E-1
5.734206251E-1,5.195279792E-2,-8.498933911E-1,-1.881840974E-1
5.834436250E-1,6.761179864E-2,-1.032423377E0,-1.012051255E-1
5.934656251E-1,7.817868888E-2,-1.060771108E0,-2.043171600E-2
6.034876250E-1,8.686596155E-2,-8.818054199E-1,2.210940421E-2
6.135106251E-1,1.167865768E-1,-6.197934747E-1,1.048177760E-2
6.235326250E-1,1.588312089E-1,-4.123630226E-1,-4.916668683E-2
6.335556250E-1,2.080245912E-1,-2.939926982E-1,-1.295629889E-1
6.435776250E-1,2.610076666E-1,-2.395106107E-1,-1.778372675E-1
6.535996250E-1,3.237317502E-1,-2.154782563E-1,-1.573381126E-1
6.636226251E-1,3.963978291E-1,-2.039487660E-1,-8.417243510E-2
6.736446250E-1,4.492061734E-1,-2.037769854E-1,-5.584941246E-4
6.836676251E-1,4.582243860E-1,-2.386687100E-1,5.552244186E-2
6.936896250E-1,4.278560877E-1,-2.967261672E-1,6.426986307E-2
7.037116251E-1,3.717288375E-1,-3.297670782E-1,3.001212329E-2
7.137346250E-1,3.227908611E-1,-3.121657073E-1,-2.322526649E-2
7.237566251E-1,2.905539274E-1,-2.356579900E-1,-5.900640413E-2
7.337796250E-1,2.403078079E-1,-1.452913433E-1,-5.976247415E-2
7.438016250E-1,1.884611398E-1,-7.568196207E-2,-4.959234595E-2
7.538236250E-1,1.853444427E-1,-3.561162855E-3,-7.138393074E-2
7.638466250E-1,2.288391888E-1,8.030843735E-2,-1.166877598E-1
7.738686251E-1,2.926909029E-1,1.623678952E-1,-1.413885802E-1
7.838916250E-1,3.487773240E-1,2.140443921E-1,-1.251837760E-1
7.939136251E-1,3.803187609E-1,2.306510657E-1,-7.177514583E-2
8.039356250E-1,3.923643827E-1,2.279749811E-1,-1.415783539E-2
8.139586251E-1,3.935611844E-1,2.265595049E-1,1.932848617E-2
8.239806250E-1,4.071472883E-1,2.439737618E-1,1.891414449E-2
8.340036251E-1,4.353269935E-1,2.847888172E-1,-1.003388315E-2
8.440256250E-1,4.791339040E-1,3.230126798E-1,-3.830822557E-2
8.540476251E-1,5.359410644E-1,3.474831581E-1,-5.971950665E-2
8.640706250E-1,5.714476109E-1,3.384559155E-1,-6.426503509E-2
8.740926250E-1,5.784056783E-1,2.820070088E-1,-5.696903914E-2
8.841156251E-1,5.693055987E-1,1.887951791E-1,-5.618357658E-2
8.941376250E-1,5.570495129E-1,8.174197376E-2,-7.132124901E-2
9.041596251E-1,5.446760654E-1,-3.445075080E-2,-8.905302733E-2
9.141826250E-1,5.317261815E-1,-1.512228996E-1,-1.027536541E-1
9.242046251E-1,5.163902640E-1,-2.518899441E-1,-1.155926734E-1
9.342276250E-1,5.034039021E-1,-3.517331779E-1,-1.108032465E-1
9.442496251E-1,5.038351417E-1,-4.455419779E-1,-9.056885540E-2
9.542716250E-1,5.115140676E-1,-5.101166964E-1,-6.569226086E-2
9.642946250E-1,5.307824016E-1,-5.484541655E-1,-4.712106660E-2
9.743166250E-1,5.565985441E-1,-5.422487259E-1,-4.804545268E-2
9.843396250E-1,5.749874115E-1,-4.657769799E-1,-6.186192855E-2
9.943616251E-1,5.605024695E-1,-3.332072198E-1,-8.444499969E-2
1.004383625E0,5.321258903E-1,-1.704110354E-1,-9.785014391E-2
1.014406625E0,4.901813567E-1,4.167699255E-3,-1.022068113E-1
1.024428625E0,4.272133708E-1,1.624719054E-1,-1.031757668E-1
1.034451625E0,3.704933822E-1,2.688950002E-1,-1.045406386E-1
1.044473625E0,3.319103122E-1,3.168085217E-1,-9.826280922E-2
1.054495625E0,3.124766946E-1,3.208506703E-1,-6.752646714E-2
1.064518625E0,3.200107813E-1,3.242436349E-1,-5.287866574E-3
1.074540625E0,3.424545825E-1,3.269467354E-1,6.549895555E-2
1.084563625E0,3.630483747E-1,3.232159913E-1,1.106676236E-1
1.094585625E0,3.728669286E-1,2.855881751E-1,1.062880605E-1
1.104608625E0,3.831807375E-1,2.104569674E-1,7.866797596E-2
1.114630625E0,3.785122037E-1,1.175595224E-1,6.863904744E-2
1.124652625E0,3.452480435E-1,2.848428488E-2,1.001081914E-1
1.134675625E0,2.935861945E-1,-4.920598492E-2,1.554183215E-1
1.144697625E0,2.514945865E-1,-1.118107140E-1,2.043966502E-1
1.154719625E0,2.235210091E-1,-1.661357284E-1,2.280564457E-1
1.164742625E0,2.326604724E-1,-1.939320862E-1,2.369960397E-1
1.174764625E0,2.717554271E-1,-1.953081489E-1,2.479695976E-1
1.184787625E0,3.465610445E-1,-1.605278701E-1,2.637282908E-1
1.194809625E0,4.790245593E-1,-9.747407585E-2,2.617838979E-1
1.204832625E0,6.392325759E-1,-4.951708950E-3,2.368385792E-1
1.214854625E0,7.486003637E-1,6.481964886E-2,2.133039534E-1
1.224876625E0,7.519092560E-1,5.459937826E-2,2.339638323E-1
1.234899500E0,7.075609565E-1,-5.558757856E-2,3.176424801E-1
1.244921500E0,7.061327696E-1,-2.015053183E-1,4.536137879E-1
1.254943500E0,7.744483948E-1,-3.066431880E-1,6.261141896E-1
1.264966500E0,8.320416212E-1,-3.881494701E-1,8.125385046E-1
1.274988500E0,8.629326820E-1,-4.856541753E-1,9.581417441E-1
1.285011500E0,8.667354584E-1,-6.021766663E-1,1.007433176E0
1.295033500E0,8.422716260E-1,-7.010193467E-1,9.466622472E-1
1.305056500E0,8.489655852E-1,-7.507855296E-1,8.027527928E-1
1.315078500E0,9.346418977E-1,-7.328352928E-1,6.465991139E-1
1.325100500E0,1.023886085E0,-6.603792310E-1,5.401176214E-1
1.335123500E0,1.079371452E0,-5.747992992E-1,4.939336777E-1
1.345145500E0,1.130069971E0,-5.096615553E-1,4.743120670E-1
1.355168500E0,1.212434173E0,-4.623462558E-1,4.349753261E-1
