"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.216679171E-2,3.724499920E-1,-2.578671054E-1,-7.947241365E-1,-4.039791669E-1,1.362664116E2,1.313583420E2,-5.316218789E1,1.695308409E2
2.218879166E-2,3.723122495E-1,-2.580776500E-1,-7.946611902E-1,-4.040955831E-1,1.362834189E2,1.313565156E2,-5.315878537E1,1.694999289E2
3.221179172E-2,3.721298907E-1,-2.582110026E-1,-7.946626232E-1,-4.041755252E-1,1.363059335E2,1.313589464E2,-5.314543795E1,1.694740267E2
4.223379167E-2,3.718793303E-1,-2.583100477E-1,-7.947548405E-1,-4.041614876E-1,1.363368656E2,1.313804745E2,-5.312091137E1,1.694395042E2
5.225579173E-2,3.715643300E-1,-2.584405976E-1,-7.949269050E-1,-4.040293941E-1,1.363757481E2,1.314296210E2,-5.308888461E1,1.693844475E2
6.227879168E-2,3.712178605E-1,-2.586434082E-1,-7.951352790E-1,-4.038078084E-1,1.364185090E2,1.315017831E2,-5.305580522E1,1.693078400E2
7.230079174E-2,3.708488622E-1,-2.589194701E-1,-7.953472777E-1,-4.035523590E-1,1.364640433E2,1.315859967E2,-5.302351078E1,1.692154703E2
8.232379169E-2,3.704457447E-1,-2.592382477E-1,-7.955437031E-1,-4.033306073E-1,1.365137797E2,1.316680175E2,-5.298986080E1,1.691175097E2
9.234579175E-2,3.700453233E-1,-2.595582055E-1,-7.956947785E-1,-4.031944150E-1,1.365631750E2,1.317336094E2,-5.295771074E1,1.690277409E2
1.023677917E-1,3.697132259E-1,-2.598453731E-1,-7.957680508E-1,-4.031696129E-1,1.366041354E2,1.317726011E2,-5.293340341E1,1.689583334E2
1.123907916E-1,3.694696817E-1,-2.600723128E-1,-7.957692941E-1,-4.032441483E-1,1.366341702E2,1.317846358E2,-5.291772816E1,1.689136687E2
1.224127917E-1,3.693279695E-1,-2.602323022E-1,-7.957150089E-1,-4.033776840E-1,1.366516452E2,1.317763223E2,-5.291135174E1,1.688918817E2
1.324357917E-1,3.693126136E-1,-2.603134771E-1,-7.956399876E-1,-4.034874489E-1,1.366535387E2,1.317614552E2,-5.291541685E1,1.688887543E2
1.424577917E-1,3.694168625E-1,-2.603274909E-1,-7.955758190E-1,-4.035096405E-1,1.366406836E2,1.317531455E2,-5.292884913E1,1.688960813E2
1.524797917E-1,3.695979108E-1,-2.602702765E-1,-7.955374443E-1,-4.034562971E-1,1.366183569E2,1.317508831E2,-5.294650973E1,1.689125805E2
1.625027917E-1,3.698243198E-1,-2.601228047E-1,-7.955177617E-1,-4.033826284E-1,1.365904339E2,1.317445320E2,-5.296442337E1,1.689440877E2
1.725247917E-1,3.700650204E-1,-2.598826520E-1,-7.955061292E-1,-4.033396807E-1,1.365607454E2,1.317257669E2,-5.297948302E1,1.689935646E2
1.825477917E-1,3.702958653E-1,-2.595579737E-1,-7.954814943E-1,-4.033856563E-1,1.365322696E2,1.316852302E2,-5.299004591E1,1.690635270E2
1.925697917E-1,3.705005989E-1,-2.591837729E-1,-7.954316135E-1,-4.035365579E-1,1.365070124E2,1.316228696E2,-5.299624180E1,1.691490104E2
