"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.146991667E-2,7.052110451E0,6.657780660E0,-1.475738559E0
2.149291662E-2,7.031637595E0,6.675905859E0,-1.491468738E0
3.151591658E-2,7.015305153E0,6.690168972E0,-1.504398540E0
4.153791664E-2,7.002826025E0,6.699942008E0,-1.518982958E0
5.156091659E-2,6.995211196E0,6.704175977E0,-1.535306191E0
6.158391666E-2,6.991605218E0,6.704591714E0,-1.549850117E0
7.160591660E-2,6.989209029E0,6.704808646E0,-1.559681041E0
8.162891667E-2,6.986237474E0,6.706821257E0,-1.564326069E0
9.165191662E-2,6.982436784E0,6.710679835E0,-1.564759201E0
1.016749166E-1,6.976878421E0,6.717083121E0,-1.562062465E0
1.116969166E-1,6.968584730E0,6.726920477E0,-1.556743107E0
1.217199166E-1,6.958722231E0,6.738945276E0,-1.548832117E0
1.317429167E-1,6.949475445E0,6.750453765E0,-1.540207766E0
1.417659166E-1,6.941903300E0,6.760086468E0,-1.532088176E0
1.517879167E-1,6.936073626E0,6.767593709E0,-1.525324263E0
1.618109166E-1,6.931352000E0,6.773332751E0,-1.521326522E0
1.718339166E-1,6.927486990E0,6.777010065E0,-1.522555607E0
1.818569166E-1,6.923803829E0,6.779178212E0,-1.529629861E0
1.918789166E-1,6.918288735E0,6.781966749E0,-1.542173015E0
2.019019166E-1,6.909564105E0,6.786689546E0,-1.560394693E0
2.119249166E-1,6.898148001E0,6.792781175E0,-1.584232184E0
2.219479167E-1,6.884962530E0,6.799714803E0,-1.611610748E0
2.319699166E-1,6.870034003E0,6.807766419E0,-1.641050894E0
2.419929166E-1,6.852999895E0,6.817617808E0,-1.671107921E0
2.520159166E-1,6.834926736E0,6.828940941E0,-1.698667456E0
2.620389166E-1,6.818377946E0,6.839859447E0,-1.721087728E0
2.720609166E-1,6.806134461E0,6.848225643E0,-1.736218275E0
2.820839166E-1,6.798664058E0,6.853556550E0,-1.744432005E0
2.921069167E-1,6.794183337E0,6.856611720E0,-1.749864946E0
3.021299166E-1,6.789291556E0,6.859978547E0,-1.755645503E0
3.121519167E-1,6.783046145E0,6.864144688E0,-1.763494513E0
3.221749166E-1,6.777059766E0,6.868431866E0,-1.769811406E0
3.321979166E-1,6.772372053E0,6.872904986E0,-1.770376247E0
3.422209166E-1,6.769374771E0,6.877467569E0,-1.764104670E0
3.522429166E-1,6.767370345E0,6.883024178E0,-1.750080562E0
3.622659167E-1,6.764724480E0,6.890527909E0,-1.730667952E0
3.722889166E-1,6.760190549E0,6.899734935E0,-1.711605883E0
3.823119166E-1,6.753154594E0,6.910162275E0,-1.697260032E0
3.923339166E-1,6.743216082E0,6.921708187E0,-1.689702067E0
4.023569166E-1,6.729982663E0,6.934701285E0,-1.689188974E0
4.123799166E-1,6.713616307E0,6.948955042E0,-1.695734054E0
4.224029166E-1,6.694840897E0,6.964045537E0,-1.708005167E0
4.324249167E-1,6.674622980E0,6.979809045E0,-1.722732842E0
4.424479166E-1,6.654056568E0,6.996301702E0,-1.735335200E0
4.524709167E-1,6.632769195E0,7.014723355E0,-1.742451407E0
4.624939166E-1,6.609329461E0,7.036293148E0,-1.744547488E0
4.725159166E-1,6.582461506E0,7.061754849E0,-1.743256130E0
4.825389166E-1,6.552067094E0,7.091167513E0,-1.738347246E0
4.925619166E-1,6.519211004E0,7.123559334E0,-1.729421618E0
5.025849167E-1,6.485115890E0,7.158036856E0,-1.715188910E0
5.126069166E-1,6.450446579E0,7.194350989E0,-1.693857683E0
5.226299167E-1,6.415355684E0,7.232223405E0,-1.665617093E0
5.326529166E-1,6.379678897E0,7.271122007E0,-1.632966826E0
5.426759166E-1,6.343390492E0,7.310484293E0,-1.598223109E0
5.526979166E-1,6.307130154E0,7.349261273E0,-1.563512429E0
5.627209166E-1,6.271891324E0,7.386249590E0,-1.530624033E0
5.727439167E-1,6.238555763E0,7.420578593E0,-1.500511604E0
5.827669166E-1,6.206743401E0,7.452879197E0,-1.472082734E0
5.927889167E-1,6.175204690E0,7.484468780E0,-1.444196193E0
6.028119166E-1,6.142602954E0,7.516428491E0,-1.416993630E0
6.128349166E-1,6.109156296E0,7.548660098E0,-1.389977885E0
6.228579166E-1,6.077112969E0,7.579647417E0,-1.361513786E0
6.328799166E-1,6.049693036E0,7.607224056E0,-1.329452918E0
6.429029166E-1,6.029592063E0,7.629847518E0,-1.290553000E0
6.529259166E-1,6.017733325E0,7.646902092E0,-1.244130639E0
6.629489167E-1,6.013696992E0,7.658125237E0,-1.193589719E0
6.729709166E-1,6.015102078E0,7.664423273E0,-1.145091889E0
6.829939166E-1,6.019110929E0,7.667701807E0,-1.101245008E0
6.930169166E-1,6.023719119E0,7.669332011E0,-1.064080324E0
7.030399166E-1,6.028926065E0,7.669356569E0,-1.033990260E0
7.130619166E-1,6.036885295E0,7.665932440E0,-1.012713339E0
7.230849166E-1,6.049830446E0,7.656969243E0,-1.003222431E0
7.331079167E-1,6.069711564E0,7.640896416E0,-1.005684693E0
7.431309166E-1,6.097246687E0,7.617322782E0,-1.017872118E0
7.531529167E-1,6.132037620E0,7.586776927E0,-1.036830911E0
7.631759166E-1,6.173138283E0,7.550352282E0,-1.058593516E0
7.731989166E-1,6.219785616E0,7.508750512E0,-1.081215444E0
7.832219166E-1,6.271813556E0,7.462404311E0,-1.101361075E0
7.932439166E-1,6.327818187E0,7.412682513E0,-1.116671790E0
8.032669167E-1,6.385264742E0,7.361270285E0,-1.129691639E0
8.132899166E-1,6.442113127E0,7.308885664E0,-1.146943191E0
8.233129166E-1,6.498646347E0,7.254187886E0,-1.174935055E0
8.333349166E-1,6.557469921E0,7.194236383E0,-1.215996469E0
