"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.883331712E-5,-1.490899658E-1,7.777676239E0,5.267845459E0
9.973166743E-3,7.140151978E-2,8.406069489E0,5.576353912E0
1.999616669E-2,6.111790466E-1,8.923393707E0,5.689368896E0
3.001816664E-2,8.170010376E-1,8.643775177E0,5.879024506E0
4.004016670E-2,4.713697815E-1,7.912396088E0,5.813460846E0
5.006216664E-2,-6.092330933E-2,7.502698059E0,5.610782318E0
6.008416670E-2,-3.613485718E-1,7.706125031E0,5.550757141E0
7.010716666E-2,-3.728746033E-1,8.135581970E0,5.631589050E0
8.012916672E-2,-3.761677551E-1,8.235274658E0,5.729186096E0
9.015116666E-2,-4.379891968E-1,8.192014618E0,5.701793060E0
1.001731667E-1,-4.537065125E-1,8.089178467E0,5.651347961E0
1.101951667E-1,-3.570075989E-1,8.006400604E0,5.580096130E0
1.202181667E-1,-2.598596191E-1,7.829618225E0,5.541476440E0
1.302401667E-1,-1.562750244E-1,7.878865814E0,5.527854767E0
1.402621667E-1,3.891906738E-3,8.185578003E0,5.565276947E0
1.502841667E-1,5.553451538E-2,8.281528473E0,5.625601501E0
1.603071667E-1,-1.676513672E-2,8.183781738E0,5.638774109E0
1.703291667E-1,-1.083746338E-1,8.049660645E0,5.584437103E0
1.803511666E-1,-2.142045593E-1,7.939639435E0,5.619314575E0
1.903731667E-1,-2.633024597E-1,7.908953247E0,5.648204498E0
2.003951666E-1,-2.080673218E-1,8.054750061E0,5.682183838E0
2.104181667E-1,-1.336720276E-1,8.214767303E0,5.691614227E0
2.204401667E-1,-1.526824951E-2,8.335566101E0,5.685327301E0
2.304621667E-1,3.382965088E-2,8.326884155E0,5.683830414E0
2.404841667E-1,-1.329235840E-1,8.182733917E0,5.606291656E0
2.505061667E-1,-2.056723022E-1,8.083041229E0,5.626499634E0
2.605291667E-1,-1.752854919E-1,8.152347107E0,5.680088196E0
2.705511667E-1,-4.035607910E-1,8.137078857E0,5.670657806E0
2.805731667E-1,-8.005352783E-1,7.725285187E0,5.674100647E0
2.905951667E-1,-1.156944122E0,7.215894470E0,5.687572632E0
3.006181667E-1,-1.477876740E0,6.763385468E0,5.576952667E0
3.106401667E-1,-1.757345581E0,6.272855530E0,5.483247528E0
3.206621667E-1,-1.637893982E0,6.366860046E0,5.495072937E0
3.306841668E-1,-1.168619843E0,6.982080688E0,5.526507568E0
3.407061667E-1,-6.171665955E-1,7.537425842E0,5.575605469E0
3.507291666E-1,-5.866300964E-1,8.030201111E0,5.053341522E0
3.607511667E-1,-3.550616455E-1,8.088430023E0,5.066214752E0
3.707731667E-1,-8.562194824E-2,7.759114838E0,5.432952118E0
3.807951667E-1,4.147874451E-1,7.381450195E0,5.455555115E0
3.908181667E-1,9.936337280E-1,7.128775635E0,5.344486084E0
4.008401667E-1,1.771266632E0,7.367379456E0,4.970713348E0
4.108621667E-1,2.533930664E0,7.458090820E0,4.871469727E0
4.208841667E-1,3.078348541E0,7.242838440E0,5.044060822E0
4.309061667E-1,3.402574310E0,7.074139252E0,5.300327911E0
4.409291667E-1,3.401077423E0,7.009773102E0,5.356910248E0
4.509511667E-1,3.615132294E0,7.276069336E0,5.211562500E0
4.609731667E-1,4.539609833E0,7.326813812E0,4.826563110E0
4.709951667E-1,4.581672363E0,7.346423035E0,4.835394745E0
4.810181666E-1,2.697839813E0,8.713230743E0,4.698878632E0
4.910401667E-1,2.274220734E0,9.924661560E0,3.956123199E0
5.010621666E-1,2.072590027E0,9.929750977E0,4.159250793E0
5.110841667E-1,1.859882355E0,9.075028381E0,4.571643219E0
5.211061666E-1,1.681902466E0,8.608298950E0,4.886887665E0
5.311291667E-1,1.642684021E0,9.167835388E0,4.616250458E0
5.411511667E-1,2.124981079E0,1.013123199E1,4.193529510E0
5.511731667E-1,3.814667358E0,1.019365219E1,3.986360321E0
5.611951667E-1,4.795278168E0,8.662785645E0,4.215384064E0
5.712181667E-1,4.244273987E0,7.394323425E0,4.519551544E0
5.812401667E-1,3.376079407E0,7.172484741E0,4.341721344E0
5.912621667E-1,2.992127838E0,7.225474548E0,4.116739197E0
6.012841667E-1,3.748205566E0,7.679779816E0,3.652853851E0
6.113061667E-1,4.632716217E0,8.642877045E0,2.966231689E0
6.213291667E-1,5.790857849E0,8.687484283E0,3.569626923E0
6.313511666E-1,6.016887817E0,9.024433594E0,3.542084198E0
6.413731667E-1,5.677992554E0,9.556726685E0,3.591780853E0
6.513951666E-1,5.674699402E0,9.420210571E0,3.788771210E0
6.614171667E-1,5.495222626E0,8.343798981E0,3.985761566E0
6.714401667E-1,4.790787506E0,7.293133850E0,4.107608185E0
6.814621667E-1,3.997437286E0,6.472390594E0,4.169729004E0
6.914841667E-1,3.310665436E0,6.069129181E0,4.290378113E0
7.015061667E-1,2.981350250E0,5.675896912E0,4.431983643E0
7.115291667E-1,2.174677734E0,4.844226379E0,4.604125671E0
7.215511667E-1,2.285148010E0,5.681884460E0,4.626878357E0
7.315731667E-1,2.741548920E0,6.507866821E0,4.620591431E0
7.415951667E-1,3.895050201E0,6.523883514E0,4.422702942E0
7.516171667E-1,4.919819183E0,5.696404266E0,4.116140442E0
7.616401667E-1,5.098697205E0,4.583019562E0,3.948489075E0
7.716621667E-1,6.683601379E0,7.271878052E0,3.985312500E0
7.816841668E-1,6.961423645E0,9.125473480E0,4.413721619E0
7.917061667E-1,7.559130707E0,1.110525650E1,4.679269409E0
8.017289167E-1,9.166338501E0,1.266561172E1,5.776936798E0
8.117509166E-1,8.516090698E0,1.289104294E1,6.338269501E0
8.217729167E-1,6.672823792E0,1.186792053E1,6.392905884E0
8.317949167E-1,5.057532806E0,1.018032990E1,6.499933319E0
8.418179167E-1,3.825594635E0,8.660390625E0,6.599027252E0
8.518399167E-1,3.344195709E0,8.516689453E0,6.745871887E0
8.618619167E-1,3.405268707E0,9.658664703E0,6.932234344E0
8.718839167E-1,3.233426056E0,1.087907684E1,7.018155670E0
8.819059167E-1,2.990630951E0,1.107831253E1,6.243217163E0
8.919289167E-1,3.881428528E0,1.067475174E1,5.244044952E0
9.019509167E-1,5.125491486E0,1.010638367E1,4.784650269E0
9.119729167E-1,6.062243500E0,9.437125397E0,4.863685913E0
9.219949167E-1,6.611152039E0,8.698710938E0,5.001549225E0
9.320179167E-1,7.129673767E0,7.905660095E0,4.917723541E0
9.420399166E-1,7.751630402E0,7.160509644E0,4.682712250E0
9.520619167E-1,8.284073181E0,6.402485962E0,4.498295746E0
9.620839166E-1,8.580456848E0,5.730084229E0,4.532724152E0
9.721069167E-1,8.720415802E0,5.397924957E0,4.558320923E0
