"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.373216673E-2,-7.942474019E-2,8.061435183E0,5.589548154E0
2.375516668E-2,-9.279512968E-2,8.063592805E0,5.586228690E0
3.377716674E-2,-1.144121763E-1,8.067373030E0,5.580367441E0
4.379916668E-2,-1.397277330E-1,8.071547357E0,5.573750147E0
5.382116674E-2,-1.633090969E-1,8.074935234E0,5.568201140E0
6.384316669E-2,-1.819763512E-1,8.077194598E0,5.564342562E0
7.386616664E-2,-1.941862511E-1,8.078635937E0,5.561838784E0
8.388816670E-2,-1.999420857E-1,8.079424142E0,5.560489247E0
9.391016664E-2,-2.005572676E-1,8.079709486E0,5.560050706E0
1.039321667E-1,-1.971440834E-1,8.080280759E0,5.559342023E0
1.139541666E-1,-1.911012053E-1,8.081565392E0,5.557687846E0
1.239771667E-1,-1.840669500E-1,8.083383291E0,5.555281132E0
1.339991667E-1,-1.790863100E-1,8.085580675E0,5.552245257E0
1.440211667E-1,-1.776938687E-1,8.088637015E0,5.547834118E0
1.540431667E-1,-1.781280062E-1,8.093206614E0,5.541154259E0
1.640661667E-1,-1.784195447E-1,8.098722292E0,5.533079254E0
1.740881667E-1,-1.768120355E-1,8.103912281E0,5.525527575E0
1.841101667E-1,-1.723388790E-1,8.108142741E0,5.519459335E0
1.941321667E-1,-1.656482756E-1,8.111162828E0,5.515224781E0
2.041541667E-1,-1.574505888E-1,8.113059080E0,5.512673641E0
2.141771667E-1,-1.483595298E-1,8.114220922E0,5.511216515E0
2.241991666E-1,-1.394922090E-1,8.114888674E0,5.510465732E0
2.342211667E-1,-1.303246154E-1,8.115366392E0,5.509985676E0
2.442431666E-1,-1.206853890E-1,8.115552918E0,5.509930712E0
2.542651667E-1,-1.117258832E-1,8.115071692E0,5.510827090E0
2.642881667E-1,-1.028433505E-1,8.113974754E0,5.512615753E0
2.743101667E-1,-9.001954777E-2,8.112256842E0,5.515368038E0
