"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.346458315E-3,9.874067357E-1,5.890765715E-1,2.542773554E-1
1.836945838E-2,1.243664031E0,2.001618862E-1,3.279071760E-1
2.839145833E-2,1.148282349E0,1.320827544E-2,3.608701964E-1
3.841445839E-2,8.059469495E-1,-1.489519715E-2,3.286806896E-1
4.843645834E-2,4.063670891E-1,-2.859288454E-4,2.271918100E-1
5.845945841E-2,2.391316599E-2,-2.285852015E-2,1.250163943E-1
6.848145835E-2,-3.000834562E-1,-6.690618038E-2,6.481170774E-2
7.850445842E-2,-4.266688776E-1,-1.352209550E-1,-3.039448477E-2
8.852745837E-2,-3.787768924E-1,-1.908513647E-1,-1.480596864E-1
9.854945831E-2,-2.911496050E-1,-1.315342855E-1,-2.292856979E-1
1.085724584E-1,-1.647737331E-1,7.455199957E-4,-2.889846734E-1
1.185944583E-1,-1.551084683E-1,1.010966045E-1,-2.569612274E-1
1.286174584E-1,-2.029917193E-1,8.263519049E-2,-1.738932699E-1
1.386394583E-1,-2.783361262E-1,-2.036585212E-3,-1.129572429E-1
1.486624584E-1,-3.576283539E-1,-7.996008933E-2,-1.122378892E-1
1.586854584E-1,-4.044046173E-1,-1.427761424E-1,-1.126618854E-1
1.687074584E-1,-4.152262786E-1,-1.676355797E-1,-1.005112982E-1
1.787304584E-1,-4.037115030E-1,-1.341678715E-1,-5.640750468E-2
1.887525833E-1,-3.031005098E-1,-7.729258955E-2,-1.624941230E-2
1.987755834E-1,-1.354812292E-1,-4.722913027E-2,8.421320781E-2
2.087985834E-1,-8.672909112E-2,-1.774863839E-2,1.812384691E-1
2.188205833E-1,-7.166511043E-2,1.867308319E-2,2.026194710E-1
2.288435834E-1,-3.467818237E-2,-8.590729237E-3,2.203322951E-1
2.388655833E-1,-1.982319396E-2,-5.217061222E-2,2.748884983E-1
2.488885834E-1,9.679234112E-3,-5.906214058E-2,2.380769867E-1
2.589105833E-1,1.915977618E-1,-3.880212307E-3,1.707631823E-1
2.689335834E-1,4.852145629E-1,2.578855991E-2,1.678103384E-1
2.789565834E-1,5.846714985E-1,-6.441643596E-2,2.180607980E-1
2.889785834E-1,5.063259716E-1,-1.243626755E-1,1.878716236E-1
2.990015834E-1,4.119084223E-1,-1.347601944E-1,1.208349773E-1
3.090235833E-1,3.722259643E-1,-8.939924955E-2,8.721180618E-2
3.190465834E-1,3.412972633E-1,2.384962320E-2,4.437890500E-3
3.290685833E-1,2.993260590E-1,1.736166966E-1,-9.838532366E-2
3.390915834E-1,2.210192699E-1,2.675913924E-1,-1.402904910E-1
3.491145833E-1,1.813257205E-1,1.845498204E-1,-1.121478420E-1
3.591365834E-1,4.315010897E-1,-4.325419307E-2,1.731652915E-2
3.691595834E-1,6.250713001E-1,-3.536676693E-1,4.024126902E-2
