"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.302092552E-3,5.238118742E1,4.860425265E0,2.405212374E0,NaN,NaN,2.796184280E1,3.000000000E1
4.465401173E-2,5.238119003E1,4.860417823E0,2.405055971E0,NaN,NaN,7.125094473E1,3.000285204E1
5.234280825E-1,5.238115889E1,4.860464926E0,2.536929286E0,NaN,NaN,2.317304224E1,3.000000000E1
2.137703061E0,5.238116141E1,4.860518952E0,2.444703519E0,7.900000215E-1,NaN,2.008543177E1,3.000000000E1
5.646711349E0,5.238128515E1,4.860697081E0,8.571434021E-1,1.740000010E0,3.164062500E1,2.328262496E1,4.000000000E0
6.646987915E0,5.238128607E1,4.860715605E0,1.305629730E0,1.740000010E0,2.953125000E1,1.926438071E1,4.000000000E0
7.646994710E0,5.238129215E1,4.860715354E0,1.832790375E0,1.740000010E0,4.570312500E0,1.774802165E1,4.000000000E0
8.646990180E0,5.238130585E1,4.860718455E0,2.087673187E0,2.410000086E0,3.543750000E2,1.625853673E1,4.000000000E0
9.646999955E0,5.238130334E1,4.860726250E0,1.894680023E0,5.600000024E-1,3.536718750E2,1.589897971E1,4.000000000E0
1.064700532E1,5.238129630E1,4.860742008E0,1.745265961E0,1.250000000E0,1.968750000E1,1.595263535E1,4.000000000E0
1.164699769E1,5.238128787E1,4.860760700E0,2.091945648E0,7.900000215E-1,4.218750000E1,1.400000000E1,4.000000000E0
1.264700222E1,5.238127492E1,4.860775536E0,2.160488129E0,1.800000072E-1,5.132812500E1,1.400000000E1,4.000000000E0
1.364700997E1,5.238127492E1,4.860775536E0,2.160488196E0,1.800000072E-1,NaN,1.307681975E1,4.000000000E0
1.464700103E1,5.238125938E1,4.860785175E0,2.345363685E0,0.000000000E0,NaN,1.300333537E1,4.000000000E0
1.564700210E1,5.238124441E1,4.860803867E0,2.325832434E0,5.099999905E-1,NaN,1.257926591E1,4.000000000E0
1.664700806E1,5.238122509E1,4.860814596E0,3.065273352E0,5.099999905E-1,NaN,1.034265549E1,4.000000000E0
1.764700186E1,5.238122258E1,4.860805208E0,3.247280188E0,8.600000143E-1,NaN,1.026743629E1,4.000000000E0
1.864700782E1,5.238123260E1,4.860785919E0,3.882228976E0,8.600000143E-1,3.135937428E2,8.958005342E0,4.000000000E0
1.964701784E1,5.238122945E1,4.860800849E0,4.051906653E0,3.700000048E-1,NaN,8.644822831E0,4.000000000E0
2.064701259E1,5.238124574E1,4.860817999E0,4.893398484E0,1.289999962E0,1.687500436E1,7.974103362E0,4.000000000E0
2.164700615E1,5.238123846E1,4.860824402E0,5.468776771E0,3.700000048E-1,NaN,7.065182893E0,4.000000000E0
2.264699912E1,5.238124894E1,4.860866157E0,5.748867233E0,1.289999962E0,5.589844993E1,6.619291260E0,4.000000000E0
2.364699292E1,5.238124718E1,4.860879555E0,6.113002845E0,1.110000014E0,NaN,6.774368333E0,4.000000000E0
2.464698601E1,5.238124479E1,4.860889446E0,7.336696693E0,0.000000000E0,NaN,5.546086871E0,4.000000000E0
2.564698005E1,5.238124274E1,4.860892463E0,8.007595131E0,2.000000030E-1,NaN,5.302886147E0,4.000000000E0
