"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.509999856E-4,1.103879471E1,2.866688690E0,-1.957030334E0
9.871999966E-3,1.100017502E1,2.258653107E0,-1.393601990E0
1.989499992E-2,1.035351974E1,1.914219360E0,-1.132544861E0
2.991799999E-2,9.545050964E0,1.686542816E0,-1.114582214E0
3.994099994E-2,8.699160004E0,1.637295227E0,-1.070873108E0
4.996300000E-2,8.334069214E0,1.851350098E0,-1.264869690E0
5.998599995E-2,8.369844818E0,2.214345245E0,-1.789678345E0
7.000900002E-2,9.185947723E0,2.572849731E0,-2.558030548E0
8.003199997E-2,9.657467194E0,2.404449921E0,-1.928140411E0
9.005499992E-2,9.566007385E0,1.932780762E0,-1.539847870E0
1.000776250E-1,9.427245941E0,1.707050171E0,-1.542991333E0
1.100996250E-1,9.168733521E0,1.700912933E0,-1.573078766E0
1.201226250E-1,8.939111023E0,1.795665894E0,-1.688189392E0
1.301456250E-1,8.896300049E0,1.972897339E0,-1.639540558E0
1.401686249E-1,8.971294098E0,2.151925049E0,-1.491049347E0
1.501916250E-1,8.966204681E0,2.226170654E0,-1.406175842E0
1.602146249E-1,8.884025574E0,2.216590576E0,-1.403331757E0
1.702376250E-1,8.857530670E0,2.126028900E0,-1.265318756E0
1.802596250E-1,8.911418610E0,1.997895355E0,-1.272354126E0
1.902826249E-1,8.943601685E0,1.912273407E0,-1.274898834E0
2.003056250E-1,8.976982269E0,1.885928192E0,-1.048569489E0
2.103286249E-1,9.047785034E0,1.892664185E0,-8.702902222E-1
2.203516250E-1,9.137448578E0,1.914967804E0,-1.047521667E0
2.303746250E-1,9.086704102E0,1.983824615E0,-1.141975250E0
2.403966250E-1,8.920998688E0,2.028880920E0,-1.092128906E0
2.504196250E-1,8.714428253E0,2.035167847E0,-9.201365662E-1
2.604426249E-1,8.724307709E0,2.022593994E0,-4.694238281E-1
2.704656250E-1,9.034013672E0,1.913770294E0,-6.728507996E-1
2.804886249E-1,9.394763489E0,1.778451691E0,-1.285826111E0
2.905116250E-1,9.517059174E0,1.696721649E0,-1.591490479E0
3.005336249E-1,9.566905518E0,1.620230713E0,-1.689686279E0
3.105566250E-1,9.698930969E0,1.541644135E0,-1.604363708E0
3.205796250E-1,9.870324554E0,1.502276001E0,-1.346300354E0
3.306026249E-1,1.018197647E1,1.477727051E0,-9.607022095E-1
3.406256250E-1,1.073103470E1,1.451980591E0,-1.102158051E0
3.506486249E-1,1.118114868E1,1.479074249E0,-1.565594330E0
3.606706250E-1,1.121108643E1,1.558858337E0,-2.120340729E0
3.706936250E-1,1.087817871E1,1.727707214E0,-2.397713928E0
3.807166250E-1,1.048300049E1,1.795665894E0,-2.298470306E0
3.907396250E-1,1.033929932E1,1.673519897E0,-2.103126526E0
4.007626249E-1,1.030472122E1,1.457070007E0,-1.903890839E0
4.107856250E-1,1.014784744E1,1.194366302E0,-1.805545349E0
4.208076249E-1,9.765542450E0,1.051263885E0,-1.861379242E0
4.308306250E-1,9.340127106E0,1.066831512E0,-1.820663910E0
4.408536250E-1,9.033265228E0,1.105900269E0,-1.878743134E0
4.508766250E-1,8.831035767E0,1.149759064E0,-1.889371033E0
4.608996250E-1,8.603658600E0,1.150058441E0,-1.901795197E0
4.709226249E-1,8.396639099E0,1.148262177E0,-2.127226410E0
