"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.419582594E-4,8.536598053E0,4.085454254E0,-4.866679688E0
1.056495833E-2,8.766220551E0,3.870950317E0,-4.945715332E0
2.058795828E-2,8.586743774E0,3.478167114E0,-4.667444000E0
3.061095835E-2,8.096213837E0,3.186423798E0,-4.565505981E0
4.063295829E-2,7.461234283E0,3.223845978E0,-4.399052124E0
5.065595824E-2,7.156018982E0,3.513044586E0,-4.380640411E0
6.067895831E-2,7.204967194E0,3.748205566E0,-4.415667572E0
7.070195826E-2,7.496261444E0,3.867507477E0,-4.562362518E0
8.072495833E-2,7.904312897E0,3.935765533E0,-4.602479095E0
9.074795828E-2,8.277187500E0,3.874393158E0,-4.518952789E0
1.007709584E-1,8.357121277E0,3.682941284E0,-4.452640686E0
1.107939583E-1,8.209079132E0,3.472329254E0,-4.460274811E0
1.208169583E-1,8.064779205E0,3.327729950E0,-4.503834229E0
1.308399583E-1,7.968379669E0,3.303630066E0,-4.613406372E0
1.408629583E-1,7.950866089E0,3.430416412E0,-4.702471161E0
1.508859583E-1,8.039781189E0,3.582051086E0,-4.769980774E0
1.609079583E-1,8.148006134E0,3.637136536E0,-4.803660736E0
1.709309584E-1,8.257877655E0,3.406017151E0,-4.800666962E0
1.809539583E-1,8.207881622E0,2.991379395E0,-4.676275635E0
1.909769583E-1,7.981552277E0,2.697241058E0,-4.547992401E0
2.009999583E-1,7.716752930E0,2.685864716E0,-4.484524384E0
2.110229583E-1,7.527696075E0,2.882406006E0,-4.483177185E0
2.210459583E-1,7.434739380E0,3.160976715E0,-4.665198669E0
2.310689583E-1,7.595056000E0,3.392545166E0,-4.850213928E0
2.410919582E-1,7.980654144E0,3.477867737E0,-4.944368134E0
2.511149583E-1,8.361761627E0,3.499273224E0,-4.872667236E0
2.611379583E-1,8.596473541E0,3.425326996E0,-4.726720734E0
2.711599583E-1,8.553213501E0,3.133284302E0,-4.631369019E0
2.811836667E-1,8.341254272E0,2.889291687E0,-4.606820068E0
2.912066666E-1,8.249794464E0,2.853815460E0,-4.752766571E0
3.012296667E-1,8.270152130E0,2.908751221E0,-4.887336731E0
3.112526666E-1,8.320896606E0,3.010838928E0,-4.948110352E0
3.212756666E-1,8.356672211E0,3.200195160E0,-5.072801056E0
3.312986667E-1,8.256829834E0,3.344944153E0,-5.220543823E0
3.413216666E-1,8.090226288E0,3.505560150E0,-5.249134369E0
3.513446667E-1,7.808661804E0,3.629053345E0,-5.152734833E0
3.613676666E-1,7.401358795E0,3.594325562E0,-5.028343506E0
3.713906666E-1,7.141798553E0,3.394042053E0,-5.066214752E0
3.814136666E-1,7.210505676E0,3.081492004E0,-5.155578918E0
3.914356666E-1,7.625891876E0,2.746039581E0,-5.168302460E0
4.014586667E-1,8.177943878E0,2.518063660E0,-5.000950470E0
4.114816666E-1,8.495433655E0,2.508782959E0,-4.733157349E0
4.215046667E-1,8.368497620E0,2.683619385E0,-4.450694733E0
4.315276666E-1,7.943082275E0,3.011737061E0,-4.164938965E0
4.415506666E-1,7.657027130E0,3.298540649E0,-4.158652039E0
4.515736667E-1,7.616760864E0,3.295846252E0,-4.412524109E0
4.615966666E-1,7.815996552E0,3.103795624E0,-4.877756653E0
4.716196667E-1,8.171507263E0,2.859803009E0,-5.378914490E0
4.816426666E-1,8.471782837E0,2.773582306E0,-5.751190338E0
4.916656666E-1,8.426576843E0,2.829116821E0,-5.998775482E0
5.016886666E-1,7.935448151E0,2.957998810E0,-6.161187744E0
5.117106666E-1,7.358398132E0,3.041525116E0,-6.289770355E0
5.217336667E-1,6.762487335E0,3.020868073E0,-6.192772064E0
5.317566666E-1,6.385271759E0,2.857557678E0,-5.987548828E0
5.417796667E-1,6.408772888E0,2.626438293E0,-5.719456329E0
5.518026666E-1,6.636150055E0,2.441423035E0,-5.509143677E0
5.618256666E-1,6.884932709E0,2.336191864E0,-5.464386749E0
5.718486666E-1,7.264543304E0,2.314037933E0,-5.490582275E0
5.818716666E-1,7.930658112E0,2.499202881E0,-5.540428619E0
5.918946667E-1,8.615933075E0,2.769690399E0,-5.699697418E0
6.019176666E-1,8.655151520E0,2.881208496E0,-5.926924896E0
6.119406667E-1,8.018525391E0,2.818788300E0,-5.768105164E0
6.219636666E-1,7.514224091E0,2.702629852E0,-5.265151062E0
6.319856666E-1,7.380552063E0,2.466121674E0,-5.105582886E0
6.420086666E-1,7.790250092E0,2.301164703E0,-5.387446747E0
6.520316666E-1,8.409512329E0,2.244133301E0,-5.804329834E0
6.620546667E-1,8.538843384E0,2.300416260E0,-6.133944397E0
6.720776666E-1,8.321046295E0,2.367925873E0,-6.070925446E0
6.821006667E-1,7.852819977E0,2.279609528E0,-5.636528778E0
6.921236666E-1,7.237749023E0,2.059567108E0,-5.248236237E0
7.021466666E-1,6.817273407E0,2.012265472E0,-4.954397278E0
7.121696667E-1,6.633305969E0,2.142494659E0,-4.854255524E0
7.221926666E-1,6.600973206E0,2.244582367E0,-4.942571869E0
