"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.058958338E-3,7.110190845E-1,4.543277791E-1,-5.851045579E-1
1.808195829E-2,5.759419709E-1,7.346851051E-2,-2.824778187E-1
2.810495824E-2,1.189177483E-1,-2.538986751E-1,-1.752609336E-1
3.812795831E-2,-5.125031894E-1,-2.627811804E-1,1.716800988E-2
4.815095826E-2,-8.553213501E-1,1.659469038E-2,7.634914130E-2
5.817395833E-2,-8.295088166E-1,2.939711058E-1,8.219723403E-2
6.819695828E-2,-5.519514298E-1,4.426435804E-1,-5.426800847E-3
7.821995835E-2,-1.265547967E-1,5.269452274E-1,-2.703927934E-2
8.824295830E-2,2.692327058E-1,5.099576041E-1,8.791522622E-2
9.826495824E-2,4.150049615E-1,3.422951272E-1,1.978767943E-1
1.082879583E-1,2.910258633E-1,1.417180887E-1,2.305598062E-1
1.183109583E-1,1.605300432E-1,-1.338895440E-2,2.195190936E-1
1.283339583E-1,5.504627287E-2,-4.186752588E-2,1.373630825E-1
1.383569583E-1,2.910393119E-2,8.321552664E-2,4.126906335E-2
1.483799584E-1,9.627791405E-2,2.494623926E-1,-3.118729413E-2
1.584029583E-1,1.953601527E-1,3.404748890E-1,-7.317907333E-2
1.684259583E-1,3.007035899E-1,1.600599271E-1,-9.102068245E-2
1.784489583E-1,2.711681342E-1,-2.477272314E-1,6.658224463E-3
1.884719583E-1,5.847449541E-2,-5.633669490E-1,1.445317689E-1
1.984949583E-1,-2.073826128E-1,-6.044161570E-1,2.256317729E-1
2.085179583E-1,-4.024170756E-1,-4.164705661E-1,2.552797875E-1
2.185399584E-1,-5.078178155E-1,-1.339342752E-1,1.185996598E-1
2.285629583E-1,-3.625133371E-1,1.122618628E-1,-5.011356175E-2
2.385859583E-1,1.547699511E-2,2.280829257E-1,-1.332106823E-1
2.486089583E-1,4.228595263E-1,2.669514146E-1,-4.932711124E-2
2.586319583E-1,7.044012058E-1,2.163405472E-1,1.317178881E-1
2.686549583E-1,7.098250830E-1,-4.465050817E-2,2.651867250E-1
2.786779583E-1,5.202700460E-1,-3.051360717E-1,3.277405304E-1
2.887016666E-1,4.050524157E-1,-3.613298607E-1,2.129257733E-1
2.987246666E-1,4.311608183E-1,-3.088826752E-1,7.832579255E-2
3.087476667E-1,4.863684744E-1,-2.074425468E-1,2.983424842E-2
3.187706666E-1,5.348149949E-1,-2.582832098E-2,-7.299839437E-2
3.287936667E-1,4.580533326E-1,1.340079501E-1,-2.157920784E-1
3.388156666E-1,2.999604088E-1,2.842466015E-1,-2.435108042E-1
3.488386667E-1,5.526086569E-2,4.166638166E-1,-1.608966637E-1
3.588616666E-1,-3.437578082E-1,4.008494371E-1,-1.136347890E-2
3.688846666E-1,-6.223361188E-1,2.149398467E-1,-2.227789164E-2
3.789076667E-1,-5.883608723E-1,-1.045876846E-1,-9.699244380E-2
3.889306666E-1,-1.845375413E-1,-4.523654535E-1,-1.035693920E-1
3.989536667E-1,3.901449394E-1,-7.034659436E-1,8.057814002E-2
4.089766666E-1,7.813400388E-1,-7.215391025E-1,3.872710329E-1
4.189996666E-1,7.381507498E-1,-5.640168670E-1,7.060793567E-1
4.290226666E-1,3.378117746E-1,-2.380611992E-1,1.047563767E0
4.390456666E-1,4.783782542E-2,7.997996986E-2,1.117613996E0
