"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.964083338E-3,3.611988831E-1,8.275241547E0,5.508544922E0
1.298508327E-2,5.758525085E-1,8.057743835E0,6.060896301E0
2.300708333E-2,2.339634705E-1,7.198680267E0,6.280190277E0
3.302908328E-2,1.089733887E-1,7.080426178E0,6.127807159E0
4.305108334E-2,-3.173400879E-2,7.460485840E0,5.823639679E0
5.307308328E-2,-2.055226135E-1,8.011639709E0,5.727838898E0
6.309408334E-2,-2.891986084E-1,8.196056213E0,5.830076294E0
7.311608328E-2,-2.683918762E-1,7.969577179E0,5.851631470E0
8.313808334E-2,-2.718347168E-1,7.770491180E0,5.881269836E0
9.316008328E-2,-3.547622681E-1,7.705825653E0,5.756878510E0
1.031810833E-1,-4.126918030E-1,7.257507935E0,5.743107147E0
1.132030833E-1,-3.691323853E-1,6.999145203E0,5.676196289E0
1.232250833E-1,-4.890330505E-1,7.208260345E0,5.683231659E0
1.332470833E-1,-4.403842163E-1,7.516170044E0,5.891897736E0
1.432690833E-1,3.427871704E-2,8.056097260E0,5.927673340E0
1.532900833E-1,-3.382965088E-2,8.005053406E0,5.900130615E0
1.633120833E-1,-3.351530457E-1,7.476801910E0,5.905818787E0
1.733340833E-1,-5.375321960E-1,7.149582367E0,5.896987152E0
1.833560833E-1,-6.092330933E-1,7.272327118E0,6.013145599E0
1.933780833E-1,-6.309379578E-1,7.243437195E0,6.228996735E0
2.033990833E-1,-8.705895996E-1,7.038213959E0,6.350543976E0
2.134210833E-1,-1.063688049E0,7.076234894E0,6.412814484E0
2.234430833E-1,-1.136885834E0,7.123835907E0,6.537355499E0
2.334650833E-1,-1.252445526E0,7.145989838E0,6.567143555E0
2.434860833E-1,-1.240470428E0,7.364235992E0,6.737938385E0
2.535080833E-1,-1.381626892E0,7.248227234E0,6.715784454E0
2.635300833E-1,-1.929038544E0,6.634503479E0,6.561305695E0
2.735520833E-1,-2.590513000E0,6.150260468E0,6.436016235E0
2.835740834E-1,-2.855911102E0,6.034850464E0,6.478378143E0
2.935950833E-1,-2.913840637E0,6.158643036E0,6.590045929E0
3.036170834E-1,-3.335962830E0,6.211932220E0,6.711892548E0
3.136390833E-1,-3.484903107E0,6.559808807E0,6.631210327E0
3.236610834E-1,-3.329077148E0,6.727909241E0,6.572083282E0
3.336830833E-1,-3.283571777E0,6.660100250E0,6.384822693E0
3.437040834E-1,-3.455414429E0,6.818470917E0,6.164331207E0
3.537260833E-1,-3.347638550E0,7.214247894E0,5.877527618E0
3.637480834E-1,-3.589535522E0,7.599097595E0,4.963677979E0
3.737700833E-1,-3.665427704E0,7.764054565E0,4.429738312E0
3.837910834E-1,-3.564986572E0,8.482410736E0,4.775070190E0
3.938130833E-1,-2.459685059E0,9.748627625E0,3.863465881E0
4.038350834E-1,-3.411405945E-1,1.072459808E1,1.185085602E0
4.138570833E-1,1.595681763E-1,1.044333298E1,1.535656586E0
4.238790834E-1,2.062411194E0,1.010009674E1,1.693428497E0
4.338999166E-1,5.745951233E0,9.834099884E0,6.791377258E-1
4.439219167E-1,9.536369019E0,9.284891968E0,2.529739380E-2
4.539439166E-1,1.378767838E1,8.153394928E0,6.032455444E-1
4.639659167E-1,1.737107666E1,6.755002899E0,2.375709686E0
4.739879166E-1,1.885179749E1,5.467380524E0,4.545747070E0
4.840089167E-1,1.756103165E1,4.412524109E0,6.251300354E0
4.940309166E-1,1.425530594E1,3.911815338E0,6.843618622E0
5.040529167E-1,1.139670044E1,3.906725922E0,6.560257874E0
5.140749166E-1,9.566456451E0,4.219874725E0,5.828429718E0
5.240959167E-1,8.366102600E0,4.541855164E0,4.955594788E0
5.341179166E-1,7.446415100E0,4.826712799E0,4.328698425E0
5.441399167E-1,6.730154572E0,5.120851135E0,4.045637054E0
5.541619166E-1,6.153254242E0,5.417234802E0,3.861070862E0
5.641839167E-1,5.755082245E0,5.638325043E0,3.872447205E0
