"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.173408329E-2,-2.182764560E-1,7.382121682E-1,2.832809985E-1
2.175508335E-2,-2.004652321E-1,8.619447947E-1,1.932823807E-1
3.177708329E-2,-1.765504926E-1,1.002562046E0,1.344092637E-1
4.179908335E-2,-1.771731377E-1,1.074141264E0,9.893409163E-2
5.182108330E-2,-1.891465038E-1,1.050277710E0,1.137814969E-1
6.184208335E-2,-2.053880543E-1,9.822479486E-1,1.658004820E-1
7.186408329E-2,-2.131306678E-1,9.460739493E-1,2.401048094E-1
8.188608335E-2,-2.162367105E-1,8.897928596E-1,2.545657754E-1
9.190808330E-2,-2.175136060E-1,7.791954875E-1,2.526628077E-1
1.019300834E-1,-2.219903767E-1,6.880823970E-1,2.847869396E-1
1.119510833E-1,-2.530079484E-1,5.546148419E-1,2.906886339E-1
1.219730834E-1,-2.667525113E-1,4.554544389E-1,3.073480427E-1
1.319950833E-1,-2.563276589E-1,4.429264665E-1,3.013499379E-1
1.420170834E-1,-2.387545258E-1,4.213671088E-1,2.334976643E-1
1.520390833E-1,-2.103859186E-1,3.630464673E-1,2.109882385E-1
1.620600834E-1,-1.919134408E-1,2.830914557E-1,2.358911932E-1
1.720820833E-1,-1.941248626E-1,1.954000741E-1,2.560385764E-1
1.821040834E-1,-1.905879229E-1,1.377069503E-1,2.685136199E-1
1.921260833E-1,-1.821444780E-1,6.864331663E-2,2.904985249E-1
2.021470834E-1,-1.831130683E-1,-4.114123434E-2,3.234679103E-1
2.121690833E-1,-1.944092959E-1,-1.841395199E-1,3.560687900E-1
2.221910834E-1,-2.077503949E-1,-3.271494210E-1,3.588629663E-1
2.322130833E-1,-2.274185419E-1,-4.222348928E-1,3.352635503E-1
2.422350832E-1,-2.418704480E-1,-5.311717391E-1,3.035636842E-1
2.522560833E-1,-2.605687678E-1,-7.097010016E-1,2.831894457E-1
2.622780834E-1,-2.893908322E-1,-9.922294021E-1,3.065573275E-1
2.723000833E-1,-3.315970898E-1,-1.294204950E0,3.688771427E-1
2.823220833E-1,-3.563109338E-1,-1.591091752E0,3.851043284E-1
2.923430833E-1,-3.450005949E-1,-1.852524638E0,3.976024687E-1
3.023650832E-1,-3.325822651E-1,-2.056615353E0,4.468767941E-1
3.123870833E-1,-3.512451053E-1,-2.198200703E0,4.845846295E-1
3.224090833E-1,-4.050090015E-1,-2.225126505E0,5.830537081E-1
3.324310833E-1,-6.596644521E-1,-2.732305527E0,6.021182537E-1
3.424520832E-1,-8.414054513E-1,-3.247452021E0,5.759745836E-1
3.524740833E-1,-1.168040156E0,-4.084238529E0,4.388853312E-1
3.624960833E-1,-1.611307621E0,-5.481413364E0,3.015091121E-1
3.725180833E-1,-1.891978145E0,-6.334469795E0,3.253532946E-1
3.825400833E-1,-2.160913706E0,-6.961864471E0,2.552082837E-1
3.925610833E-1,-2.582599401E0,-8.162598610E0,6.765065342E-2
4.025830833E-1,-2.944431305E0,-9.956638336E0,-2.926484048E-1
4.126050833E-1,-2.892324686E0,-1.017003345E1,-2.781387866E-1
4.226270833E-1,-2.742088079E0,-1.018011093E1,1.249964237E-1
4.326479166E-1,-2.650631189E0,-9.925238609E0,7.181030512E-1
4.426699167E-1,-2.654302597E0,-9.210446358E0,1.233716846E0
4.526919166E-1,-2.669012308E0,-7.975970745E0,1.369332790E0
4.627139167E-1,-2.593415499E0,-6.372631550E0,1.073182940E0
4.727359166E-1,-2.377906084E0,-4.620922565E0,5.522796512E-1
