"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.340858336E-2,-1.186605220E0,7.272811267E0,6.475669128E0
2.343058342E-2,-1.176598441E0,7.272147024E0,6.478240149E0
3.345158335E-2,-1.176360460E0,7.269866025E0,6.480842745E0
4.347358341E-2,-1.199032892E0,7.268282599E0,6.478463513E0
5.349558336E-2,-1.230169827E0,7.266961713E0,6.474106168E0
6.351758342E-2,-1.249388309E0,7.263824682E0,6.473946539E0
7.353958336E-2,-1.253738492E0,7.257692122E0,6.479980280E0
8.356158331E-2,-1.251559381E0,7.249769729E0,6.489263320E0
9.358258336E-2,-1.248298096E0,7.240956221E0,6.499723989E0
1.036045834E-1,-1.244943548E0,7.231785448E0,6.510567650E0
1.136265834E-1,-1.243227537E0,7.222996498E0,6.520644742E0
1.236485833E-1,-1.244704982E0,7.215374068E0,6.528796345E0
1.336705834E-1,-1.249390356E0,7.208885998E0,6.535065730E0
1.436925833E-1,-1.255761921E0,7.202803724E0,6.540549248E0
1.537135834E-1,-1.261384019E0,7.196534924E0,6.546364889E0
1.637355833E-1,-1.264766487E0,7.189723502E0,6.553192683E0
1.737575834E-1,-1.262809277E0,7.182007517E0,6.562024902E0
1.837795833E-1,-1.253816406E0,7.173046074E0,6.573542163E0
1.938015834E-1,-1.237002153E0,7.162635691E0,6.588063138E0
2.038235833E-1,-1.211114555E0,7.150443077E0,6.606093028E0
2.138445834E-1,-1.175993839E0,7.137155864E0,6.626775214E0
2.238665833E-1,-1.130735148E0,7.123172833E0,6.649657708E0
2.338885834E-1,-1.071877879E0,7.107604036E0,6.676012278E0
2.439105833E-1,-9.950468539E-1,7.089350783E0,6.707241672E0
2.539325834E-1,-8.982062915E-1,7.067116161E0,6.744271504E0
2.639545833E-1,-7.775405180E-1,7.040132430E0,6.787346188E0
2.739755834E-1,-6.286796900E-1,7.007016724E0,6.836854563E0
2.839975833E-1,-4.466504581E-1,6.965586863E0,6.893272592E0
2.940195834E-1,-2.261266483E-1,6.914400337E0,6.955288746E0
3.040415833E-1,3.636741556E-2,6.854129577E0,7.018239870E0
3.140635834E-1,3.436733890E-1,6.785780303E0,7.076098654E0
3.240845833E-1,7.021112169E-1,6.709510977E0,7.122190500E0
3.341065834E-1,1.106894953E0,6.622809048E0,7.151872721E0
3.441285833E-1,1.538292657E0,6.527019961E0,7.160151209E0
3.541505834E-1,1.951591547E0,6.435383567E0,7.142354624E0
3.641725833E-1,2.276497493E0,6.363380953E0,7.110628216E0
3.741945834E-1,2.504095539E0,6.306446614E0,7.084795802E0
3.842155833E-1,2.689582375E0,6.251983894E0,7.065050924E0
3.942375834E-1,2.855173768E0,6.200937116E0,7.045031227E0
4.042595833E-1,2.986769742E0,6.161935018E0,7.024661282E0
4.142815834E-1,3.078235982E0,6.135796795E0,7.008035894E0
4.243035833E-1,3.146827330E0,6.114198934E0,6.996437942E0
4.343255834E-1,3.203778041E0,6.090300779E0,6.991433895E0
4.443462084E-1,3.254313187E0,6.064996954E0,6.990090204E0
4.543682084E-1,3.304075039E0,6.040041037E0,6.988354166E0
4.643902084E-1,3.357888134E0,6.017234557E0,6.982376558E0
4.744122083E-1,3.419120469E0,5.996133710E0,6.970803164E0
4.844342084E-1,3.489361316E0,5.975582501E0,6.953623459E0
4.944562083E-1,3.565714843E0,5.956170330E0,6.931509290E0
5.044772084E-1,3.660523644E0,5.935330853E0,6.899892810E0
5.144992083E-1,3.789298336E0,5.909271567E0,6.852577726E0
5.245212084E-1,3.957157572E0,5.876195038E0,6.785818895E0
5.345432083E-1,4.168443786E0,5.830751063E0,6.697949277E0
5.445652084E-1,4.418059083E0,5.768060725E0,6.591383187E0
5.545872083E-1,4.691557918E0,5.685494531E0,6.473063024E0
5.646082084E-1,4.970438529E0,5.584482127E0,6.351724529E0
5.746302083E-1,5.236584490E0,5.470211746E0,6.236270671E0
5.846522084E-1,5.474160370E0,5.348780279E0,6.136792576E0
5.946742083E-1,5.666717368E0,5.226674629E0,6.066819531E0
6.046962084E-1,5.795767756E0,5.113206486E0,6.041548449E0
6.147182083E-1,5.851250816E0,5.017040838E0,6.068629829E0
6.247392084E-1,5.842620910E0,4.938420346E0,6.141000232E0
6.347612083E-1,5.794351560E0,4.868330356E0,6.241870549E0
6.447832084E-1,5.730505228E0,4.797859129E0,6.354364547E0
6.548052083E-1,5.669194833E0,4.719773072E0,6.466843926E0
6.648272084E-1,5.619827376E0,4.631724529E0,6.572728815E0
6.748492083E-1,5.588352399E0,4.533909382E0,6.667089427E0
6.848702084E-1,5.581039871E0,4.425559891E0,6.745554968E0
6.948922083E-1,5.603922949E0,4.304218765E0,6.804839888E0
7.049142084E-1,5.662440130E0,4.167470517E0,6.841422408E0
7.149362083E-1,5.756924118E0,4.014766387E0,6.853872884E0
7.249582084E-1,5.882726963E0,3.846212794E0,6.843702822E0
7.349802083E-1,6.033136645E0,3.663357790E0,6.813014880E0
7.450012084E-1,6.200883906E0,3.468224801E0,6.764359614E0
7.550232083E-1,6.379445009E0,3.262341999E0,6.700440776E0
7.650452084E-1,6.563025945E0,3.046609270E0,6.624271436E0
7.750672083E-1,6.746499293E0,2.823747031E0,6.538142534E0
7.850892084E-1,6.923947086E0,2.598873642E0,6.445223261E0
7.951102083E-1,7.089096429E0,2.375447146E0,6.351225176E0
8.051322084E-1,7.237188860E0,2.154846318E0,6.262254528E0
8.151542083E-1,7.364900236E0,1.937537325E0,6.183873771E0
8.251762084E-1,7.469699298E0,1.722650104E0,6.121451821E0
8.351982083E-1,7.550147045E0,1.509501113E0,6.078881167E0
8.452202084E-1,7.604114506E0,1.298612656E0,6.060292869E0
8.552422083E-1,7.632706221E0,1.089651149E0,6.065522034E0
8.652632084E-1,7.640333329E0,8.815977140E-1,6.089679220E0
8.752852083E-1,7.631614546E0,6.741861574E-1,6.126992058E0
8.853072084E-1,7.612323997E0,4.693090034E-1,6.169957983E0
8.953292083E-1,7.589961321E0,2.683961703E-1,6.209392190E0
9.053512084E-1,7.570843849E0,7.141758135E-2,6.238054656E0
9.153722083E-1,7.557961264E0,-1.223837311E-1,6.252866238E0
9.253942084E-1,7.550479167E0,-3.148558618E-1,6.255175304E0
9.354162083E-1,7.545540023E0,-5.085667342E-1,6.248382009E0
9.454382084E-1,7.539113349E0,-7.044821166E-1,6.237112085E0
9.554602084E-1,7.525908582E0,-9.016198960E-1,6.227671171E0
9.654822084E-1,7.501147962E0,-1.096184608E0,6.226336836E0
9.755032083E-1,7.462270410E0,-1.285421045E0,6.236851299E0
9.855252084E-1,7.408799377E0,-1.468347971E0,6.260171165E0
9.955472084E-1,7.341704332E0,-1.643758739E0,6.295516999E0
1.005569208E0,7.262030171E0,-1.810493555E0,6.342013473E0
1.015591208E0,7.169745321E0,-1.968482253E0,6.399682222E0
1.025613208E0,7.066370056E0,-2.116245924E0,6.467149150E0
1.035634208E0,6.954701686E0,-2.252404041E0,6.541781257E0
1.045656208E0,6.835514966E0,-2.378225743E0,6.622376354E0
1.055678208E0,6.711066921E0,-2.496126661E0,6.705746539E0
1.065700208E0,6.587490696E0,-2.605636824E0,6.786141661E0
1.075722208E0,6.471312368E0,-2.706218289E0,6.858177604E0
1.085744208E0,6.365503492E0,-2.801532874E0,6.918661788E0
1.095765208E0,6.274868726E0,-2.892412054E0,6.963912220E0
1.105787208E0,6.201816537E0,-2.978311452E0,6.993085148E0
1.115809208E0,6.144197490E0,-3.061938038E0,7.007815454E0
1.125831208E0,6.098682763E0,-3.143076341E0,7.011649473E0
1.135853208E0,6.061787417E0,-3.219764329E0,7.008848072E0
1.145875208E0,6.030628774E0,-3.291394182E0,7.002453557E0
1.155896208E0,6.001376908E0,-3.357290256E0,6.996298193E0
1.165918208E0,5.968051288E0,-3.417932315E0,6.995441576E0
1.175940208E0,5.926494541E0,-3.474984767E0,7.002659964E0
1.185962208E0,5.877304839E0,-3.528746407E0,7.017217192E0
1.195984208E0,5.821583798E0,-3.578679582E0,7.038346106E0
1.206006208E0,5.759229090E0,-3.626359825E0,7.065188919E0
1.216027208E0,5.690572253E0,-3.671389233E0,7.097491862E0
1.226049208E0,5.613882512E0,-3.711482421E0,7.137599083E0
1.236071208E0,5.528201507E0,-3.744925571E0,7.186836732E0
1.246093208E0,5.436637618E0,-3.773744450E0,7.241403533E0
1.256115208E0,5.346777608E0,-3.801108542E0,7.293808619E0
1.266137208E0,5.270150431E0,-3.829090393E0,7.334826837E0
1.276158208E0,5.213894370E0,-3.856525529E0,7.360613058E0
1.286180208E0,5.177076207E0,-3.884919900E0,7.371660787E0
1.296202208E0,5.153868608E0,-3.919609384E0,7.369559298E0
1.306224208E0,5.137816247E0,-3.962563323E0,7.357787683E0
1.316246208E0,5.121280906E0,-4.009988627E0,7.343608185E0
1.326267208E0,5.094132868E0,-4.056442709E0,7.336973349E0
1.336289208E0,5.047198437E0,-4.099665912E0,7.345381646E0
1.346311208E0,4.980087605E0,-4.138968849E0,7.369109062E0
1.356333208E0,4.905745520E0,-4.173778201E0,7.399278941E0
1.366355208E0,4.840377157E0,-4.211301830E0,7.421036430E0
1.376377208E0,4.794652516E0,-4.254039714E0,7.426341609E0
1.386398208E0,4.769157194E0,-4.298698701E0,7.417036350E0
1.396420208E0,4.755172700E0,-4.343147188E0,7.400101644E0
1.406442208E0,4.744243377E0,-4.386277712E0,7.381654263E0
1.416464208E0,4.734255456E0,-4.426716471E0,7.363905040E0
1.426486208E0,4.726006204E0,-4.461503603E0,7.348193572E0
1.436508208E0,4.719653204E0,-4.489846519E0,7.335002253E0
1.446528833E0,4.711084694E0,-4.513639132E0,7.325902231E0
1.456550833E0,4.696880053E0,-4.534594091E0,7.322081661E0
1.466572833E0,4.681377915E0,-4.555109632E0,7.319274412E0
1.476594833E0,4.669060171E0,-4.575966066E0,7.314130617E0
1.486616833E0,4.657605768E0,-4.597246130E0,7.308086935E0
1.496638833E0,4.644509759E0,-4.619324047E0,7.302497581E0
1.506659833E0,4.630802131E0,-4.640887701E0,7.297529202E0
1.516681833E0,4.618832296E0,-4.660663861E0,7.292509952E0
1.526703833E0,4.612514087E0,-4.679058032E0,7.284726139E0
1.536725833E0,4.615126331E0,-4.699794598E0,7.269706981E0
1.546747833E0,4.629730336E0,-4.726723657E0,7.242912700E0
1.556769833E0,4.654444470E0,-4.760956474E0,7.204549702E0
1.566790833E0,4.680286532E0,-4.802548596E0,7.160066425E0
1.576812833E0,4.701582092E0,-4.848432866E0,7.115049296E0
1.586834833E0,4.718929319E0,-4.893354101E0,7.072686803E0
1.596856833E0,4.732657704E0,-4.932264397E0,7.036392551E0
1.606878833E0,4.738319855E0,-4.963111968E0,7.010845481E0
1.616899833E0,4.733269030E0,-4.986426571E0,6.997700940E0
1.626921833E0,4.724642341E0,-5.003154286E0,6.991587676E0
1.636943833E0,4.720232371E0,-5.015067987E0,6.986029313E0
1.646965833E0,4.722770647E0,-5.026806858E0,6.975869191E0
1.656987833E0,4.733432752E0,-5.040605702E0,6.958664344E0
1.667009833E0,4.748277079E0,-5.056955686E0,6.936653670E0
1.677030833E0,4.759819190E0,-5.075610643E0,6.915085046E0
1.687052833E0,4.763133100E0,-5.094928674E0,6.898577771E0
1.697074833E0,4.755886645E0,-5.114042053E0,6.889428048E0
1.707096833E0,4.734441397E0,-5.134334815E0,6.889105867E0
1.717118833E0,4.693864059E0,-5.155071380E0,6.901375664E0
1.727140833E0,4.632447245E0,-5.175651240E0,6.927422086E0
1.737161833E0,4.557778886E0,-5.195695496E0,6.961860432E0
1.747183833E0,4.480624583E0,-5.213911911E0,6.998229529E0
1.757205833E0,4.408165887E0,-5.229046844E0,7.032869019E0
1.767227833E0,4.343384584E0,-5.238979509E0,7.065706397E0
1.777249833E0,4.287745989E0,-5.242239332E0,7.097200670E0
