"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.569662499E-2,6.774410393E0,-5.220408753E0,4.805288016E0
2.571862494E-2,6.779808542E0,-5.219638090E0,4.798506123E0
3.574062500E-2,6.778658395E0,-5.220381855E0,4.799322102E0
4.576262494E-2,6.771597882E0,-5.222438906E0,4.807047443E0
5.578462500E-2,6.759396497E0,-5.225480627E0,4.820894235E0
6.580662495E-2,6.743004997E0,-5.229179576E0,4.839798868E0
7.582862501E-2,6.723577623E0,-5.233217663E0,4.862409174E0
8.585162496E-2,6.702034142E0,-5.237454556E0,4.887526473E0
9.587362502E-2,6.679073880E0,-5.241880898E0,4.914139198E0
1.058956250E-1,6.655293254E0,-5.246430032E0,4.941471423E0
1.159176249E-1,6.631222606E0,-5.250747031E0,4.969169099E0
1.259396250E-1,6.607023320E0,-5.254576957E0,4.997276664E0
1.359616249E-1,6.583712810E0,-5.257942615E0,5.024428210E0
1.459836250E-1,6.562564015E0,-5.260300212E0,5.049564221E0
1.560066249E-1,6.543934786E0,-5.261062104E0,5.072894611E0
1.660286250E-1,6.527395937E0,-5.259938854E0,5.095318099E0
1.760506249E-1,6.511995540E0,-5.257292404E0,5.117703579E0
1.860726250E-1,6.497168171E0,-5.253910375E0,5.139973869E0
1.960946249E-1,6.482752445E0,-5.250884441E0,5.161223820E0
2.061166250E-1,6.469752916E0,-5.248623322E0,5.179801009E0
2.161386249E-1,6.459331423E0,-5.246970899E0,5.194460564E0
2.261606250E-1,6.452008370E0,-5.246039438E0,5.204492632E0
2.361836249E-1,6.448186045E0,-5.245844725E0,5.209425343E0
2.462056250E-1,6.447905379E0,-5.246159306E0,5.209456333E0
2.562276250E-1,6.451226597E0,-5.246644040E0,5.204852235E0
2.662496250E-1,6.457463238E0,-5.246887869E0,5.196869032E0
2.762716250E-1,6.465311955E0,-5.246779110E0,5.187211770E0
2.862936250E-1,6.473746564E0,-5.246387347E0,5.177077376E0
2.963156250E-1,6.482424417E0,-5.245651183E0,5.166954677E0
3.063386249E-1,6.491140861E0,-5.244411573E0,5.157261747E0
3.163606250E-1,6.499204756E0,-5.242874925E0,5.148661078E0
3.263826249E-1,6.506402094E0,-5.241128946E0,5.141341533E0
3.364046250E-1,6.512604820E0,-5.239229186E0,5.135421812E0
3.464266249E-1,6.517702423E0,-5.236727747E0,5.131504177E0
3.564486250E-1,6.520334255E0,-5.234119304E0,5.130821223E0
3.664706249E-1,6.521533518E0,-5.231231364E0,5.132243266E0
3.764926250E-1,6.521896046E0,-5.229413465E0,5.133635488E0
3.865156249E-1,6.522569060E0,-5.229368441E0,5.132825648E0
3.965376250E-1,6.525296202E0,-5.229269038E0,5.129459406E0
4.065596249E-1,6.529276986E0,-5.228886631E0,5.124782218E0
4.165816250E-1,6.533340216E0,-5.228577898E0,5.119917335E0
4.266036249E-1,6.537214581E0,-5.228387863E0,5.115161794E0
4.366256250E-1,6.540908267E0,-5.228545153E0,5.110277030E0
4.466476250E-1,6.544207267E0,-5.229323418E0,5.105256611E0
4.566706250E-1,6.546515747E0,-5.230782298E0,5.100798109E0
4.666926250E-1,6.547220337E0,-5.232606629E0,5.098021266E0
4.767146249E-1,6.546202921E0,-5.234586496E0,5.097295042E0
4.867366250E-1,6.543996767E0,-5.236624251E0,5.098036469E0
4.967586249E-1,6.541387154E0,-5.238502961E0,5.099454419E0
5.067806250E-1,6.538858234E0,-5.240013297E0,5.101146019E0
5.168026249E-1,6.536604132E0,-5.241268694E0,5.102744647E0
5.268246250E-1,6.534784479E0,-5.242380835E0,5.103933971E0
5.368476249E-1,6.533671169E0,-5.243307034E0,5.104407011E0
5.468696250E-1,6.533391672E0,-5.244135000E0,5.103914090E0
5.568916249E-1,6.533992766E0,-5.244699841E0,5.102564553E0
5.669136250E-1,6.535217173E0,-5.245115578E0,5.100570068E0
5.769356249E-1,6.536818725E0,-5.245320815E0,5.098303687E0
5.869576250E-1,6.538337831E0,-5.245323738E0,5.096353641E0
5.969796249E-1,6.539206728E0,-5.245618438E0,5.094935106E0
6.070016250E-1,6.539133638E0,-5.246124807E0,5.094508259E0
6.170246250E-1,6.537612777E0,-5.246993703E0,5.095566021E0
6.270466250E-1,6.534884466E0,-5.247946799E0,5.098083247E0
6.370686250E-1,6.531249252E0,-5.248664837E0,5.102000297E0
6.470906250E-1,6.527197716E0,-5.248936733E0,5.106903772E0
6.571126250E-1,6.522731613E0,-5.248956614E0,5.112586681E0
6.671346249E-1,6.517985428E0,-5.248799908E0,5.118795254E0
6.771566250E-1,6.513156213E0,-5.248495268E0,5.125250580E0
6.871786249E-1,6.508391317E0,-5.248411653E0,5.131386064E0
6.972016250E-1,6.504161441E0,-5.248553740E0,5.136600611E0
7.072236249E-1,6.500825604E0,-5.248932055E0,5.140435215E0
7.172456250E-1,6.498524140E0,-5.249305692E0,5.142964135E0
7.272676249E-1,6.496883996E0,-5.249684592E0,5.144648718E0
7.372896250E-1,6.495673622E0,-5.249803290E0,5.146056143E0
7.473116249E-1,6.494593057E0,-5.249733709E0,5.147491050E0
7.573336250E-1,6.493455189E0,-5.249528471E0,5.149136456E0
7.673556249E-1,6.492050103E0,-5.249550691E0,5.150884189E0
7.773786250E-1,6.490368444E0,-5.249647170E0,5.152904987E0
7.874006249E-1,6.488478039E0,-5.249868779E0,5.155058516E0
7.974226250E-1,6.486364855E0,-5.250404384E0,5.157172285E0
8.074446250E-1,6.484666824E0,-5.251066874E0,5.158632919E0
8.174666250E-1,6.483860493E0,-5.251541083E0,5.159163262E0
8.274886250E-1,6.484591395E0,-5.252485993E0,5.157282797E0
8.375106250E-1,6.487021497E0,-5.255586187E0,5.151065453E0
8.475326250E-1,6.492116761E0,-5.260204318E0,5.139920075E0
8.575546249E-1,6.501523177E0,-5.263534307E0,5.124599200E0
8.675776250E-1,6.516080990E0,-5.264223694E0,5.105364200E0
8.775996249E-1,6.534044221E0,-5.262747272E0,5.083880945E0
8.876216250E-1,6.552123812E0,-5.259530718E0,5.063902763E0
8.976436249E-1,6.567025441E0,-5.254653556E0,5.049641989E0
9.076656250E-1,6.577398986E0,-5.248101166E0,5.042952189E0
9.176876249E-1,6.584124454E0,-5.239926758E0,5.042675031E0
9.277096250E-1,6.588465427E0,-5.230846033E0,5.046431867E0
9.377316249E-1,6.590553467E0,-5.222379264E0,5.052469702E0
9.477536250E-1,6.589564118E0,-5.215635086E0,5.060720124E0
9.577766249E-1,6.584695142E0,-5.211542035E0,5.071263823E0
9.677986250E-1,6.576466940E0,-5.210026436E0,5.083485088E0
9.778206249E-1,6.566233143E0,-5.210844462E0,5.095859551E0
9.878426250E-1,6.556774687E0,-5.213479217E0,5.105334964E0
9.978646250E-1,6.550698845E0,-5.217734236E0,5.108787160E0
1.007886625E0,6.548947020E0,-5.223312480E0,5.105331455E0
1.017908625E0,6.551060788E0,-5.230294055E0,5.095461940E0
1.027930625E0,6.556139680E0,-5.238700597E0,5.080270874E0
1.037953625E0,6.562240080E0,-5.248458431E0,5.062291855E0
1.047975625E0,6.566181688E0,-5.260179759E0,5.044984097E0
1.057997625E0,6.564520494E0,-5.274914743E0,5.031743662E0
1.068019625E0,6.553582107E0,-5.293642790E0,5.026330310E0
1.078041625E0,6.530701953E0,-5.316916462E0,5.031542518E0
