"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.671916693E-3,8.209715784E-2,2.403197587E-1,-1.969658956E-2
1.669391664E-2,9.462174028E-2,2.084861994E-1,-3.339642286E-2
2.671591670E-2,1.232817471E-1,1.190003902E-1,-3.913824633E-2
3.673791664E-2,1.492214650E-1,3.094802797E-2,-4.634129629E-2
4.675991670E-2,1.567756534E-1,-3.902985156E-2,-3.830800205E-2
5.678191665E-2,1.534594893E-1,-1.208791733E-1,-2.456475794E-2
6.680391671E-2,1.445179582E-1,-2.132546902E-1,-2.004279941E-2
7.682591665E-2,1.326538324E-1,-2.942757607E-1,-1.372311916E-2
8.684791671E-2,1.187565029E-1,-3.550609052E-1,5.439343862E-3
9.686991666E-2,1.038981974E-1,-3.885821402E-1,1.391405519E-2
1.068919167E-1,8.145906776E-2,-3.846053779E-1,-2.079869388E-3
1.169139167E-1,6.069706380E-2,-3.608097732E-1,-2.774262056E-2
1.269359167E-1,4.937635735E-2,-3.332879841E-1,-3.332189843E-2
1.369579167E-1,4.057301208E-2,-3.148205578E-1,-3.817018494E-2
1.469799167E-1,2.648682147E-2,-3.119136691E-1,-5.366669595E-2
1.570019167E-1,5.909110419E-3,-3.102377355E-1,-7.772862911E-2
1.670239167E-1,-1.551575866E-2,-2.949146926E-1,-9.578530490E-2
1.770459167E-1,-3.718589991E-2,-2.389622033E-1,-8.536808193E-2
1.870679166E-1,-5.937493965E-2,-1.461464018E-1,-5.562718213E-2
1.970899167E-1,-7.134078443E-2,-6.599670649E-2,-2.229399420E-2
2.071119166E-1,-6.844322383E-2,-1.512838434E-2,-1.219726168E-2
2.171339167E-1,-5.802040547E-2,2.063706890E-2,-3.683402203E-3
2.271559166E-1,-4.090199247E-2,4.717506096E-2,4.442655481E-3
2.371779167E-1,-2.664688975E-2,7.034509629E-2,-4.919687286E-3
2.471999166E-1,-9.317247197E-3,6.160268188E-2,-1.510199346E-2
2.572219167E-1,4.642777145E-3,3.053823486E-2,-1.977610774E-2
