"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.575312496E-2,9.172571450E-2,-3.248858154E-1,5.282038823E-2
2.577512490E-2,8.356854320E-2,-2.259538472E-1,2.749536559E-2
3.579712496E-2,9.333089739E-2,7.377294451E-2,-2.122157440E-2
4.581912491E-2,1.093881354E-1,2.772789598E-1,-4.739668965E-2
5.584112497E-2,9.120807052E-2,1.642527878E-1,-2.676491439E-2
6.586312491E-2,3.599416465E-2,-7.829267532E-2,-6.174595654E-2
7.588512497E-2,1.405157894E-2,-2.795405686E-1,-1.191565245E-1
8.590712491E-2,1.056828164E-2,-3.563811481E-1,-1.273805499E-1
9.592912497E-2,-3.572571557E-3,-3.546833992E-1,-1.132530123E-1
1.059511249E-1,1.065412769E-3,-2.609653771E-1,-1.234651208E-1
1.159731250E-1,3.989962861E-2,-1.004012525E-1,-1.273703873E-1
1.259941249E-1,7.073162496E-2,-2.516144188E-3,-1.313459426E-1
1.360161250E-1,5.993650109E-2,2.593014389E-2,-1.354141831E-1
1.460381249E-1,5.416350439E-2,4.690219462E-2,-1.511969268E-1
1.560601250E-1,6.862419844E-2,8.931623399E-2,-1.412111372E-1
1.660821249E-1,8.488160372E-2,7.571480423E-2,-1.075096726E-1
1.761041250E-1,7.926845551E-2,9.859891608E-3,-7.627425343E-2
1.861261249E-1,6.496041268E-2,-7.889040560E-2,-5.609137937E-2
1.961481250E-1,5.628542975E-2,-1.341225058E-1,-3.398794308E-2
2.061701249E-1,5.188790336E-2,-1.742562354E-1,-2.221808955E-2
2.161921250E-1,3.998969868E-2,-1.882018745E-1,-2.079010196E-2
2.262141249E-1,2.895835228E-2,-2.007677257E-1,-2.254113182E-2
2.362361250E-1,9.168403223E-3,-2.517984211E-1,-2.387138084E-2
2.462581249E-1,-1.166025549E-2,-3.510331810E-1,-4.579426348E-2
2.562801250E-1,-1.441689394E-2,-4.594025314E-1,-8.397973329E-2
2.663021249E-1,-1.109086908E-2,-6.088426113E-1,-1.045887768E-1
2.763241250E-1,-1.932962611E-2,-8.318797350E-1,-7.246386260E-2
2.863461250E-1,-4.688361287E-2,-1.117072463E0,4.077404737E-3
2.963681250E-1,-9.499015659E-2,-1.400296211E0,8.653286844E-2
3.063901250E-1,-1.696856171E-1,-1.727169514E0,1.336420625E-1
3.164111250E-1,-2.607774436E-1,-2.096494436E0,2.183367163E-1
3.264331250E-1,-3.486665189E-1,-2.433279276E0,3.364585042E-1
3.364551250E-1,-4.533023834E-1,-2.782625437E0,4.354825616E-1
3.464771250E-1,-5.756773949E-1,-3.398782015E0,4.695090353E-1
3.564991249E-1,-7.213525772E-1,-3.901787043E0,5.361485481E-1
3.665211250E-1,-8.609279394E-1,-4.226466179E0,5.906482339E-1
3.765431249E-1,-9.579394460E-1,-4.370616913E0,5.304669142E-1
3.865651250E-1,-1.025346994E0,-4.218416691E0,3.752647638E-1
3.965871249E-1,-1.154734612E0,-4.362842560E0,4.158291966E-2
4.066091250E-1,-1.320252061E0,-4.801136494E0,-4.065540731E-1
4.166311249E-1,-1.603739977E0,-5.446611881E0,-8.297753930E-1
4.266531250E-1,-1.756890059E0,-5.830943108E0,-9.429367781E-1
4.366751249E-1,-1.692763329E0,-5.523114681E0,-8.381072879E-1
4.466971250E-1,-1.510735273E0,-4.753511906E0,-5.203149915E-1
4.567191249E-1,-1.371473074E0,-3.916138172E0,-1.486974806E-1
4.667411250E-1,-1.312651515E0,-3.229039669E0,1.302414089E-1
4.767631249E-1,-1.287221432E0,-2.663629293E0,2.038794160E-1
4.867851250E-1,-1.250812888E0,-2.076761723E0,9.818331897E-2
4.968061249E-1,-1.174136162E0,-1.425760627E0,-7.015136629E-2
5.068281250E-1,-1.081778407E0,-7.642006278E-1,-1.633363217E-1
5.168501249E-1,-1.019766450E0,-2.424517125E-1,-1.502162665E-1
5.268721250E-1,-1.011886835E0,5.141839385E-2,-6.959919631E-2
5.368941249E-1,-1.056910515E0,1.318748742E-1,1.931682974E-2
5.469161250E-1,-1.139150620E0,7.617180049E-2,8.203352243E-2
5.569381249E-1,-1.251374602E0,-7.041550428E-2,1.087388992E-1
5.669601250E-1,-1.382001877E0,-3.059502542E-1,1.059612259E-1
5.769821249E-1,-1.514944673E0,-6.023156047E-1,9.561643749E-2
5.870041250E-1,-1.647312641E0,-9.372666478E-1,1.111365259E-1
5.970261249E-1,-1.795016289E0,-1.328222752E0,1.687806398E-1
6.070481250E-1,-1.943758011E0,-1.769376874E0,2.605672479E-1
6.170701250E-1,-2.063149929E0,-2.200316668E0,3.612371385E-1
6.270921250E-1,-2.161046743E0,-2.547343969E0,4.618976712E-1
6.371141250E-1,-2.229827881E0,-2.823111534E0,5.313408971E-1
6.471361250E-1,-2.262582779E0,-3.062460899E0,5.554693937E-1
6.571581250E-1,-2.286818504E0,-3.243113041E0,5.600516200E-1
6.671801249E-1,-2.300019741E0,-3.344441414E0,5.858089328E-1
6.772021250E-1,-2.295217991E0,-3.370493650E0,6.389563084E-1
6.872241249E-1,-2.255292892E0,-3.288690567E0,7.208876610E-1
6.972451250E-1,-2.196446419E0,-3.114962578E0,8.424484730E-1
7.072671249E-1,-2.114481688E0,-2.841384649E0,9.622353315E-1
7.172891250E-1,-1.998837709E0,-2.506980181E0,1.051671505E0
7.273111249E-1,-1.867306113E0,-2.148735762E0,1.137494445E0
7.373331250E-1,-1.740633726E0,-1.801654339E0,1.198491693E0
7.473551249E-1,-1.633176565E0,-1.466189981E0,1.240459561E0
7.573771250E-1,-1.530425787E0,-1.144045711E0,1.231113434E0
7.673991249E-1,-1.421524167E0,-7.950367928E-1,1.192576170E0
7.774211250E-1,-1.325102329E0,-4.347561300E-1,1.167823434E0
7.874431249E-1,-1.265135050E0,-1.296477318E-1,1.154348969E0
7.974651250E-1,-1.217470288E0,6.584320217E-2,1.165830374E0
8.074871249E-1,-1.175138116E0,1.638149619E-1,1.179757237E0
8.175091250E-1,-1.111169815E0,1.718473285E-1,1.181292295E0
8.275311249E-1,-1.040828228E0,1.708861887E-1,1.176719904E0
8.375531250E-1,-1.005459547E0,2.234993428E-1,1.176522493E0
8.475751249E-1,-9.539133906E-1,3.130522668E-1,1.189014077E0
8.575971250E-1,-8.597908616E-1,3.740618229E-1,1.190739274E0
8.676191249E-1,-7.838791609E-1,4.017298818E-1,1.161871672E0
8.776411250E-1,-7.537577152E-1,3.834027946E-1,1.107833982E0
8.876621249E-1,-7.959025502E-1,3.143504858E-1,1.055753589E0
8.976843749E-1,-8.409600258E-1,1.599891484E-1,1.029914379E0
9.077063750E-1,-8.659777641E-1,-6.810367107E-2,1.056036592E0
9.177283749E-1,-8.946823478E-1,-2.874839604E-1,1.118872046E0
9.277503750E-1,-8.970741034E-1,-4.219426513E-1,1.197781682E0
9.377723749E-1,-8.398270011E-1,-4.853714108E-1,1.248376131E0
9.477943750E-1,-7.766479850E-1,-4.939692914E-1,1.244348288E0
9.578163750E-1,-7.404912710E-1,-4.502127469E-1,1.183834791E0
9.678383750E-1,-7.142646313E-1,-3.716336787E-1,1.093608379E0
9.778603750E-1,-6.689727902E-1,-2.261291891E-1,9.745160341E-1
9.878823749E-1,-6.378985047E-1,3.530554473E-2,8.515628576E-1
9.979043750E-1,-5.870430470E-1,3.793721199E-1,7.519621849E-1
1.007926375E0,-5.141370296E-1,7.347748280E-1,7.040025592E-1
1.017948375E0,-4.749874771E-1,1.092475057E0,7.402183414E-1
1.027970375E0,-3.829976618E-1,1.361427546E0,8.008949161E-1
1.037992375E0,-2.322334498E-1,1.596380115E0,8.609883785E-1
1.048014375E0,-5.140294135E-2,1.835662127E0,8.538690209E-1
1.058036375E0,6.207301840E-2,2.137856007E0,7.819468379E-1
1.068058375E0,9.530854225E-2,2.445820808E0,6.784570217E-1
1.078079375E0,1.149512231E-1,2.560487986E0,5.838000178E-1
1.088101375E0,1.692470908E-1,2.327094555E0,5.140070319E-1
1.098123375E0,2.088677287E-1,1.836002827E0,4.858872294E-1
1.108145375E0,1.223003343E-1,1.274257421E0,4.901056886E-1
1.118167375E0,-6.437075138E-2,7.257924080E-1,5.065810084E-1
1.128189375E0,-2.960258722E-1,1.807583421E-1,5.848173499E-1
1.138211375E0,-4.216825962E-1,-4.309455156E-1,7.188726068E-1
1.148233375E0,-4.791974425E-1,-1.018289328E0,8.570892215E-1
1.158255375E0,-5.133673549E-1,-1.428195357E0,9.279050827E-1
1.168277375E0,-5.476228595E-1,-1.540475249E0,9.180409312E-1
1.178299375E0,-4.589603245E-1,-1.351384997E0,8.437350392E-1
1.188321375E0,-2.390205860E-1,-9.135643244E-1,7.508189678E-1
1.198343375E0,3.793991730E-2,-3.330167532E-1,6.563321352E-1
1.208365375E0,2.362745702E-1,2.892534435E-1,5.573514700E-1
1.218387375E0,3.376041353E-1,8.032435179E-1,4.741287827E-1
1.228409375E0,3.809339106E-1,1.047063470E0,4.554345012E-1
1.238431375E0,3.824433684E-1,9.877488017E-1,4.989191294E-1
1.248453375E0,3.702188134E-1,7.226524949E-1,5.786442757E-1
1.258475375E0,3.441275656E-1,4.338431060E-1,6.743130088E-1
1.268496375E0,3.347227275E-1,2.363014221E-1,7.607700825E-1
1.278518375E0,3.062604666E-1,1.480455995E-1,8.004852533E-1
1.288540375E0,2.985635400E-1,1.067230478E-1,7.565550208E-1
1.298562375E0,3.495412469E-1,9.077630937E-2,6.678823829E-1
1.308584375E0,4.320541620E-1,1.874867976E-1,6.266900897E-1
1.318606375E0,5.556122661E-1,3.555650413E-1,6.353980899E-1
1.328628375E0,6.881241202E-1,5.004962683E-1,6.678941250E-1
1.338650375E0,7.797086239E-1,6.092531085E-1,7.305702567E-1
1.348672375E0,8.142894506E-1,6.289684176E-1,8.057012558E-1
1.358694375E0,7.873257399E-1,4.434331656E-1,8.634878397E-1
1.368716375E0,7.012444735E-1,2.495610528E-2,9.073299766E-1
1.378738375E0,6.345216036E-1,-4.686682522E-1,9.097023010E-1
1.388760375E0,6.112287045E-1,-8.655017614E-1,8.827596307E-1
1.398782375E0,6.541870832E-1,-1.101521492E0,8.578007221E-1
1.408804375E0,7.657645345E-1,-1.233577728E0,8.467981219E-1
1.418826375E0,9.239861369E-1,-1.352792740E0,8.393518925E-1
1.428848375E0,1.060811162E0,-1.467177749E0,8.339797854E-1
1.438870375E0,1.137538195E0,-1.538486123E0,8.355990052E-1
1.448892375E0,1.168674827E0,-1.542254806E0,8.328897953E-1
1.458913375E0,1.210672617E0,-1.498014092E0,8.460676670E-1
1.468935375E0,1.298532724E0,-1.436390281E0,8.734355569E-1
1.478957375E0,1.440432906E0,-1.335467935E0,9.366320968E-1
1.488979375E0,1.628971100E0,-1.213603854E0,9.864636064E-1
1.499001375E0,1.839449525E0,-1.075001240E0,1.020232677E0
1.509023375E0,1.921522021E0,-9.733358026E-1,1.035965085E0
1.519045375E0,1.845039248E0,-1.024206281E0,1.053962946E0
1.529067375E0,1.720654011E0,-1.213073850E0,1.047984362E0
