"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.575312496E-2,3.063916882E-1,2.475032830E-1,-3.774909800E-1
2.577512490E-2,5.098322544E-1,7.180638099E-1,-2.740970045E-1
3.579712496E-2,1.181342799E0,1.149131073E0,4.129508346E-1
4.581912491E-2,8.554838296E-1,1.900345087E-2,7.642573982E-1
5.584112497E-2,-1.942177164E-1,-1.059686215E0,1.433561862E-2
6.586312491E-2,9.914008956E-3,-1.266109300E-1,-5.357400244E-1
7.588512497E-2,6.229695185E-1,1.320148682E0,-2.654624212E-1
8.590712491E-2,4.113859735E-1,1.238460156E0,4.968145251E-2
9.592912497E-2,1.275050880E-1,3.568696046E-1,1.183610934E-1
1.059511249E-1,3.399063934E-1,2.677673936E-2,1.408126473E-2
1.159731250E-1,6.805097750E-1,-7.301418185E-3,-1.018491411E-1
1.259941249E-1,8.531905516E-1,-2.267597008E-1,-4.155733109E-2
1.360161250E-1,7.500097802E-1,-4.275624418E-1,-1.596880442E-1
1.460381249E-1,6.379106162E-1,-1.945158148E-1,-2.496965736E-1
1.560601250E-1,5.601136313E-1,2.154757440E-2,-2.044537425E-1
1.660821249E-1,3.527378889E-1,-7.626114070E-2,-1.768554693E-1
1.761041250E-1,1.313209901E-1,-6.643489480E-2,-2.206505299E-1
1.861261249E-1,1.371700513E-1,5.280386567E-2,-2.353691411E-1
1.961481250E-1,1.000815826E-1,2.041672289E-2,-1.599084842E-1
2.061701249E-1,1.260157565E-1,-1.245258129E-1,-1.098270822E-1
2.161921250E-1,1.870852645E-1,-2.242477369E-1,-1.361494929E-1
2.262141249E-1,7.103769505E-2,-4.122994548E-1,-1.397870457E-1
2.362361250E-1,-1.783385425E-1,-6.029397351E-1,-2.427740550E-1
2.462581249E-1,-2.844294549E-1,-4.268233538E-1,-4.174859351E-1
2.562801250E-1,-4.216148368E-1,-4.178654194E-2,-5.065378600E-1
2.663021249E-1,-7.122960433E-1,8.281996250E-3,-5.417188025E-1
2.763241250E-1,-1.199679010E0,-3.398857820E-1,-6.735828710E-1
2.863461250E-1,-1.860763092E0,-1.047181944E0,-8.814642513E-1
2.963681250E-1,-2.497228861E0,-1.864930841E0,-1.055477389E0
3.063901250E-1,-2.859646011E0,-2.204199157E0,-1.114955851E0
3.164111250E-1,-3.196705249E0,-2.342029724E0,-1.211337261E0
3.264331250E-1,-3.583383667E0,-2.569163647E0,-1.183909727E0
3.364551250E-1,-3.621801043E0,-2.235873524E0,-8.283633471E-1
3.464771250E-1,-3.724434296E0,-1.232349815E0,-1.694228396E0
3.564991249E-1,-3.313713589E0,-1.403583187E-1,-1.792904254E0
3.665211250E-1,-2.635283669E0,7.863984650E-1,-1.650847903E0
3.765431249E-1,-1.828758211E0,1.985568255E0,-1.603953819E0
3.865651250E-1,-5.878737992E-1,3.006494447E0,-1.478942102E0
3.965871249E-1,9.014140740E-1,3.540984921E0,-9.557250595E-1
4.066091250E-1,1.235253250E0,3.580289320E0,-1.377370704E0
4.166311249E-1,1.542604247E0,3.062038318E0,-1.781135563E0
4.266531250E-1,1.026133137E0,2.121010820E0,-1.285802137E0
4.366751249E-1,5.874487066E-1,1.678506403E0,7.238268256E-2
4.466971250E-1,2.972627959E-1,1.221076968E0,1.184229569E0
4.567191249E-1,9.130096874E-1,1.045102674E0,1.468794259E0
4.667411250E-1,2.150881321E0,1.084359126E0,1.242654948E0
4.767631249E-1,3.450764723E0,1.042845649E0,1.063961114E0
4.867851250E-1,4.389764407E0,8.980744368E-1,1.274241607E0
4.968061249E-1,4.385519036E0,7.469566566E-1,1.658551610E0
5.068281250E-1,3.431706308E0,6.028023255E-1,1.864970017E0
5.168501249E-1,2.040989042E0,5.264318419E-1,1.733532795E0
5.268721250E-1,9.627794328E-1,5.296074647E-1,1.330340964E0
5.368941249E-1,3.183156958E-1,5.010075635E-1,8.145323431E-1
5.469161250E-1,-1.118627903E-1,4.508723670E-1,3.912190729E-1
5.569381249E-1,-4.860158873E-1,4.487422264E-1,1.866799611E-1
5.669601250E-1,-8.634700298E-1,5.078412044E-1,3.358699143E-2
5.769821249E-1,-1.216687464E0,5.352599680E-1,-2.558449209E-2
5.870041250E-1,-1.554260964E0,6.372506118E-1,-5.989186049E-2
5.970261249E-1,-1.838145623E0,7.969994670E-1,-1.950923502E-1
6.070481250E-1,-1.873541451E0,9.065154773E-1,-3.899315161E-1
6.170701250E-1,-1.680211451E0,8.617293137E-1,-5.212576407E-1
6.270921250E-1,-1.359064826E0,7.558333147E-1,-6.394772315E-1
6.371141250E-1,-9.571511954E-1,6.519896883E-1,-6.396567410E-1
6.471361250E-1,-3.911471522E-1,5.550533777E-1,-3.274920237E-1
6.571581250E-1,1.598921120E-2,5.551118499E-1,-7.909294724E-2
