"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.769304171E-2,1.626046354E-1,7.457538843E-3,-5.067524894E-1
2.771704167E-2,4.306357384E-2,-4.174283400E-2,-7.810324752E-1
3.774004173E-2,-1.199310708E-1,-6.702941045E-2,-8.123653650E-1
4.776404169E-2,-4.041367418E-1,-1.556430866E-1,-6.843604589E-1
5.778704165E-2,-1.013432400E0,-1.448647678E-1,-4.713580871E-1
6.781104172E-2,-1.330232205E0,-1.118528500E-2,-2.743513950E-1
7.783404167E-2,-8.458114386E-1,-2.279230043E-2,-1.332533669E-1
8.785804175E-2,1.755334139E-2,-5.677953377E-2,1.061701969E-1
9.788104170E-2,6.490783596E-1,-1.272699112E-1,3.359576591E-1
1.079050417E-1,8.784973741E-1,-2.418727067E-1,4.974729582E-1
1.179280417E-1,7.796905392E-1,-2.989790998E-1,5.142041810E-1
1.279510417E-1,5.785802346E-1,-2.755889216E-1,3.943701375E-1
1.379750418E-1,3.110940921E-1,-4.563824907E-2,2.711611541E-1
1.479980417E-1,1.487005413E-1,1.690742871E-1,1.994953767E-1
1.580220417E-1,9.034474432E-2,2.292393588E-1,1.593821617E-1
1.680450417E-1,1.424206316E-1,2.847633491E-1,1.373381587E-1
1.780690417E-1,2.742724210E-1,3.637509003E-1,1.579262781E-1
1.880920418E-1,3.282352048E-1,3.765812995E-1,1.566316315E-1
1.981160417E-1,3.953939849E-1,3.531637855E-1,7.951628566E-2
2.081390417E-1,4.529598230E-1,2.241350318E-1,8.729315557E-2
2.181630417E-1,5.947314137E-1,4.309982657E-2,1.676607227E-1
2.281860417E-1,9.861434448E-1,-1.099516279E-1,2.370121356E-1
2.382100417E-1,1.243574715E0,-2.251980557E-1,3.717437518E-1
2.482330417E-1,1.135736271E0,-3.567794113E-1,5.613759720E-1
2.582570417E-1,9.722884673E-1,-4.899979873E-1,6.192610681E-1
2.682800418E-1,9.059500515E-1,-4.649922234E-1,3.140351685E-1
2.783030417E-1,5.015601254E-1,-1.283401709E-1,1.967728400E-1
2.883270417E-1,1.266775882E-1,2.392655063E-1,2.518500300E-1
2.983500417E-1,-4.733145654E-2,3.291513173E-1,3.572308894E-1
3.083740417E-1,2.229970175E-1,3.580562239E-1,8.736183111E-1
3.183970418E-1,1.109292238E0,3.695356970E-1,8.781710994E-1
3.284210417E-1,1.350160101E0,3.623247644E-1,2.014868653E-1
3.384440417E-1,8.287445855E-1,1.702245806E-1,1.131097090E-1
3.484680417E-1,2.937758088E-2,-1.029885442E-1,1.436684275E-1
3.584910417E-1,-5.352617222E-1,-2.694209131E-1,3.986397743E-2
3.685150417E-1,-8.935334891E-1,-2.832564486E-1,-2.267059064E-1
3.785380417E-1,-1.118201641E0,-1.704407814E-1,-5.024793442E-1
3.885620417E-1,-1.192633188E0,2.654635906E-3,-7.995226137E-1
3.985850418E-1,-1.163243328E0,1.086205092E-1,-1.119012065E0
4.086090417E-1,-1.147931809E0,1.417528796E-1,-1.407157005E0
4.186320417E-1,-1.227215375E0,1.092559554E-1,-1.528544033E0
4.286560417E-1,-1.312163140E0,-3.846473873E-2,-1.643716639E0
4.386790417E-1,-1.477733483E0,-3.036026394E-1,-1.636442703E0
4.487020418E-1,-1.578748226E0,-5.756826469E-1,-1.707957659E0
4.587260417E-1,-1.564062359E0,-7.101753312E-1,-1.901083006E0
4.687490417E-1,-1.317178881E0,-7.332746105E-1,-1.990757074E0
4.787730417E-1,-9.185127944E-1,-6.688344933E-1,-1.894403147E0
4.887960417E-1,-4.832343668E-1,-6.708873045E-1,-1.519257485E0
4.988200417E-1,-8.843095064E-2,-7.432977614E-1,-1.198426609E0
5.088430417E-1,2.036649531E-1,-7.848454446E-1,-1.139313598E0
5.188670417E-1,4.408461463E-1,-6.242348559E-1,-1.313193419E0
5.288900418E-1,4.910304594E-1,-3.565452303E-1,-1.279971879E0
5.389140417E-1,5.406370676E-1,-1.217058469E-1,-1.178727340E0
5.489370417E-1,3.938941741E-1,-1.057449947E-1,-1.090297704E0
5.589610417E-1,1.055206078E-1,-3.186046945E-1,-6.338042629E-1
5.689840417E-1,3.770688111E-1,-9.112597619E-1,2.381639640E-1
5.790080416E-1,1.450628130E0,-1.911011432E0,3.334211004E-1
