"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.390799996E-2,-6.053783000E-2,1.838250309E-1,2.107953578E-1
2.392999991E-2,-1.343065947E-1,3.527448177E-1,2.225702554E-1
3.395199997E-2,-1.259906143E-1,5.132000446E-1,1.968443841E-1
4.397399991E-2,-7.373672724E-2,5.594290495E-1,1.772677451E-1
5.399599997E-2,-1.211003959E-2,6.036716104E-1,1.714673638E-1
6.401799992E-2,5.549084023E-2,6.174393892E-1,1.270479709E-1
7.403999998E-2,8.536045253E-2,5.511885881E-1,7.079930604E-2
8.406199992E-2,7.182786614E-2,5.550200939E-1,6.730363518E-2
9.408399998E-2,2.272742614E-2,5.591239929E-1,1.183338910E-1
1.041059999E-1,-3.046202660E-2,4.579510391E-1,1.743734479E-1
1.141280000E-1,-8.638201654E-2,3.278231323E-1,2.086838484E-1
1.241499999E-1,-1.275579482E-1,2.659975886E-1,2.339095771E-1
1.341720000E-1,-1.401588172E-1,2.848097682E-1,2.335971296E-1
1.441939999E-1,-1.248459071E-1,3.153705895E-1,1.894344687E-1
1.542170000E-1,-9.073887765E-2,3.612445593E-1,1.547508091E-1
1.642379999E-1,-5.553428084E-2,3.972512782E-1,1.489712149E-1
1.742610000E-1,-4.745958373E-2,3.848651946E-1,1.299076974E-1
1.842830000E-1,-6.252855062E-2,3.673445284E-1,1.428879350E-1
1.943050000E-1,-9.240528196E-2,3.541863263E-1,1.767194271E-1
2.043270000E-1,-1.339093149E-1,3.282439411E-1,1.857257038E-1
2.143490000E-1,-1.730773002E-1,2.792401016E-1,1.914722174E-1
2.243710000E-1,-1.962768883E-1,1.819843799E-1,2.021062076E-1
2.343930000E-1,-2.305875123E-1,9.441291913E-3,1.948638558E-1
2.444150000E-1,-2.695082724E-1,-2.413872033E-1,1.918630004E-1
2.544369999E-1,-3.046285212E-1,-5.013871789E-1,1.902789026E-1
2.644590000E-1,-3.183594942E-1,-8.061864376E-1,2.179163843E-1
2.744809999E-1,-3.182250261E-1,-1.067047954E0,2.972579896E-1
2.845030000E-1,-3.206178546E-1,-1.282013774E0,3.842307031E-1
2.945249999E-1,-3.636856973E-1,-1.383485198E0,4.722600579E-1
3.045470000E-1,-3.770971298E-1,-1.701107144E0,5.285851359E-1
3.145689999E-1,-4.242929518E-1,-2.031119108E0,5.860733986E-1
3.245910000E-1,-4.780930877E-1,-2.374690056E0,6.246780753E-1
3.346129999E-1,-5.151210427E-1,-2.893119812E0,6.820444465E-1
3.446350000E-1,-7.150884867E-1,-3.764281034E0,7.272540331E-1
3.546569999E-1,-9.547823071E-1,-4.191745758E0,6.375530958E-1
3.646790000E-1,-1.173458695E0,-4.673855305E0,4.446887970E-1
3.747009999E-1,-1.351841211E0,-5.283351898E0,9.900844842E-2
3.847230000E-1,-1.415063024E0,-5.550376892E0,-2.180190384E-1
3.947449999E-1,-1.366014838E0,-5.327321053E0,-2.996343076E-1
4.047670000E-1,-1.218909264E0,-4.836413383E0,-2.337782979E-1
4.147889999E-1,-9.834915400E-1,-4.116803169E0,-1.787684485E-2
4.248110000E-1,-7.384954095E-1,-3.245889187E0,2.042281181E-1
4.348329999E-1,-4.818148911E-1,-2.241454124E0,3.081017137E-1
4.448550000E-1,-2.240733653E-1,-1.246310711E0,2.638303638E-1
4.548770000E-1,-5.568514578E-3,-3.964100778E-1,1.660493314E-1
4.648990000E-1,1.532325894E-1,2.551746368E-1,1.131901219E-1
4.749210000E-1,2.553757727E-1,7.031612396E-1,1.353489459E-1
4.849430000E-1,2.992761433E-1,9.235865474E-1,2.022307664E-1
4.949650000E-1,2.952400446E-1,9.644647241E-1,2.864813805E-1
5.049870000E-1,2.462014109E-1,8.720271587E-1,3.719699085E-1
5.150090000E-1,1.619103104E-1,6.838922501E-1,4.553229213E-1
5.250309999E-1,6.993937492E-2,4.294234514E-1,5.261020660E-1
5.350530000E-1,-2.350242995E-2,1.489329338E-1,5.747513771E-1
5.450749999E-1,-1.075531244E-1,-1.254717261E-1,5.943226814E-1
5.550970000E-1,-1.829650104E-1,-3.972679973E-1,5.978704691E-1
5.651189999E-1,-2.544557154E-1,-6.772530675E-1,6.156526208E-1
5.751410000E-1,-3.209837973E-1,-9.487361908E-1,6.512690187E-1
5.851629999E-1,-3.780681193E-1,-1.186494708E0,7.045170665E-1
5.951850000E-1,-4.216262996E-1,-1.379943848E0,7.614610791E-1
6.052069999E-1,-4.527139068E-1,-1.526304245E0,8.159565330E-1
6.152290000E-1,-4.485241175E-1,-1.620133638E0,8.519315124E-1
6.252509999E-1,-4.139882326E-1,-1.647897124E0,8.660987616E-1
6.352740000E-1,-3.590542078E-1,-1.581898928E0,8.654066324E-1
6.452959999E-1,-2.785966396E-1,-1.445126414E0,8.604267836E-1
6.553180000E-1,-1.861229241E-1,-1.254338980E0,8.709000349E-1
6.653393749E-1,-9.029199183E-2,-1.030439019E0,9.041421413E-1
6.753613750E-1,3.331115702E-3,-8.115631938E-1,9.321254492E-1
6.853833749E-1,7.941789180E-2,-6.130751371E-1,9.560148120E-1
6.954053750E-1,1.410933584E-1,-4.520815909E-1,9.565431476E-1
7.054273749E-1,1.919996887E-1,-3.491134048E-1,9.365023375E-1
7.154493750E-1,2.239136845E-1,-3.377137184E-1,9.205229282E-1
7.254713749E-1,2.281811237E-1,-4.241117239E-1,9.306051731E-1
7.354933750E-1,2.170049101E-1,-5.752546191E-1,9.718075991E-1
7.455153749E-1,2.181098610E-1,-7.366691232E-1,1.041138411E0
7.555373750E-1,2.382686585E-1,-8.569513559E-1,1.116016507E0
7.655593749E-1,2.677434385E-1,-9.191076756E-1,1.171913385E0
7.755813750E-1,3.042663038E-1,-9.546517730E-1,1.166490197E0
7.856033749E-1,3.521587253E-1,-9.784670472E-1,1.108546734E0
7.956253750E-1,3.961255848E-1,-9.790266752E-1,1.013265133E0
8.056473749E-1,4.249676168E-1,-9.912580252E-1,9.020185471E-1
8.156693750E-1,4.334010482E-1,-1.025981426E0,8.177495599E-1
8.256913750E-1,4.182641804E-1,-1.103140354E0,7.966091633E-1
8.357133750E-1,3.879811764E-1,-1.188888550E0,8.442158103E-1
8.457353750E-1,3.583998382E-1,-1.231969953E0,8.992580771E-1
8.557573750E-1,3.340230882E-1,-1.212616444E0,8.962083459E-1
8.657793750E-1,3.191679716E-1,-1.133917451E0,8.108513355E-1
8.758013750E-1,3.097509444E-1,-1.044211388E0,6.812146306E-1
8.858233750E-1,3.180267215E-1,-9.741502404E-1,5.713927746E-1
8.958453750E-1,3.534190059E-1,-9.139407873E-1,5.205165148E-1
9.058673750E-1,3.860869408E-1,-8.387919664E-1,5.236675739E-1
9.158893749E-1,4.157327116E-1,-7.365832925E-1,5.552412271E-1
9.259113750E-1,4.376249611E-1,-6.251869798E-1,5.852717757E-1
9.359333749E-1,4.349235296E-1,-5.200820565E-1,5.847283602E-1
