"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.001916593E-3,1.600172424E0,9.919721832E0,3.529809723E0
1.102291665E-2,1.437760162E0,9.262887726E0,3.937112732E0
2.104391670E-2,1.433718567E0,9.174571381E0,3.844156036E0
3.106491663E-2,1.370998993E0,9.244476013E0,3.903732147E0
4.108691670E-2,1.450633392E0,9.252559204E0,3.864064636E0
5.110791663E-2,1.516795807E0,9.329499207E0,3.720513153E0
6.112891668E-2,1.426383820E0,9.373358002E0,3.634142761E0
7.114991662E-2,1.263522491E0,9.343120880E0,3.598516846E0
8.117091667E-2,1.203796692E0,9.324858856E0,3.624412994E0
9.119291662E-2,9.633966064E-1,9.181307373E0,3.673810272E0
1.012139167E-1,9.755213928E-1,9.137598267E0,3.532803497E0
1.112349166E-1,1.096320190E0,9.143885193E0,3.361559601E0
1.212559167E-1,1.023571472E0,8.995244293E0,3.434308319E0
1.312779166E-1,1.081351318E0,8.968899078E0,3.454216919E0
1.412989167E-1,9.448352051E-1,8.878487091E0,3.561094666E0
1.513199166E-1,7.580236816E-1,8.818461914E0,3.514691162E0
1.613409166E-1,8.276289368E-1,8.825048218E0,3.444786530E0
1.713619167E-1,8.743318176E-1,8.780590668E0,3.485352173E0
1.813839166E-1,6.668632507E-1,8.612789612E0,3.513194275E0
1.914049167E-1,7.798782349E-1,8.549770660E0,3.438349915E0
2.014259166E-1,7.806266785E-1,8.915310516E0,3.247945862E0
2.114469167E-1,5.577401733E-1,9.127120056E0,3.191363525E0
2.214679166E-1,2.670446777E-1,9.099277954E0,3.256627808E0
2.314899167E-1,-2.270777893E-1,8.945697327E0,3.064277802E0
2.415109166E-1,-6.789880371E-1,8.434061279E0,2.738704834E0
2.515319167E-1,-1.209484863E0,7.951764221E0,2.674188995E0
2.615529166E-1,-1.862277374E0,7.768694916E0,2.512525177E0
2.715749167E-1,-1.883682861E0,7.818840637E0,2.369871826E0
2.815959166E-1,-5.143304443E-1,8.237220612E0,2.585124207E0
2.916169167E-1,4.834945679E-1,8.543334045E0,2.311642914E0
3.016379166E-1,1.109642487E0,8.446784821E0,1.952689362E0
3.116589166E-1,2.016157379E0,8.137677612E0,2.165397034E0
3.216809166E-1,2.555785217E0,8.178991699E0,2.472408600E0
3.317019166E-1,2.838846588E0,8.171956329E0,2.883004761E0
3.417229167E-1,3.547323303E0,8.136180725E0,3.143912201E0
3.517439166E-1,4.332440643E0,8.180338898E0,3.134182434E0
3.617649167E-1,4.937183075E0,8.355474701E0,3.063379669E0
3.717869166E-1,5.882617035E0,8.862320709E0,3.280128937E0
3.818079167E-1,6.671925659E0,9.239985352E0,3.646267548E0
3.918289166E-1,6.895410919E0,9.231004028E0,3.992796936E0
4.018499167E-1,6.731801147E0,9.064400482E0,4.051923981E0
4.118719166E-1,5.648503876E0,8.897946625E0,3.780987396E0
4.218929167E-1,4.350702667E0,8.640332336E0,3.492836609E0
4.319139166E-1,3.596271515E0,8.473279724E0,3.371439056E0
4.419349167E-1,3.404669952E0,8.416847076E0,3.392994232E0
4.519559166E-1,3.591481476E0,8.501271515E0,3.474873962E0
4.619779167E-1,3.888164520E0,8.296497345E0,3.491489410E0
4.719989166E-1,2.403551788E0,8.205935669E0,3.407514038E0
4.820199166E-1,2.002386017E0,8.998387756E0,3.291505280E0
4.920409167E-1,1.610500946E0,9.564660187E0,2.780917053E0
5.020629166E-1,2.019151154E0,1.004201752E1,2.466121674E0
5.120839167E-1,2.970422974E0,9.787247314E0,2.417023773E0
5.221049166E-1,3.337759094E0,9.273365936E0,2.544259186E0
5.321259167E-1,3.641627197E0,9.173373871E0,2.483335876E0
5.421469166E-1,4.774471436E0,8.940308533E0,2.204166412E0
5.521689167E-1,5.773044891E0,8.208779755E0,2.113754425E0
5.621899166E-1,5.739664307E0,7.408693542E0,2.301314392E0
5.722109167E-1,4.773722992E0,7.623347168E0,2.543959808E0
5.822319166E-1,3.845503235E0,8.722511444E0,2.559377747E0
5.922539167E-1,3.570075989E0,9.320966949E0,2.468666382E0
6.022749166E-1,4.093986511E0,9.089997253E0,2.415526886E0
6.122959167E-1,4.561165009E0,8.917256470E0,2.320474548E0
6.223169166E-1,5.124144287E0,9.404493256E0,2.225422211E0
6.323379166E-1,5.330415344E0,1.019978943E1,2.026635590E0
6.423599167E-1,4.987328796E0,1.026924500E1,1.920206909E0
6.523809166E-1,5.108576660E0,9.219927063E0,1.643731842E0
6.624034167E-1,5.348377991E0,7.487280121E0,1.473835144E0
6.724244166E-1,4.738695831E0,6.927743683E0,1.509760437E0
6.824454167E-1,4.178261261E0,7.035519562E0,1.643582153E0
6.924674166E-1,4.431833954E0,6.737189941E0,1.633253632E0
7.024884167E-1,5.197641449E0,6.021528168E0,1.782493286E0
7.125094166E-1,5.844446411E0,5.469326477E0,1.761536865E0
7.225304167E-1,5.430407410E0,5.436245270E0,1.710493011E0
7.325524166E-1,4.449197845E0,5.615871735E0,2.043849792E0
7.425734167E-1,3.760779419E0,6.208639069E0,2.256557465E0
7.525944166E-1,3.662583618E0,6.621330872E0,1.961520996E0
7.626154167E-1,3.832929382E0,6.622079315E0,1.540147247E0
7.726374166E-1,4.177363129E0,6.978039093E0,1.258882141E0
7.826584167E-1,4.485721893E0,7.284152527E0,1.137634277E0
7.926794166E-1,4.837191010E0,6.991361389E0,1.041234741E0
8.027004167E-1,5.409600677E0,6.064638519E0,5.914201355E-1
8.127214167E-1,6.511309662E0,5.273833008E0,-1.829196167E-1
8.227434166E-1,6.330186310E0,6.640790405E0,1.664538574E-1
8.327644167E-1,7.625891876E0,7.286248169E0,4.001179504E-1
8.427854166E-1,7.721692657E0,8.126450958E0,7.611671448E-1
8.528064167E-1,7.933951263E0,8.204738159E0,8.786727905E-1
8.628284166E-1,7.632927246E0,8.046517181E0,1.085991669E0
8.728494167E-1,7.262447662E0,8.905131683E0,1.076261902E0
8.828704166E-1,6.753955078E0,1.059302170E1,1.051263885E0
8.928914167E-1,5.761818237E0,1.178155014E1,9.538165283E-1
9.029124166E-1,5.159919891E0,1.121797211E1,7.740403748E-1
9.129344167E-1,4.996759186E0,9.156009979E0,3.338058472E-1
9.229554166E-1,4.848567352E0,7.534731445E0,-4.601431274E-1
9.329764167E-1,4.594246216E0,7.009174347E0,-1.199904785E0
9.429974166E-1,4.706063690E0,7.516768799E0,-1.621128845E0
9.530194167E-1,5.098547516E0,8.359665985E0,-1.822310486E0
9.630404166E-1,5.412295074E0,8.811127167E0,-1.889670410E0
9.730614166E-1,5.504203949E0,8.621621246E0,-2.039209442E0
9.830824167E-1,5.435496826E0,8.020321655E0,-2.227667542E0
9.931034166E-1,5.340743866E0,7.443870392E0,-2.321073303E0
1.003125417E0,5.550457764E0,7.202871552E0,-2.195933533E0
1.013146417E0,6.102060699E0,7.441175995E0,-2.014211426E0
1.023167417E0,6.776109009E0,7.658673706E0,-1.899849243E0
1.033188417E0,7.221283264E0,7.537575531E0,-1.989213409E0
1.043210417E0,7.217541046E0,7.295379181E0,-2.237097931E0
1.053231417E0,6.884483643E0,7.404651947E0,-2.378104706E0
1.063252417E0,6.540049896E0,7.920479279E0,-2.449356537E0
1.073273417E0,6.377937012E0,8.638835449E0,-2.533331909E0
1.083294417E0,6.317163391E0,9.246272278E0,-2.653531952E0
1.093316417E0,6.211333466E0,9.428892517E0,-2.676284637E0
1.103337417E0,5.856870575E0,9.344318390E0,-2.695744171E0
1.113358417E0,5.320236511E0,9.200168152E0,-2.713108063E0
1.123379417E0,4.806504822E0,9.156309357E0,-2.661914520E0
1.133401417E0,4.430486755E0,9.232800293E0,-2.634820862E0
1.143422417E0,4.262536011E0,9.450896759E0,-2.711461487E0
1.153443417E0,4.283193054E0,9.784702606E0,-2.827170868E0
1.163464417E0,4.490511932E0,1.032133667E1,-2.767445068E0
1.173485417E0,4.688250732E0,1.088865692E1,-2.814447327E0
1.183507417E0,4.863835602E0,1.125599304E1,-2.996169434E0
1.193528417E0,5.152585144E0,1.104927292E1,-3.168910217E0
1.203549417E0,5.228926392E0,1.009830048E1,-3.156785431E0
1.213570417E0,4.625381470E0,9.284742279E0,-3.150797882E0
1.223592417E0,3.685935059E0,8.970545654E0,-2.928510132E0
1.233613417E0,3.062182159E0,8.625213776E0,-2.709515533E0
1.243634417E0,2.726580048E0,8.419391785E0,-2.717299347E0
1.253655417E0,2.652184753E0,8.711883545E0,-2.581681366E0
1.263677417E0,2.912044373E0,9.118887177E0,-2.572999420E0
1.273698417E0,3.260968781E0,9.064550171E0,-2.569556580E0
1.283719417E0,3.405867462E0,8.706345062E0,-2.078278198E0
1.293740417E0,3.107837219E0,8.684939575E0,-1.971550140E0
1.303761417E0,2.902164917E0,8.644972687E0,-2.371967468E0
1.313783417E0,3.359014893E0,8.359965363E0,-2.566113739E0
1.323804417E0,4.587210846E0,8.176147614E0,-2.358645172E0
1.333825417E0,6.349346466E0,8.148305511E0,-1.878743134E0
1.343846417E0,7.621101837E0,8.091723175E0,-1.312321014E0
1.353868417E0,8.557105408E0,8.035140839E0,-9.677375793E-1
1.363889417E0,8.628806305E0,8.214467926E0,-8.430468750E-1
1.373910417E0,8.266260223E0,8.330626373E0,-7.708969116E-1
1.383931417E0,7.896529083E0,8.221503296E0,-8.660989380E-1
1.393952417E0,7.365134125E0,8.261170807E0,-1.138682098E0
1.403974417E0,6.573580170E0,8.688532104E0,-1.426084442E0
1.413995417E0,5.736820221E0,9.206754456E0,-1.801503754E0
1.424016417E0,5.274731140E0,9.589807892E0,-1.874402161E0
1.434037417E0,5.187163239E0,9.714648285E0,-1.632205811E0
1.444059417E0,5.530399475E0,9.631421356E0,-1.554517365E0
1.454080417E0,6.219566345E0,9.295669556E0,-1.648970947E0
1.464101417E0,6.964267731E0,8.989256744E0,-1.825903015E0
1.474122417E0,7.561226349E0,8.814420319E0,-2.055226135E0
1.484143417E0,7.715705109E0,8.892408142E0,-2.330952759E0
1.494165417E0,7.314539337E0,9.203760681E0,-2.294129333E0
1.504186417E0,6.554270325E0,9.533375244E0,-2.031425629E0
1.514207417E0,5.738317108E0,9.576635284E0,-1.785487061E0
1.524228417E0,5.271138611E0,9.193132782E0,-1.617386627E0
1.534250417E0,5.210364990E0,8.499924316E0,-1.490749969E0
1.544271417E0,5.411097565E0,7.963739319E0,-1.487307129E0
1.554292417E0,5.777535553E0,7.842940521E0,-1.656904449E0
1.564313417E0,6.121819611E0,8.005652161E0,-1.731599121E0
1.574334417E0,6.196065216E0,8.343649292E0,-1.765728149E0
1.584356417E0,6.061195679E0,8.517886963E0,-1.717977448E0
1.594377417E0,5.714217224E0,8.118667145E0,-1.619482269E0
1.604398417E0,5.208568726E0,7.216343536E0,-1.635498962E0
1.614419417E0,4.813839569E0,6.493047638E0,-1.859133911E0
1.624441417E0,4.541555786E0,6.351142731E0,-2.052980804E0
1.634462417E0,4.346960449E0,6.846911774E0,-2.033820648E0
1.644483417E0,4.280049591E0,7.652985535E0,-1.945953369E0
1.654503542E0,4.364174652E0,8.252488861E0,-1.747166748E0
1.664524542E0,4.344565430E0,8.356672211E0,-1.563798065E0
1.674546542E0,4.201912079E0,8.056396637E0,-1.544637909E0
1.684567542E0,4.061504059E0,7.630681915E0,-1.564097443E0
1.694588542E0,4.082011414E0,7.457492065E0,-1.540446625E0
1.704609542E0,4.345164185E0,7.753576355E0,-1.553469543E0
1.714631542E0,4.620142365E0,8.427025909E0,-1.359622650E0
1.724652542E0,4.651576996E0,9.088949432E0,-9.828561401E-1
1.734673542E0,4.487069092E0,9.353000336E0,-6.947053528E-1
1.744694542E0,4.329147491E0,9.284592590E0,-4.513114929E-1
1.754715542E0,4.592150574E0,9.212891693E0,-8.232879639E-2
1.764737542E0,5.001100159E0,9.041348419E0,1.534309387E-1
1.774758542E0,5.280419312E0,8.571924591E0,1.040336609E-1
1.784779542E0,5.662574615E0,8.252339172E0,2.709365845E-2
1.794800542E0,5.842949524E0,8.255931702E0,9.984237671E-2
1.804822542E0,5.717061310E0,8.535550232E0,2.308200073E-1
1.814843542E0,5.584736481E0,8.960965576E0,4.882846069E-1
1.824864542E0,5.410798187E0,9.267827454E0,9.220825195E-1
1.834885542E0,5.081033936E0,9.406289520E0,1.438957672E0
1.844906542E0,4.814588013E0,9.383836212E0,1.791773987E0
1.854928542E0,4.837191010E0,9.035809937E0,1.646426239E0
1.864949542E0,4.935686188E0,8.316405945E0,1.253792725E0
1.874970542E0,4.898563385E0,7.798482971E0,8.330177307E-1
1.884991542E0,4.805906067E0,7.622898102E0,5.138813782E-1
1.895013542E0,4.777315521E0,7.862849121E0,5.188211060E-1
1.905034542E0,4.699477386E0,8.281528473E0,6.336323547E-1
1.915055542E0,4.542004852E0,8.403225403E0,5.587879944E-1
1.925076542E0,4.579876099E0,8.201894073E0,3.306623840E-1
1.935098542E0,4.857997742E0,7.809260559E0,2.344125366E-1
1.945119542E0,5.007237396E0,7.491022339E0,1.673519897E-1
1.955140542E0,5.049898682E0,7.383396149E0,-8.816665649E-2
1.965161542E0,5.022206268E0,7.366930389E0,-2.659968567E-1
1.975182542E0,4.641248474E0,7.125931549E0,-1.032852173E-1
1.985204542E0,4.184248810E0,6.690936127E0,3.004252625E-1
1.995225542E0,3.909570007E0,6.551126862E0,6.731501770E-1
2.005246542E0,3.826043701E0,6.865024109E0,8.506809998E-1
2.015267542E0,3.951333160E0,7.389982452E0,9.620494080E-1
2.025289542E0,4.182302856E0,7.994126129E0,1.150357819E0
2.035310542E0,4.354594574E0,8.549321594E0,1.254541168E0
2.045331542E0,4.322112122E0,9.026828613E0,1.499132538E0
2.055352542E0,4.278852081E0,9.377549286E0,1.796564026E0
2.065373542E0,4.103267212E0,9.540560303E0,2.005379791E0
2.075395542E0,3.931873627E0,9.645043030E0,2.055375824E0
2.085416542E0,3.984114990E0,9.518556061E0,1.868713989E0
2.095437542E0,4.211492157E0,9.261091461E0,1.483415222E0
2.105458542E0,4.558171234E0,9.017996979E0,1.013692017E0
2.115480542E0,4.942721558E0,8.943002930E0,3.086581421E-1
2.125501542E0,5.152585144E0,8.982221375E0,-3.995191956E-1
2.135522542E0,5.090464325E0,8.893306274E0,-8.318202209E-1
2.145543542E0,4.738246765E0,8.670120392E0,-1.021176453E0
2.155564542E0,4.182153168E0,8.531508636E0,-1.152752838E0
2.165586542E0,3.744762726E0,8.536598053E0,-9.943821716E-1
2.175607542E0,3.571872253E0,8.522527313E0,-7.726931763E-1
2.185628542E0,3.636088715E0,8.408165131E0,-8.021818542E-1
2.195649542E0,3.898642731E0,8.341553650E0,-6.026467896E-1
2.205671542E0,4.061953125E0,8.517587585E0,-5.462141418E-1
2.215692542E0,4.309538269E0,8.185877380E0,-8.041278076E-1
2.225713542E0,4.862638092E0,7.774083710E0,-9.470805359E-1
2.235734542E0,5.490133209E0,7.733817444E0,-8.860075378E-1
2.245755542E0,5.928272095E0,7.848179626E0,-9.524693298E-1
2.255777542E0,6.354136505E0,7.874524841E0,-1.026415558E0
2.265798542E0,6.832990723E0,7.878267059E0,-9.801617432E-1
2.275819542E0,7.157066803E0,7.930059357E0,-1.010249176E0
2.285840542E0,7.170987854E0,7.967032471E0,-1.116228790E0
2.295862542E0,7.015161896E0,7.776927795E0,-1.222058716E0
2.305883542E0,6.786287842E0,7.161707153E0,-1.316212921E0
2.315904542E0,6.666985931E0,6.422394562E0,-1.147813110E0
2.325925542E0,6.990912323E0,5.935008087E0,-8.809181213E-1
2.335946542E0,7.342082062E0,5.910758514E0,-7.911048889E-1
2.345968542E0,7.429051208E0,6.163283386E0,-7.786807251E-1
2.355989542E0,7.424261169E0,6.394402771E0,-8.804690552E-1
2.366010542E0,7.463030548E0,6.643484802E0,-8.834628296E-1
2.376031542E0,7.559280396E0,6.825057220E0,-9.089099121E-1
2.386053542E0,7.642956390E0,6.947502594E0,-1.217118988E0
2.396074542E0,7.712112579E0,7.338339844E0,-1.522783356E0
2.406095542E0,7.672744446E0,7.871680756E0,-1.720073090E0
2.416116542E0,7.342980194E0,8.278235321E0,-1.685345306E0
2.426137542E0,6.756350098E0,8.644224243E0,-1.370250549E0
2.436159542E0,5.910159760E0,9.035360870E0,-9.648934937E-1
2.446180542E0,4.924758911E0,9.391470337E0,-4.448748779E-1
2.456201542E0,4.234693909E0,9.651629333E0,-7.783813477E-2
2.466222542E0,3.765419769E0,9.538015594E0,1.984872437E-1
2.476244542E0,3.512894897E0,9.159452820E0,2.143542480E-1
2.486265542E0,3.594774628E0,9.015302582E0,-7.259902954E-2
2.496286542E0,3.906875610E0,9.367520142E0,-4.447251892E-1
2.506307542E0,4.495900726E0,9.749376068E0,-7.696994019E-1
2.516328542E0,5.276078339E0,9.585317230E0,-7.746391296E-1
2.526350542E0,5.835016022E0,9.222172394E0,-4.824467468E-1
2.536371542E0,5.755381622E0,9.021140442E0,-5.098397827E-1
2.546392542E0,5.289250946E0,8.751251678E0,-4.179309082E-1
2.556413542E0,4.812642059E0,8.521778870E0,-2.990780640E-1
2.566435542E0,4.580923920E0,8.557704163E0,-6.935078430E-1
2.576456542E0,4.743485870E0,8.786877594E0,-1.056802368E0
2.586477542E0,5.054239655E0,8.949888611E0,-1.092577972E0
2.596498542E0,5.294789429E0,8.730444946E0,-1.079105988E0
2.606519542E0,5.352718964E0,8.224048004E0,-7.915539551E-1
2.616541542E0,5.133125610E0,7.729326782E0,-6.048921204E-1
2.626562542E0,4.800517273E0,7.393724670E0,-5.490582275E-1
2.636583542E0,4.447551270E0,7.216193848E0,-3.803590393E-1
2.646604542E0,4.142934723E0,7.173233185E0,-1.359173584E-1
2.656626542E0,4.033212891E0,7.206613770E0,-1.730401611E-1
2.666647542E0,3.945794678E0,7.231462097E0,-1.272354126E-1
2.676668542E0,3.789819031E0,7.303162994E0,-9.550140381E-2
2.686689542E0,3.745062103E0,7.385342102E0,-2.309696960E-1
2.696710542E0,3.871100006E0,7.379653931E0,-3.830534363E-1
2.706732542E0,4.130660248E0,7.410040741E0,-4.300556946E-1
2.716753542E0,4.428091736E0,7.518115997E0,-6.014492798E-1
2.726774542E0,4.775219879E0,7.520511017E0,-7.758366394E-1
2.736795542E0,5.166057129E0,7.366780701E0,-1.016087036E0
2.746817542E0,5.555696869E0,7.169790344E0,-1.248703308E0
2.756838542E0,5.814358978E0,7.019802246E0,-1.318458252E0
2.766859542E0,5.991590424E0,7.030130768E0,-1.403182068E0
2.776880542E0,6.270161133E0,7.197931824E0,-1.724563751E0
2.786901542E0,6.706653442E0,7.300169220E0,-2.163301392E0
2.796923542E0,7.263495483E0,7.349416809E0,-2.462379456E0
2.806944542E0,7.704328766E0,7.554340668E0,-2.536774750E0
2.816965542E0,8.167914734E0,7.808362427E0,-2.516117706E0
2.826986542E0,8.415649567E0,7.771539001E0,-2.441572723E0
2.837008542E0,8.360115051E0,7.658823395E0,-2.414029999E0
2.847029542E0,8.167465668E0,7.654332733E0,-2.534080353E0
2.857050542E0,8.074958038E0,7.608378296E0,-2.579436035E0
2.867071542E0,8.169860687E0,7.696994019E0,-2.422711945E0
2.877092542E0,8.305179291E0,7.784561920E0,-2.311792603E0
2.887114542E0,8.612939301E0,7.743397522E0,-2.330952759E0
2.897135542E0,8.932524719E0,7.624993744E0,-2.369123383E0
2.907156542E0,9.081315308E0,7.491321716E0,-2.188748474E0
2.917177542E0,9.038055267E0,7.418123932E0,-1.886676636E0
2.927199542E0,8.904383240E0,7.283553772E0,-1.669178925E0
2.937220542E0,8.663833466E0,6.997199249E0,-1.501677246E0
2.947241542E0,8.364306335E0,6.825955353E0,-1.388961639E0
2.957262542E0,7.990832977E0,6.744225311E0,-1.313668213E0
2.967283542E0,7.517367554E0,6.630162506E0,-1.231638794E0
2.977305542E0,6.938670959E0,6.409072266E0,-1.192270660E0
2.987326542E0,6.430477753E0,6.260431366E0,-1.227148132E0
2.997347542E0,6.114933929E0,6.271807709E0,-1.209634552E0
3.007368542E0,6.078858948E0,6.428831177E0,-1.322948914E0
3.017389542E0,6.247857513E0,6.422843628E0,-1.298399963E0
3.027411542E0,6.352340240E0,6.355034637E0,-1.173110504E0
3.037432542E0,6.307583313E0,6.352489929E0,-1.177451477E0
3.047453542E0,6.298302612E0,6.317313080E0,-1.267713776E0
3.057474542E0,6.329437866E0,6.312523041E0,-1.375489655E0
3.067496542E0,6.380332031E0,6.345604248E0,-1.530866547E0
3.077517542E0,6.473288727E0,6.330186310E0,-1.586251373E0
3.087538542E0,6.557413788E0,6.322701874E0,-1.537901917E0
3.097559542E0,6.658603363E0,6.397995300E0,-1.523382111E0
3.107580542E0,6.734046478E0,6.528523865E0,-1.503772888E0
3.117602542E0,6.787635040E0,6.628515930E0,-1.454974365E0
3.127623542E0,6.868916016E0,6.599027252E0,-1.472188568E0
3.137644542E0,7.067552948E0,6.523284760E0,-1.510359192E0
3.147665542E0,7.201973419E0,6.561605072E0,-1.713786163E0
3.157687542E0,7.325167236E0,6.698121185E0,-1.795815582E0
3.167708542E0,7.377857666E0,6.907535706E0,-1.894610138E0
3.177729542E0,7.263196106E0,7.095694427E0,-1.937421112E0
3.187750542E0,7.111411743E0,7.175328827E0,-1.932780762E0
3.197771542E0,7.040908356E0,7.025041351E0,-1.857637024E0
3.207793542E0,6.904392242E0,6.781198425E0,-1.907633057E0
3.217814542E0,6.718478851E0,6.509962463E0,-1.945204926E0
3.227835542E0,6.648574219E0,6.321504364E0,-1.982926483E0
3.237856542E0,6.713988190E0,6.556216278E0,-1.998344421E0
3.247878542E0,6.795568542E0,6.911726990E0,-1.976190491E0
3.257899542E0,6.820566559E0,6.964866486E0,-1.894909515E0
3.267920542E0,6.887627106E0,6.700815582E0,-1.858086090E0
3.277941542E0,7.032076721E0,6.331683197E0,-1.732796631E0
3.287962542E0,7.171586609E0,6.693181458E0,-1.427581329E0
3.297984542E0,7.175029449E0,7.219037933E0,-1.462907867E0
3.308005542E0,7.310647430E0,7.189549255E0,-1.699116669E0
3.318026542E0,7.412435760E0,6.850504303E0,-1.844913483E0
3.328047542E0,7.114704895E0,6.554420013E0,-1.911974030E0
3.338068542E0,6.842421112E0,6.621330872E0,-1.623074799E0
3.348090542E0,6.938970337E0,6.903643799E0,-1.473236389E0
3.358111542E0,7.082970886E0,7.069199524E0,-1.456620941E0
3.368132542E0,7.133415985E0,7.090754700E0,-1.502425690E0
3.378153542E0,7.145091705E0,6.938072205E0,-1.567390594E0
3.388175542E0,7.227270813E0,6.722819824E0,-1.585353241E0
3.398196542E0,7.364535370E0,6.537804565E0,-1.543590088E0
3.408217542E0,7.385042725E0,6.478078766E0,-1.518143005E0
3.418238542E0,7.254364471E0,6.596332855E0,-1.499431915E0
3.428259542E0,6.983427887E0,6.871011658E0,-1.551224213E0
3.438281542E0,6.716981964E0,7.084318085E0,-1.600022736E0
3.448302542E0,6.664590912E0,7.147636414E0,-1.612147522E0
3.458323542E0,6.895710297E0,7.014862518E0,-1.629361725E0
3.468344542E0,7.116052094E0,6.701264648E0,-1.567839661E0
3.478366542E0,7.158863068E0,6.465804291E0,-1.506018219E0
3.488387542E0,7.085515594E0,6.444548492E0,-1.535506897E0
3.498408542E0,7.045548706E0,6.521039429E0,-1.597478027E0
3.508429542E0,7.073540497E0,6.536008301E0,-1.734592896E0
3.518450542E0,7.092550964E0,6.443650360E0,-1.921254730E0
3.528472542E0,6.996450806E0,6.347400513E0,-2.038760376E0
3.538493542E0,6.850504303E0,6.306236115E0,-2.061363373E0
3.548514542E0,6.707102509E0,6.292165375E0,-2.092348938E0
3.558535542E0,6.559060364E0,6.357579346E0,-2.168091431E0
3.568556542E0,6.527176666E0,6.484964447E0,-2.314187622E0
3.578578542E0,6.603517914E0,6.537804565E0,-2.315385132E0
3.588599542E0,6.791077881E0,6.547384644E0,-2.233804779E0
3.598620542E0,7.088359680E0,6.544989624E0,-2.113005981E0
3.608641542E0,7.469467163E0,6.599626007E0,-1.879491577E0
3.618663542E0,7.936495972E0,6.787784729E0,-1.708097992E0
3.628684542E0,8.401279449E0,6.966662750E0,-1.630409546E0
3.638705542E0,8.682394867E0,6.956334229E0,-1.497485962E0
3.648726542E0,8.753946075E0,6.814279633E0,-1.437460785E0
3.658748042E0,8.512797546E0,6.773863678E0,-1.418150940E0
3.668770042E0,8.044421539E0,6.898105316E0,-1.354832611E0
3.678791042E0,7.379953308E0,7.193890228E0,-1.304537201E0
3.688812042E0,6.535708923E0,7.508685608E0,-1.345701599E0
3.698833042E0,5.832022247E0,7.642058258E0,-1.524429932E0
3.708854042E0,5.490881653E0,7.558382263E0,-1.736538849E0
3.718876042E0,5.349725189E0,7.323520660E0,-1.828747101E0
3.728897042E0,5.330864410E0,6.994804230E0,-1.811981964E0
3.738918042E0,5.416636047E0,6.722969513E0,-1.758243713E0
3.748939042E0,5.618416443E0,6.516848145E0,-1.803449707E0
3.758961042E0,6.053112488E0,6.359974365E0,-1.992506561E0
3.768982042E0,6.701264648E0,6.311475220E0,-1.980830841E0
3.779003042E0,7.187453613E0,6.557862854E0,-1.733395386E0
3.789024042E0,7.566914520E0,7.133116608E0,-1.541344757E0
3.799045042E0,8.063132629E0,7.804620209E0,-1.319057007E0
3.809067042E0,8.642727356E0,8.232131195E0,-1.105301514E0
3.819088042E0,9.087153168E0,8.075257416E0,-1.097817078E0
3.829109042E0,9.058562622E0,7.515870667E0,-1.139729919E0
3.839130042E0,8.632398834E0,6.957531738E0,-1.139131165E0
3.849151042E0,7.923622742E0,6.429280243E0,-1.183588715E0
3.859173042E0,7.244335327E0,5.949378204E0,-1.429527283E0
3.869194042E0,6.874604187E0,5.777535553E0,-1.858235779E0
3.879215042E0,6.609954529E0,5.934708710E0,-2.368374939E0
3.889236042E0,6.333778839E0,6.208489380E0,-2.823428650E0
