"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.082750063E-3,8.441149957E-1,3.774988302E-1,-3.062035531E-1,-2.262829525E-1,6.484552278E1,5.579095470E1,-2.024889250E1,-4.081312665E1
1.410475001E-2,8.449745175E-1,3.779294156E-1,-3.051015685E-1,-2.238312071E-1,6.466158852E1,5.573453401E1,-2.026858177E1,-4.047136766E1
2.412775008E-2,8.458433537E-1,3.786419028E-1,-3.036441357E-1,-2.213131648E-1,6.447518572E1,5.568840200E1,-2.024736272E1,-4.010126670E1
3.414975002E-2,8.467387635E-1,3.797177090E-1,-3.016993879E-1,-2.186904928E-1,6.428257730E1,5.565390880E1,-2.017201855E1,-3.969062542E1
4.417275009E-2,8.477275918E-1,3.811919293E-1,-2.991234068E-1,-2.158146658E-1,6.406927347E1,5.562488798E1,-2.003637878E1,-3.921377548E1
5.419475003E-2,8.487708316E-1,3.829784104E-1,-2.960016714E-1,-2.128347783E-1,6.384354222E1,5.559999218E1,-1.984354648E1,-3.869240981E1
6.421775010E-2,8.498335855E-1,3.848882448E-1,-2.926370542E-1,-2.097795743E-1,6.361285233E1,5.557725047E1,-1.962741019E1,-3.814921220E1
7.423975004E-2,8.509283920E-1,3.867514306E-1,-2.892621453E-1,-2.065709347E-1,6.337441912E1,5.554997692E1,-1.942055752E1,-3.758997588E1
8.426275000E-2,8.520619947E-1,3.884179117E-1,-2.860053793E-1,-2.032800877E-1,6.312668678E1,5.550853882E1,-1.923681455E1,-3.702896321E1
9.428475006E-2,8.532199583E-1,3.898213543E-1,-2.830056248E-1,-1.999068858E-1,6.287272736E1,5.545279015E1,-1.909140539E1,-3.647481502E1
1.043077500E-1,8.543324033E-1,3.909676432E-1,-2.803219453E-1,-1.966724312E-1,6.262788068E1,5.538915389E1,-1.897715485E1,-3.595528358E1
1.143297501E-1,8.554031440E-1,3.919076602E-1,-2.778952825E-1,-1.935666721E-1,6.239139806E1,5.531939260E1,-1.888710438E1,-3.546555131E1
1.243527500E-1,8.564617464E-1,3.927029344E-1,-2.756585862E-1,-1.904467517E-1,6.215680130E1,5.524468074E1,-1.882048143E1,-3.498633007E1
1.343747501E-1,8.575292839E-1,3.933314914E-1,-2.735817791E-1,-1.873152830E-1,6.191941467E1,5.516009830E1,-1.877513097E1,-3.451513525E1
1.443977500E-1,8.585932179E-1,3.937302269E-1,-2.717251420E-1,-1.842814896E-1,6.168201094E1,5.506227444E1,-1.875295744E1,-3.406652666E1
1.544197501E-1,8.596751696E-1,3.939510764E-1,-2.700026003E-1,-1.812725839E-1,6.143973900E1,5.495134021E1,-1.874785432E1,-3.362738474E1
1.644427500E-1,8.608069811E-1,3.941379819E-1,-2.681719677E-1,-1.781866760E-1,6.118537645E1,5.482993378E1,-1.873722536E1,-3.317244375E1
1.744647501E-1,8.619720675E-1,3.944017158E-1,-2.661023256E-1,-1.750460825E-1,6.092253429E1,5.470505203E1,-1.870336337E1,-3.269720118E1
1.844877501E-1,8.631531276E-1,3.947425837E-1,-2.638291090E-1,-1.718700435E-1,6.065503806E1,5.457944358E1,-1.864847126E1,-3.220644266E1
1.945097500E-1,8.643861336E-1,3.950606080E-1,-2.614301684E-1,-1.685764780E-1,6.037463302E1,5.444418904E1,-1.858779272E1,-3.169507857E1
2.045327501E-1,8.657046767E-1,3.954156952E-1,-2.587570045E-1,-1.650655402E-1,6.007346445E1,5.429777694E1,-1.851030947E1,-3.114361208E1
2.145547500E-1,8.670407529E-1,3.958411149E-1,-2.559037155E-1,-1.614418173E-1,5.976688828E1,5.415144291E1,-1.841800983E1,-3.057060999E1
2.245777501E-1,8.683347033E-1,3.962952262E-1,-2.531214124E-1,-1.577164153E-1,5.946861160E1,5.401372316E1,-1.833568326E1,-2.999358930E1
2.345997500E-1,8.695521150E-1,3.967087763E-1,-2.506121102E-1,-1.539313332E-1,5.918673196E1,5.388669489E1,-1.828288036E1,-2.942910191E1
2.446227501E-1,8.706269861E-1,3.970142356E-1,-2.486069107E-1,-1.502763164E-1,5.893683748E1,5.377540161E1,-1.827415138E1,-2.891110917E1
2.546447500E-1,8.715302773E-1,3.972682968E-1,-2.470941338E-1,-1.468238994E-1,5.872608505E1,5.368634608E1,-1.830305490E1,-2.844710893E1
2.646677501E-1,8.722543180E-1,3.975821907E-1,-2.459259654E-1,-1.436008035E-1,5.855665596E1,5.362579579E1,-1.835077631E1,-2.803193012E1
2.746897500E-1,8.728036179E-1,3.980346898E-1,-2.449887776E-1,-1.405795909E-1,5.842781844E1,5.359734276E1,-1.840567838E1,-2.765648965E1
