"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.758916769E-3,-2.319277039E0,7.550748138E0,5.273234253E0
1.178091671E-2,-2.198029175E0,7.519612885E0,5.446424103E0
2.180291677E-2,-2.079775085E0,7.461833038E0,5.335205383E0
3.182391671E-2,-2.085463257E0,7.599846039E0,5.194647675E0
4.184591677E-2,-1.353485413E0,8.600664825E0,5.484295349E0
5.186791671E-2,1.960922241E-2,9.043743439E0,6.300697632E0
6.188891677E-2,-7.319778442E-1,6.048771515E0,6.114484863E0
7.191091671E-2,-2.673141174E0,5.125790863E0,5.264552307E0
8.193291677E-2,-2.693498840E0,7.655829620E0,5.189857635E0
9.195491672E-2,-1.913321228E0,9.315129089E0,5.441933441E0
1.019759168E-1,-1.741927643E0,8.458909607E0,5.624553680E0
1.119979167E-1,-1.897603912E0,7.489525452E0,5.631439362E0
1.220199168E-1,-1.859133911E0,7.748337250E0,5.295687561E0
1.320419167E-1,-1.700314178E0,8.019273834E0,5.186115417E0
1.420629168E-1,-1.736239471E0,7.753127289E0,5.278323669E0
1.520849167E-1,-1.979932709E0,7.452402649E0,5.336851959E0
1.621069168E-1,-2.178120575E0,7.347321167E0,5.338049469E0
1.721279167E-1,-2.337539063E0,7.470664673E0,5.208718414E0
1.821499168E-1,-2.564167786E0,7.450007629E0,5.153632965E0
1.921719167E-1,-2.820734253E0,7.162455597E0,5.134772186E0
2.021929168E-1,-2.886746979E0,6.998696136E0,5.083279266E0
2.122149167E-1,-2.829865265E0,7.137906647E0,5.034630432E0
2.222369168E-1,-2.899769897E0,7.203919373E0,4.979994049E0
2.322589167E-1,-3.034040680E0,6.976093140E0,4.875661011E0
2.422799168E-1,-3.008144531E0,6.759493561E0,4.872068481E0
2.523019167E-1,-2.877166901E0,6.860683136E0,4.869823151E0
2.623239168E-1,-2.868484955E0,6.795269165E0,4.889731750E0
2.723449167E-1,-2.937491455E0,6.475983124E0,5.033432922E0
2.823643751E-1,-2.901117096E0,6.346951447E0,5.042563934E0
2.923863750E-1,-2.864293671E0,6.458918610E0,4.914879456E0
3.024083751E-1,-2.829116821E0,7.000043335E0,4.814438324E0
3.124293750E-1,-2.721490631E0,7.640411682E0,4.658163300E0
3.224513751E-1,-2.330204315E0,7.973768463E0,4.528981934E0
3.324733750E-1,-1.717528381E0,8.459658051E0,4.442012787E0
3.424943751E-1,-7.885601807E-1,9.400751038E0,4.197571106E0
3.525163750E-1,-6.448590088E-1,9.638157349E0,4.123026123E0
3.625383751E-1,-9.732760620E-1,8.832233276E0,4.844825134E0
3.725603750E-1,-1.470092926E0,7.841293945E0,5.352868652E0
3.825813751E-1,-2.107317810E0,7.259753265E0,5.042863312E0
3.926033750E-1,-9.355545044E-1,9.032067719E0,4.183200989E0
4.026253751E-1,9.979747009E-1,1.077818665E1,4.058809662E0
4.126463750E-1,3.799399109E0,1.130778534E1,4.175267487E0
4.226683751E-1,6.979386292E0,1.043450134E1,4.960833893E0
4.326903750E-1,9.120683441E0,9.027427368E0,5.942043457E0
4.427123751E-1,9.458979950E0,7.860753479E0,6.668931885E0
4.527333750E-1,8.140222321E0,7.296726379E0,6.998097382E0
4.627553751E-1,6.336922302E0,7.265890503E0,7.060517578E0
4.727773750E-1,5.208568726E0,7.300468597E0,6.922803955E0
4.827983751E-1,4.671335907E0,7.192842407E0,6.857839050E0
4.928203750E-1,4.418661346E0,6.991660767E0,6.884783020E0
5.028423751E-1,4.190236359E0,6.887327728E0,6.868317261E0
5.128643750E-1,3.906276855E0,6.950945435E0,6.875053253E0
5.228853751E-1,3.476221161E0,7.113956451E0,6.846163330E0
5.329073750E-1,3.049757996E0,7.249125366E0,6.771468658E0
5.429293751E-1,2.775528259E0,7.228019257E0,6.712940369E0
5.529503750E-1,2.706072693E0,7.123835907E0,6.612948303E0
5.629723751E-1,2.795436859E0,7.022197266E0,6.500232697E0
5.729943750E-1,3.093317413E0,7.031028900E0,6.417754211E0
5.830163751E-1,3.550017700E0,7.098239136E0,6.384822693E0
5.930373750E-1,3.992048492E0,7.097041626E0,6.342161407E0
6.030593751E-1,4.354145508E0,7.039411469E0,6.296955414E0
6.130813750E-1,4.621190186E0,7.003336487E0,6.129902802E0
6.231033751E-1,4.845723267E0,6.916517029E0,5.968688049E0
6.331243750E-1,5.075645142E0,6.782395935E0,5.898184662E0
6.431463751E-1,5.293891296E0,6.672225037E0,5.836512909E0
6.531683750E-1,5.480104065E0,6.576274567E0,5.764812012E0
6.631893751E-1,5.710025940E0,6.481222229E0,5.764812012E0
6.732113750E-1,5.885760498E0,6.400540009E0,5.826184387E0
6.832333751E-1,5.941594391E0,6.375242615E0,5.835465088E0
6.932543750E-1,5.911956024E0,6.423143005E0,5.809568939E0
7.032763751E-1,5.774841156E0,6.550079041E0,5.787564697E0
7.132983750E-1,5.626050568E0,6.766828308E0,5.761668549E0
7.233203751E-1,5.450765076E0,7.003935242E0,5.805677032E0
7.333413750E-1,5.241350555E0,7.177274780E0,5.872438202E0
7.433633751E-1,4.924010468E0,7.377408600E0,5.887856140E0
7.533853750E-1,4.652175751E0,7.572752380E0,5.838309174E0
7.634063751E-1,4.529131622E0,7.667355652E0,5.770500183E0
7.734283750E-1,4.433031464E0,7.603288879E0,5.806126099E0
7.834503751E-1,4.333638153E0,7.520660706E0,5.871390381E0
7.934723750E-1,4.219874725E0,7.551197205E0,5.875282288E0
8.034933751E-1,4.194876709E0,7.688761139E0,5.845045166E0
8.135153750E-1,4.208498383E0,7.735613708E0,5.813161469E0
8.235373751E-1,4.271966400E0,7.720944214E0,5.765560455E0
8.335583750E-1,4.359683990E0,7.672594757E0,5.707780609E0
8.435803751E-1,4.440964966E0,7.665110321E0,5.578299866E0
8.536023750E-1,4.425996094E0,7.659721527E0,5.479954376E0
