"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.178091671E-2,-2.074113080E0,7.803066604E0,5.571922892E0
2.180291677E-2,-2.062108454E0,7.806369696E0,5.571751569E0
3.182391671E-2,-2.042571591E0,7.809664017E0,5.574329606E0
4.184591677E-2,-2.028628467E0,7.812126864E0,5.575970335E0
5.186791671E-2,-2.038546514E0,7.810078000E0,5.575221891E0
6.188891677E-2,-2.059240395E0,7.802347396E0,5.578440784E0
7.191091671E-2,-2.073088210E0,7.794693975E0,5.584009087E0
8.193291677E-2,-2.081193620E0,7.791801358E0,5.585030596E0
9.195491672E-2,-2.084020310E0,7.794767066E0,5.579836514E0
1.019759168E-1,-2.078931186E0,7.800486227E0,5.573739038E0
1.119979167E-1,-2.070417932E0,7.806199542E0,5.568906898E0
1.220199168E-1,-2.061716837E0,7.810558056E0,5.566021882E0
1.320419167E-1,-2.053201537E0,7.814261683E0,5.563972433E0
1.420629168E-1,-2.043145203E0,7.818337192E0,5.561948712E0
1.520849167E-1,-2.029687105E0,7.822238454E0,5.561389718E0
1.621069168E-1,-2.011483115E0,7.824933436E0,5.564211584E0
1.721279167E-1,-1.987137209E0,7.826442602E0,5.570833556E0
1.821499168E-1,-1.954518809E0,7.827331964E0,5.581113546E0
1.921719167E-1,-1.911293414E0,7.828390310E0,5.594584361E0
2.021929168E-1,-1.857241021E0,7.829577295E0,5.611102161E0
2.122149167E-1,-1.793959237E0,7.830349127E0,5.630579821E0
2.222369168E-1,-1.720199243E0,7.831211591E0,5.652357191E0
2.322589167E-1,-1.629587574E0,7.832945876E0,5.676751190E0
2.422799168E-1,-1.523759110E0,7.835065491E0,5.703156631E0
2.523019167E-1,-1.406579446E0,7.837192124E0,5.730276017E0
2.623239168E-1,-1.276925625E0,7.839626319E0,5.757241037E0
2.723449167E-1,-1.134833607E0,7.843125293E0,5.782182335E0
2.823643751E-1,-9.801546534E-1,7.847437030E0,5.804577756E0
2.923863750E-1,-8.125388812E-1,7.851833552E0,5.824482263E0
3.024083751E-1,-6.264470769E-1,7.853336871E0,5.845406524E0
3.124293750E-1,-4.146443710E-1,7.849092962E0,5.869916298E0
3.224513751E-1,-1.744549498E-1,7.838028275E0,5.896691868E0
3.324733750E-1,9.344864739E-2,7.817826730E0,5.925280074E0
3.424943751E-1,3.784995151E-1,7.783875457E0,5.958533190E0
3.525163750E-1,6.844774032E-1,7.735509628E0,5.994119344E0
3.625383751E-1,9.974029163E-1,7.684885604E0,6.015299714E0
3.725603750E-1,1.297524928E0,7.646676389E0,6.006734712E0
3.825813751E-1,1.598708866E0,7.622686433E0,5.964469283E0
3.926033750E-1,1.917879571E0,7.597511830E0,5.902174217E0
4.026253751E-1,2.263711241E0,7.565493062E0,5.820225490E0
4.126463750E-1,2.615718593E0,7.527359861E0,5.721273644E0
4.226683751E-1,2.931891577E0,7.493649493E0,5.611179344E0
4.326903750E-1,3.172802124E0,7.480323688E0,5.496742902E0
4.427123751E-1,3.323275249E0,7.495817056E0,5.385597273E0
4.527333750E-1,3.396363983E0,7.534152571E0,5.285580649E0
4.627553751E-1,3.419822135E0,7.582747026E0,5.200275620E0
4.727773750E-1,3.417855424E0,7.631539117E0,5.129714929E0
4.827983751E-1,3.403349651E0,7.676349839E0,5.072174819E0
4.928203750E-1,3.381264133E0,7.717325372E0,5.024544570E0
5.028423751E-1,3.353732226E0,7.755579026E0,4.983931564E0
5.128643750E-1,3.324003519E0,7.791137114E0,4.948259456E0
5.228853751E-1,3.297224441E0,7.822651268E0,4.916352954E0
5.329073750E-1,3.278984929E0,7.848472572E0,4.887312757E0
5.429293751E-1,3.272850615E0,7.867628050E0,4.860551513E0
5.529503750E-1,3.279580760E0,7.880088467E0,4.835769844E0
5.629723751E-1,3.298209112E0,7.886098235E0,4.813249293E0
5.729943750E-1,3.326917187E0,7.886122794E0,4.793409690E0
5.830163751E-1,3.363090110E0,7.881012327E0,4.776542227E0
5.930373750E-1,3.403454316E0,7.872177769E0,4.762499554E0
6.030593751E-1,3.444880962E0,7.860589172E0,4.751844757E0
6.130813750E-1,3.485035838E0,7.846458791E0,4.745915388E0
6.231033751E-1,3.522842473E0,7.829807675E0,4.745502283E0
6.331243750E-1,3.557904717E0,7.810759200E0,4.750732032E0
6.431463751E-1,3.590010609E0,7.788930375E0,4.762403952E0
6.531683750E-1,3.618668690E0,7.764010127E0,4.781368811E0
6.631893751E-1,3.642970010E0,7.736113645E0,4.808058427E0
6.732113750E-1,3.662243895E0,7.705588256E0,4.842311416E0
6.832333751E-1,3.676441227E0,7.672265559E0,4.884282730E0
6.932543750E-1,3.686311327E0,7.635742096E0,4.933827358E0
