"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.349570835E-2,-1.076665652E0,9.521600121E-1,-1.053558333E0
2.351770829E-2,-7.264433084E-1,8.772226810E-1,-5.735989916E-1
3.353870835E-2,-3.754198962E-1,1.039114541E0,-2.820802081E-1
4.355970828E-2,-5.420920010E-1,5.589721817E-1,-1.056638646E-1
5.358070834E-2,-1.052801703E0,-7.200436771E-2,-3.998174036E-1
6.360270828E-2,-1.128645353E0,2.872655189E-1,-6.800042832E-1
7.362370833E-2,-1.073551425E0,7.224427897E-1,-6.931651962E-1
8.364470827E-2,-9.620387368E-1,4.882547861E-1,-6.393170178E-1
9.366670833E-2,-7.612224010E-1,4.089530933E-1,-5.756700754E-1
1.036877083E-1,-5.211156996E-1,7.321485829E-1,-4.827467090E-1
1.137086250E-1,-4.668852594E-1,7.273831022E-1,-4.306544495E-1
1.237306249E-1,-5.187507932E-1,4.850382328E-1,-4.729356658E-1
1.337516250E-1,-5.076304123E-1,5.748526347E-1,-4.181028163E-1
1.437736249E-1,-3.014745453E-1,7.344272429E-1,-3.100924641E-1
1.537946250E-1,-3.881956239E-1,3.670648098E-1,-1.966646665E-1
1.638156250E-1,-6.101268402E-1,2.371051794E-1,-2.256253409E-1
1.738366249E-1,-7.349916454E-1,3.206706619E-1,-2.272847807E-1
1.838586250E-1,-8.531014547E-1,3.883428276E-2,-1.263612539E-1
1.938796249E-1,-9.259162465E-1,-2.838659477E-1,-1.291170466E-1
2.039006250E-1,-9.164246075E-1,-5.202162516E-1,-1.756211221E-1
2.139226249E-1,-1.114418346E0,-5.249384630E-1,-2.305755937E-1
2.239436250E-1,-1.454160433E0,-4.582217324E-1,-2.894716734E-1
2.339656249E-1,-1.658920423E0,-7.180971390E-1,-3.019443691E-1
2.439866250E-1,-2.006657116E0,-1.200472550E0,-3.583828640E-1
2.540076249E-1,-2.579341895E0,-1.530782931E0,-4.933664221E-1
2.640296250E-1,-3.220710116E0,-1.648380378E0,-5.988013682E-1
2.740506249E-1,-3.618158520E0,-1.700480824E0,-5.534220046E-1
2.840716250E-1,-3.761710880E0,-1.580122322E0,-5.650746283E-1
2.940936249E-1,-3.945066992E0,-1.419037378E0,-6.565879387E-1
3.041146250E-1,-4.252793672E0,-1.589222344E0,-6.016001379E-1
3.141356249E-1,-4.309828876E0,-2.083567005E0,-3.717987156E-1
3.241576250E-1,-4.186821292E0,-2.518702760E0,-2.676861173E-1
3.341786249E-1,-4.555560452E0,-1.972242451E0,-5.613938060E-1
3.441996250E-1,-4.727885499E0,-1.282494952E0,-9.381266946E-1
3.542216249E-1,-4.246541829E0,-5.595797074E-1,-1.582108621E0
3.642426250E-1,-3.496440540E0,6.723257196E-1,-2.784773877E0
3.742636250E-1,-1.745561980E0,1.953279346E0,-3.030881429E0
3.842856250E-1,1.195880439E0,2.613063372E0,-2.288961564E0
3.943066250E-1,4.574655704E0,4.167596524E0,-2.283185977E0
4.043276249E-1,7.723062075E0,4.547046906E0,-1.660713618E0
4.143496250E-1,9.174494197E0,2.513287069E0,1.014696568E-2
4.243706249E-1,8.877089022E0,-2.987751782E-2,1.445268572E0
4.343916250E-1,7.222745068E0,-2.092386945E0,2.417213808E0
4.444136249E-1,5.273878616E0,-3.080062360E0,2.749457864E0
4.544346250E-1,3.194071956E0,-3.153510990E0,2.636202267E0
4.644556249E-1,1.260043398E0,-2.305388147E0,2.016466112E0
4.744776250E-1,-3.493790290E-1,-1.203822420E0,1.104109851E0
4.844986249E-1,-1.707760900E0,-4.048325604E-1,3.991540369E-1
4.945196250E-1,-2.765682425E0,3.108964562E-2,8.713666946E-2
5.045416249E-1,-3.497293357E0,2.486668789E-1,2.205715925E-2
5.145626250E-1,-3.952318124E0,1.846521467E-1,-6.617644787E-2
5.245836249E-1,-4.136203116E0,1.856783330E-2,-2.861226806E-1
5.346056250E-1,-4.042394773E0,-1.278329980E-1,-4.946694741E-1
5.446266249E-1,-3.715941800E0,-1.074835181E-1,-6.269542497E-1
5.546476250E-1,-3.169890795E0,5.876802564E-2,-7.274526840E-1
5.646696249E-1,-2.454469342E0,2.008027411E-1,-6.971192296E-1
5.746906250E-1,-1.500127149E0,2.464127773E-1,-5.153585310E-1
5.847116250E-1,-2.975899476E-1,8.684109271E-2,-2.118990022E-1
5.947336250E-1,1.069351662E0,-2.117826426E-1,1.057281840E-1
6.047546250E-1,2.376876206E0,-4.190336931E-1,4.518104066E-1
6.147756249E-1,3.712695426E0,-6.051242548E-1,9.411549675E-1
6.247976250E-1,4.708440583E0,-8.387544340E-1,1.383074078E0
6.348186249E-1,5.452732664E0,-1.184352361E0,1.772433736E0
6.448396250E-1,5.754526175E0,-1.472608983E0,2.088300326E0
6.548616249E-1,5.786362510E0,-1.618229211E0,2.164767873E0
6.648826250E-1,5.456652637E0,-1.699210224E0,2.008071849E0
6.749036249E-1,4.892362413E0,-1.661040185E0,1.710749120E0
6.849256250E-1,4.201738417E0,-1.640497162E0,1.326861870E0
6.949466249E-1,3.446264121E0,-1.801966268E0,9.063634497E-1
7.049676250E-1,2.764371772E0,-2.120669927E0,5.189497082E-1
7.149896249E-1,2.092513829E0,-2.371478641E0,1.871599809E-1
7.250106250E-1,1.295942963E0,-2.331136361E0,-1.382299870E-1
7.350316249E-1,5.116050571E-1,-1.984214625E0,-4.983511734E-1
7.450536250E-1,-1.313419122E-1,-1.385964941E0,-9.439312255E-1
7.550746249E-1,-4.134039938E-1,-7.054256380E-1,-1.415720252E0
