"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.959858334E-2,1.174425781E-1,6.125098094E-2,-2.391940057E-1
2.962158329E-2,1.655212939E-1,-1.454582810E-1,-8.141005039E-2
3.964458324E-2,2.056021392E-1,-3.535880446E-1,7.154593617E-2
4.966758331E-2,2.068948001E-1,-4.396509230E-1,1.763677597E-1
5.969158327E-2,1.444559097E-1,-3.912287951E-1,2.435233593E-1
6.971458334E-2,5.557811633E-2,-3.402407467E-1,2.536454499E-1
7.973758329E-2,-2.402297035E-2,-3.106674254E-1,1.810330153E-1
8.976058324E-2,-6.887557358E-2,-2.459969521E-1,9.946811199E-2
9.978358331E-2,-6.700257212E-2,-1.853091121E-1,7.358218729E-2
1.098075833E-1,-3.196152672E-2,-1.821269989E-1,8.235280961E-2
1.198305833E-1,-7.857615128E-4,-1.863068193E-1,8.200180531E-2
1.298535833E-1,1.197976805E-2,-1.733360291E-1,5.811468884E-2
1.398765832E-1,2.738588862E-2,-1.630029678E-1,1.493472420E-2
1.499005833E-1,3.707624599E-2,-1.445036829E-1,-2.154552750E-2
1.599235833E-1,3.968854249E-2,-9.231556952E-2,-3.469648212E-2
1.699465833E-1,2.762448601E-2,-2.701979503E-2,-2.647594549E-2
1.799695833E-1,1.996363699E-2,5.301392637E-3,-2.216801606E-2
1.899935832E-1,1.615359820E-2,-1.667596027E-2,-2.962427586E-2
2.000165833E-1,1.835363545E-2,-6.886406243E-2,-3.739218414E-2
2.100395833E-1,2.210850827E-2,-9.969817102E-2,-2.601900883E-2
2.200625833E-1,1.470119134E-2,-8.449232578E-2,-2.460952383E-3
2.300855833E-1,3.227600828E-4,-5.879729241E-2,3.130836785E-2
2.401095832E-1,-1.564848237E-2,-3.156700358E-2,6.703147292E-2
2.501325833E-1,-2.930384129E-2,1.248061471E-2,8.440540731E-2
2.601555833E-1,-2.888146415E-2,7.648756355E-2,8.040799946E-2
2.701785833E-1,-1.694274880E-2,1.254714131E-1,7.064533979E-2
2.802025833E-1,-1.999219880E-3,1.529336721E-1,5.888561904E-2
2.902255832E-1,9.459739551E-3,1.782001853E-1,6.111215800E-2
3.002485833E-1,1.979120634E-2,1.654657423E-1,8.538580686E-2
3.102715833E-1,2.687732130E-2,1.031934991E-1,1.070032418E-1
3.202955833E-1,1.531840302E-2,1.873108372E-2,8.682713658E-2
3.303185833E-1,4.187928513E-3,-8.795316517E-2,2.033209242E-2
3.403415832E-1,2.800164744E-2,-2.660882771E-1,-8.666492999E-2
3.503645833E-1,1.312947124E-1,-3.666216135E-1,-2.037390172E-1
3.603875833E-1,1.503325850E-1,-2.228628397E-1,-3.738436401E-1
3.704115833E-1,1.243800819E-1,-1.917877346E-1,-5.427799225E-1
3.804345833E-1,1.400426626E-1,-3.283392191E-1,-5.376988649E-1
3.904575832E-1,1.491844356E-1,-5.027010441E-1,-4.665473998E-1
4.004805833E-1,1.912903339E-1,-8.813918829E-1,-3.733713925E-1
4.105045833E-1,1.628793776E-1,-1.139495730E0,-2.018988281E-1
4.205275833E-1,1.361646801E-1,-1.263976216E0,-3.148847446E-2
4.305505833E-1,1.023383141E-1,-1.245033741E0,8.528123051E-2
4.405735832E-1,6.492436677E-2,-1.112705469E0,1.352879256E-1
4.505975833E-1,3.534883633E-2,-8.820702434E-1,1.354757696E-1
4.606205833E-1,2.131371014E-2,-6.060637236E-1,1.057093367E-1
4.706435833E-1,1.954877377E-2,-3.455137312E-1,6.134171784E-2
4.806665833E-1,2.887037024E-2,-1.380500048E-1,1.907735132E-2
4.906905832E-1,4.344463721E-2,2.088798210E-2,-2.317602746E-2
5.007135833E-1,5.287249386E-2,1.477735043E-1,-5.357547849E-2
5.107365833E-1,5.863495171E-2,2.412024140E-1,-6.881090254E-2
5.207595833E-1,6.101262197E-2,2.992587984E-1,-6.785801798E-2
5.307825833E-1,4.603166133E-2,3.297786415E-1,-5.699274689E-2
5.408065832E-1,1.711026579E-2,3.260819316E-1,-4.145400226E-2
5.508295833E-1,-6.175204180E-3,2.662292123E-1,-2.766186371E-2
5.608525833E-1,-1.669895276E-2,1.627621949E-1,-2.301917411E-2
5.708755833E-1,-2.154122666E-2,5.597687513E-2,-2.831096016E-2
5.808995833E-1,-2.115906402E-2,-3.202595189E-2,-3.089262731E-2
5.909225832E-1,-2.042409033E-2,-9.643010795E-2,-3.393038735E-2
6.009455833E-1,-2.453095093E-2,-1.475015581E-1,-3.828412294E-2
6.109685833E-1,-2.975657582E-2,-1.866046786E-1,-3.656565025E-2
6.209925833E-1,-2.850249410E-2,-2.062090039E-1,-3.471794724E-2
6.310155833E-1,-2.713945881E-2,-2.012914121E-1,-3.710551560E-2
