"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.959858334E-2,4.333642856E-1,8.112096867E-1,-2.005834902E-1,3.374915427E-1,1.286374872E2,1.249373950E2,-4.617054070E1,-2.724442062E0
2.962158329E-2,4.330179860E-1,8.117535285E-1,-1.997763148E-1,3.371071002E-1,1.286815157E2,1.249844227E2,-4.608001704E1,-2.676502813E0
3.964458324E-2,4.320108133E-1,8.125847908E-1,-2.000036128E-1,3.362606546E-1,1.288095215E2,1.252137757E2,-4.599573046E1,-2.846802241E0
4.966758331E-2,4.305335188E-1,8.135964838E-1,-2.010494447E-1,3.350833719E-1,1.289971533E2,1.255752024E2,-4.591943852E1,-3.182157430E0
5.969158327E-2,4.290297983E-1,8.144673852E-1,-2.025210651E-1,3.340082954E-1,1.291879911E2,1.259522773E2,-4.587749270E1,-3.565378936E0
6.971458334E-2,4.278264636E-1,8.150332277E-1,-2.041643918E-1,3.331700367E-1,1.293405981E2,1.262719700E2,-4.587175604E1,-3.930256713E0
7.973758329E-2,4.270660660E-1,8.153792744E-1,-2.057423487E-1,3.323269996E-1,1.294369822E2,1.265128743E2,-4.586295881E1,-4.254742817E0
8.976058324E-2,4.267491322E-1,8.155982062E-1,-2.069882728E-1,3.314221805E-1,1.294771438E2,1.266663765E2,-4.583026801E1,-4.508334830E0
9.978358331E-2,4.266802485E-1,8.157121713E-1,-2.078944300E-1,3.306622044E-1,1.294858718E2,1.267551590E2,-4.579578050E1,-4.688536975E0
1.098075833E-1,4.265667312E-1,8.158237972E-1,-2.086847467E-1,3.300351172E-1,1.295002545E2,1.268397094E2,-4.576929943E1,-4.846701015E0
1.198305833E-1,4.263012166E-1,8.160079157E-1,-2.094438746E-1,3.294414262E-1,1.295338920E2,1.269469277E2,-4.574376298E1,-5.009058674E0
1.298535833E-1,4.259680405E-1,8.162430951E-1,-2.101106378E-1,3.288645675E-1,1.295760948E2,1.270606170E2,-4.571435538E1,-5.162774155E0
1.398765832E-1,4.256519286E-1,8.165208850E-1,-2.105828932E-1,3.282818557E-1,1.296161293E2,1.271630115E2,-4.567336720E1,-5.290060115E0
1.499005833E-1,4.253605200E-1,8.168511266E-1,-2.108447305E-1,3.276692987E-1,1.296530294E2,1.272532149E2,-4.561731763E1,-5.390005687E0
1.599235833E-1,4.251185550E-1,8.171623811E-1,-2.109189511E-1,3.271591111E-1,1.296836644E2,1.273217721E2,-4.556256202E1,-5.454188255E0
1.699465833E-1,4.249656884E-1,8.173660979E-1,-2.108598823E-1,3.268868003E-1,1.297030168E2,1.273580367E2,-4.552766583E1,-5.477153230E0
1.799695833E-1,4.248982007E-1,8.174523725E-1,-2.107407332E-1,3.268357710E-1,1.297115600E2,1.273667449E2,-4.551484851E1,-5.470075408E0
1.899935832E-1,4.248657266E-1,8.175195124E-1,-2.106164421E-1,3.267899363E-1,1.297156707E2,1.273690184E2,-4.550255582E1,-5.459454492E0
2.000165833E-1,4.248082014E-1,8.176609994E-1,-2.105406199E-1,3.265596828E-1,1.297229524E2,1.273863547E2,-4.547209496E1,-5.470350777E0
2.100395833E-1,4.246886571E-1,8.178807531E-1,-2.105583216E-1,3.261530658E-1,1.297380840E2,1.274264733E2,-4.542661166E1,-5.510621046E0
2.200625833E-1,4.245428290E-1,8.180881366E-1,-2.106600430E-1,3.257567169E-1,1.297565412E2,1.274740925E2,-4.538676489E1,-5.562903212E0
2.300855833E-1,4.244129166E-1,8.182070961E-1,-2.108552462E-1,3.255011542E-1,1.297729828E2,1.275164400E2,-4.536802525E1,-5.616047417E0
