"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.525832340E-4,9.002129974E0,5.413043518E0,-2.886746979E0
1.017558330E-2,8.969198456E0,5.544769592E0,-2.552342377E0
2.019958326E-2,8.925788727E0,5.515729980E0,-2.442321167E0
3.022358322E-2,9.099128265E0,5.154231720E0,-2.584974518E0
4.024658329E-2,8.729097748E0,5.437592468E0,-2.714604950E0
5.027058325E-2,8.461604004E0,5.700595551E0,-2.706521759E0
6.029458332E-2,8.174950104E0,5.676795044E0,-2.684367828E0
7.031858328E-2,7.910300446E0,5.595514069E0,-2.681374054E0
8.034158323E-2,7.861202545E0,5.449118500E0,-2.596799927E0
9.036558331E-2,7.977660370E0,5.358706512E0,-2.506687317E0
1.003895833E-1,8.097411346E0,5.308111725E0,-2.465373230E0
1.104125832E-1,7.983049164E0,5.228926392E0,-2.469115448E0
1.204365833E-1,7.871680756E0,5.180726624E0,-2.471660156E0
1.304605833E-1,7.859256592E0,5.187462616E0,-2.424957275E0
1.404835833E-1,7.857610016E0,5.274282074E0,-2.456242218E0
1.505075833E-1,7.751780090E0,5.401068420E0,-2.500400391E0
1.605315832E-1,7.466174011E0,5.457800446E0,-2.481689301E0
1.705555833E-1,7.052883453E0,5.380860443E0,-2.509681091E0
1.805785833E-1,6.567891998E0,5.244943085E0,-2.603086853E0
1.906025832E-1,6.311325531E0,5.106031952E0,-2.666105804E0
2.006265833E-1,6.305337982E0,5.090464325E0,-2.633174286E0
2.106495833E-1,6.334826660E0,5.164111176E0,-2.578687592E0
2.206735833E-1,6.402485962E0,5.018613739E0,-2.614163818E0
2.306975833E-1,6.680158539E0,4.813689880E0,-2.572999420E0
2.407205832E-1,7.214696960E0,4.844525757E0,-2.425256653E0
2.507445833E-1,7.689659271E0,5.055736542E0,-2.435285797E0
2.607685833E-1,8.106542358E0,5.122797089E0,-2.659818878E0
2.707915832E-1,8.248297577E0,5.273833008E0,-2.873873749E0
2.808155833E-1,8.054899750E0,5.419180756E0,-2.957400055E0
2.908395833E-1,7.758067017E0,5.495671692E0,-3.010988617E0
3.008625833E-1,7.559430084E0,5.499862976E0,-2.966980133E0
3.108865833E-1,7.459288330E0,5.404960327E0,-2.985541534E0
3.209105833E-1,7.403454437E0,5.292993164E0,-3.194806366E0
3.309345833E-1,7.413184204E0,5.160368958E0,-3.568279724E0
3.409575833E-1,7.491321716E0,5.029391327E0,-4.005520477E0
3.509815832E-1,7.078480225E0,5.211712189E0,-3.934268646E0
3.610055833E-1,6.536457367E0,5.123994598E0,-3.553460541E0
3.710285833E-1,6.176905060E0,5.034630432E0,-3.125949554E0
3.810525832E-1,6.163732452E0,5.055736542E0,-3.158731384E0
3.910765833E-1,6.062692566E0,4.904850311E0,-3.606450348E0
4.010995833E-1,5.940546570E0,4.999902649E0,-4.105512543E0
4.111235833E-1,5.647755432E0,5.346881104E0,-4.419559479E0
4.211475833E-1,5.517226868E0,5.563929749E0,-4.550986176E0
4.311705832E-1,5.911656647E0,5.658832397E0,-4.496948547E0
4.411945833E-1,6.669231262E0,5.637726288E0,-4.305346985E0
4.512185833E-1,7.573500824E0,5.580844574E0,-4.432283020E0
4.612425832E-1,8.329428864E0,5.547463989E0,-4.619094543E0
4.712655833E-1,8.991053009E0,5.458399200E0,-4.774920502E0
4.812895833E-1,9.587562561E0,5.375022583E0,-4.843627625E0
4.913135833E-1,1.007929001E1,5.344935150E0,-4.792134705E0
5.013365833E-1,1.037896683E1,5.320685577E0,-4.638105011E0
5.113605832E-1,1.041803558E1,5.264552307E0,-4.444108429E0
5.213845833E-1,1.020158569E1,5.182073822E0,-4.285139008E0
5.314075833E-1,9.708810425E0,5.030439148E0,-4.150269470E0
5.414315832E-1,9.030720520E0,4.840184784E0,-4.006867676E0
5.514555833E-1,8.305628357E0,4.690496063E0,-3.976181488E0
5.614785833E-1,7.601043549E0,4.602479095E0,-4.087400208E0
5.715025833E-1,6.996001740E0,4.630021820E0,-4.230502625E0
5.815265833E-1,6.534810791E0,4.790488129E0,-4.330195312E0
5.915505833E-1,6.231242065E0,4.963228912E0,-4.402944031E0
6.015735833E-1,6.062393188E0,5.117557983E0,-4.412673798E0
6.115975833E-1,5.996829529E0,5.142705688E0,-4.405339050E0
6.216215832E-1,5.989345093E0,5.000800781E0,-4.474794617E0
6.316445833E-1,6.002517700E0,4.792284393E0,-4.586612091E0
6.416685833E-1,5.973178711E0,4.609664154E0,-4.720134430E0
6.516925832E-1,5.906118164E0,4.499193878E0,-4.836891632E0
6.617155833E-1,5.783972168E0,4.517156525E0,-4.878954163E0
6.717395833E-1,5.637426910E0,4.636608124E0,-4.865033112E0
6.817635833E-1,5.487139435E0,4.807103577E0,-4.816234589E0
6.917865833E-1,5.440586243E0,4.883444824E0,-4.800367584E0
7.018105832E-1,5.564977570E0,4.904850311E0,-4.934189301E0
7.118345833E-1,5.901627502E0,4.931045837E0,-5.154231720E0
7.218585833E-1,6.436016235E0,5.033582611E0,-5.337001648E0
7.318815832E-1,7.028484192E0,5.170398102E0,-5.373525696E0
7.419055833E-1,7.479496307E0,5.160818024E0,-5.269042969E0
7.519295833E-1,7.607330475E0,4.958438873E0,-5.167254639E0
7.619525417E-1,7.448510742E0,4.718338165E0,-5.186863861E0
7.719765416E-1,7.119045868E0,4.488715668E0,-5.394631805E0
7.820005416E-1,6.855593719E0,4.397704926E0,-5.682333527E0
7.920235416E-1,6.707701263E0,4.505331116E0,-6.003864899E0
8.020475416E-1,6.630761261E0,4.756658478E0,-6.261329498E0
8.120715416E-1,6.527625732E0,5.052593079E0,-6.393205261E0
8.220945416E-1,6.325096893E0,5.368136902E0,-6.318809967E0
8.321185416E-1,5.952371979E0,5.712720337E0,-6.059399414E0
8.421425417E-1,5.509742432E0,6.027964783E0,-5.783822479E0
8.521665416E-1,5.033582611E0,6.270310822E0,-5.619015198E0
8.621895416E-1,4.599784698E0,6.413263550E0,-5.577252045E0
8.722135416E-1,4.380640411E0,6.423292694E0,-5.565127258E0
8.822375416E-1,4.400698700E0,6.280040588E0,-5.563181305E0
8.922605416E-1,4.661306763E0,5.909111938E0,-5.597160645E0
9.022845416E-1,5.095254364E0,5.439239044E0,-5.661377106E0
9.123085416E-1,5.600304108E0,5.134622498E0,-5.766308899E0
9.223315417E-1,5.968987427E0,4.970114594E0,-5.886658630E0
9.323555416E-1,6.231691132E0,4.907844086E0,-5.977369995E0
9.423795416E-1,6.424340515E0,4.868176575E0,-6.088139648E0
9.524035417E-1,6.544540558E0,4.888683929E0,-6.194568329E0
9.624265416E-1,6.622229004E0,5.056484985E0,-6.330785065E0
9.724505416E-1,6.683152313E0,5.370980988E0,-6.435267792E0
9.824745416E-1,6.667285309E0,5.795348511E0,-6.360124054E0
9.924975416E-1,6.392456818E0,6.116730194E0,-6.195915527E0
1.002521542E0,5.844895477E0,6.169121246E0,-6.018983459E0
1.012545542E0,5.273234253E0,6.119873657E0,-5.928721161E0
1.022568542E0,4.880301361E0,6.088888092E0,-6.090834045E0
1.032592542E0,4.711153107E0,5.850134583E0,-6.473887482E0
1.042616542E0,4.802762604E0,5.444029083E0,-6.913672943E0
1.052639542E0,5.098697205E0,5.226531372E0,-7.275919647E0
1.062663542E0,5.381159821E0,5.299429779E0,-7.386539612E0
1.072687542E0,5.396577759E0,5.436694336E0,-7.336842957E0
1.082710542E0,5.188510437E0,5.621559906E0,-7.160210266E0
1.092734542E0,4.868326263E0,5.814358978E0,-6.921307068E0
1.102758542E0,4.597689056E0,5.950126648E0,-6.853947144E0
1.112782542E0,4.493954773E0,6.104755096E0,-6.925498352E0
1.122805542E0,4.809797974E0,6.174809418E0,-7.006030884E0
1.132829542E0,5.474565582E0,6.045029297E0,-7.061415710E0
1.142853542E0,6.138734436E0,5.851481781E0,-6.971003723E0
1.152876542E0,6.399641876E0,5.638624420E0,-6.648873596E0
1.162900542E0,6.180347900E0,5.379213867E0,-6.167774048E0
1.172924542E0,5.718258820E0,5.051844635E0,-5.626050568E0
1.182947542E0,5.183720398E0,4.586911469E0,-5.470673676E0
1.192971542E0,4.871020660E0,4.155059509E0,-5.788013763E0
1.202995542E0,4.893623657E0,3.946094055E0,-6.046526184E0
1.213019542E0,5.254223785E0,3.799848175E0,-6.148015137E0
1.223042542E0,5.618117065E0,3.679348755E0,-6.375541992E0
1.233066542E0,5.793103180E0,3.673361206E0,-6.724017334E0
1.243090542E0,5.839207306E0,3.768114166E0,-7.068301392E0
1.253113542E0,5.938151550E0,3.909270630E0,-7.311994629E0
1.263137542E0,6.083199921E0,4.028273163E0,-7.534132690E0
1.273161542E0,6.119125214E0,4.037104797E0,-7.700586548E0
1.283184542E0,6.039041748E0,3.953877869E0,-7.655380554E0
1.293208542E0,5.970484314E0,3.759282532E0,-7.434440002E0
1.303232542E0,5.914351044E0,3.584446106E0,-7.089856567E0
1.313255542E0,5.804329834E0,3.513493652E0,-6.776258698E0
1.323279542E0,5.629493408E0,3.613485718E0,-6.608008575E0
1.333303542E0,5.461692352E0,3.784579926E0,-6.650071106E0
1.343327542E0,5.357209625E0,4.015250244E0,-6.843917999E0
1.353350542E0,5.357509003E0,4.242028656E0,-7.039561157E0
1.363374542E0,5.391039276E0,4.315675507E0,-7.169191589E0
1.373398542E0,5.446124725E0,4.318818970E0,-7.212301941E0
1.383421542E0,5.449866943E0,4.279301147E0,-7.093000031E0
1.393445542E0,5.331463165E0,4.255350952E0,-6.818470917E0
1.403469542E0,5.141208801E0,4.310137024E0,-6.438560944E0
1.413492542E0,4.993765411E0,4.433031464E0,-6.167324982E0
1.423516542E0,4.918771362E0,4.606520691E0,-6.140830078E0
1.433540542E0,4.904401245E0,4.816983032E0,-6.321654053E0
1.443563542E0,4.967569885E0,5.024002533E0,-6.723119202E0
1.453587542E0,5.056335297E0,5.041965179E0,-7.106322327E0
1.463611542E0,5.122797089E0,4.786596222E0,-7.270830231E0
1.473634542E0,4.981790314E0,4.491260376E0,-7.235803070E0
1.483658542E0,4.581672363E0,4.340074768E0,-7.001390533E0
1.493682542E0,4.098626862E0,4.290378113E0,-6.761289825E0
1.503706542E0,3.774401093E0,4.239633636E0,-6.592740326E0
1.513729542E0,3.774550781E0,4.187242584E0,-6.522686005E0
1.523753542E0,4.016747131E0,4.092040558E0,-6.553521881E0
1.533777542E0,4.332740021E0,4.000131683E0,-6.610553284E0
1.543800542E0,4.590503998E0,3.890559540E0,-6.680906982E0
1.553824542E0,4.720583496E0,3.728746033E0,-6.697073364E0
1.563848542E0,4.817581787E0,3.576362915E0,-6.625671844E0
1.573871542E0,4.878654785E0,3.391497345E0,-6.560407562E0
1.583895542E0,4.906347198E0,3.266357574E0,-6.524332581E0
1.593919542E0,4.888234863E0,3.211122437E0,-6.513704681E0
1.603942542E0,4.891827393E0,3.275937653E0,-6.477779388E0
