"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.142858330E-2,1.591978669E-1,6.416701525E-2,5.321705714E-2
2.145258326E-2,1.464812458E-1,-5.361916125E-2,-1.184330415E-2
3.147658333E-2,1.322370619E-1,-1.345909685E-1,-6.940912455E-2
4.149958328E-2,1.295493543E-1,-2.253923267E-1,-1.484378129E-1
5.152358324E-2,1.324532628E-1,-2.916560471E-1,-2.293081582E-1
6.154758332E-2,1.204826906E-1,-3.180232346E-1,-2.697583437E-1
7.157158328E-2,1.008898169E-1,-3.332543671E-1,-2.712371945E-1
8.159458323E-2,7.570539415E-2,-3.257868886E-1,-2.358041555E-1
9.161858330E-2,5.166929960E-2,-3.094635606E-1,-1.920281798E-1
1.016425833E-1,3.815425560E-2,-2.957403362E-1,-1.482636929E-1
1.116655833E-1,2.737457864E-2,-2.864387333E-1,-1.050656214E-1
1.216895833E-1,1.848016866E-2,-2.756382525E-1,-6.178449467E-2
1.317135833E-1,3.543830477E-3,-2.486300766E-1,-2.664701454E-2
1.417365833E-1,-1.528311800E-2,-2.353481799E-1,-2.660436928E-2
1.517605833E-1,-2.560393140E-2,-2.286212891E-1,-4.251409322E-2
1.617845832E-1,-2.804638073E-2,-2.219130993E-1,-5.540806055E-2
1.718085833E-1,-3.881274164E-2,-2.237331122E-1,-4.380440339E-2
1.818315833E-1,-5.310139060E-2,-2.239737362E-1,1.384714851E-3
1.918555832E-1,-6.180886179E-2,-2.395122200E-1,5.450225994E-2
2.018795833E-1,-5.134821683E-2,-3.069343269E-1,1.034260690E-1
2.119025833E-1,-2.287156694E-2,-4.380286932E-1,1.382935047E-1
2.219265833E-1,1.074634958E-2,-5.537476540E-1,1.416546553E-1
2.319505833E-1,5.871893466E-2,-6.161804199E-1,1.092639491E-1
2.419735832E-1,8.477500826E-2,-6.644454598E-1,5.071551353E-2
2.519975833E-1,1.082345247E-1,-5.807585716E-1,-1.762519218E-2
2.620215833E-1,1.159193367E-1,-4.423936009E-1,-9.312161058E-2
2.720445832E-1,1.263298988E-1,-3.046953976E-1,-1.488626450E-1
2.820685833E-1,1.402457207E-1,-1.705961823E-1,-1.702880412E-1
2.920925833E-1,1.784735322E-1,-7.045867294E-2,-1.508701295E-1
3.021155833E-1,2.238721550E-1,5.690462887E-3,-9.355850518E-2
3.121395833E-1,2.451177835E-1,2.434936911E-2,-1.822433993E-2
3.221635832E-1,2.420176566E-1,3.058322519E-2,6.352984905E-2
3.321875833E-1,1.768506467E-1,5.502438545E-2,1.277511865E-1
3.422105833E-1,9.163745493E-2,1.755146310E-2,2.117832005E-1
3.522345832E-1,1.817788742E-2,2.001009323E-2,3.158062696E-1
3.622585833E-1,-6.095783319E-3,3.763184696E-2,3.926754594E-1
3.722815833E-1,-2.851787023E-3,2.559080720E-3,3.931907713E-1
3.823055833E-1,1.978112198E-2,-2.644334733E-1,3.747880161E-1
3.923295833E-1,4.115005955E-2,-8.248142004E-1,3.497380614E-1
4.023525832E-1,3.916038573E-2,-1.409702897E0,2.918362617E-1
4.123765833E-1,2.667442150E-2,-1.879034758E0,2.610205710E-1
4.224005833E-1,3.916729614E-2,-2.291646481E0,1.828771383E-1
4.324235832E-1,7.465417683E-2,-2.509551764E0,7.579410076E-2
4.424475833E-1,1.023513600E-1,-2.541929007E0,-1.983534731E-2
4.524715833E-1,9.827725589E-2,-2.474170685E0,-7.145033777E-2
4.624955832E-1,7.670860738E-2,-2.305145979E0,-8.408106863E-2
4.725185833E-1,4.599916935E-2,-2.068444490E0,-6.964460760E-2
4.825425833E-1,1.154078916E-2,-1.761774182E0,-5.024708062E-2
4.925665833E-1,-1.193896960E-2,-1.415219784E0,-4.822893441E-2
5.025895833E-1,-2.990044095E-2,-1.018966079E0,-6.331701577E-2
5.126135832E-1,-4.626423120E-2,-6.087952852E-1,-9.681238979E-2
5.226375833E-1,-5.258470029E-2,-2.423269898E-1,-1.280875504E-1
5.326605833E-1,-3.755381703E-2,2.664482780E-2,-1.426364034E-1
5.426845832E-1,-4.947122186E-3,1.963222027E-1,-1.445735842E-1
5.527085833E-1,2.887795493E-2,2.873288095E-1,-1.429852843E-1
5.627315833E-1,4.205953330E-2,3.253031671E-1,-1.387221217E-1
5.727555833E-1,3.037038818E-2,3.287325203E-1,-1.271429658E-1
5.827795833E-1,9.472019970E-3,3.046937883E-1,-1.041581482E-1
5.928035832E-1,-1.746105962E-2,2.430389524E-1,-7.813480496E-2
6.028265833E-1,-4.643971846E-2,1.459538341E-1,-5.422234908E-2
6.128505833E-1,-6.389753520E-2,2.580851689E-2,-4.055553675E-2
6.228745832E-1,-7.382526994E-2,-1.027390659E-1,-3.398498893E-2
6.328975833E-1,-7.673770189E-2,-2.302251160E-1,-3.285340965E-2
6.429215833E-1,-6.754212081E-2,-3.641061187E-1,-2.484405972E-2
6.529455832E-1,-5.156848580E-2,-5.216494203E-1,-6.871185265E-3
6.629685833E-1,-2.013648115E-2,-6.922386885E-1,1.618570276E-2
6.729925832E-1,2.535084262E-2,-8.328735828E-1,3.559216112E-2
6.830165833E-1,9.091332555E-2,-9.096504450E-1,4.912960157E-2
6.930395833E-1,1.612194330E-1,-8.996009827E-1,4.943506420E-2
7.030635832E-1,2.209402770E-1,-8.238214850E-1,4.759508744E-2
7.130875833E-1,2.296701223E-1,-7.562352419E-1,3.811316937E-2
7.231115833E-1,1.836421341E-1,-7.542257905E-1,1.248489972E-2
7.331345832E-1,1.264664680E-1,-8.115870953E-1,-4.087233171E-2
7.431585833E-1,1.028182134E-1,-8.623346090E-1,-1.184001639E-1
7.531825833E-1,1.180837154E-1,-8.318092227E-1,-2.020798773E-1
7.632055416E-1,1.640634239E-1,-6.851658821E-1,-2.661352456E-1
7.732295416E-1,2.183535695E-1,-4.601429105E-1,-2.893588245E-1
7.832535416E-1,2.521269917E-1,-2.443817705E-1,-2.648207843E-1
7.932765416E-1,2.508366704E-1,-1.061205640E-1,-2.043955475E-1
8.033005416E-1,2.239166945E-1,-6.414191425E-2,-1.270871311E-1
8.133245417E-1,1.640722603E-1,-9.245904535E-2,-7.536827773E-2
8.233475416E-1,1.045132875E-1,-1.415754259E-1,-7.559951395E-2
8.333715416E-1,6.426760554E-2,-1.773099899E-1,-1.290310472E-1
8.433955417E-1,4.247809574E-2,-1.768721193E-1,-2.186377048E-1
8.534195416E-1,2.540403977E-2,-1.502008289E-1,-3.129109442E-1
8.634425416E-1,8.166789077E-3,-1.555502415E-1,-3.776104152E-1
8.734665416E-1,-1.630952582E-2,-2.551343441E-1,-3.760239780E-1
8.834905416E-1,-1.746346056E-2,-4.532122016E-1,-3.073661625E-1
8.935135417E-1,1.918494236E-3,-6.692926288E-1,-2.149568647E-1
9.035375416E-1,2.225513943E-2,-8.115726113E-1,-1.493942142E-1
9.135615416E-1,4.134867340E-2,-8.312677741E-1,-1.083138809E-1
9.235845417E-1,6.012799591E-2,-7.604665756E-1,-7.991959155E-2
