"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.142858330E-2,1.050269859E0,3.045013565E-1,4.775391787E-2
2.145258326E-2,1.113749571E0,1.453512561E-1,7.856055826E-2
3.147658333E-2,1.179797965E0,-1.066806954E-1,-6.216379613E-2
4.149958328E-2,7.682253188E-1,2.737572813E-1,-1.385506520E-1
5.152358324E-2,5.692001313E-1,4.179005027E-1,-8.823682308E-2
6.154758332E-2,2.689444381E-1,3.703486061E-1,-5.249864101E-2
7.157158328E-2,8.614527404E-2,2.417174631E-1,7.439997196E-3
8.159458323E-2,1.036173391E-1,8.538922906E-2,1.336112165E-1
9.161858330E-2,2.685982829E-1,-1.122080684E-2,2.401591802E-1
1.016425833E-1,3.559393126E-1,-7.739959359E-2,2.961912936E-1
1.116655833E-1,2.273602098E-1,-1.621327651E-1,3.126365876E-1
1.216895833E-1,1.484303999E-1,-2.077170736E-1,3.403725627E-1
1.317135833E-1,1.689792699E-1,-1.821337509E-1,4.024053812E-1
1.417365833E-1,1.600757146E-1,-7.864563525E-2,3.693370378E-1
1.517605833E-1,1.671660483E-2,4.050658643E-2,3.664985070E-1
1.617845832E-1,-2.910398966E-1,5.969714820E-2,4.007003331E-1
1.718085833E-1,-7.405808526E-1,-4.674615026E-2,3.633544591E-1
1.818315833E-1,-1.180618914E0,-1.948438436E-1,2.772331586E-1
1.918555832E-1,-1.357833987E0,-3.116279429E-1,2.488934585E-1
2.018795833E-1,-1.327976350E0,-2.827736878E-1,3.191056547E-1
2.119025833E-1,-1.307761940E0,-2.294406492E-1,3.908375421E-1
2.219265833E-1,-1.180075123E0,-4.218637455E-1,3.800427049E-1
2.319505833E-1,-8.282089806E-1,-5.723973888E-1,5.147786334E-1
2.419735832E-1,-2.631977946E-1,-4.605764061E-1,6.876828468E-1
2.519975833E-1,2.054191178E-1,-2.686392134E-1,6.772230551E-1
2.620215833E-1,6.075227827E-1,-1.986837101E-1,4.778119513E-1
2.720445832E-1,6.638531041E-1,-4.159592271E-2,3.367993292E-1
2.820685833E-1,4.473114127E-1,7.669091105E-2,2.805181244E-1
2.920925833E-1,1.664012325E-1,1.327551842E-1,2.733973852E-1
3.021155833E-1,6.740670204E-3,9.877876818E-2,3.391443551E-1
3.121395833E-1,-6.699681222E-2,-3.701287508E-3,2.828356683E-1
3.221635832E-1,-1.162245208E-1,-9.004361272E-2,5.319065899E-2
3.321875833E-1,-7.951803982E-2,-2.308393031E-1,-3.786493134E-1
3.422105833E-1,-8.494601011E-2,-2.738017201E-1,-7.122385213E-1
3.522345832E-1,-6.176448977E-1,-7.327438295E-2,-5.299688226E-1
3.622585833E-1,-1.163412312E0,-2.118545634E-1,-1.017491537E-1
3.722815833E-1,-1.440457483E0,-1.966716832E-1,2.379188195E-1
3.823055833E-1,-1.443899154E0,-1.904028833E-1,9.531166166E-2
3.923295833E-1,-1.579608936E0,-3.106608135E-1,-3.715493318E-1
4.023525832E-1,-1.689911397E0,-8.664345682E-2,-7.289972261E-1
4.123765833E-1,-1.982557524E0,2.682866263E-1,-8.791133782E-1
4.224005833E-1,-1.877369038E0,4.723006582E-1,-8.190341145E-1
4.324235832E-1,-1.339968404E0,5.491640621E-1,-5.045802122E-1
4.424475833E-1,-3.712613565E-1,5.147391647E-1,-1.887685865E-1
4.524715833E-1,5.817465019E-1,4.636321610E-1,-1.730033237E-1
4.624955832E-1,1.435916535E0,4.182244384E-1,-1.792750472E-1
4.725185833E-1,2.168014832E0,3.111736143E-1,-1.602411908E-1
4.825425833E-1,2.854257510E0,2.526979494E-1,-6.310052007E-2
4.925665833E-1,3.385901560E0,2.222988600E-1,1.269032907E-1
5.025895833E-1,3.678149491E0,1.860876381E-1,3.816740781E-1
5.126135832E-1,3.703763804E0,1.130255091E-1,6.203562516E-1
5.226375833E-1,3.441461803E0,1.386959553E-2,7.935162807E-1
5.326605833E-1,2.903529072E0,-1.745212609E-1,9.415806448E-1
5.426845832E-1,2.198914443E0,-3.639114064E-1,1.053112775E0
5.527085833E-1,1.466503320E0,-5.061279702E-1,1.027047642E0
5.627315833E-1,7.731498438E-1,-5.879030353E-1,8.763339043E-1
5.727555833E-1,1.990713805E-1,-5.181907761E-1,7.239086866E-1
5.827795833E-1,-2.348417222E-1,-3.627600896E-1,6.167672306E-1
5.928035832E-1,-5.125593227E-1,-1.916547722E-1,5.366451734E-1
6.028265833E-1,-6.594519049E-1,-6.382469773E-2,5.287906086E-1
6.128505833E-1,-7.071441346E-1,-9.183812320E-2,5.029681349E-1
6.228745832E-1,-6.999310094E-1,-2.687783772E-1,4.215205139E-1
6.328975833E-1,-6.780080438E-1,-4.790939534E-1,3.089241904E-1
6.429215833E-1,-7.032019418E-1,-6.569878882E-1,1.866752833E-1
6.529455832E-1,-7.727908248E-1,-7.458158648E-1,1.187452555E-1
6.629685833E-1,-8.634864020E-1,-6.970448238E-1,1.334714681E-1
6.729925832E-1,-9.764984626E-1,-5.488278472E-1,2.075264543E-1
6.830165833E-1,-1.069956849E0,-3.944069749E-1,3.223108059E-1
6.930395833E-1,-1.038007078E0,-3.228499192E-1,3.657708210E-1
7.030635832E-1,-8.228190172E-1,-2.911656117E-1,2.713201618E-1
7.130875833E-1,-3.850099146E-1,-2.386617082E-1,1.109819072E-1
7.231115833E-1,2.133917964E-1,-9.982600451E-2,8.307139277E-3
7.331345832E-1,8.438719171E-1,2.864492476E-2,7.777264595E-2
7.431585833E-1,1.265145679E0,-4.890611172E-2,2.518723226E-1
7.531825833E-1,1.372167267E0,-2.645742291E-1,3.980959833E-1
7.632055416E-1,1.211305686E0,-5.300120920E-1,3.848877078E-1
7.732295416E-1,9.297195679E-1,-7.337103742E-1,1.970324564E-1
7.832535416E-1,7.216136545E-1,-7.802968955E-1,-8.077636063E-2
7.932765416E-1,6.235921007E-1,-6.270799649E-1,-3.670829362E-1
8.033005416E-1,5.664969635E-1,-3.578566146E-1,-5.775405997E-1
8.133245417E-1,4.491562092E-1,-5.667647660E-2,-6.580450648E-1
8.233475416E-1,2.234226948E-1,2.783719039E-1,-5.079739362E-1
8.333715416E-1,-1.714169741E-1,6.174759132E-1,-2.167135996E-1
8.433955417E-1,-6.029490906E-1,9.168188560E-1,5.094328165E-2
8.534195416E-1,-1.062645491E0,1.114569350E0,1.932955009E-1
8.634425416E-1,-1.422977816E0,1.212279248E0,2.326513553E-1
8.734665416E-1,-1.548825100E0,1.162578499E0,2.489446217E-1
8.834905416E-1,-1.429362976E0,9.449971730E-1,2.625165939E-1
8.935135417E-1,-1.076467724E0,5.108846802E-1,2.592053157E-1
9.035375416E-1,-5.526840860E-1,6.126537144E-2,2.296798003E-1
9.135615416E-1,-5.049070716E-3,-2.174216974E-1,1.613843215E-1
9.235845417E-1,3.751181799E-1,-3.459569460E-1,9.141010702E-2
9.336085416E-1,6.666960204E-1,-3.997150773E-1,5.437442780E-2
9.436325416E-1,8.832055521E-1,-4.289178264E-1,-2.693519890E-2
9.536565416E-1,1.003672228E0,-3.634155625E-1,-1.048066628E-1
9.636795416E-1,1.096992036E0,-1.516446143E-1,-2.200868583E-1
9.737035416E-1,1.156711403E0,2.126059306E-1,-2.729872030E-1
9.837275416E-1,1.099898102E0,6.451671571E-1,-1.478181964E-1
9.937505416E-1,7.473753172E-1,9.123457360E-1,2.952726960E-2
1.003774542E0,1.835236341E-1,9.193167865E-1,2.183034575E-1
1.013798542E0,-3.502733606E-1,8.956361479E-1,2.759751302E-1
1.023821542E0,-6.855187923E-1,8.416154766E-1,5.456446230E-2
1.033845542E0,-7.961580527E-1,5.661496389E-1,-3.423252404E-1
1.043869542E0,-6.571001548E-1,2.048361504E-1,-7.575348544E-1
1.053892542E0,-3.403558981E-1,1.132693380E-1,-1.045575129E0
1.063916542E0,-1.093423480E-1,2.588498050E-1,-1.072474076E0
1.073940542E0,-1.482497209E-1,4.347369754E-1,-9.531902915E-1
1.083963542E0,-3.754900628E-1,6.677081734E-1,-6.921729237E-1
1.093987542E0,-6.552220291E-1,8.875909638E-1,-4.100856990E-1
1.104011542E0,-8.603914708E-1,1.066122830E0,-3.264067805E-1
1.114035542E0,-8.301514256E-1,1.266678526E0,-3.370843810E-1
1.124058542E0,-3.846783775E-1,1.335699060E0,-3.532952017E-1
1.134082542E0,3.534957612E-1,1.218259487E0,-3.309488976E-1
1.144106542E0,9.744279635E-1,1.070078471E0,-1.321780640E-1
1.154129542E0,1.118010437E0,8.809151977E-1,2.727603310E-1
1.164153542E0,8.414634490E-1,6.319056720E-1,8.247760803E-1
1.174177542E0,3.598703957E-1,3.029749408E-1,1.346416714E0
1.184200542E0,-1.278341675E-1,-1.646143234E-1,1.392188133E0
1.194224542E0,-3.554072160E-1,-5.060844085E-1,1.065492500E0
1.204248542E0,-2.191191441E-1,-6.591390789E-1,8.954309106E-1
1.214272542E0,1.818992776E-1,-7.766385850E-1,7.998102236E-1
1.224295542E0,5.204051167E-1,-8.571412960E-1,5.618408257E-1
1.234319542E0,6.495806354E-1,-7.983352634E-1,2.095133382E-1
1.244343542E0,6.950123316E-1,-6.710033718E-1,-8.568217456E-2
1.254366542E0,8.180202073E-1,-4.880363926E-1,-3.010444826E-1
1.264390542E0,9.632159275E-1,-3.839626783E-1,-5.064115602E-1
1.274414542E0,9.659658730E-1,-3.714353111E-1,-5.974901301E-1
1.284437542E0,8.845971894E-1,-4.731417802E-1,-4.924396384E-1
1.294461542E0,8.301578575E-1,-6.546951950E-1,-2.191179746E-1
1.304485542E0,7.702408540E-1,-8.068806767E-1,1.370230669E-1
1.314508542E0,6.397292465E-1,-8.294272479E-1,4.393591994E-1
1.324532542E0,4.665668786E-1,-6.903608716E-1,5.531787604E-1
1.334556542E0,3.014128572E-1,-5.010847467E-1,4.631409949E-1
1.344580542E0,2.228525913E-1,-2.385166973E-1,2.545784140E-1
1.354603542E0,2.169679534E-1,-4.240517735E-2,7.450580657E-2
1.364627542E0,2.504666519E-1,4.052412808E-3,-5.054742515E-2
1.374651542E0,2.883706427E-1,6.197171509E-3,-5.505562842E-2
1.384674542E0,2.632708848E-1,-4.203270972E-2,1.014977235E-1
1.394698542E0,1.103796440E-1,-4.947767705E-2,4.133250564E-1
1.404722542E0,-7.253412545E-2,1.792317778E-2,7.826696956E-1
1.414745542E0,-1.871997786E-1,1.578023171E-1,9.959539032E-1
1.424769542E0,-2.593386322E-1,3.431073055E-1,9.775755197E-1
1.434793542E0,-2.631884390E-1,5.651298845E-1,7.121902817E-1
1.444816542E0,-2.296143115E-1,7.507555926E-1,2.721943206E-1
1.454840542E0,-1.951502377E-1,6.949734476E-1,-1.047201240E-1
1.464864542E0,-2.204107940E-1,3.992233264E-1,-2.706793070E-1
1.474887542E0,-4.914011729E-1,1.375449309E-1,-2.082667118E-1
1.484911542E0,-9.766551679E-1,3.725991994E-2,6.886850595E-3
1.494935542E0,-1.480007465E0,1.657685637E-3,2.108453339E-1
1.504959542E0,-1.757717464E0,-4.108399898E-2,3.386514348E-1
1.514982542E0,-1.724641519E0,-9.360193580E-2,3.640669423E-1
1.525006542E0,-1.471441294E0,-1.699478611E-1,3.092779469E-1
1.535030542E0,-1.190725241E0,-2.330954513E-1,2.309059614E-1
1.545053542E0,-1.000981339E0,-3.402526948E-1,1.504143602E-1
1.555077542E0,-9.056939435E-1,-4.793418753E-1,1.684401566E-1
1.565101542E0,-8.400367284E-1,-6.195464122E-1,2.305247229E-1
1.575124542E0,-8.016386479E-1,-7.727075019E-1,2.921847814E-1
1.585148542E0,-8.004844075E-1,-8.553236890E-1,3.254659635E-1
1.595172542E0,-8.187294745E-1,-8.551625982E-1,3.543494546E-1
1.605195542E0,-8.235978663E-1,-7.216227177E-1,3.977755558E-1
1.615219542E0,-7.822182906E-1,-5.047012496E-1,3.268815744E-1
1.625243542E0,-7.633200896E-1,-2.432102573E-1,2.572447443E-1
1.635267542E0,-7.697982198E-1,-6.405624747E-2,1.657188624E-1
1.645290542E0,-8.072765332E-1,3.459768265E-2,-7.509988368E-2
1.655314542E0,-8.647996867E-1,1.113511589E-1,-4.337353474E-1
1.665338542E0,-8.897848392E-1,2.307796615E-1,-7.044871598E-1
1.675361542E0,-8.073747665E-1,3.519316310E-1,-7.839461428E-1
1.685385542E0,-5.351295751E-1,4.799885774E-1,-7.058255875E-1
1.695409542E0,-7.345213830E-2,5.413714778E-1,-5.053514600E-1
1.705432542E0,4.645671308E-1,5.452163145E-1,-3.366078329E-1
1.715456542E0,8.898848265E-1,5.889318529E-1,-2.374168360E-1
1.725480542E0,1.081139064E0,6.679645738E-1,-1.526240230E-1
1.735503542E0,1.043345586E0,6.842707041E-1,3.187551141E-2
1.745527542E0,8.489087087E-1,4.899557412E-1,2.709342456E-1
1.755551542E0,7.207815957E-1,1.460312873E-1,1.682629859E-1
1.765576417E0,7.399557853E-1,-8.096347153E-2,-9.108617127E-2
1.775599417E0,6.884149182E-1,-1.426700154E-1,-1.833604968E-1
1.785623417E0,6.100148660E-1,-4.012096256E-2,-9.873608351E-2
1.795647417E0,6.725502527E-1,1.635650405E-1,-2.103266859E-1
1.805670417E0,8.253064227E-1,4.778903040E-1,-7.397944021E-1
1.815694417E0,8.656691676E-1,7.645155528E-1,-1.323327813E0
1.825718417E0,6.903585327E-1,9.899771717E-1,-1.446919241E0
1.835741417E0,3.607141489E-1,9.507005471E-1,-1.028895362E0
1.845765417E0,1.861273992E-1,6.818847477E-1,-5.956739849E-1
1.855789417E0,3.828452754E-1,3.343516847E-1,-4.095331371E-1
1.865812417E0,8.579397333E-1,9.412847757E-3,-4.458566254E-1
1.875836417E0,1.380296066E0,-2.538779175E-1,-6.205135417E-1
1.885860417E0,1.770253310E0,-4.520549664E-1,-7.751653790E-1
1.895883417E0,1.937947946E0,-5.948884115E-1,-7.692386413E-1
1.905907417E0,2.036477038E0,-5.708315045E-1,-8.693757176E-1
1.915931417E0,1.913241121E0,-3.062982059E-1,-8.814671749E-1
1.925955417E0,1.410073012E0,-4.392983884E-2,-6.500402266E-1
1.935978417E0,8.459377384E-1,5.241648763E-2,-5.146251440E-1
1.946002417E0,4.629556382E-1,5.747900695E-2,-4.147921228E-1
1.956026417E0,2.229894161E-1,6.164076269E-2,-3.069484162E-1
1.966049417E0,1.373271221E-1,1.087640584E-2,-3.072934020E-1
1.976073417E0,1.230885673E-1,-8.695218980E-2,-2.569418585E-1
1.986097417E0,1.241235244E-1,-1.772764689E-1,7.714699388E-2
1.996120417E0,2.854698390E-1,-3.005755359E-1,4.287704766E-1
2.006144417E0,5.483197242E-1,-3.001937127E-1,5.700719512E-1
2.016168417E0,6.979844713E-1,-2.335407168E-1,5.455680245E-1
2.026191417E0,8.011609304E-1,-2.297134218E-1,2.184724420E-1
2.036215417E0,8.618000650E-1,-2.330966207E-1,-1.893679261E-2
2.046239417E0,7.091310185E-1,-3.249818140E-1,4.747997582E-2
2.056262417E0,3.267055732E-1,-4.769123572E-1,3.224143016E-1
2.066286417E0,-2.087344891E-1,-4.934514990E-1,6.796973044E-1
2.076310417E0,-7.966357702E-1,-3.160759199E-1,7.918784755E-1
2.086334417E0,-1.341517332E0,-3.484151155E-2,6.378417653E-1
2.096357417E0,-1.663188452E0,2.349697763E-1,4.632900989E-1
2.106381417E0,-1.850763622E0,5.078681016E-1,2.481985170E-1
2.116405417E0,-1.912794979E0,6.743593812E-1,-9.647496521E-2
2.126428417E0,-1.755018974E0,6.088813832E-1,-2.577704090E-1
2.136452417E0,-1.383331940E0,3.205048934E-1,-3.966230696E-1
2.146476417E0,-8.164133924E-1,-8.894170493E-2,-5.489044458E-1
2.156499417E0,-2.892067945E-1,-3.856726965E-1,-6.769806880E-1
2.166523417E0,-3.206320703E-2,-6.027923852E-1,-7.205915612E-1
2.176547417E0,-9.011904180E-2,-6.950459531E-1,-7.249179161E-1
2.186570417E0,-3.340970385E-1,-5.756247595E-1,-6.808316642E-1
2.196594417E0,-5.372246325E-1,-2.284214795E-1,-8.112643343E-1
2.206618417E0,-6.755136216E-1,2.930685881E-1,-1.244237205E0
2.216641417E0,-8.199848717E-1,8.753939644E-1,-1.453500867E0
2.226665417E0,-9.619429886E-1,1.317347281E0,-1.358465486E0
2.236689417E0,-9.479488474E-1,1.394453052E0,-1.166054084E0
2.246713417E0,-8.704422498E-1,1.031170514E0,-9.921321630E-1
2.256736417E0,-8.315337074E-1,3.316166496E-1,-7.844308770E-1
2.266760417E0,-8.452208698E-1,-3.881925541E-1,-6.584660643E-1
2.276784417E0,-8.338842881E-1,-8.896345657E-1,-6.368687886E-1
2.286807417E0,-6.401262724E-1,-9.279978552E-1,-6.804439938E-1
2.296831417E0,-1.937603545E-1,-5.175540143E-1,-7.002034897E-1
2.306855417E0,4.421927601E-1,3.645095766E-2,-5.001450992E-1
