"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.824166626E-3,5.272036743E0,-1.004411316E-1,8.652756500E0
1.184516656E-2,5.441184998E0,-1.704954529E-1,8.554261322E0
2.186716662E-2,5.403313751E0,-2.037263489E-1,8.467142487E0
3.188916657E-2,5.096302185E0,-2.195933533E-1,8.534502411E0
4.191116663E-2,4.772974548E0,-1.989363098E-1,8.511001282E0
5.193216656E-2,4.373605042E0,-1.118174744E-1,8.594078522E0
6.195416662E-2,4.015699310E0,-6.137237549E-2,8.743617554E0
7.197616657E-2,4.303401031E0,-3.891906738E-3,8.809929657E0
8.199716662E-2,4.831802216E0,1.110690308E-1,8.706943817E0
9.201916656E-2,5.129084015E0,1.791773987E-1,8.579109650E0
1.020411666E-1,5.212161255E0,2.538720703E-1,8.481961670E0
1.120631666E-1,5.224136353E0,3.112028503E-1,8.374485168E0
1.220841666E-1,5.007087708E0,2.586621094E-1,8.366102600E0
1.321061666E-1,4.730163574E0,1.299298096E-1,8.370293884E0
1.421281666E-1,4.588707733E0,3.248245239E-2,8.328231354E0
1.521501666E-1,4.599185944E0,2.679428101E-2,8.404722290E0
1.621711666E-1,4.592749329E0,8.202941895E-2,8.457113342E0
1.721931666E-1,4.712200928E0,1.456471252E-1,8.388256531E0
1.822151666E-1,4.935536499E0,2.125579834E-1,8.282426605E0
1.922361666E-1,5.100792847E0,2.546205139E-1,8.260122986E0
2.022581666E-1,5.207221527E0,1.875599670E-1,8.387208710E0
2.122801666E-1,5.284909973E0,2.709365845E-2,8.624914398E0
2.223021666E-1,5.315446472E0,-2.616558838E-1,8.829389191E0
2.323231666E-1,5.142705688E0,-3.914360046E-1,8.929231567E0
2.423451666E-1,5.023703156E0,-1.778302002E-1,8.930578766E0
2.523671666E-1,5.096152496E0,7.753875732E-2,8.856482849E0
2.623881666E-1,5.297334137E0,3.278182983E-1,8.737630005E0
2.724101666E-1,5.498366089E0,4.743635559E-1,8.701105957E0
2.824321666E-1,5.527705078E0,4.923262024E-1,8.746461639E0
2.924541666E-1,5.542075195E0,4.031117249E-1,8.733887787E0
3.024751666E-1,5.557493134E0,2.017803955E-1,8.521030426E0
3.124971666E-1,5.429808655E0,-1.077758789E-2,8.319100342E0
3.225191666E-1,5.049599304E0,-1.606159973E-1,8.244106293E0
3.325401666E-1,4.449946289E0,-2.480342102E-1,8.112529907E0
3.425621666E-1,3.619772644E0,-1.698966980E-1,7.918383636E0
3.525841666E-1,2.509082336E0,1.332229614E-1,7.799830170E0
3.626061666E-1,1.838776245E0,4.218228149E-1,7.977061615E0
3.726271666E-1,2.343975677E0,4.517605591E-1,8.060737610E0
3.826491666E-1,3.821403351E0,4.228706360E-1,7.712561646E0
3.926711666E-1,5.614075470E0,3.826043701E-1,7.004384308E0
4.026921666E-1,6.879244537E0,1.428030396E-1,6.534361725E0
4.127141666E-1,7.440726929E0,-1.026864624E-1,6.364465027E0
4.227361666E-1,7.501201172E0,-1.784289551E-1,6.306984558E0
4.327581666E-1,7.235204315E0,-1.022373962E-1,6.263125763E0
4.427791666E-1,6.822811890E0,-1.721420288E-2,6.267317047E0
4.528011666E-1,6.525230713E0,4.041595459E-2,6.306236115E0
4.628231666E-1,6.293662262E0,7.634124756E-2,6.311325531E0
4.728451666E-1,6.052962799E0,3.457809448E-2,6.433022461E0
4.828661666E-1,5.853577423E0,-1.137634277E-2,6.632557526E0
4.928881666E-1,5.692961426E0,-8.487350464E-2,6.712491302E0
5.029101666E-1,5.598058777E0,-6.631210327E-2,6.614894257E0
5.129311666E-1,5.674998779E0,1.561253357E-1,6.522236938E0
5.229531666E-1,6.048771515E0,5.689668274E-1,6.532715149E0
5.329751666E-1,6.499334564E0,9.731263733E-1,6.644532623E0
5.429971666E-1,6.794520721E0,1.129102020E0,6.824907532E0
5.530181666E-1,7.039860535E0,1.010698242E0,6.900799713E0
5.630401666E-1,7.372768250E0,7.777825928E-1,6.904392242E0
5.730621666E-1,7.670948181E0,6.110293579E-1,6.845863953E0
5.830841666E-1,7.901468811E0,5.815406799E-1,6.712341614E0
5.931051666E-1,7.891140289E0,6.691085815E-1,6.575077057E0
6.031271666E-1,7.666457520E0,8.732839966E-1,6.433471527E0
6.131491666E-1,7.389234009E0,1.168470154E0,6.395899658E0
6.231701666E-1,7.263794861E0,1.426832886E0,6.408473511E0
6.331921666E-1,7.248975677E0,1.440903625E0,6.425238647E0
6.432141666E-1,7.124434662E0,1.161883850E0,6.371350708E0
6.532361666E-1,7.113357697E0,8.524772644E-1,6.410718842E0
6.632571666E-1,7.172484741E0,6.744973755E-1,6.431375885E0
6.732791666E-1,7.163802795E0,5.423222351E-1,6.428831177E0
6.833011666E-1,6.997498627E0,3.993695068E-1,6.245911560E0
6.933221666E-1,6.928641815E0,3.841012573E-1,6.070626068E0
7.033441666E-1,7.072642365E0,4.354444885E-1,6.087091827E0
7.133661666E-1,7.223079529E0,5.260061646E-1,5.982160034E0
7.233881666E-1,7.389084320E0,6.936575317E-1,5.788013763E0
7.334091666E-1,7.664960632E0,9.376501465E-1,5.639522552E0
7.434311666E-1,7.997269592E0,1.162632294E0,5.730084229E0
