"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.945041685E-3,9.130771444E-1,-2.117946550E-1,2.197187729E-1,-2.704753140E-1,4.813176965E1,-3.185543671E1,1.665869408E1,-3.778616400E1
1.896704175E-2,9.128822574E-1,-2.115857956E-1,2.203796993E-1,-2.707587938E-1,4.818650529E1,-3.186916616E1,1.672533406E1,-3.784710836E1
2.898904169E-2,9.128546722E-1,-2.115316059E-1,2.205312482E-1,-2.707704474E-1,4.819424807E1,-3.187075012E1,1.674262119E1,-3.785467785E1
3.901104175E-2,9.130118589E-1,-2.117795950E-1,2.199027152E-1,-2.705577954E-1,4.815011214E1,-3.186423528E1,1.667546469E1,-3.780418161E1
4.903304169E-2,9.133437021E-1,-2.123379571E-1,2.183979878E-1,-2.702191244E-1,4.805680977E1,-3.184763102E1,1.651039523E1,-3.770313711E1
5.905504175E-2,9.137610613E-1,-2.131503530E-1,2.164004226E-1,-2.697752127E-1,4.793922091E1,-3.183447974E1,1.628832916E1,-3.757110274E1
6.907604169E-2,9.142127912E-1,-2.140481929E-1,2.143422377E-1,-2.691758003E-1,4.781164163E1,-3.182648535E1,1.606189650E1,-3.741960243E1
7.909804175E-2,9.146837190E-1,-2.149115436E-1,2.123840804E-1,-2.684394316E-1,4.767829836E1,-3.181821078E1,1.585162118E1,-3.725642716E1
8.912004170E-2,9.151323090E-1,-2.157108501E-1,2.105425246E-1,-2.677192473E-1,4.755095266E1,-3.180933431E1,1.565526028E1,-3.709992828E1
9.914204176E-2,9.155025269E-1,-2.163374912E-1,2.089769781E-1,-2.671736985E-1,4.744561276E1,-3.179730698E1,1.548811771E1,-3.697431211E1
1.091640417E-1,9.157539961E-1,-2.166994592E-1,2.079238018E-1,-2.668399587E-1,4.737393517E1,-3.178317298E1,1.537681412E1,-3.689306186E1
1.191860416E-1,9.158740725E-1,-2.167978994E-1,2.074839721E-1,-2.666901267E-1,4.733967310E1,-3.177114944E1,1.533265014E1,-3.685721505E1
1.292080417E-1,9.158784979E-1,-2.167170384E-1,2.075545493E-1,-2.666860384E-1,4.733840992E1,-3.176522004E1,1.534310772E1,-3.685876273E1
1.392300416E-1,9.158014113E-1,-2.165432426E-1,2.079185117E-1,-2.668085593E-1,4.736040871E1,-3.176458110E1,1.538317226E1,-3.688698250E1
