"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.050666673E-3,2.503543854E0,-7.174730072E0,7.513475647E0
1.107266662E-2,2.586471405E0,-6.892117767E0,7.709268494E0
2.109366667E-2,2.656974792E0,-6.942712555E0,7.257208557E0
3.111566661E-2,2.835852814E0,-6.720574493E0,6.554719391E0
4.113766667E-2,3.299438782E0,-6.512357483E0,5.814808044E0
5.115966662E-2,3.676354980E0,-7.041357422E0,5.224286041E0
6.118166668E-2,3.652255096E0,-7.754324799E0,4.920567627E0
7.120366662E-2,3.434158630E0,-7.932903442E0,5.103038177E0
8.122566668E-2,3.226390686E0,-7.604037323E0,5.742059326E0
9.124766663E-2,3.142864380E0,-7.328460388E0,6.391708374E0
1.012696667E-1,3.039429474E0,-7.338040466E0,6.923552399E0
1.112916666E-1,2.841990051E0,-7.202871552E0,7.298522644E0
1.213136667E-1,2.955304413E0,-7.076384583E0,7.258406067E0
1.313356666E-1,3.370241547E0,-7.300169220E0,6.941515045E0
1.413576667E-1,3.731290741E0,-7.504045258E0,6.741381226E0
1.513796666E-1,3.819158020E0,-7.558981018E0,6.453679504E0
1.614016667E-1,3.862567749E0,-7.411088562E0,6.044430542E0
1.714236666E-1,3.980971527E0,-7.089706879E0,5.766159210E0
1.814456667E-1,4.080813904E0,-7.017856293E0,5.402415619E0
1.914676666E-1,4.047583008E0,-7.418572998E0,5.024750977E0
2.014896667E-1,3.803291016E0,-7.956254883E0,4.948709106E0
2.115116667E-1,3.548520813E0,-8.372090149E0,5.326822815E0
2.215336667E-1,3.364104309E0,-8.504414978E0,5.896538086E0
2.315556667E-1,3.083138580E0,-8.174051971E0,5.921835480E0
2.415776666E-1,2.881956940E0,-7.607180786E0,5.989045715E0
2.515996667E-1,2.804118805E0,-7.346722412E0,6.420298920E0
2.616216666E-1,2.769391022E0,-7.569459229E0,6.662794647E0
2.716436667E-1,2.852917328E0,-7.732320557E0,6.654262390E0
2.816656666E-1,2.559826813E0,-7.350015564E0,6.844516754E0
2.916876667E-1,2.166145477E0,-6.922953644E0,7.184010773E0
3.017096666E-1,2.392923889E0,-6.762187958E0,6.823111267E0
3.117316667E-1,2.830014954E0,-6.761140137E0,6.410569153E0
3.217536666E-1,3.127596130E0,-6.897656250E0,6.209237823E0
3.317756667E-1,3.215762787E0,-7.290289764E0,6.067183228E0
3.417976666E-1,3.417692871E0,-7.853418732E0,5.718707886E0
3.518186667E-1,3.696113892E0,-8.125253448E0,5.111271057E0
3.618416666E-1,3.847898254E0,-7.993227997E0,4.409979401E0
3.718626667E-1,3.848197632E0,-7.522456970E0,4.381987610E0
3.818846666E-1,3.823349304E0,-6.930138702E0,4.654570770E0
3.919066667E-1,3.678750000E0,-6.670728149E0,4.500990143E0
4.019286666E-1,3.792962494E0,-7.021299133E0,4.747976532E0
4.119506667E-1,3.970044250E0,-7.605683899E0,5.321583710E0
4.219726666E-1,3.727847900E0,-7.585625610E0,5.497767334E0
4.319946667E-1,3.445834351E0,-6.701114960E0,5.432802429E0
4.420166666E-1,3.254831543E0,-5.946683807E0,5.220693512E0
4.520386667E-1,3.008593597E0,-5.963748322E0,5.474266205E0
4.620606666E-1,2.330054626E0,-6.839277649E0,5.675896912E0
4.720826667E-1,1.735491028E0,-7.746990051E0,5.555996246E0
4.821046666E-1,1.999691620E0,-8.493338013E0,5.469176788E0
4.921266667E-1,2.497256927E0,-8.582702179E0,5.601651306E0
5.021486667E-1,2.919229431E0,-8.035739594E0,6.049819336E0
5.121706667E-1,3.361858978E0,-7.334447937E0,6.366860046E0
5.221926667E-1,3.659889221E0,-6.550228729E0,5.872138824E0
5.322146666E-1,3.563190308E0,-6.040688324E0,5.792654114E0
5.422366667E-1,3.332519989E0,-6.505322113E0,6.103557587E0
5.522586666E-1,3.060535583E0,-7.299271088E0,5.804629211E0
5.622806667E-1,2.716550903E0,-7.914641418E0,5.916746063E0
5.723026666E-1,2.450254669E0,-7.796387329E0,6.028563538E0
5.823246667E-1,1.818418579E0,-6.803352356E0,6.061944122E0
5.923466666E-1,9.883946228E-1,-6.146817627E0,6.769822083E0
6.023686667E-1,5.451663208E-1,-6.529421997E0,6.639443207E0
6.123906666E-1,8.756790161E-1,-7.363786926E0,6.295308838E0
6.224126667E-1,1.762734375E0,-7.857011261E0,6.352190552E0
6.324346666E-1,2.602338409E0,-7.644752655E0,5.842350769E0
6.424566667E-1,3.267555084E0,-7.413034515E0,6.295458527E0
6.524786666E-1,3.497327271E0,-7.245981903E0,6.682553558E0
6.625006667E-1,3.481310577E0,-6.945257263E0,6.875502319E0
6.725226666E-1,3.472478943E0,-6.775210876E0,7.041058044E0
6.825446667E-1,3.610791321E0,-6.872658234E0,6.200106812E0
6.925666666E-1,2.803220673E0,-6.891069946E0,5.436095581E0
7.025876667E-1,1.404080200E0,-7.101681976E0,5.182822266E0
7.126096666E-1,1.960922241E-1,-7.663763123E0,5.162913666E0
7.226316667E-1,-5.767506409E-1,-8.127498779E0,5.663472748E0
7.326536666E-1,-6.222560120E-1,-8.752748566E0,5.712870026E0
7.426756667E-1,-5.593867493E-1,-8.824000397E0,5.816604309E0
7.526976666E-1,5.192701721E-1,-8.527317352E0,6.167175293E0
7.627196667E-1,1.802850952E0,-7.839797058E0,6.145919495E0
7.727416666E-1,2.329006805E0,-7.197632446E0,6.328390045E0
7.827636667E-1,2.394121399E0,-7.435936890E0,6.236780548E0
7.927854583E-1,2.066003723E0,-8.090974731E0,6.242319031E0
8.028074583E-1,1.771266632E0,-8.422086182E0,6.058650970E0
8.128294583E-1,1.398242340E0,-7.997568970E0,7.378606110E0
8.228514583E-1,1.135089569E0,-7.462431793E0,8.009693756E0
8.328734583E-1,2.102827148E0,-7.572602692E0,7.495962067E0
8.428954583E-1,2.805166626E0,-7.911048889E0,7.840246124E0
8.529174583E-1,2.225721588E0,-8.162076874E0,7.905510406E0
8.629394583E-1,2.228266296E0,-8.190068665E0,7.675738220E0
8.729614583E-1,2.127974854E0,-8.074359283E0,7.526498566E0
8.829834583E-1,1.930535431E0,-7.635771332E0,6.804549866E0
8.930054583E-1,1.787433014E0,-7.175478516E0,6.654262390E0
9.030274583E-1,1.335971832E0,-6.766379242E0,5.721701660E0
9.130494583E-1,1.395847321E0,-7.317832489E0,5.485492859E0
9.230714584E-1,2.307301941E0,-8.959169312E0,3.794609070E0
9.330934583E-1,2.232158203E0,-1.011955627E1,3.284170532E0
9.431154584E-1,1.024619293E0,-9.999805298E0,3.739822998E0
9.531374583E-1,3.230282593E-1,-7.839946747E0,4.413571930E0
9.631594584E-1,6.548881531E-1,-4.740791473E0,4.525389404E0
9.731814583E-1,8.108638000E-1,-2.249522095E0,4.320615234E0
9.832034584E-1,1.023421783E0,-9.147477722E-1,4.610412598E0
9.932254583E-1,7.695497131E-1,-4.309538269E-1,5.457351379E0
1.003247458E0,-4.269122314E-1,2.869532776E-1,6.056405640E0
1.013269458E0,-1.150956573E0,1.294657745E0,6.875652008E0
1.023291458E0,-1.286873932E0,1.134939880E0,7.510481873E0
1.033312458E0,-4.171824646E-1,-7.411088562E-1,8.168214111E0
1.043334458E0,7.426057434E-1,-4.530927887E0,6.789730682E0
1.053356458E0,3.617677002E0,-9.792037354E0,3.412304077E0
1.063378458E0,8.102949829E0,-1.690838882E1,3.219355316E0
1.073400458E0,1.180535065E1,-2.460328720E1,2.645748138E0
1.083422458E0,1.214544342E1,-2.632171371E1,7.375163269E-1
1.093444458E0,8.605005798E0,-1.650033737E1,-2.499801636E-2
1.103466458E0,4.820126495E0,-4.366419983E0,1.790875854E0
1.113488458E0,1.813478851E0,3.678899689E0,4.488865356E0
1.123510458E0,-6.875202942E-1,5.018464050E0,7.465575256E0
1.133532458E0,-1.774260406E0,-2.754272461E-1,1.006926086E1
1.143554458E0,1.755249939E0,-7.485633545E0,1.115315689E1
1.153576458E0,7.556885376E0,-1.276754974E1,1.045426025E1
1.163598458E0,1.113669113E1,-1.444406342E1,8.797056427E0
1.173620458E0,1.060305084E1,-1.209649521E1,7.708220673E0
1.183642458E0,8.868308258E0,-8.750203857E0,5.558840332E0
1.193664458E0,7.751181335E0,-6.468947754E0,2.352657623E0
1.203686458E0,6.038742371E0,-4.827161865E0,7.146139526E-1
1.213708458E0,2.856958923E0,-3.905977478E0,2.337389374E0
1.223730458E0,-6.700067139E-1,-3.934118958E0,4.641248474E0
1.233752458E0,-2.695893860E0,-5.247338104E0,5.208718414E0
1.243774458E0,-2.350561981E0,-7.469018097E0,4.744833069E0
