"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.984166668E-2,-1.272273809E-1,4.211661220E-2,5.894263834E-2
2.986366663E-2,-5.826032162E-2,2.034868300E-1,7.962407917E-2
3.988566669E-2,-1.596054062E-2,3.186549544E-1,9.561822563E-2
4.990766663E-2,-1.369549520E-2,2.950853109E-1,8.260156959E-2
5.992966669E-2,-6.362550706E-2,2.009646595E-1,3.715126961E-2
6.995166664E-2,-1.546193510E-1,1.225765944E-1,-2.929730155E-2
7.997366670E-2,-2.173064202E-1,6.071454659E-2,-6.260652095E-2
8.999566664E-2,-2.585667968E-1,-8.533811197E-3,-6.517527997E-2
1.000176667E-1,-2.859395742E-1,-6.249345094E-2,-5.049487203E-2
1.100396666E-1,-2.894799113E-1,-7.499065250E-2,-2.705194429E-2
1.200616667E-1,-2.852614522E-1,-2.800717019E-2,-1.014193520E-2
1.300836666E-1,-3.099455833E-1,8.662781119E-2,-2.016346529E-2
1.401056667E-1,-3.168037534E-1,2.451271862E-1,-3.611792997E-2
1.501276667E-1,-2.793666422E-1,3.752678633E-1,-5.317281559E-2
1.601496667E-1,-2.378703356E-1,4.628152847E-1,-8.313124627E-2
1.701716667E-1,-1.837309152E-1,4.813653529E-1,-1.124667227E-1
1.801936666E-1,-9.500131756E-2,4.005610347E-1,-1.063960493E-1
1.902156667E-1,-5.972334184E-3,3.092462420E-1,-6.546819955E-2
2.002376666E-1,5.024140328E-2,2.860567570E-1,-1.500236429E-2
2.102596667E-1,9.287296236E-2,3.180398345E-1,1.441246830E-2
2.202816666E-1,1.694553494E-1,3.489844203E-1,1.556108892E-2
2.303036667E-1,2.164775133E-1,3.194335401E-1,1.306288131E-2
2.403256666E-1,2.426385283E-1,2.804560363E-1,-8.591014892E-3
2.503476667E-1,2.453278452E-1,2.808653712E-1,-4.765206575E-2
2.603696666E-1,1.580507308E-1,2.835336030E-1,-1.274409145E-1
2.703916667E-1,1.191053167E-2,2.312908769E-1,-2.348030061E-1
2.804136666E-1,-5.235767365E-2,6.413730979E-2,-2.813670635E-1
2.904356667E-1,-5.378273875E-2,-4.943264276E-2,-2.490246594E-1
3.004576666E-1,-8.444956690E-2,-1.291830745E-2,-2.001918852E-1
3.104796667E-1,-9.366488457E-2,1.025488675E-1,-1.451902092E-1
3.205016666E-1,-6.221055612E-2,1.824322492E-1,-1.145958155E-1
3.305236667E-1,1.941956207E-2,1.621723026E-1,-1.087347567E-1
3.405456666E-1,1.209674925E-1,7.797779143E-2,-1.360662431E-1
3.505676667E-1,1.732439995E-1,1.818115823E-2,-1.631633639E-1
3.605896666E-1,1.825392246E-1,4.807993397E-2,-1.560697556E-1
3.706106667E-1,2.002793103E-1,1.719041020E-1,-9.829964489E-2
3.806326666E-1,1.670662314E-1,3.742039502E-1,-9.866449982E-3
3.906546667E-1,1.320086420E-1,5.281488895E-1,6.474940479E-2
4.006766666E-1,1.150517687E-1,6.433675885E-1,8.922997862E-2
4.106986667E-1,1.425763667E-1,7.390426993E-1,1.160710379E-1
4.207206666E-1,1.631317139E-1,7.440195680E-1,1.410307139E-1
4.307426667E-1,1.506492347E-1,6.673767567E-1,1.454495788E-1
4.407646667E-1,9.007004648E-2,5.360935330E-1,1.284578145E-1
4.507866667E-1,5.078121275E-2,3.665315807E-1,1.205618083E-1
4.608086667E-1,1.186071150E-2,2.100460827E-1,1.693567783E-1
4.708306666E-1,1.788609102E-2,-6.547481753E-4,2.055873573E-1
4.808526667E-1,-3.215417266E-2,-7.085301727E-2,1.976617873E-1
4.908746666E-1,-7.870250195E-2,-4.491496831E-2,1.933176965E-1
5.008966667E-1,-2.503528073E-2,-4.361800849E-2,2.138091326E-1
5.109186666E-1,8.275112510E-2,-2.000174858E-2,2.063282877E-1
5.209406667E-1,9.204421937E-2,1.347843707E-1,1.562020034E-1
5.309626666E-1,1.187061891E-1,2.399545610E-1,1.585156024E-1
5.409846667E-1,1.106778234E-1,3.516821563E-1,2.018058300E-1
5.510066666E-1,6.220642477E-2,5.497048497E-1,2.075186223E-1
5.610286667E-1,3.732264042E-2,6.898792982E-1,1.390386373E-1
5.710506666E-1,-1.095302589E-2,7.260091901E-1,4.696944356E-2
5.810726667E-1,-5.568427965E-2,6.530457735E-1,1.379018463E-2
5.910946666E-1,-2.778658085E-2,4.710048139E-1,4.830760509E-2
6.011166667E-1,-2.786780708E-2,3.112284839E-1,1.032968238E-1
6.111386666E-1,-1.276563667E-2,1.870370805E-1,1.439492553E-1
6.211606667E-1,-5.013431609E-2,1.599580646E-1,1.633080393E-1
6.311826666E-1,-1.365436912E-1,2.352799922E-1,1.423221976E-1
6.412046667E-1,-1.481183171E-1,3.173791468E-1,9.839495271E-2
6.512266666E-1,-1.430987865E-1,4.337040186E-1,4.172863066E-2
6.612486667E-1,-7.335032523E-2,5.877908468E-1,-8.193217218E-5
6.712706666E-1,2.874119766E-2,7.118298411E-1,-4.278576747E-2
6.812926667E-1,6.157078221E-2,8.768888116E-1,-5.818789452E-2
6.913146666E-1,2.135730535E-2,1.023297548E0,1.137542911E-2
7.013366667E-1,-2.257340029E-2,9.189113379E-1,1.097238362E-1
7.113576666E-1,-2.731864899E-2,6.363099813E-1,1.745824963E-1
7.213796667E-1,1.003085077E-2,2.240257263E-1,1.620432585E-1
7.314016666E-1,-7.294342853E-3,-1.268356144E-1,1.561337113E-1
7.414236667E-1,2.506888472E-3,-3.845033944E-1,2.079910487E-1
7.514456667E-1,3.446104378E-2,-5.749313235E-1,2.689833343E-1
7.614676666E-1,5.687820539E-2,-5.989176035E-1,3.019761741E-1
7.714896667E-1,8.156870306E-2,-4.766241908E-1,3.109921515E-1
7.815116666E-1,8.329336345E-2,-3.097585142E-1,3.054708838E-1
7.915336667E-1,5.102417432E-3,-1.675089598E-1,2.950852513E-1
8.015554583E-1,-1.250965893E-1,-1.648028567E-2,2.846459448E-1
8.115774583E-1,-1.909320951E-1,5.567899719E-2,3.438372612E-1
8.215994583E-1,-2.077693939E-1,5.701850634E-3,4.139870405E-1
8.316214583E-1,-2.947186530E-1,-1.461083442E-1,3.998916447E-1
8.416434583E-1,-2.778382003E-1,-1.756097674E-1,4.603970647E-1
8.516654583E-1,-2.938997149E-1,-1.059980169E-1,5.610110760E-1
8.616874584E-1,-2.949157059E-1,-7.701403648E-2,5.914310217E-1
8.717094583E-1,-3.653922975E-1,-4.293848947E-2,5.078876019E-1
8.817314584E-1,-3.718555272E-1,-6.055839825E-3,3.172430694E-1
8.917534583E-1,-3.101303577E-1,6.020744331E-3,1.753696054E-1
9.017754584E-1,-1.846414059E-1,-1.408265997E-2,1.401034892E-1
9.117974583E-1,5.259401351E-2,-1.161363497E-1,1.632138938E-1
9.218194584E-1,1.736333519E-1,8.410406858E-2,1.827790737E-1
9.318414583E-1,2.943416238E-1,2.646119297E-1,2.786180675E-1
9.418634584E-1,3.742103577E-1,1.331772208E-1,4.313993752E-1
9.518854583E-1,4.230322242E-1,-3.435938060E-1,4.751897454E-1
9.619074584E-1,4.432424307E-1,-8.582142591E-1,4.246315062E-1
9.719294583E-1,3.833586276E-1,-1.103248954E0,3.301613927E-1
9.819514584E-1,3.532931209E-1,-1.227849245E0,1.687144190E-1
9.919734583E-1,3.696127236E-1,-1.326077104E0,-1.017331379E-3
1.001995458E0,2.109958977E-1,-1.426584005E0,-2.274699062E-1
1.012017458E0,-1.236049831E-1,-1.406845450E0,-6.030332446E-1
1.022039458E0,-5.632241368E-1,-1.067137122E0,-1.149056315E0
1.032060458E0,-5.689491034E-1,-8.432002664E-1,-1.666646481E0
1.042082458E0,-4.858467579E-1,-5.811628103E-1,-1.829067349E0
1.052104458E0,-5.701795220E-1,-8.975373507E-1,-1.477976322E0
