"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.984166668E-2,8.894266300E-1,-4.239117906E-1,-1.616672082E-1,-5.552333100E-2,5.439742865E1,-5.136746306E1,-1.955163481E1,2.329184746E0
2.986366663E-2,8.893433900E-1,-4.243503707E-1,-1.609644938E-1,-5.554739685E-2,5.441829361E1,-5.141084845E1,-1.947822168E1,2.298435805E0
3.988566669E-2,8.895123145E-1,-4.244990226E-1,-1.595637854E-1,-5.574801585E-2,5.437594322E1,-5.139912272E1,-1.934149688E1,2.204314303E0
4.990766663E-2,8.897616553E-1,-4.245382719E-1,-1.579655242E-1,-5.602129601E-2,5.431337627E1,-5.136829343E1,-1.918805164E1,2.089416047E0
5.992966669E-2,8.899009506E-1,-4.246722146E-1,-1.567145636E-1,-5.630549221E-2,5.427839395E1,-5.135721455E1,-1.907124606E1,1.994422385E0
6.995166664E-2,8.897987867E-1,-4.251093195E-1,-1.559587863E-1,-5.671920568E-2,5.430405322E1,-5.139449791E1,-1.901208649E1,1.919109020E0
7.997366670E-2,8.894539833E-1,-4.258859806E-1,-1.556016128E-1,-5.727946373E-2,5.439057065E1,-5.148264945E1,-1.900132317E1,1.857171305E0
8.999566664E-2,8.889465352E-1,-4.268908984E-1,-1.555495931E-1,-5.781439154E-2,5.451766789E1,-5.160744857E1,-1.902080216E1,1.819516214E0
1.000176667E-1,8.883151755E-1,-4.280734758E-1,-1.557615707E-1,-5.820214254E-2,5.467541957E1,-5.176312720E1,-1.906013338E1,1.815914029E0
1.100396666E-1,8.876288562E-1,-4.293466899E-1,-1.560791893E-1,-5.844347540E-2,5.484642830E1,-5.193510457E1,-1.910290505E1,1.835846833E0
1.200616667E-1,8.869634839E-1,-4.306228017E-1,-1.562781751E-1,-5.862542334E-2,5.501174946E1,-5.210611905E1,-1.913026255E1,1.855854538E0
1.300836666E-1,8.863428294E-1,-4.319132328E-1,-1.561075858E-1,-5.897203902E-2,5.516554798E1,-5.226956136E1,-1.912749287E1,1.838488746E0
1.401056667E-1,8.857741420E-1,-4.332511424E-1,-1.553485632E-1,-5.970307611E-2,5.530612296E1,-5.242250073E1,-1.908317095E1,1.748952727E0
1.501276667E-1,8.853558345E-1,-4.344457526E-1,-1.539604567E-1,-6.081166467E-2,5.540931548E1,-5.253910390E1,-1.899334424E1,1.581422053E0
1.601496667E-1,8.850914895E-1,-4.354178170E-1,-1.521578465E-1,-6.222813595E-2,5.547443575E1,-5.261445520E1,-1.887700600E1,1.353432973E0
1.701716667E-1,8.849572939E-1,-4.361344083E-1,-1.501926970E-1,-6.387017717E-2,5.550746734E1,-5.265054425E1,-1.875609582E1,1.087028607E0
1.801936666E-1,8.849473051E-1,-4.365289344E-1,-1.484158807E-1,-6.544786015E-2,5.550992531E1,-5.264907790E1,-1.865205391E1,8.309027787E-1
1.902156667E-1,8.850678872E-1,-4.365708705E-1,-1.470366673E-1,-6.663930941E-2,5.548024664E1,-5.261379257E1,-1.856984359E1,6.300201745E-1
2.002376666E-1,8.853247301E-1,-4.363318557E-1,-1.458310145E-1,-6.743917230E-2,5.541698156E1,-5.254990317E1,-1.848566155E1,4.742648390E-1
2.102596667E-1,8.856938944E-1,-4.359270036E-1,-1.445171603E-1,-6.803525518E-2,5.532593303E1,-5.246516094E1,-1.837969482E1,3.309236328E-1
2.202816666E-1,8.862286536E-1,-4.352405158E-1,-1.430298401E-1,-6.860794656E-2,5.519379780E1,-5.234084512E1,-1.825436767E1,1.749694160E-1
2.303036667E-1,8.868991678E-1,-4.342682090E-1,-1.415675763E-1,-6.913524578E-2,5.502770542E1,-5.218028229E1,-1.812907963E1,1.957039820E-2
2.403256666E-1,8.876078249E-1,-4.331490206E-1,-1.403212308E-1,-6.960037840E-2,5.485166085E1,-5.200530672E1,-1.802278118E1,-1.202436881E-1
2.503476667E-1,8.883334672E-1,-4.319256345E-1,-1.392228734E-1,-7.014934110E-2,5.467085511E1,-5.181843555E1,-1.793580798E1,-2.628213230E-1
2.603696666E-1,8.889476311E-1,-4.308455267E-1,-1.382159535E-1,-7.099750428E-2,5.451739373E1,-5.164861295E1,-1.787319552E1,-4.290384819E-1
2.703916667E-1,8.892484331E-1,-4.302445864E-1,-1.374632214E-1,-7.232348628E-2,5.444208650E1,-5.154030121E1,-1.786116063E1,-6.225396540E-1
2.804136666E-1,8.891949488E-1,-4.301341933E-1,-1.373421019E-1,-7.385135169E-2,5.445548359E1,-5.150406549E1,-1.792548113E1,-7.940381423E-1
2.904356667E-1,8.889791148E-1,-4.301872140E-1,-1.379107471E-1,-7.507196657E-2,5.450951614E1,-5.150392464E1,-1.804654814E1,-8.930898499E-1
3.004576666E-1,8.887213025E-1,-4.303458863E-1,-1.385467536E-1,-7.603809878E-2,5.457399289E1,-5.152203628E1,-1.816196769E1,-9.592549151E-1
3.104796667E-1,8.884882726E-1,-4.306164480E-1,-1.386875873E-1,-7.696579306E-2,5.463221134E1,-5.154777957E1,-1.822383400E1,-1.045071304E0
3.205016666E-1,8.883690391E-1,-4.308256439E-1,-1.382773931E-1,-7.790486699E-2,5.466197758E1,-5.155678931E1,-1.822862818E1,-1.162483577E0
